region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
442,WA- YAKIMA,85.7,41,39,43,85.01,86.74,41 [39 - 43],85.7% [85.01% - 86.74%],33,29,39,01-19-2021
443,WV- CHARLESTON,86.31,213,206,224,85.61,87.34,213 [206 - 224],86.31% [85.61% - 87.34%],153,136,178,01-19-2021
444,WV- HUNTINGTON,86.91,161,155,165,85.94,87.7,161 [155 - 165],86.91% [85.94% - 87.7%],114,98,127,01-19-2021
445,WV- MORGANTOWN,88.28,201,190,212,85.79,90.78,201 [190 - 212],88.28% [85.79% - 90.78%],146,102,190,01-19-2021
446,WI- APPLETON,91.67,98,95,102,90.05,93.45,98 [95 - 102],91.67% [90.05% - 93.45%],72,62,83,01-19-2021
447,WI- GREEN BAY,86.62,147,143,153,85.81,87.12,147 [143 - 153],86.62% [85.81% - 87.12%],106,93,114,01-19-2021
448,WI- LA CROSSE,85.55,68,66,73,84.61,86.6,68 [66 - 73],85.55% [84.61% - 86.6%],53,44,63,01-19-2021
449,WI- MADISON,85.95,237,229,246,84.92,86.61,237 [229 - 246],85.95% [84.92% - 86.61%],179,148,199,01-19-2021
450,WI- MARSHFIELD,84.67,66,63,71,83.9,85.69,66 [63 - 71],84.67% [83.9% - 85.69%],55,46,67,01-19-2021
451,WI- MILWAUKEE,87.15,820,791,858,85.58,89.07,820 [791 - 858],87.15% [85.58% - 89.07%],590,460,748,01-19-2021
452,WI- NEENAH,86.63,47,45,50,85.73,87.17,47 [45 - 50],86.63% [85.73% - 87.17%],37,32,40,01-19-2021
456,WI- WAUSAU,86.02,44,42,46,85.31,86.73,44 [42 - 46],86.02% [85.31% - 86.73%],34,30,38,01-19-2021
457,WY- CASPER,90.27,98,95,103,88.56,91.84,98 [95 - 103],90.27% [88.56% - 91.84%],72,60,83,01-19-2021
303,NY- NEW YORK,89.13,1890,1834,1946,88.12,90.16,1890 [1834 - 1946],89.13% [88.12% - 90.16%],1420,1262,1580,01-19-2021
