region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
1,AL- BIRMINGHAM,82.0,279,275,285,81.87,82.25,279 [275 - 285],82.0% [81.87% - 82.25%],169,158,190,09-22-2020
2,AL- DOTHAN,82.48,56,55,57,82.18,82.71,56 [55 - 57],82.48% [82.18% - 82.71%],33,29,36,09-22-2020
5,AL- HUNTSVILLE,82.29,70,70,71,82.13,82.45,70 [70 - 71],82.29% [82.13% - 82.45%],43,40,46,09-22-2020
6,AL- MOBILE,80.7,28,28,28,80.67,80.74,28 [28 - 28],80.7% [80.67% - 80.74%],20,19,21,09-22-2020
7,AL- MONTGOMERY,81.68,39,38,40,81.68,82.07,39 [38 - 40],81.68% [81.68% - 82.07%],26,26,32,09-22-2020
9,AL- TUSCALOOSA,83.11,49,49,51,82.91,83.71,49 [49 - 51],83.11% [82.91% - 83.71%],31,29,37,09-22-2020
11,AZ- MESA,81.87,56,55,58,81.57,82.22,56 [55 - 58],81.87% [81.57% - 82.22%],37,31,44,09-22-2020
12,AZ- PHOENIX,81.32,159,153,165,81.06,81.54,159 [153 - 165],81.32% [81.06% - 81.54%],100,80,117,09-22-2020
14,AZ- SUN CITY,80.74,7,7,7,80.62,80.86,7 [7 - 7],80.74% [80.62% - 80.86%],6,5,7,09-22-2020
15,AZ- TUCSON,83.01,131,127,139,82.26,84.16,131 [127 - 139],83.01% [82.26% - 84.16%],76,57,105,09-22-2020
16,AR- FORT SMITH,82.34,49,49,51,82.34,82.73,49 [49 - 51],82.34% [82.34% - 82.73%],30,30,35,09-22-2020
18,AR- JONESBORO,83.76,56,55,58,82.88,83.76,56 [55 - 58],83.76% [82.88% - 83.76%],34,26,34,09-22-2020
19,AR- LITTLE ROCK,82.06,205,197,211,81.49,82.48,205 [197 - 211],82.06% [81.49% - 82.48%],119,86,143,09-22-2020
21,AR- SPRINGDALE,88.33,146,141,150,86.15,89.74,146 [141 - 150],88.33% [86.15% - 89.74%],88,65,103,09-22-2020
22,AR- TEXARKANA,81.53,21,21,23,80.82,81.73,21 [21 - 23],81.53% [80.82% - 81.73%],15,8,17,09-22-2020
23,CA- ORANGE CO.,80.8,93,91,95,80.68,80.88,93 [91 - 95],80.8% [80.68% - 80.88%],61,52,67,09-22-2020
25,CA- BAKERSFIELD,81.02,56,55,58,81.0,81.13,56 [55 - 58],81.02% [81.0% - 81.13%],37,36,41,09-22-2020
31,CA- CHICO,81.72,14,14,15,81.56,82.03,14 [14 - 15],81.72% [81.56% - 82.03%],11,10,13,09-22-2020
33,CA- CONTRA COSTA CO.,81.25,37,37,38,81.2,81.35,37 [37 - 38],81.25% [81.2% - 81.35%],25,24,27,09-22-2020
43,CA- FRESNO,81.8,58,57,60,81.66,82.06,58 [57 - 60],81.8% [81.66% - 82.06%],41,38,47,09-22-2020
56,CA- LOS ANGELES,80.99,380,377,384,80.93,81.05,380 [377 - 384],80.99% [80.93% - 81.05%],246,230,260,09-22-2020
58,CA- MODESTO,81.45,36,35,38,81.4,81.57,36 [35 - 38],81.45% [81.4% - 81.57%],25,24,27,09-22-2020
62,CA- NAPA,81.72,13,13,14,81.72,81.72,13 [13 - 14],81.72% [81.72% - 81.72%],10,10,10,09-22-2020
65,CA- ALAMEDA CO.,80.74,33,33,34,80.65,80.8,33 [33 - 34],80.74% [80.65% - 80.8%],25,22,27,09-22-2020
69,CA- PALM SPR/RANCHO MIR.,80.66,7,7,8,80.66,80.76,7 [7 - 8],80.66% [80.66% - 80.76%],7,7,8,09-22-2020
73,CA- REDDING,80.65,7,7,7,80.65,80.65,7 [7 - 7],80.65% [80.65% - 80.65%],7,7,7,09-22-2020
77,CA- SACRAMENTO,81.44,106,105,108,81.36,81.55,106 [105 - 108],81.44% [81.36% - 81.55%],69,65,74,09-22-2020
78,CA- SALINAS,82.65,35,35,36,82.52,83.03,35 [35 - 36],82.65% [82.52% - 83.03%],21,20,24,09-22-2020
79,CA- SAN BERNARDINO,81.35,114,113,116,81.28,81.45,114 [113 - 116],81.35% [81.28% - 81.45%],78,74,84,09-22-2020
80,CA- SAN DIEGO,82.08,251,247,254,81.81,82.23,251 [247 - 254],82.08% [81.81% - 82.23%],146,127,157,09-22-2020
81,CA- SAN FRANCISCO,80.61,49,49,50,80.55,80.67,49 [49 - 50],80.61% [80.55% - 80.67%],31,28,34,09-22-2020
82,CA- SAN JOSE,81.35,61,60,63,81.29,81.42,61 [60 - 63],81.35% [81.29% - 81.42%],41,39,43,09-22-2020
