HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
297,NY- BRONX,81.55,56,51,76,80.52,85.03,56 [51 - 76],81.55% [80.52% - 85.03%],56,19,182,07-13-2020
299,NY- BUFFALO,80.52,14,12,34,80.0,84.23,14 [12 - 34],80.52% [80.0% - 84.23%],18,0,152,07-13-2020
300,NY- ELMIRA,80.01,0,0,5,80.0,83.25,0 [0 - 5],80.01% [80.0% - 83.25%],0,0,35,07-13-2020
301,NY- EAST LONG ISLAND,81.38,147,133,213,80.59,85.41,147 [133 - 213],81.38% [80.59% - 85.41%],150,64,592,07-13-2020
304,NY- ROCHESTER,80.64,14,12,34,80.0,85.24,14 [12 - 34],80.64% [80.0% - 85.24%],18,0,155,07-13-2020
307,NY- SYRACUSE,80.57,12,10,27,80.0,84.07,12 [10 - 27],80.57% [80.0% - 84.07%],16,0,115,07-13-2020
308,NY- WHITE PLAINS,81.55,42,39,58,80.54,84.65,42 [39 - 58],81.55% [80.54% - 84.65%],46,16,138,07-13-2020
309,NC- ASHEVILLE,87.86,145,129,157,81.81,91.87,145 [129 - 157],87.86% [81.81% - 91.87%],147,34,223,07-13-2020
311,NC- CHARLOTTE,89.04,520,468,555,82.87,92.97,520 [468 - 555],89.04% [82.87% - 92.97%],523,166,751,07-13-2020
312,NC- DURHAM,85.55,252,224,271,81.17,88.21,252 [224 - 271],85.55% [81.17% - 88.21%],256,54,379,07-13-2020
313,NC- GREENSBORO,87.87,140,125,149,82.01,91.15,140 [125 - 149],87.87% [82.01% - 91.15%],141,36,200,07-13-2020
314,NC- GREENVILLE,87.47,183,162,197,81.36,90.92,183 [162 - 197],87.47% [81.36% - 90.92%],187,34,274,07-13-2020
315,NC- HICKORY,88.53,63,57,67,81.87,92.3,63 [57 - 67],88.53% [81.87% - 92.3%],63,14,92,07-13-2020
318,NC- RALEIGH,90.71,450,399,481,82.27,95.25,450 [399 - 481],90.71% [82.27% - 95.25%],453,96,646,07-13-2020
319,NC- WILMINGTON,88.43,98,87,106,81.73,92.49,98 [87 - 106],88.43% [81.73% - 92.49%],102,21,152,07-13-2020
320,NC- WINSTON-SALEM,86.44,232,207,249,81.58,89.32,232 [207 - 249],86.44% [81.58% - 89.32%],237,58,343,07-13-2020
321,ND- BISMARCK,80.76,0,0,1,80.24,80.84,0 [0 - 1],80.76% [80.24% - 80.84%],6,2,7,07-13-2020
322,ND- FARGO MOORHEAD -MN,82.18,42,38,45,80.44,83.01,42 [38 - 45],82.18% [80.44% - 83.01%],44,9,61,07-13-2020
323,ND- GRAND FORKS,81.78,7,7,8,80.17,83.24,7 [7 - 8],81.78% [80.17% - 83.24%],10,1,19,07-13-2020
324,ND- MINOT,80.81,0,0,1,80.14,80.86,0 [0 - 1],80.81% [80.14% - 80.86%],5,1,6,07-13-2020
325,OH- AKRON,85.31,126,112,141,81.2,88.82,126 [112 - 141],85.31% [81.2% - 88.82%],128,29,214,07-13-2020
326,OH- CANTON,85.78,120,106,134,81.28,89.93,120 [106 - 134],85.78% [81.28% - 89.93%],122,27,210,07-13-2020
327,OH- CINCINNATI,86.36,302,271,347,81.9,92.14,302 [271 - 347],86.36% [81.9% - 92.14%],305,91,582,07-13-2020
328,OH- CLEVELAND,84.24,370,329,412,80.97,87.04,370 [329 - 412],84.24% [80.97% - 87.04%],374,86,621,07-13-2020
329,OH- COLUMBUS,86.71,597,529,682,81.42,92.61,597 [529 - 682],86.71% [81.42% - 92.61%],600,127,1129,07-13-2020
330,OH- DAYTON,86.16,198,176,230,81.44,92.24,198 [176 - 230],86.16% [81.44% - 92.24%],201,47,400,07-13-2020
331,OH- ELYRIA,86.2,42,38,47,81.38,90.21,42 [38 - 47],86.2% [81.38% - 90.21%],44,10,74,07-13-2020
332,OH- KETTERING,86.54,72,64,84,81.64,92.8,72 [64 - 84],86.54% [81.64% - 92.8%],75,19,148,07-13-2020
334,OH- TOLEDO,83.85,159,142,180,80.88,87.07,159 [142 - 180],83.85% [80.88% - 87.07%],161,37,296,07-13-2020
