HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
1,AL- BIRMINGHAM,85.94,497,447,533,81.85,88.63,497 [447 - 533],85.94% [81.85% - 88.63%],501,156,729,07-13-2020
2,AL- DOTHAN,88.56,111,101,122,82.71,94.01,111 [101 - 122],88.56% [82.71% - 94.01%],113,36,186,07-13-2020
5,AL- HUNTSVILLE,88.12,147,134,157,83.03,90.96,147 [134 - 157],88.12% [83.03% - 90.96%],152,57,206,07-13-2020
6,AL- MOBILE,86.85,193,176,210,82.56,90.75,193 [176 - 210],86.85% [82.56% - 90.75%],195,73,307,07-13-2020
7,AL- MONTGOMERY,86.28,91,81,100,81.29,89.9,91 [81 - 100],86.28% [81.29% - 89.9%],97,20,153,07-13-2020
9,AL- TUSCALOOSA,86.2,56,51,61,81.6,89.12,56 [51 - 61],86.2% [81.6% - 89.12%],61,16,91,07-13-2020
11,AZ- MESA,97.08,334,304,359,86.21,104.9,334 [304 - 359],97.08% [86.21% - 104.9%],338,123,493,07-13-2020
12,AZ- PHOENIX,91.0,830,753,896,83.88,96.38,830 [753 - 896],91.0% [83.88% - 96.38%],833,294,1241,07-13-2020
14,AZ- SUN CITY,87.19,56,51,60,82.59,90.49,56 [51 - 60],87.19% [82.59% - 90.49%],58,21,85,07-13-2020
15,AZ- TUCSON,90.44,260,232,287,82.61,96.92,260 [232 - 287],90.44% [82.61% - 96.92%],263,66,427,07-13-2020
16,AR- FORT SMITH,85.05,63,57,69,81.25,88.12,63 [57 - 69],85.05% [81.25% - 88.12%],64,16,104,07-13-2020
18,AR- JONESBORO,84.58,38,35,41,81.77,86.31,38 [35 - 41],84.58% [81.77% - 86.31%],41,16,57,07-13-2020
19,AR- LITTLE ROCK,83.92,223,198,237,80.99,85.53,223 [198 - 237],83.92% [80.99% - 85.53%],226,57,319,07-13-2020
21,AR- SPRINGDALE,89.55,98,89,104,82.93,93.15,98 [89 - 104],89.55% [82.93% - 93.15%],100,31,139,07-13-2020
22,AR- TEXARKANA,87.24,68,63,73,83.27,90.31,68 [63 - 73],87.24% [83.27% - 90.31%],70,32,101,07-13-2020
23,CA- ORANGE CO.,87.2,547,488,589,81.83,90.82,547 [488 - 589],87.2% [81.83% - 90.82%],550,140,828,07-13-2020
25,CA- BAKERSFIELD,85.81,207,182,226,80.88,89.1,207 [182 - 226],85.81% [80.88% - 89.1%],209,32,329,07-13-2020
31,CA- CHICO,88.64,53,47,58,81.09,93.44,53 [47 - 58],88.64% [81.09% - 93.44%],55,7,86,07-13-2020
33,CA- CONTRA COSTA CO.,86.91,136,123,146,82.2,90.33,136 [123 - 146],86.91% [82.2% - 90.33%],138,44,207,07-13-2020
43,CA- FRESNO,89.78,220,193,241,81.36,95.59,220 [193 - 241],89.78% [81.36% - 95.59%],223,31,356,07-13-2020
56,CA- LOS ANGELES,86.46,1577,1402,1698,81.43,90.07,1577 [1402 - 1698],86.46% [81.43% - 90.07%],1602,355,2498,07-13-2020
58,CA- MODESTO,88.32,140,125,151,81.98,92.45,140 [125 - 151],88.32% [81.98% - 92.45%],143,34,214,07-13-2020
62,CA- NAPA,86.91,35,32,38,81.55,90.14,35 [32 - 38],86.91% [81.55% - 90.14%],40,9,59,07-13-2020
65,CA- ALAMEDA CO.,85.95,199,180,214,81.89,88.91,199 [180 - 214],85.95% [81.89% - 88.91%],201,64,301,07-13-2020
69,CA- PALM SPR/RANCHO MIR.,85.38,55,49,60,81.33,88.07,55 [49 - 60],85.38% [81.33% - 88.07%],56,14,85,07-13-2020
73,CA- REDDING,84.68,49,44,53,80.74,87.49,49 [44 - 53],84.68% [80.74% - 87.49%],50,8,81,07-13-2020
77,CA- SACRAMENTO,88.02,381,341,409,82.28,91.94,381 [341 - 409],88.02% [82.28% - 91.94%],383,109,571,07-13-2020
78,CA- SALINAS,87.42,56,51,60,81.89,90.97,56 [51 - 60],87.42% [81.89% - 90.97%],58,15,87,07-13-2020
79,CA- SAN BERNARDINO,89.31,535,476,576,82.28,94.03,535 [476 - 576],89.31% [82.28% - 94.03%],538,132,811,07-13-2020
80,CA- SAN DIEGO,88.51,595,529,641,82.12,92.87,595 [529 - 641],88.51% [82.12% - 92.87%],598,149,905,07-13-2020
81,CA- SAN FRANCISCO,83.51,173,157,186,81.12,85.24,173 [157 - 186],83.51% [81.12% - 85.24%],177,57,266,07-13-2020
82,CA- SAN JOSE,87.21,215,194,231,82.31,90.77,215 [194 - 231],87.21% [82.31% - 90.77%],218,70,326,07-13-2020
83,CA- SAN LUIS OBISPO,88.59,35,32,38,81.54,93.16,35 [32 - 38],88.59% [81.54% - 93.16%],39,7,60,07-13-2020
85,CA- SAN MATEO CO.,83.92,102,92,110,81.26,85.86,102 [92 - 110],83.92% [81.26% - 85.86%],105,34,158,07-13-2020
86,CA- SANTA BARBARA,87.58,70,63,76,81.45,91.59,70 [63 - 76],87.58% [81.45% - 91.59%],73,14,112,07-13-2020
87,CA- SANTA CRUZ,90.23,35,32,38,82.79,95.32,35 [32 - 38],90.23% [82.79% - 95.32%],36,10,55,07-13-2020
89,CA- SANTA ROSA,83.38,61,55,66,81.02,85.05,61 [55 - 66],83.38% [81.02% - 85.05%],62,19,94,07-13-2020
91,CA- STOCKTON,88.15,84,76,91,82.35,92.14,84 [76 - 91],88.15% [82.35% - 92.14%],86,25,129,07-13-2020
96,CA- VENTURA,88.83,135,120,146,82.03,93.35,135 [120 - 146],88.83% [82.03% - 93.35%],138,32,210,07-13-2020
101,CO- BOULDER,83.38,14,13,17,80.84,88.0,14 [13 - 17],83.38% [80.84% - 88.0%],16,4,38,07-13-2020
102,CO- COLORADO SPRINGS,83.5,35,32,46,80.87,90.72,35 [32 - 46],83.5% [80.87% - 90.72%],36,9,111,07-13-2020
103,CO- DENVER,82.99,139,124,170,80.75,87.18,139 [124 - 170],82.99% [80.75% - 87.18%],142,36,343,07-13-2020
104,CO- FORT COLLINS,83.92,21,20,25,81.41,87.98,21 [20 - 25],83.92% [81.41% - 87.98%],25,9,51,07-13-2020
105,CO- GRAND JUNCTION,81.93,14,12,18,80.0,85.05,14 [12 - 18],81.93% [80.0% - 85.05%],15,0,40,07-13-2020
106,CO- GREELEY,82.65,14,13,19,80.51,86.05,14 [13 - 19],82.65% [80.51% - 86.05%],20,4,47,07-13-2020
107,CO- PUEBLO,80.89,7,6,10,80.0,83.26,7 [6 - 10],80.89% [80.0% - 83.26%],7,0,26,07-13-2020
109,CT- BRIDGEPORT,80.83,14,14,18,80.41,82.18,14 [14 - 18],80.83% [80.41% - 82.18%],14,7,37,07-13-2020
110,CT- HARTFORD,80.65,21,20,34,80.25,83.35,21 [20 - 34],80.65% [80.25% - 83.35%],21,8,109,07-13-2020
111,CT- NEW HAVEN,80.78,28,26,38,80.31,82.39,28 [26 - 38],80.78% [80.31% - 82.39%],30,12,92,07-13-2020
112,DE- WILMINGTON,81.38,21,20,24,80.59,82.52,21 [20 - 24],81.38% [80.59% - 82.52%],25,11,47,07-13-2020
113,DC- WASHINGTON,81.98,105,97,114,80.91,83.08,105 [97 - 114],81.98% [80.91% - 83.08%],108,50,169,07-13-2020
115,FL- BRADENTON,102.37,155,139,169,87.19,115.12,155 [139 - 169],102.37% [87.19% - 115.12%],158,51,249,07-13-2020
116,FL- CLEARWATER,95.42,250,225,270,85.25,103.82,250 [225 - 270],95.42% [85.25% - 103.82%],252,86,390,07-13-2020
118,FL- FORT LAUDERDALE,96.36,1356,1218,1470,84.92,105.78,1356 [1218 - 1470],96.36% [84.92% - 105.78%],1422,428,2243,07-13-2020
119,FL- FORT MYERS,95.97,608,545,660,85.33,105.38,608 [545 - 660],95.97% [85.33% - 105.38%],610,204,971,07-13-2020
120,FL- GAINESVILLE,95.15,276,246,300,84.4,104.17,276 [246 - 300],95.15% [84.4% - 104.17%],278,81,445,07-13-2020
122,FL- HUDSON,96.53,202,182,219,85.51,105.64,202 [182 - 219],96.53% [85.51% - 105.64%],206,69,321,07-13-2020
123,FL- JACKSONVILLE,98.47,903,813,979,86.56,109.01,903 [813 - 979],98.47% [86.56% - 109.01%],907,322,1425,07-13-2020
124,FL- LAKELAND,99.79,209,188,226,86.65,110.43,209 [188 - 226],99.79% [86.65% - 110.43%],211,71,325,07-13-2020
127,FL- MIAMI,94.94,1534,1378,1666,84.48,103.7,1534 [1378 - 1666],94.94% [84.48% - 103.7%],1611,483,2555,07-13-2020
129,FL- OCALA,100.16,272,244,295,86.51,111.21,272 [244 - 295],100.16% [86.51% - 111.21%],275,89,427,07-13-2020
130,FL- ORLANDO,99.53,1957,1754,2118,85.28,110.39,1957 [1754 - 2118],99.53% [85.28% - 110.39%],2023,547,3149,07-13-2020
131,FL- ORMOND BEACH,92.1,195,175,212,83.93,98.92,195 [175 - 212],92.1% [83.93% - 98.92%],200,65,313,07-13-2020
133,FL- PANAMA CITY,98.9,120,107,130,84.82,108.92,120 [107 - 130],98.9% [84.82% - 108.92%],125,32,192,07-13-2020
134,FL- PENSACOLA,96.31,380,341,411,85.19,104.99,380 [341 - 411],96.31% [85.19% - 104.99%],383,122,587,07-13-2020
137,FL- SARASOTA,94.69,209,187,227,84.57,103.11,209 [187 - 227],94.69% [84.57% - 103.11%],212,66,334,07-13-2020
139,FL- ST PETERSBURG,92.83,202,182,219,84.32,99.84,202 [182 - 219],92.83% [84.32% - 99.84%],205,69,317,07-13-2020
140,FL- TALLAHASSEE,98.12,485,440,525,86.64,108.11,485 [440 - 525],98.12% [86.64% - 108.11%],488,179,758,07-13-2020
141,FL- TAMPA,97.49,741,665,801,86.03,107.04,741 [665 - 801],97.49% [86.03% - 107.04%],745,257,1152,07-13-2020
142,GA- ALBANY,90.15,105,96,116,84.23,97.03,105 [96 - 116],90.15% [84.23% - 97.03%],107,45,181,07-13-2020
144,GA- ATLANTA,113.45,4110,3832,4451,96.65,131.2,4110 [3832 - 4451],113.45% [96.65% - 131.2%],4007,1994,6133,07-13-2020
145,GA- AUGUSTA,94.67,357,330,384,87.17,102.32,357 [330 - 384],94.67% [87.17% - 102.32%],360,176,548,07-13-2020
146,GA- COLUMBUS,95.46,191,177,205,87.78,102.8,191 [177 - 205],95.46% [87.78% - 102.8%],194,98,287,07-13-2020
147,GA- MACON,101.95,487,446,527,89.44,113.63,487 [446 - 527],101.95% [89.44% - 113.63%],490,211,752,07-13-2020
148,GA- ROME,102.91,165,155,178,92.98,114.43,165 [155 - 178],102.91% [92.98% - 114.43%],167,95,252,07-13-2020
149,GA- SAVANNAH,105.63,525,481,566,90.98,119.12,525 [481 - 566],105.63% [90.98% - 119.12%],527,226,805,07-13-2020
151,ID- BOISE,89.56,195,175,213,82.7,94.93,195 [175 - 213],89.56% [82.7% - 94.93%],198,56,310,07-13-2020
152,ID- IDAHO FALLS,92.14,54,49,59,83.04,98.87,54 [49 - 59],92.14% [83.04% - 98.87%],55,14,87,07-13-2020
154,IL- AURORA,83.24,14,13,16,81.33,85.12,14 [13 - 16],83.24% [81.33% - 85.12%],17,7,27,07-13-2020
155,IL- BLUE ISLAND,81.43,34,32,37,80.63,82.25,34 [32 - 37],81.43% [80.63% - 82.25%],36,16,57,07-13-2020
