HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound,Last Update
256,MN- ST PAUL,82,364,362,365,01-22-2020
257,MS- GULFPORT,86,350,350,350,01-22-2020
258,MS- HATTIESBURG,84,371,371,371,01-22-2020
259,MS- JACKSON,82,848,839,848,01-22-2020
261,MS- OXFORD,80,0,0,0,01-22-2020
262,MS- TUPELO,80,105,105,105,01-22-2020
263,MO- CAPE GIRARDEAU,80,0,0,0,01-22-2020
264,MO- COLUMBIA,80,42,42,42,01-22-2020
267,MO- JOPLIN,80,0,0,0,01-22-2020
268,MO- KANSAS CITY,82,1342,1337,1342,01-22-2020
270,MO- SPRINGFIELD,80,84,84,84,01-22-2020
273,MO- ST LOUIS,80,706,705,706,01-22-2020
274,MT- BILLINGS,81,175,175,175,01-22-2020
275,MT- GREAT FALLS,80,35,35,35,01-22-2020
276,MT- MISSOULA,80,70,70,70,01-22-2020
277,NE- LINCOLN,82,329,329,329,01-22-2020
278,NE- OMAHA,84,1697,1695,1698,01-22-2020
279,NV- LAS VEGAS,86,1756,1754,1756,01-22-2020
280,NV- RENO,83,462,461,462,01-22-2020
281,NH- LEBANON,82,174,174,174,01-22-2020
282,NH- MANCHESTER,82,343,343,343,01-22-2020
283,NJ- CAMDEN,86,3480,3475,3480,01-22-2020
284,NJ- HACKENSACK,92,3048,3043,3048,01-22-2020
285,NJ- MORRISTOWN,95,2053,2052,2054,01-22-2020
288,NJ- NEW BRUNSWICK,90,1967,1965,1967,01-22-2020
289,NJ- NEWARK,89,3138,3135,3138,01-22-2020
291,NJ- PATERSON,90,808,807,808,01-22-2020
293,NM- ALBUQUERQUE,82,591,590,591,01-22-2020
295,NY- ALBANY,95,5107,5098,5107,01-22-2020
296,NY- BINGHAMTON,86,386,385,386,01-22-2020
297,NY- BRONX,104,5762,5757,5762,01-22-2020
299,NY- BUFFALO,84,1160,1158,1160,01-22-2020
300,NY- ELMIRA,84,325,324,325,01-22-2020
301,NY- EAST LONG ISLAND,107,19578,19559,19581,01-22-2020
304,NY- ROCHESTER,85,1190,1187,1190,01-22-2020
307,NY- SYRACUSE,84,927,927,927,01-22-2020
308,NY- WHITE PLAINS,102,4315,4304,4315,01-22-2020
309,NC- ASHEVILLE,80,42,42,42,01-22-2020
311,NC- CHARLOTTE,82,966,966,966,01-22-2020
312,NC- DURHAM,81,374,373,374,01-22-2020
313,NC- GREENSBORO,81,199,198,199,01-22-2020
314,NC- GREENVILLE,80,84,84,84,01-22-2020
315,NC- HICKORY,80,42,42,42,01-22-2020
318,NC- RALEIGH,82,854,852,854,01-22-2020
319,NC- WILMINGTON,80,84,84,84,01-22-2020
320,NC- WINSTON-SALEM,80,233,232,233,01-22-2020
321,ND- BISMARCK,81,91,91,91,01-22-2020
322,ND- FARGO MOORHEAD -MN,80,28,28,28,01-22-2020
323,ND- GRAND FORKS,80,0,0,0,01-22-2020
324,ND- MINOT,80,28,28,28,01-22-2020
325,OH- AKRON,85,861,857,861,01-22-2020
326,OH- CANTON,84,595,595,595,01-22-2020
327,OH- CINCINNATI,82,875,875,875,01-22-2020
328,OH- CLEVELAND,84,2725,2719,2725,01-22-2020
329,OH- COLUMBUS,81,1192,1188,1192,01-22-2020
330,OH- DAYTON,81,292,292,295,01-22-2020
331,OH- ELYRIA,87,350,341,350,01-22-2020
332,OH- KETTERING,82,231,231,231,01-22-2020
334,OH- TOLEDO,82,606,604,606,01-22-2020
335,OH- YOUNGSTOWN,83,596,596,596,01-22-2020
336,OK- LAWTON,80,0,0,0,01-22-2020
339,OK- OKLAHOMA CITY,82,1204,1204,1204,01-22-2020
340,OK- TULSA,81,385,383,385,01-22-2020
341,OR- BEND,82,71,69,71,01-22-2020
342,OR- EUGENE,82,217,217,217,01-22-2020
343,OR- MEDFORD,81,105,105,105,01-22-2020
