region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update,Type
1,AL- BIRMINGHAM,80.67,86,83,114,80.65,80.96,86 [83 - 114],80.67% [80.65% - 80.96%],57,55,81,04-14-2021,projected
2,AL- DOTHAN,80.0,0,0,1,80.0,80.3,0 [0 - 1],80.0% [80.0% - 80.3%],0,0,4,04-14-2021,projected
5,AL- HUNTSVILLE,81.06,23,21,29,80.59,81.06,23 [21 - 29],81.06% [80.59% - 81.06%],20,11,20,04-14-2021,projected
6,AL- MOBILE,80.56,16,15,19,80.39,80.6,16 [15 - 19],80.56% [80.39% - 80.6%],16,11,17,04-14-2021,projected
7,AL- MONTGOMERY,80.91,18,17,25,80.84,81.55,18 [17 - 25],80.91% [80.84% - 81.55%],14,13,24,04-14-2021,projected
9,AL- TUSCALOOSA,80.8,11,10,14,80.8,80.8,11 [10 - 14],80.8% [80.8% - 80.8%],8,8,8,04-14-2021,projected
11,AZ- MESA,83.59,122,118,128,82.93,84.6,122 [118 - 128],83.59% [82.93% - 84.6%],71,58,91,04-14-2021,projected
12,AZ- PHOENIX,82.51,326,315,345,82.03,83.38,326 [315 - 345],82.51% [82.03% - 83.38%],190,154,256,04-14-2021,projected
14,AZ- SUN CITY,81.36,21,20,22,81.11,81.6,21 [20 - 22],81.36% [81.11% - 81.6%],11,9,13,04-14-2021,projected
15,AZ- TUCSON,82.38,101,97,108,81.86,83.37,101 [97 - 108],82.38% [81.86% - 83.37%],60,47,85,04-14-2021,projected
16,AR- FORT SMITH,80.08,0,0,1,80.0,80.39,0 [0 - 1],80.08% [80.0% - 80.39%],1,0,5,04-14-2021,projected
18,AR- JONESBORO,80.77,14,14,14,80.77,80.77,14 [14 - 14],80.77% [80.77% - 80.77%],7,7,7,04-14-2021,projected
19,AR- LITTLE ROCK,80.47,43,40,47,80.28,80.68,43 [40 - 47],80.47% [80.28% - 80.68%],27,16,39,04-14-2021,projected
21,AR- SPRINGDALE,82.08,35,33,36,82.08,82.08,35 [33 - 36],82.08% [82.08% - 82.08%],22,22,22,04-14-2021,projected
22,AR- TEXARKANA,80.41,5,4,6,80.41,80.41,5 [4 - 6],80.41% [80.41% - 80.41%],4,4,4,04-14-2021,projected
23,CA- ORANGE CO.,80.97,129,124,135,80.76,81.28,129 [124 - 135],80.97% [80.76% - 81.28%],74,58,98,04-14-2021,projected
25,CA- BAKERSFIELD,80.77,46,44,48,80.66,80.94,46 [44 - 48],80.77% [80.66% - 80.94%],28,24,34,04-14-2021,projected
31,CA- CHICO,81.88,21,19,22,81.25,81.88,21 [19 - 22],81.88% [81.25% - 81.88%],12,8,12,04-14-2021,projected
33,CA- CONTRA COSTA CO.,81.9,63,61,65,81.7,82.0,63 [61 - 65],81.9% [81.7% - 82.0%],38,34,40,04-14-2021,projected
43,CA- FRESNO,81.62,57,55,62,81.4,82.01,57 [55 - 62],81.62% [81.4% - 82.01%],37,32,46,04-14-2021,projected
56,CA- LOS ANGELES,80.77,313,302,326,80.61,80.87,313 [302 - 326],80.77% [80.61% - 80.87%],190,152,215,04-14-2021,projected
58,CA- MODESTO,83.2,89,85,93,82.91,83.66,89 [85 - 93],83.2% [82.91% - 83.66%],55,50,63,04-14-2021,projected
62,CA- NAPA,81.2,14,14,16,81.2,81.37,14 [14 - 16],81.2% [81.2% - 81.37%],7,7,8,04-14-2021,projected
