HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
347,PA- ALTOONA,115.44,113,103,147,93.96,181.29,113 [103 - 147],115.44% [93.96% - 181.29%],246,97,704,10-20-2020
350,PA- DANVILLE,83.12,21,19,29,80.92,89.68,21 [19 - 29],83.12% [80.92% - 89.68%],47,14,147,10-20-2020
351,PA- ERIE,115.41,428,389,590,95.18,199.14,428 [389 - 590],115.41% [95.18% - 199.14%],788,338,2652,10-20-2020
352,PA- HARRISBURG,100.59,246,228,298,90.39,123.08,246 [228 - 298],100.59% [90.39% - 123.08%],471,238,987,10-20-2020
354,PA- JOHNSTOWN,97.78,67,62,81,88.11,116.08,67 [62 - 81],97.78% [88.11% - 116.08%],131,60,267,10-20-2020
355,PA- LANCASTER,88.53,49,46,57,84.11,96.2,49 [46 - 57],88.53% [84.11% - 96.2%],101,49,193,10-20-2020
356,PA- PHILADELPHIA,86.53,413,380,487,83.12,92.94,413 [380 - 487],86.53% [83.12% - 92.94%],813,388,1611,10-20-2020
357,PA- PITTSBURGH,96.11,969,885,1238,87.24,122.33,969 [885 - 1238],96.11% [87.24% - 122.33%],1880,845,4941,10-20-2020
358,PA- READING,102.3,166,154,198,91.38,125.08,166 [154 - 198],102.3% [91.38% - 125.08%],317,162,642,10-20-2020
359,PA- SAYRE,184.31,243,222,309,122.04,343.91,243 [222 - 309],184.31% [122.04% - 343.91%],491,198,1243,10-20-2020
360,PA- SCRANTON,117.22,165,152,211,97.8,171.38,165 [152 - 211],117.22% [97.8% - 171.38%],328,157,806,10-20-2020
362,PA- WILKES-BARRE,157.08,265,245,358,117.86,300.76,265 [245 - 358],157.08% [117.86% - 300.76%],504,248,1446,10-20-2020
363,PA- YORK,88.92,35,34,40,85.29,96.73,35 [34 - 40],88.92% [85.29% - 96.73%],74,44,139,10-20-2020
364,RI- PROVIDENCE,110.0,490,452,599,94.72,146.19,490 [452 - 599],110.0% [94.72% - 146.19%],939,461,2073,10-20-2020
365,SC- CHARLESTON,93.72,202,183,265,85.68,119.64,202 [183 - 265],93.72% [85.68% - 119.64%],408,169,1180,10-20-2020
366,SC- COLUMBIA,82.38,40,37,51,81.12,85.79,40 [37 - 51],82.38% [81.12% - 85.79%],89,42,217,10-20-2020
367,SC- FLORENCE,87.07,42,39,51,82.76,94.54,42 [39 - 51],87.07% [82.76% - 94.54%],94,37,195,10-20-2020
368,SC- GREENVILLE,87.14,79,73,94,83.47,93.88,79 [73 - 94],87.14% [83.47% - 93.88%],170,83,332,10-20-2020
369,SC- SPARTANBURG,87.68,35,33,44,83.96,97.53,35 [33 - 44],87.68% [83.96% - 97.53%],81,42,186,10-20-2020
370,SD- RAPID CITY,103.68,74,66,97,86.98,147.01,74 [66 - 97],103.68% [86.98% - 147.01%],162,48,461,10-20-2020
371,SD- SIOUX FALLS,102.67,282,246,400,83.93,158.44,282 [246 - 400],102.67% [83.93% - 158.44%],628,109,2176,10-20-2020
373,TN- CHATTANOOGA,85.73,63,56,77,81.78,92.99,63 [56 - 77],85.73% [81.78% - 92.99%],128,40,291,10-20-2020
