region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
1,AL- BIRMINGHAM,80.64,73,67,87,80.36,81.26,73 [67 - 87],80.64% [80.36% - 81.26%],54,30,106,02-16-2021
2,AL- DOTHAN,80.6,8,7,9,80.3,80.68,8 [7 - 9],80.6% [80.3% - 80.68%],8,4,9,02-16-2021
5,AL- HUNTSVILLE,81.22,28,26,32,80.64,81.76,28 [26 - 32],81.22% [80.64% - 81.76%],23,12,33,02-16-2021
6,AL- MOBILE,80.91,35,33,41,80.56,81.54,35 [33 - 41],80.91% [80.56% - 81.54%],26,16,44,02-16-2021
7,AL- MONTGOMERY,81.1,28,25,30,80.45,81.49,28 [25 - 30],81.1% [80.45% - 81.49%],17,7,23,02-16-2021
9,AL- TUSCALOOSA,80.9,14,13,15,80.7,81.9,14 [13 - 15],80.9% [80.7% - 81.9%],9,7,19,02-16-2021
11,AZ- MESA,81.62,43,40,47,80.96,82.27,43 [40 - 47],81.62% [80.96% - 82.27%],32,19,45,02-16-2021
12,AZ- PHOENIX,80.95,98,90,105,80.57,81.36,98 [90 - 105],80.95% [80.57% - 81.36%],72,43,103,02-16-2021
14,AZ- SUN CITY,80.74,7,6,8,80.37,80.99,7 [6 - 8],80.74% [80.37% - 80.99%],6,3,8,02-16-2021
15,AZ- TUCSON,80.67,19,16,21,80.32,80.87,19 [16 - 21],80.67% [80.32% - 80.87%],17,8,22,02-16-2021
16,AR- FORT SMITH,80.78,14,12,17,80.39,81.56,14 [12 - 17],80.78% [80.39% - 81.56%],10,5,20,02-16-2021
18,AR- JONESBORO,80.33,4,3,5,80.0,80.33,4 [3 - 5],80.33% [80.0% - 80.33%],3,0,3,02-16-2021
19,AR- LITTLE ROCK,80.74,64,57,70,80.31,81.18,64 [57 - 70],80.74% [80.31% - 81.18%],43,18,68,02-16-2021
21,AR- SPRINGDALE,81.14,17,15,19,80.66,81.8,17 [15 - 19],81.14% [80.66% - 81.8%],12,7,19,02-16-2021
22,AR- TEXARKANA,81.53,28,26,31,80.82,82.86,28 [26 - 31],81.53% [80.82% - 82.86%],15,8,28,02-16-2021
23,CA- ORANGE CO.,80.69,73,69,79,80.47,80.98,73 [69 - 79],80.69% [80.47% - 80.98%],53,36,75,02-16-2021
25,CA- BAKERSFIELD,81.22,62,58,67,80.8,81.71,62 [58 - 67],81.22% [80.8% - 81.71%],44,29,62,02-16-2021
31,CA- CHICO,80.31,7,6,7,80.16,80.78,7 [6 - 7],80.31% [80.16% - 80.78%],2,1,5,02-16-2021
33,CA- CONTRA COSTA CO.,80.7,20,18,21,80.45,80.95,20 [18 - 21],80.7% [80.45% - 80.95%],14,9,19,02-16-2021
43,CA- FRESNO,80.57,17,15,18,80.35,80.79,17 [15 - 18],80.57% [80.35% - 80.79%],13,8,18,02-16-2021
56,CA- LOS ANGELES,80.37,116,107,126,80.21,80.53,116 [107 - 126],80.37% [80.21% - 80.53%],92,53,132,02-16-2021
58,CA- MODESTO,81.34,29,27,32,80.81,81.8,29 [27 - 32],81.34% [80.81% - 81.8%],23,14,31,02-16-2021
62,CA- NAPA,80.86,7,6,7,80.86,81.03,7 [6 - 7],80.86% [80.86% - 81.03%],5,5,6,02-16-2021
65,CA- ALAMEDA CO.,80.5,23,21,25,80.3,80.71,23 [21 - 25],80.5% [80.3% - 80.71%],17,10,24,02-16-2021
69,CA- PALM SPR/RANCHO MIR.,80.28,2,1,3,80.09,80.38,2 [1 - 3],80.28% [80.09% - 80.38%],3,1,4,02-16-2021
73,CA- REDDING,80.37,7,6,8,80.0,80.55,7 [6 - 8],80.37% [80.0% - 80.55%],4,0,6,02-16-2021
77,CA- SACRAMENTO,80.67,44,41,49,80.44,81.05,44 [41 - 49],80.67% [80.44% - 81.05%],32,21,50,02-16-2021
78,CA- SALINAS,81.13,14,13,15,80.76,81.51,14 [13 - 15],81.13% [80.76% - 81.51%],9,6,12,02-16-2021
79,CA- SAN BERNARDINO,80.42,29,27,32,80.26,80.61,29 [27 - 32],80.42% [80.26% - 80.61%],24,15,35,02-16-2021
80,CA- SAN DIEGO,80.78,73,68,79,80.47,81.09,73 [68 - 79],80.78% [80.47% - 81.09%],55,33,77,02-16-2021
81,CA- SAN FRANCISCO,80.39,30,28,33,80.28,80.59,30 [28 - 33],80.39% [80.28% - 80.59%],20,14,30,02-16-2021
82,CA- SAN JOSE,80.5,19,18,21,80.33,80.69,19 [18 - 21],80.5% [80.33% - 80.69%],15,10,21,02-16-2021
83,CA- SAN LUIS OBISPO,80.44,5,4,6,80.0,80.44,5 [4 - 6],80.44% [80.0% - 80.44%],2,0,2,02-16-2021
85,CA- SAN MATEO CO.,80.33,9,8,11,80.22,80.41,9 [8 - 11],80.33% [80.22% - 80.41%],9,6,11,02-16-2021
86,CA- SANTA BARBARA,80.83,9,8,11,80.52,81.14,9 [8 - 11],80.83% [80.52% - 81.14%],8,5,11,02-16-2021
87,CA- SANTA CRUZ,80.84,7,6,7,80.56,80.84,7 [6 - 7],80.84% [80.56% - 80.84%],3,2,3,02-16-2021
89,CA- SANTA ROSA,80.16,7,6,7,80.16,80.21,7 [6 - 7],80.16% [80.16% - 80.21%],3,3,4,02-16-2021
91,CA- STOCKTON,80.56,7,7,8,80.28,80.75,7 [7 - 8],80.56% [80.28% - 80.75%],6,3,8,02-16-2021
96,CA- VENTURA,80.95,21,19,23,80.57,81.4,21 [19 - 23],80.95% [80.57% - 81.4%],15,9,22,02-16-2021
101,CO- BOULDER,83.37,28,26,31,82.11,85.47,28 [26 - 31],83.37% [82.11% - 85.47%],16,10,26,02-16-2021
102,CO- COLORADO SPRINGS,83.48,59,55,68,82.13,86.67,59 [55 - 68],83.48% [82.13% - 86.67%],36,22,69,02-16-2021
103,CO- DENVER,81.99,150,141,163,81.3,83.06,150 [141 - 163],81.99% [81.3% - 83.06%],95,62,146,02-16-2021
104,CO- FORT COLLINS,81.1,9,8,10,80.47,81.41,9 [8 - 10],81.1% [80.47% - 81.41%],7,3,9,02-16-2021
105,CO- GRAND JUNCTION,81.39,21,19,24,80.76,82.65,21 [19 - 24],81.39% [80.76% - 82.65%],11,6,21,02-16-2021
106,CO- GREELEY,81.03,14,13,15,80.64,81.67,14 [13 - 15],81.03% [80.64% - 81.67%],8,5,13,02-16-2021
107,CO- PUEBLO,88.02,108,97,157,82.63,112.33,108 [97 - 157],88.02% [82.63% - 112.33%],64,21,258,02-16-2021
109,CT- BRIDGEPORT,81.18,26,24,28,80.71,81.65,26 [24 - 28],81.18% [80.71% - 81.65%],20,12,28,02-16-2021
110,CT- HARTFORD,81.11,49,45,52,80.68,81.44,49 [45 - 52],81.11% [80.68% - 81.44%],36,22,47,02-16-2021
111,CT- NEW HAVEN,81.17,62,58,68,80.7,81.66,62 [58 - 68],81.17% [80.7% - 81.66%],45,27,64,02-16-2021
112,DE- WILMINGTON,82.09,54,51,60,81.34,83.22,54 [51 - 60],82.09% [81.34% - 83.22%],39,25,60,02-16-2021
113,DC- WASHINGTON,81.6,128,119,139,81.04,82.22,128 [119 - 139],81.6% [81.04% - 82.22%],88,57,122,02-16-2021
115,FL- BRADENTON,83.39,38,36,42,82.4,85.36,38 [36 - 42],83.39% [82.4% - 85.36%],24,17,38,02-16-2021
116,FL- CLEARWATER,81.16,31,29,33,80.73,81.71,31 [29 - 33],81.16% [80.73% - 81.71%],19,12,28,02-16-2021
118,FL- FORT LAUDERDALE,82.48,335,314,359,81.54,83.56,335 [314 - 359],82.48% [81.54% - 83.56%],216,134,310,02-16-2021
119,FL- FORT MYERS,81.18,64,59,70,80.68,81.73,64 [59 - 70],81.18% [80.68% - 81.73%],45,26,66,02-16-2021
120,FL- GAINESVILLE,80.65,14,14,20,80.33,81.68,14 [14 - 20],80.65% [80.33% - 81.68%],12,6,31,02-16-2021
122,FL- HUDSON,81.6,31,29,33,81.04,82.4,31 [29 - 33],81.6% [81.04% - 82.4%],20,13,30,02-16-2021
123,FL- JACKSONVILLE,81.45,112,103,121,80.86,82.16,112 [103 - 121],81.45% [80.86% - 82.16%],71,42,106,02-16-2021
124,FL- LAKELAND,83.09,52,49,56,82.06,84.59,52 [49 - 56],83.09% [82.06% - 84.59%],33,22,49,02-16-2021
127,FL- MIAMI,82.95,483,454,521,81.87,84.29,483 [454 - 521],82.95% [81.87% - 84.29%],318,202,463,02-16-2021
129,FL- OCALA,82.27,48,45,53,81.54,83.36,48 [45 - 53],82.27% [81.54% - 83.36%],31,21,46,02-16-2021
130,FL- ORLANDO,81.86,290,272,315,81.24,82.78,290 [272 - 315],81.86% [81.24% - 82.78%],193,128,288,02-16-2021
131,FL- ORMOND BEACH,81.03,21,19,24,80.6,81.45,21 [19 - 24],81.03% [80.6% - 81.45%],17,10,24,02-16-2021
