HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Last Update
1,AL- BIRMINGHAM,83,183,163,207,79.68,86.32,04-27-2020
2,AL- DOTHAN,80,0,0,0,76.8,83.2,04-27-2020
5,AL- HUNTSVILLE,82,19,18,25,78.72,85.28,04-27-2020
6,AL- MOBILE,83,44,42,49,79.68,86.32,04-27-2020
7,AL- MONTGOMERY,81,7,7,12,77.76,84.24,04-27-2020
9,AL- TUSCALOOSA,82,7,7,8,78.72,85.28,04-27-2020
11,AZ- MESA,87,79,72,87,83.52,90.48,04-27-2020
12,AZ- PHOENIX,84,183,169,206,80.64,87.36,04-27-2020
14,AZ- SUN CITY,83,10,9,11,79.68,86.32,04-27-2020
15,AZ- TUCSON,82,33,30,38,78.72,85.28,04-27-2020
16,AR- FORT SMITH,80,0,0,0,76.8,83.2,04-27-2020
18,AR- JONESBORO,80,0,0,0,76.8,83.2,04-27-2020
19,AR- LITTLE ROCK,82,86,78,94,78.72,85.28,04-27-2020
21,AR- SPRINGDALE,80,3,2,5,76.8,83.2,04-27-2020
22,AR- TEXARKANA,80,0,0,0,76.8,83.2,04-27-2020
23,CA- ORANGE CO.,86,281,257,311,82.56,89.44,04-27-2020
25,CA- BAKERSFIELD,82,42,39,48,78.72,85.28,04-27-2020
31,CA- CHICO,82,7,6,8,78.72,85.28,04-27-2020
33,CA- CONTRA COSTA CO.,102,234,215,258,97.92,106.08,04-27-2020
43,CA- FRESNO,84,49,44,53,80.64,87.36,04-27-2020
56,CA- LOS ANGELES,86,845,775,935,82.56,89.44,04-27-2020
58,CA- MODESTO,90,93,85,104,86.4,93.6,04-27-2020
62,CA- NAPA,92,42,38,44,88.32,95.68,04-27-2020
65,CA- ALAMEDA CO.,101,368,339,406,96.96,105.04,04-27-2020
69,CA- PALM SPR/RANCHO MIR.,84,21,19,23,80.64,87.36,04-27-2020
73,CA- REDDING,85,21,19,22,81.6,88.4,04-27-2020
77,CA- SACRAMENTO,93,324,295,360,89.28,96.72,04-27-2020
78,CA- SALINAS,93,51,47,56,89.28,96.72,04-27-2020
79,CA- SAN BERNARDINO,87,231,211,257,83.52,90.48,04-27-2020
80,CA- SAN DIEGO,90,381,349,422,86.4,93.6,04-27-2020
81,CA- SAN FRANCISCO,92,328,303,361,88.32,95.68,04-27-2020
82,CA- SAN JOSE,108,443,409,487,103.68,112.32,04-27-2020
83,CA- SAN LUIS OBISPO,91,21,19,24,87.36,94.64,04-27-2020
85,CA- SAN MATEO CO.,95,209,193,230,91.2,98.8,04-27-2020
86,CA- SANTA BARBARA,87,35,33,39,83.52,90.48,04-27-2020
87,CA- SANTA CRUZ,109,54,50,59,104.64,113.36,04-27-2020
89,CA- SANTA ROSA,88,84,77,92,84.48,91.52,04-27-2020
91,CA- STOCKTON,96,92,83,101,92.16,99.84,04-27-2020
96,CA- VENTURA,88,69,63,76,84.48,91.52,04-27-2020
101,CO- BOULDER,96,35,32,39,92.16,99.84,04-27-2020
102,CO- COLORADO SPRINGS,90,56,52,64,86.4,93.6,04-27-2020
103,CO- DENVER,95,370,340,413,91.2,98.8,04-27-2020
104,CO- FORT COLLINS,88,28,26,31,84.48,91.52,04-27-2020
105,CO- GRAND JUNCTION,97,64,60,71,93.12,100.88,04-27-2020
106,CO- GREELEY,88,32,29,36,84.48,91.52,04-27-2020
107,CO- PUEBLO,81,7,6,8,77.76,84.24,04-27-2020
110,CT- HARTFORD,93,236,217,263,89.28,96.72,04-27-2020
111,CT- NEW HAVEN,103,476,438,521,98.88,107.12,04-27-2020
112,DE- WILMINGTON,89,94,85,103,85.44,92.56,04-27-2020
113,DC- WASHINGTON,97,487,443,540,93.12,100.88,04-27-2020
115,FL- BRADENTON,86,21,20,24,82.56,89.44,04-27-2020
116,FL- CLEARWATER,84,34,32,38,80.64,87.36,04-27-2020
118,FL- FORT LAUDERDALE,87,324,297,358,83.52,90.48,04-27-2020
119,FL- FORT MYERS,85,106,98,119,81.6,88.4,04-27-2020
120,FL- GAINESVILLE,83,31,28,35,79.68,86.32,04-27-2020
122,FL- HUDSON,83,22,21,25,79.68,86.32,04-27-2020
123,FL- JACKSONVILLE,83,82,75,92,79.68,86.32,04-27-2020
124,FL- LAKELAND,84,25,23,28,80.64,87.36,04-27-2020
127,FL- MIAMI,87,416,382,458,83.52,90.48,04-27-2020
129,FL- OCALA,84,28,27,31,80.64,87.36,04-27-2020
130,FL- ORLANDO,84,242,220,268,80.64,87.36,04-27-2020
131,FL- ORMOND BEACH,83,28,26,30,79.68,86.32,04-27-2020
133,FL- PANAMA CITY,80,0,0,1,76.8,83.2,04-27-2020
134,FL- PENSACOLA,82,26,24,31,78.72,85.28,04-27-2020
137,FL- SARASOTA,83,26,24,29,79.68,86.32,04-27-2020
139,FL- ST PETERSBURG,83,27,25,30,79.68,86.32,04-27-2020
140,FL- TALLAHASSEE,81,21,18,27,77.76,84.24,04-27-2020
141,FL- TAMPA,84,103,95,114,80.64,87.36,04-27-2020
142,GA- ALBANY,95,77,70,85,91.2,98.8,04-27-2020
144,GA- ATLANTA,97,1066,976,1184,93.12,100.88,04-27-2020
145,GA- AUGUSTA,83,35,30,37,79.68,86.32,04-27-2020
146,GA- COLUMBUS,82,14,14,18,78.72,85.28,04-27-2020
147,GA- MACON,82,28,24,32,78.72,85.28,04-27-2020
148,GA- ROME,96,56,50,60,92.16,99.84,04-27-2020
149,GA- SAVANNAH,83,28,25,31,79.68,86.32,04-27-2020
154,IL- AURORA,97,42,39,46,93.12,100.88,04-27-2020
155,IL- BLUE ISLAND,88,111,102,122,84.48,91.52,04-27-2020
156,IL- CHICAGO,88,379,348,417,84.48,91.52,04-27-2020
158,IL- ELGIN,99,105,96,116,95.04,102.96,04-27-2020
161,IL- EVANSTON,92,149,137,164,88.32,95.68,04-27-2020
163,IL- HINSDALE,92,67,62,74,88.32,95.68,04-27-2020
164,IL- JOLIET,93,94,87,103,89.28,96.72,04-27-2020
166,IL- MELROSE PARK,92,195,180,215,88.32,95.68,04-27-2020
170,IL- PEORIA,81,14,12,16,77.76,84.24,04-27-2020
171,IL- ROCKFORD,84,37,34,44,80.64,87.36,04-27-2020
172,IL- SPRINGFIELD,80,7,6,8,76.8,83.2,04-27-2020
173,IL- URBANA,80,4,3,5,76.8,83.2,04-27-2020
