HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
440,WA- SPOKANE,80.61,7,7,14,80.21,83.25,7 [7 - 14],80.61% [80.21% - 83.25%],22,8,122,05-26-2020
441,WA- TACOMA,81.61,7,7,10,80.41,85.3,7 [7 - 10],81.61% [80.41% - 85.3%],19,5,65,05-26-2020
442,WA- YAKIMA,80.5,0,0,1,80.0,82.42,0 [0 - 1],80.5% [80.0% - 82.42%],2,0,14,05-26-2020
443,WV- CHARLESTON,81.96,21,19,43,80.37,90.93,21 [19 - 43],81.96% [80.37% - 90.93%],47,9,265,05-26-2020
444,WV- HUNTINGTON,80.57,0,0,8,80.0,85.64,0 [0 - 8],80.57% [80.0% - 85.64%],9,0,93,05-26-2020
445,WV- MORGANTOWN,82.31,19,15,32,80.0,90.89,19 [15 - 32],82.31% [80.0% - 90.89%],40,0,192,05-26-2020
446,WI- APPLETON,90.29,30,26,44,82.11,118.57,30 [26 - 44],90.29% [82.11% - 118.57%],63,13,238,05-26-2020
447,WI- GREEN BAY,85.22,41,37,60,80.87,98.68,41 [37 - 60],85.22% [80.87% - 98.68%],83,14,299,05-26-2020
448,WI- LA CROSSE,88.87,42,37,56,81.36,107.12,42 [37 - 56],88.87% [81.36% - 107.12%],84,13,259,05-26-2020
449,WI- MADISON,91.85,180,161,223,83.19,111.37,180 [161 - 223],91.85% [83.19% - 111.37%],356,96,944,05-26-2020
450,WI- MARSHFIELD,84.07,24,21,36,80.34,96.13,24 [21 - 36],84.07% [80.34% - 96.13%],47,4,190,05-26-2020
451,WI- MILWAUKEE,89.86,411,370,504,82.95,105.52,411 [370 - 504],89.86% [82.95% - 105.52%],813,243,2105,05-26-2020
452,WI- NEENAH,90.66,28,25,38,82.15,114.41,28 [25 - 38],90.66% [82.15% - 114.41%],59,12,192,05-26-2020
456,WI- WAUSAU,83.63,7,7,13,80.71,94.69,7 [7 - 13],83.63% [80.71% - 94.69%],20,4,83,05-26-2020
457,WY- CASPER,81.43,0,0,2,80.0,84.42,0 [0 - 2],81.43% [80.0% - 84.42%],10,0,31,05-26-2020
303,NY- NEW YORK,84.89,336,295,446,81.22,95.03,336 [295 - 446],84.89% [81.22% - 95.03%],760,189,2336,05-26-2020
