HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
118,FL- FORT LAUDERDALE,86.23,538,484,558,82.44,87.43,538 [484 - 558],86.23% [82.44% - 87.43%],542,212,646,08-04-2020
119,FL- FORT MYERS,86.38,240,215,250,82.22,87.66,240 [215 - 250],86.38% [82.22% - 87.66%],244,85,293,08-04-2020
120,FL- GAINESVILLE,85.95,105,94,110,81.79,87.28,105 [94 - 110],85.95% [81.79% - 87.28%],109,33,134,08-04-2020
122,FL- HUDSON,86.57,79,71,82,82.24,87.91,79 [71 - 82],86.57% [82.24% - 87.91%],82,28,99,08-04-2020
123,FL- JACKSONVILLE,86.53,317,284,338,82.16,89.14,317 [284 - 338],86.53% [82.16% - 89.14%],320,106,449,08-04-2020
124,FL- LAKELAND,87.86,80,72,84,82.81,89.46,80 [72 - 84],87.86% [82.81% - 89.46%],83,30,101,08-04-2020
127,FL- MIAMI,85.65,606,545,629,82.23,86.75,606 [545 - 629],85.65% [82.23% - 86.75%],609,240,728,08-04-2020
129,FL- OCALA,88.02,106,95,111,82.7,89.72,106 [95 - 111],88.02% [82.7% - 89.72%],109,37,133,08-04-2020
130,FL- ORLANDO,87.48,772,691,806,82.6,89.11,772 [691 - 806],87.48% [82.6% - 89.11%],775,269,944,08-04-2020
131,FL- ORMOND BEACH,84.8,76,69,80,81.63,85.74,76 [69 - 80],84.8% [81.63% - 85.74%],79,27,95,08-04-2020
133,FL- PANAMA CITY,87.18,44,40,47,82.11,89.49,44 [40 - 47],87.18% [82.11% - 89.49%],47,14,63,08-04-2020
134,FL- PENSACOLA,87.15,165,150,170,82.94,88.39,165 [150 - 170],87.15% [82.94% - 88.39%],168,69,197,08-04-2020
137,FL- SARASOTA,85.84,81,73,85,81.94,87.06,81 [73 - 85],85.84% [81.94% - 87.06%],84,28,102,08-04-2020
139,FL- ST PETERSBURG,85.1,79,71,82,81.81,86.13,79 [71 - 82],85.1% [81.81% - 86.13%],81,29,98,08-04-2020
140,FL- TALLAHASSEE,85.05,132,117,149,81.15,89.23,132 [117 - 149],85.05% [81.15% - 89.23%],136,31,249,08-04-2020
141,FL- TAMPA,86.95,292,263,305,82.54,88.38,292 [263 - 305],86.95% [82.54% - 88.38%],296,108,357,08-04-2020
142,GA- ALBANY,82.27,21,19,24,80.47,84.42,21 [19 - 24],82.27% [80.47% - 84.42%],24,5,47,08-04-2020
144,GA- ATLANTA,89.13,1211,1106,1353,84.2,96.89,1211 [1106 - 1353],89.13% [84.2% - 96.89%],1093,503,2023,08-04-2020
145,GA- AUGUSTA,85.27,126,113,146,81.71,90.63,126 [113 - 146],85.27% [81.71% - 90.63%],129,42,261,08-04-2020
146,GA- COLUMBUS,85.77,70,65,78,82.94,89.85,70 [65 - 78],85.77% [82.94% - 89.85%],72,37,124,08-04-2020
147,GA- MACON,83.98,86,75,114,81.12,92.43,86 [75 - 114],83.98% [81.12% - 92.43%],88,25,278,08-04-2020
148,GA- ROME,87.16,48,45,53,82.87,91.34,48 [45 - 53],87.16% [82.87% - 91.34%],52,21,83,08-04-2020
149,GA- SAVANNAH,86.99,139,127,167,82.62,95.99,139 [127 - 167],86.99% [82.62% - 95.99%],143,54,329,08-04-2020
151,ID- BOISE,84.06,81,73,98,81.11,88.86,81 [73 - 98],84.06% [81.11% - 88.86%],84,23,184,08-04-2020
152,ID- IDAHO FALLS,84.8,18,17,23,81.52,91.5,18 [17 - 23],84.8% [81.52% - 91.5%],22,7,53,08-04-2020
154,IL- AURORA,84.26,21,20,24,81.52,88.92,21 [20 - 24],84.26% [81.52% - 88.92%],22,8,47,08-04-2020
155,IL- BLUE ISLAND,81.9,45,41,53,80.75,83.98,45 [41 - 53],81.9% [80.75% - 83.98%],48,19,101,08-04-2020
156,IL- CHICAGO,81.88,158,144,184,80.76,83.97,158 [144 - 184],81.88% [80.76% - 83.97%],160,65,340,08-04-2020
158,IL- ELGIN,84.49,45,41,53,81.84,89.48,45 [41 - 53],84.49% [81.84% - 89.48%],48,20,103,08-04-2020
161,IL- EVANSTON,82.67,61,56,72,81.08,85.59,61 [56 - 72],82.67% [81.08% - 85.59%],64,26,135,08-04-2020
163,IL- HINSDALE,82.83,28,26,33,81.09,86.0,28 [26 - 33],82.83% [81.09% - 86.0%],31,12,66,08-04-2020
164,IL- JOLIET,83.3,41,38,49,81.21,87.47,41 [38 - 49],83.3% [81.21% - 87.47%],43,16,99,08-04-2020
166,IL- MELROSE PARK,82.78,82,75,96,81.13,85.88,82 [75 - 96],82.78% [81.13% - 85.88%],85,35,182,08-04-2020
170,IL- PEORIA,81.93,31,28,43,80.43,86.19,31 [28 - 43],81.93% [80.43% - 86.19%],35,8,115,08-04-2020
171,IL- ROCKFORD,83.24,44,40,54,81.05,87.51,44 [40 - 54],83.24% [81.05% - 87.51%],49,16,115,08-04-2020
172,IL- SPRINGFIELD,81.66,40,35,56,80.2,85.66,40 [35 - 56],81.66% [80.2% - 85.66%],42,5,144,08-04-2020
