HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Last Update
172,IL- SPRINGFIELD,80,7,6,10,76.8,83.2,04-27-2020
173,IL- URBANA,81,7,6,11,77.76,84.24,04-27-2020
175,IL- BLOOMINGTON,86,7,6,9,82.56,89.44,04-27-2020
179,IN- EVANSVILLE,80,7,6,17,76.8,83.2,04-27-2020
180,IN- FORT WAYNE,81,16,15,33,77.76,84.24,04-27-2020
181,IN- GARY,91,88,79,104,87.36,94.64,04-27-2020
183,IN- INDIANAPOLIS,88,307,273,367,84.48,91.52,04-27-2020
184,IN- LAFAYETTE,83,15,14,18,79.68,86.32,04-27-2020
185,IN- MUNCIE,84,7,6,9,80.64,87.36,04-27-2020
186,IN- MUNSTER,89,54,49,64,85.44,92.56,04-27-2020
187,IN- SOUTH BEND,85,49,44,60,81.6,88.4,04-27-2020
188,IN- TERRE HAUTE,82,7,6,8,78.72,85.28,04-27-2020
191,IA- DAVENPORT,81,14,12,21,77.76,84.24,04-27-2020
192,IA- DES MOINES,84,71,62,91,80.64,87.36,04-27-2020
193,IA- DUBUQUE,83,7,6,10,79.68,86.32,04-27-2020
194,IA- IOWA CITY,85,51,46,62,81.6,88.4,04-27-2020
195,IA- MASON CITY,80,0,0,1,76.8,83.2,04-27-2020
196,IA- SIOUX CITY,81,7,6,10,77.76,84.24,04-27-2020
197,IA- WATERLOO,83,7,6,12,79.68,86.32,04-27-2020
200,KS- TOPEKA,83,21,18,31,79.68,86.32,04-27-2020
201,KS- WICHITA,81,50,45,67,77.76,84.24,04-27-2020
203,KY- COVINGTON,110,183,162,226,105.6,114.4,04-27-2020
204,KY- LEXINGTON,100,591,521,749,96.0,104.0,04-27-2020
205,KY- LOUISVILLE,107,723,641,849,102.72,111.28,04-27-2020
207,KY- OWENSBORO,101,49,42,56,96.96,105.04,04-27-2020
208,KY- PADUCAH,80,0,0,22,76.8,83.2,04-27-2020
209,LA- ALEXANDRIA,83,16,14,21,79.68,86.32,04-27-2020
210,LA- BATON ROUGE,103,313,282,362,98.88,107.12,04-27-2020
212,LA- HOUMA,106,93,85,107,101.76,110.24,04-27-2020
213,LA- LAFAYETTE,87,82,71,98,83.52,90.48,04-27-2020
214,LA- LAKE CHARLES,83,14,13,19,79.68,86.32,04-27-2020
216,LA- METAIRIE,138,295,270,326,132.48,143.52,04-27-2020
217,LA- MONROE,82,7,6,9,78.72,85.28,04-27-2020
218,LA- NEW ORLEANS,118,462,425,507,113.28,122.72,04-27-2020
219,LA- SHREVEPORT,84,67,61,80,80.64,87.36,04-27-2020
221,ME- BANGOR,82,11,10,13,78.72,85.28,04-27-2020
222,ME- PORTLAND,88,120,108,137,84.48,91.52,04-27-2020
223,MD- BALTIMORE,100,786,702,938,96.0,104.0,04-27-2020
225,MD- SALISBURY,91,57,49,74,87.36,94.64,04-27-2020
226,MD- TAKOMA PARK,127,327,294,386,121.92,132.08,04-27-2020
227,MA- BOSTON,108,1722,1555,1995,103.68,112.32,04-27-2020
230,MA- SPRINGFIELD,103,204,184,238,98.88,107.12,04-27-2020
231,MA- WORCESTER,110,272,245,314,105.6,114.4,04-27-2020
232,MI- ANN ARBOR,95,217,195,258,91.2,98.8,04-27-2020
233,MI- DEARBORN,92,85,76,101,88.32,95.68,04-27-2020
234,MI- DETROIT,94,293,263,347,90.24,97.76,04-27-2020
235,MI- FLINT,91,64,57,77,87.36,94.64,04-27-2020
238,MI- KALAMAZOO,82,14,12,22,78.72,85.28,04-27-2020
239,MI- LANSING,86,49,44,60,82.56,89.44,04-27-2020
240,MI- MARQUETTE,80,0,0,0,76.8,83.2,04-27-2020
242,MI- MUSKEGON,84,7,6,8,80.64,87.36,04-27-2020
243,MI- PETOSKEY,80,0,0,0,76.8,83.2,04-27-2020
244,MI- PONTIAC,95,74,66,88,91.2,98.8,04-27-2020
245,MI- ROYAL OAK,91,127,114,151,87.36,94.64,04-27-2020
246,MI- SAGINAW,82,15,12,22,78.72,85.28,04-27-2020
248,MI- ST JOSEPH,84,0,0,1,80.64,87.36,04-27-2020
249,MI- TRAVERSE CITY,80,0,0,1,76.8,83.2,04-27-2020
250,MN- DULUTH,81,7,6,8,77.76,84.24,04-27-2020
251,MN- MINNEAPOLIS,89,462,415,540,85.44,92.56,04-27-2020
253,MN- ROCHESTER,84,66,56,77,80.64,87.36,04-27-2020
254,MN- ST CLOUD,88,30,27,34,84.48,91.52,04-27-2020
256,MN- ST PAUL,93,166,149,193,89.28,96.72,04-27-2020
257,MS- GULFPORT,113,139,127,159,108.48,117.52,04-27-2020
258,MS- HATTIESBURG,98,121,109,152,94.08,101.92,04-27-2020
259,MS- JACKSON,97,435,380,509,93.12,100.88,04-27-2020
261,MS- OXFORD,92,39,32,47,88.32,95.68,04-27-2020
262,MS- TUPELO,89,85,73,109,85.44,92.56,04-27-2020
263,MO- CAPE GIRARDEAU,80,0,0,1,76.8,83.2,04-27-2020
264,MO- COLUMBIA,82,21,19,27,78.72,85.28,04-27-2020
267,MO- JOPLIN,80,0,0,1,76.8,83.2,04-27-2020
268,MO- KANSAS CITY,88,381,339,459,84.48,91.52,04-27-2020
270,MO- SPRINGFIELD,82,23,20,32,78.72,85.28,04-27-2020
273,MO- ST LOUIS,83,198,175,241,79.68,86.32,04-27-2020
274,MT- BILLINGS,83,43,38,52,79.68,86.32,04-27-2020
275,MT- GREAT FALLS,81,0,0,0,77.76,84.24,04-27-2020
276,MT- MISSOULA,84,24,21,27,80.64,87.36,04-27-2020
277,NE- LINCOLN,88,87,78,105,84.48,91.52,04-27-2020
278,NE- OMAHA,94,423,378,487,90.24,97.76,04-27-2020
279,NV- LAS VEGAS,106,570,515,656,101.76,110.24,04-27-2020
280,NV- RENO,92,125,112,148,88.32,95.68,04-27-2020
281,NH- LEBANON,88,37,32,45,84.48,91.52,04-27-2020
282,NH- MANCHESTER,88,85,77,98,84.48,91.52,04-27-2020
283,NJ- CAMDEN,101,942,851,1086,96.96,105.04,04-27-2020
