HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Last Update
354,PA- JOHNSTOWN,80.01,0,0,0,80.0,81.22,0 [0 - 0],80.01% [80.0% - 81.22%],05-18-2020
355,PA- LANCASTER,82.29,7,7,12,81.01,87.47,7 [7 - 12],82.29% [81.01% - 87.47%],05-18-2020
356,PA- PHILADELPHIA,82.07,121,110,152,80.76,85.53,121 [110 - 152],82.07% [80.76% - 85.53%],05-18-2020
357,PA- PITTSBURGH,80.4,21,19,33,80.08,81.82,21 [19 - 33],80.4% [80.08% - 81.82%],05-18-2020
358,PA- READING,81.61,7,7,12,80.77,85.9,7 [7 - 12],81.61% [80.77% - 85.9%],05-18-2020
359,PA- SAYRE,80.0,0,0,1,80.0,84.67,0 [0 - 1],80.0% [80.0% - 84.67%],05-18-2020
360,PA- SCRANTON,81.3,0,0,3,80.0,84.99,0 [0 - 3],81.3% [80.0% - 84.99%],05-18-2020
362,PA- WILKES-BARRE,81.15,0,0,2,80.0,84.58,0 [0 - 2],81.15% [80.0% - 84.58%],05-18-2020
363,PA- YORK,86.17,24,22,29,82.65,93.96,24 [22 - 29],86.17% [82.65% - 93.96%],05-18-2020
364,RI- PROVIDENCE,89.71,147,131,182,82.46,105.38,147 [131 - 182],89.71% [82.46% - 105.38%],05-18-2020
365,SC- CHARLESTON,84.77,70,64,100,81.81,98.04,70 [64 - 100],84.77% [81.81% - 98.04%],05-18-2020
366,SC- COLUMBIA,85.92,105,95,148,81.79,101.8,105 [95 - 148],85.92% [81.79% - 101.8%],05-18-2020
367,SC- FLORENCE,83.0,14,13,24,80.89,92.98,14 [13 - 24],83.0% [80.89% - 92.98%],05-18-2020
368,SC- GREENVILLE,85.15,56,51,79,81.84,97.73,56 [51 - 79],85.15% [81.84% - 97.73%],05-18-2020
369,SC- SPARTANBURG,84.91,21,19,30,81.23,95.27,21 [19 - 30],84.91% [81.23% - 95.27%],05-18-2020
370,SD- RAPID CITY,83.64,7,6,9,80.0,85.23,7 [6 - 9],83.64% [80.0% - 85.23%],05-18-2020
371,SD- SIOUX FALLS,83.57,52,46,85,80.9,99.68,52 [46 - 85],83.57% [80.9% - 99.68%],05-18-2020
373,TN- CHATTANOOGA,83.19,35,32,45,80.67,88.75,35 [32 - 45],83.19% [80.67% - 88.75%],05-18-2020
374,TN- JACKSON,80.54,0,0,5,80.0,84.96,0 [0 - 5],80.54% [80.0% - 84.96%],05-18-2020
375,TN- JOHNSON CITY,81.8,7,6,12,80.0,88.19,7 [6 - 12],81.8% [80.0% - 88.19%],05-18-2020
