HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Hospitalizations (Range),Projected Demand (Range),Last Update
334,OH- TOLEDO,86.04,132,118,161,81.81,94.56,132 [118 - 161],86.04% [81.81% - 94.56%],05-12-2020
335,OH- YOUNGSTOWN,88.2,111,100,141,82.42,101.19,111 [100 - 141],88.2% [82.42% - 101.19%],05-12-2020
336,OK- LAWTON,83.99,14,12,21,80.0,96.69,14 [12 - 21],83.99% [80.0% - 96.69%],05-12-2020
339,OK- OKLAHOMA CITY,91.7,400,359,531,83.4,114.74,400 [359 - 531],91.7% [83.4% - 114.74%],05-12-2020
340,OK- TULSA,87.75,207,183,276,81.41,103.36,207 [183 - 276],87.75% [81.41% - 103.36%],05-12-2020
341,OR- BEND,84.21,7,7,10,80.99,92.84,7 [7 - 10],84.21% [80.99% - 92.84%],05-12-2020
342,OR- EUGENE,84.69,25,23,32,81.11,91.74,25 [23 - 32],84.69% [81.11% - 91.74%],05-12-2020
343,OR- MEDFORD,82.25,7,7,12,80.41,87.77,7 [7 - 12],82.25% [80.41% - 87.77%],05-12-2020
344,OR- PORTLAND,87.6,210,188,245,82.16,96.16,210 [188 - 245],87.6% [82.16% - 96.16%],05-12-2020
345,OR- SALEM,88.65,14,13,18,81.61,99.04,14 [13 - 18],88.65% [81.61% - 99.04%],05-12-2020
346,PA- ALLENTOWN,90.27,162,147,197,83.23,104.33,162 [147 - 197],90.27% [83.23% - 104.33%],05-12-2020
347,PA- ALTOONA,82.75,10,8,13,80.0,88.92,10 [8 - 13],82.75% [80.0% - 88.92%],05-12-2020
350,PA- DANVILLE,83.39,21,19,33,80.0,91.13,21 [19 - 33],83.39% [80.0% - 91.13%],05-12-2020
351,PA- ERIE,82.04,21,20,30,80.58,86.51,21 [20 - 30],82.04% [80.58% - 86.51%],05-12-2020
352,PA- HARRISBURG,89.74,118,108,144,83.84,103.75,118 [108 - 144],89.74% [83.84% - 103.75%],05-12-2020
354,PA- JOHNSTOWN,82.51,7,7,10,80.0,85.54,7 [7 - 10],82.51% [80.0% - 85.54%],05-12-2020
355,PA- LANCASTER,91.97,73,67,91,84.37,109.39,73 [67 - 91],91.97% [84.37% - 109.39%],05-12-2020
356,PA- PHILADELPHIA,88.34,537,488,648,83.12,99.67,537 [488 - 648],88.34% [83.12% - 99.67%],05-12-2020
357,PA- PITTSBURGH,83.13,190,170,242,80.89,88.01,190 [170 - 242],83.13% [80.89% - 88.01%],05-12-2020
358,PA- READING,89.67,69,62,87,83.51,104.93,69 [62 - 87],89.67% [83.51% - 104.93%],05-12-2020
359,PA- SAYRE,81.4,0,0,4,80.0,91.25,0 [0 - 4],81.4% [80.0% - 91.25%],05-12-2020
360,PA- SCRANTON,88.13,35,31,45,81.36,102.45,35 [31 - 45],88.13% [81.36% - 102.45%],05-12-2020
362,PA- WILKES-BARRE,87.79,26,24,33,82.6,101.68,26 [24 - 33],87.79% [82.6% - 101.68%],05-12-2020
363,PA- YORK,96.37,70,64,84,86.62,114.18,70 [64 - 84],96.37% [86.62% - 114.18%],05-12-2020
364,RI- PROVIDENCE,109.22,477,429,565,90.06,144.11,477 [429 - 565],109.22% [90.06% - 144.11%],05-12-2020
365,SC- CHARLESTON,89.28,146,132,182,83.39,104.08,146 [132 - 182],89.28% [83.39% - 104.08%],05-12-2020
366,SC- COLUMBIA,92.85,247,226,296,84.99,109.96,247 [226 - 296],92.85% [84.99% - 109.96%],05-12-2020
367,SC- FLORENCE,88.44,56,50,68,82.01,98.49,56 [50 - 68],88.44% [82.01% - 98.49%],05-12-2020
368,SC- GREENVILLE,89.57,122,111,150,84.35,103.87,122 [111 - 150],89.57% [84.35% - 103.87%],05-12-2020
369,SC- SPARTANBURG,89.02,50,45,60,83.68,100.64,50 [45 - 60],89.02% [83.68% - 100.64%],05-12-2020
370,SD- RAPID CITY,83.64,14,14,20,81.74,93.81,14 [14 - 20],83.64% [81.74% - 93.81%],05-12-2020
371,SD- SIOUX FALLS,95.3,236,208,288,83.57,118.25,236 [208 - 288],95.3% [83.57% - 118.25%],05-12-2020
373,TN- CHATTANOOGA,85.0,64,59,77,82.05,92.32,64 [59 - 77],85.0% [82.05% - 92.32%],05-12-2020
374,TN- JACKSON,81.01,7,6,12,80.0,86.07,7 [6 - 12],81.01% [80.0% - 86.07%],05-12-2020
375,TN- JOHNSON CITY,83.3,14,13,20,81.17,90.11,14 [13 - 20],83.3% [81.17% - 90.11%],05-12-2020
376,TN- KINGSPORT,81.21,14,13,27,80.15,87.85,14 [13 - 27],81.21% [80.15% - 87.85%],05-12-2020
377,TN- KNOXVILLE,82.47,52,45,70,80.41,87.69,52 [45 - 70],82.47% [80.41% - 87.69%],05-12-2020
379,TN- MEMPHIS,85.95,196,174,247,81.31,95.54,196 [174 - 247],85.95% [81.31% - 95.54%],05-12-2020
380,TN- NASHVILLE,89.12,417,377,516,83.25,104.23,417 [377 - 516],89.12% [83.25% - 104.23%],05-12-2020
382,TX- ABILENE,80.5,0,0,2,80.0,82.79,0 [0 - 2],80.5% [80.0% - 82.79%],05-12-2020
383,TX- AMARILLO,81.68,7,6,12,80.0,83.93,7 [6 - 12],81.68% [80.0% - 83.93%],05-12-2020
385,TX- AUSTIN,93.12,238,213,322,83.89,122.14,238 [213 - 322],93.12% [83.89% - 122.14%],05-12-2020
386,TX- BEAUMONT,83.17,20,17,29,80.88,91.17,20 [17 - 29],83.17% [80.88% - 91.17%],05-12-2020
388,TX- BRYAN,87.24,21,19,32,81.96,109.9,21 [19 - 32],87.24% [81.96% - 109.9%],05-12-2020
390,TX- CORPUS CHRISTI,81.25,8,7,20,80.58,87.7,8 [7 - 20],81.25% [80.58% - 87.7%],05-12-2020
391,TX- DALLAS,89.4,602,545,794,83.53,108.19,602 [545 - 794],89.4% [83.53% - 108.19%],05-12-2020
393,TX- EL PASO,84.72,66,60,87,81.75,93.19,66 [60 - 87],84.72% [81.75% - 93.19%],05-12-2020
394,TX- FORT WORTH,89.39,244,221,327,83.56,109.26,244 [221 - 327],89.39% [83.56% - 109.26%],05-12-2020
396,TX- HARLINGEN,82.54,16,15,24,80.99,89.45,16 [15 - 24],82.54% [80.99% - 89.45%],05-12-2020
397,TX- HOUSTON,87.4,669,601,902,82.59,103.7,669 [601 - 902],87.4% [82.59% - 103.7%],05-12-2020
399,TX- LONGVIEW,82.8,7,7,12,80.0,91.95,7 [7 - 12],82.8% [80.0% - 91.95%],05-12-2020
400,TX- LUBBOCK,82.15,24,21,40,80.5,89.21,24 [21 - 40],82.15% [80.5% - 89.21%],05-12-2020
402,TX- MCALLEN,82.37,15,14,26,80.63,89.08,15 [14 - 26],82.37% [80.63% - 89.08%],05-12-2020
406,TX- ODESSA,81.92,7,6,13,80.0,85.73,7 [6 - 13],81.92% [80.0% - 85.73%],05-12-2020
411,TX- SAN ANGELO,80.9,0,0,1,80.0,83.35,0 [0 - 1],80.9% [80.0% - 83.35%],05-12-2020
412,TX- SAN ANTONIO,92.33,459,411,604,83.63,118.2,459 [411 - 604],92.33% [83.63% - 118.2%],05-12-2020
