HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Last Update
1,AL- BIRMINGHAM,85.86,256,225,376,82.43,89.29,05-05-2020
2,AL- DOTHAN,80.62,2,1,10,77.4,83.84,05-05-2020
5,AL- HUNTSVILLE,84.15,37,31,55,80.78,87.52,05-05-2020
6,AL- MOBILE,84.08,59,52,92,80.72,87.44,05-05-2020
7,AL- MONTGOMERY,84.07,28,24,46,80.71,87.43,05-05-2020
9,AL- TUSCALOOSA,84.14,18,16,31,80.77,87.51,05-05-2020
11,AZ- MESA,91.21,113,100,164,87.56,94.86,05-05-2020
12,AZ- PHOENIX,86.8,266,235,386,83.33,90.27,05-05-2020
14,AZ- SUN CITY,84.66,16,14,24,81.27,88.05,05-05-2020
15,AZ- TUCSON,83.93,49,43,73,80.57,87.29,05-05-2020
16,AR- FORT SMITH,80.14,0,0,5,76.93,83.35,05-05-2020
18,AR- JONESBORO,80.73,0,0,2,77.5,83.96,05-05-2020
19,AR- LITTLE ROCK,84.42,135,119,199,81.04,87.8,05-05-2020
21,AR- SPRINGDALE,81.59,7,6,13,78.33,84.85,05-05-2020
22,AR- TEXARKANA,80.49,0,0,4,77.27,83.71,05-05-2020
23,CA- ORANGE CO.,90.21,420,372,603,86.6,93.82,05-05-2020
25,CA- BAKERSFIELD,83.23,60,53,90,79.9,86.56,05-05-2020
31,CA- CHICO,85.03,14,12,23,81.63,88.43,05-05-2020
33,CA- CONTRA COSTA CO.,114.11,360,321,486,109.55,118.67,05-05-2020
43,CA- FRESNO,85.77,70,62,103,82.34,89.2,05-05-2020
56,CA- LOS ANGELES,89.34,1248,1106,1784,85.77,92.91,05-05-2020
58,CA- MODESTO,96.29,149,131,214,92.44,100.14,05-05-2020
62,CA- NAPA,97.23,50,45,71,93.34,101.12,05-05-2020
65,CA- ALAMEDA CO.,111.15,554,495,743,106.7,115.6,05-05-2020
69,CA- PALM SPR/RANCHO MIR.,86.56,33,29,49,83.1,90.02,05-05-2020
73,CA- REDDING,87.8,41,36,59,84.29,91.31,05-05-2020
77,CA- SACRAMENTO,99.4,497,440,701,95.42,103.38,05-05-2020
78,CA- SALINAS,99.89,83,74,117,95.89,103.89,05-05-2020
79,CA- SAN BERNARDINO,91.15,348,308,506,87.5,94.8,05-05-2020
80,CA- SAN DIEGO,94.44,543,482,773,90.66,98.22,05-05-2020
