region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
1,AL- BIRMINGHAM,84.25,1238,1209,1278,83.68,84.99,1238 [1209 - 1278],84.25% [83.68% - 84.99%],359,311,421,01-06-2021
2,AL- DOTHAN,84.52,198,193,206,83.84,85.42,198 [193 - 206],84.52% [83.84% - 85.42%],60,51,72,01-06-2021
5,AL- HUNTSVILLE,86.65,410,400,426,85.74,87.93,410 [400 - 426],86.65% [85.74% - 87.93%],125,108,149,01-06-2021
6,AL- MOBILE,83.89,373,364,384,83.4,84.48,373 [364 - 384],83.89% [83.4% - 84.48%],111,97,128,01-06-2021
7,AL- MONTGOMERY,84.79,253,248,263,84.27,85.82,253 [248 - 263],84.79% [84.27% - 85.82%],74,66,90,01-06-2021
9,AL- TUSCALOOSA,85.81,191,187,197,85.11,86.81,191 [187 - 197],85.81% [85.11% - 86.81%],58,51,68,01-06-2021
11,AZ- MESA,94.39,915,886,954,91.82,97.78,915 [886 - 954],94.39% [91.82% - 97.78%],285,234,352,01-06-2021
12,AZ- PHOENIX,89.1,2228,2160,2321,87.5,91.16,2228 [2160 - 2321],89.1% [87.5% - 91.16%],689,568,845,01-06-2021
14,AZ- SUN CITY,86.17,160,155,167,85.06,87.65,160 [155 - 167],86.17% [85.06% - 87.65%],50,41,62,01-06-2021
15,AZ- TUCSON,86.5,568,554,588,85.9,86.85,568 [554 - 588],86.5% [85.9% - 86.85%],164,149,173,01-06-2021
16,AR- FORT SMITH,83.51,143,138,148,82.89,84.22,143 [138 - 148],83.51% [82.89% - 84.22%],45,37,54,01-06-2021
18,AR- JONESBORO,82.32,71,68,72,81.77,82.54,71 [68 - 72],82.32% [81.77% - 82.54%],21,16,23,01-06-2021
19,AR- LITTLE ROCK,83.1,586,574,609,82.72,83.71,586 [574 - 609],83.1% [82.72% - 83.71%],179,157,214,01-06-2021
21,AR- SPRINGDALE,86.34,224,219,233,85.58,87.66,224 [219 - 233],86.34% [85.58% - 87.66%],67,59,81,01-06-2021
