region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
1,AL- BIRMINGHAM,111.55,2350,2248,2463,103.61,120.57,2350 [2248 - 2463],111.55% [103.61% - 120.57%],2664,1994,3426,12-15-2020
2,AL- DOTHAN,98.07,211,201,222,92.88,102.82,211 [201 - 222],98.07% [92.88% - 102.82%],240,171,303,12-15-2020
5,AL- HUNTSVILLE,136.86,949,905,1005,122.39,155.27,949 [905 - 1005],136.86% [122.39% - 155.27%],1069,797,1415,12-15-2020
6,AL- MOBILE,105.73,651,623,687,99.5,113.81,651 [623 - 687],105.73% [99.5% - 113.81%],735,557,966,12-15-2020
7,AL- MONTGOMERY,98.11,243,232,254,92.68,102.25,243 [232 - 254],98.11% [92.68% - 102.25%],280,196,344,12-15-2020
9,AL- TUSCALOOSA,147.54,600,574,641,130.0,173.99,600 [574 - 641],147.54% [130.0% - 173.99%],674,499,938,12-15-2020
11,AZ- MESA,234.85,2728,2583,2985,188.94,310.0,2728 [2583 - 2985],234.85% [188.94% - 310.0%],3066,2157,4554,12-15-2020
12,AZ- PHOENIX,176.59,6508,6158,7122,147.62,223.47,6508 [6158 - 7122],176.59% [147.62% - 223.47%],7317,5122,10868,12-15-2020
14,AZ- SUN CITY,148.52,494,467,542,127.9,182.59,494 [467 - 542],148.52% [127.9% - 182.59%],555,388,831,12-15-2020
15,AZ- TUCSON,125.72,1016,969,1079,113.32,141.17,1016 [969 - 1079],125.72% [113.32% - 141.17%],1154,841,1544,12-15-2020
16,AR- FORT SMITH,93.04,148,142,155,89.6,96.39,148 [142 - 155],93.04% [89.6% - 96.39%],167,123,210,12-15-2020
18,AR- JONESBORO,94.38,112,107,117,91.39,98.14,112 [107 - 117],94.38% [91.39% - 98.14%],130,103,164,12-15-2020
19,AR- LITTLE ROCK,95.82,807,775,850,92.06,100.65,807 [775 - 850],95.82% [92.06% - 100.65%],913,696,1192,12-15-2020
21,AR- SPRINGDALE,106.96,251,241,265,100.62,115.48,251 [241 - 265],106.96% [100.62% - 115.48%],285,218,375,12-15-2020
22,AR- TEXARKANA,133.16,459,442,474,121.53,144.08,459 [442 - 474],133.16% [121.53% - 144.08%],521,407,628,12-15-2020
23,CA- ORANGE CO.,119.56,2679,2574,2777,110.04,128.92,2679 [2574 - 2777],119.56% [110.04% - 128.92%],3027,2298,3743,12-15-2020
25,CA- BAKERSFIELD,110.14,966,923,1009,102.46,117.89,966 [923 - 1009],110.14% [102.46% - 117.89%],1090,812,1370,12-15-2020
31,CA- CHICO,90.16,56,53,59,87.5,92.34,56 [53 - 59],90.16% [87.5% - 92.34%],65,48,79,12-15-2020
33,CA- CONTRA COSTA CO.,89.19,150,142,158,87.34,90.93,150 [142 - 158],89.19% [87.34% - 90.93%],184,147,219,12-15-2020
43,CA- FRESNO,110.97,627,599,661,103.22,120.25,627 [599 - 661],110.97% [103.22% - 120.25%],707,530,919,12-15-2020
56,CA- LOS ANGELES,206.73,27805,26968,28835,180.81,235.41,27.80K [26.97K - 28.84K],206.73% [180.81% - 235.41%],31432,25004,38546,12-15-2020
58,CA- MODESTO,140.03,919,879,964,125.14,157.31,919 [879 - 964],140.03% [125.14% - 157.31%],1032,776,1329,12-15-2020
62,CA- NAPA,103.71,123,118,130,97.87,110.76,123 [118 - 130],103.71% [97.87% - 110.76%],138,104,179,12-15-2020
65,CA- ALAMEDA CO.,108.14,854,809,904,100.36,116.67,854 [809 - 904],108.14% [100.36% - 116.67%],951,688,1239,12-15-2020
69,CA- PALM SPR/RANCHO MIR.,209.34,1204,1169,1239,183.99,232.33,1204 [1169 - 1239],209.34% [183.99% - 232.33%],1362,1095,1604,12-15-2020
73,CA- REDDING,94.14,137,131,143,90.72,97.93,137 [131 - 143],94.14% [90.72% - 97.93%],153,116,194,12-15-2020
77,CA- SACRAMENTO,117.92,1608,1536,1685,107.97,128.33,1608 [1536 - 1685],117.92% [107.97% - 128.33%],1814,1338,2312,12-15-2020
78,CA- SALINAS,97.65,124,118,130,92.36,102.82,124 [118 - 130],97.65% [92.36% - 102.82%],140,98,181,12-15-2020
79,CA- SAN BERNARDINO,256.27,9019,8746,9291,220.04,291.85,9019 [8746 - 9291],256.27% [220.04% - 291.85%],10192,8097,12249,12-15-2020
80,CA- SAN DIEGO,146.02,4120,3969,4278,131.07,162.0,4120 [3969 - 4278],146.02% [131.07% - 162.0%],4643,3592,5767,12-15-2020
81,CA- SAN FRANCISCO,86.05,273,259,288,84.42,87.9,273 [259 - 288],86.05% [84.42% - 87.9%],307,224,401,12-15-2020
82,CA- SAN JOSE,124.02,1186,1128,1248,112.12,136.41,1186 [1128 - 1248],124.02% [112.12% - 136.41%],1332,972,1707,12-15-2020
83,CA- SAN LUIS OBISPO,113.99,139,133,148,105.66,125.18,139 [133 - 148],113.99% [105.66% - 125.18%],155,117,206,12-15-2020
85,CA- SAN MATEO CO.,94.02,337,321,355,90.16,97.88,337 [321 - 355],94.02% [90.16% - 97.88%],378,274,482,12-15-2020
86,CA- SANTA BARBARA,91.59,99,94,104,88.59,95.01,99 [94 - 104],91.59% [88.59% - 95.01%],112,83,145,12-15-2020
87,CA- SANTA CRUZ,173.59,302,287,325,148.25,211.48,302 [287 - 325],173.59% [148.25% - 211.48%],336,245,472,12-15-2020
