HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
185,IN- MUNCIE,90.76,21,20,22,87.16,95.27,21 [20 - 22],90.76% [87.16% - 95.27%],45,30,64,10-13-2020
186,IN- MUNSTER,85.51,28,28,30,84.59,86.76,28 [28 - 30],85.51% [84.59% - 86.76%],63,53,78,10-13-2020
187,IN- SOUTH BEND,99.04,147,143,158,96.22,103.61,147 [143 - 158],99.04% [96.22% - 103.61%],291,248,361,10-13-2020
188,IN- TERRE HAUTE,87.89,21,20,22,85.01,91.69,21 [20 - 22],87.89% [85.01% - 91.69%],42,27,63,10-13-2020
190,IA- CEDAR RAPIDS,89.98,56,55,58,87.89,91.47,56 [55 - 58],89.98% [87.89% - 91.47%],111,88,128,10-13-2020
191,IA- DAVENPORT,85.81,63,61,66,85.04,87.38,63 [61 - 66],85.81% [85.04% - 87.38%],129,112,164,10-13-2020
192,IA- DES MOINES,88.12,128,123,138,86.86,90.23,128 [123 - 138],88.12% [86.86% - 90.23%],267,226,337,10-13-2020
193,IA- DUBUQUE,100.65,56,53,59,95.6,105.87,56 [53 - 59],100.65% [95.6% - 105.87%],112,85,141,10-13-2020
194,IA- IOWA CITY,84.05,34,34,38,83.4,85.15,34 [34 - 38],84.05% [83.4% - 85.15%],78,66,100,10-13-2020
195,IA- MASON CITY,86.14,21,21,23,84.77,88.59,21 [21 - 23],86.14% [84.77% - 88.59%],45,35,63,10-13-2020
196,IA- SIOUX CITY,94.72,73,68,82,90.25,101.91,73 [68 - 82],94.72% [90.25% - 101.91%],166,116,248,10-13-2020
197,IA- WATERLOO,85.52,15,14,17,83.13,87.98,15 [14 - 17],85.52% [83.13% - 87.98%],35,20,51,10-13-2020
200,KS- TOPEKA,83.59,24,23,25,83.04,84.27,24 [23 - 25],83.59% [83.04% - 84.27%],55,47,66,10-13-2020
201,KS- WICHITA,84.19,108,101,120,82.71,85.64,108 [101 - 120],84.19% [82.71% - 85.64%],207,134,279,10-13-2020
203,KY- COVINGTON,84.31,26,24,28,82.45,85.9,26 [24 - 28],84.31% [82.45% - 85.9%],47,27,65,10-13-2020
204,KY- LEXINGTON,87.09,191,181,209,85.36,89.59,191 [181 - 209],87.09% [85.36% - 89.59%],368,279,499,10-13-2020
205,KY- LOUISVILLE,88.18,196,191,210,86.79,90.13,196 [191 - 210],88.18% [86.79% - 90.13%],394,327,488,10-13-2020
207,KY- OWENSBORO,87.13,14,14,16,85.72,88.26,14 [14 - 16],87.13% [85.72% - 88.26%],33,27,39,10-13-2020
208,KY- PADUCAH,84.43,34,32,36,83.02,85.49,34 [32 - 36],84.43% [83.02% - 85.49%],71,49,89,10-13-2020
209,LA- ALEXANDRIA,84.56,19,17,22,82.52,86.05,19 [17 - 22],84.56% [82.52% - 86.05%],45,25,60,10-13-2020
210,LA- BATON ROUGE,82.6,28,27,30,82.18,83.47,28 [27 - 30],82.6% [82.18% - 83.47%],64,54,86,10-13-2020
212,LA- HOUMA,82.12,0,0,1,81.71,82.85,0 [0 - 1],82.12% [81.71% - 82.85%],14,12,20,10-13-2020
213,LA- LAFAYETTE,82.08,18,17,20,81.53,82.87,18 [17 - 20],82.08% [81.53% - 82.87%],44,33,62,10-13-2020
214,LA- LAKE CHARLES,82.45,7,7,9,81.39,83.7,7 [7 - 9],82.45% [81.39% - 83.7%],21,12,32,10-13-2020
216,LA- METAIRIE,83.81,14,14,15,83.36,84.65,14 [14 - 15],83.81% [83.36% - 84.65%],38,34,47,10-13-2020
217,LA- MONROE,84.24,14,14,15,83.46,85.51,14 [14 - 15],84.24% [83.46% - 85.51%],39,32,51,10-13-2020
218,LA- NEW ORLEANS,83.41,38,36,41,82.56,84.29,38 [36 - 41],83.41% [82.56% - 84.29%],82,62,104,10-13-2020
219,LA- SHREVEPORT,84.7,56,55,62,84.09,86.54,56 [55 - 62],84.7% [84.09% - 86.54%],128,112,179,10-13-2020
220,LA- SLIDELL,83.75,7,7,8,83.37,85.56,7 [7 - 8],83.75% [83.37% - 85.56%],18,17,28,10-13-2020
221,ME- BANGOR,80.0,0,0,0,80.0,80.92,0 [0 - 0],80.0% [80.0% - 80.92%],0,0,10,10-13-2020
222,ME- PORTLAND,81.86,17,16,25,81.45,83.39,17 [16 - 25],81.86% [81.45% - 83.39%],48,38,89,10-13-2020
223,MD- BALTIMORE,84.58,141,137,149,83.69,85.74,141 [137 - 149],84.58% [83.69% - 85.74%],308,249,387,10-13-2020
225,MD- SALISBURY,88.08,28,27,32,85.55,91.74,28 [27 - 32],88.08% [85.55% - 91.74%],75,52,110,10-13-2020
226,MD- TAKOMA PARK,92.64,77,75,80,90.72,95.0,77 [75 - 80],92.64% [90.72% - 95.0%],162,138,193,10-13-2020
227,MA- BOSTON,86.18,360,347,378,84.97,87.57,360 [347 - 378],86.18% [84.97% - 87.57%],678,546,831,10-13-2020
230,MA- SPRINGFIELD,85.74,47,45,52,84.43,88.12,47 [45 - 52],85.74% [84.43% - 88.12%],91,71,130,10-13-2020
231,MA- WORCESTER,84.39,35,34,37,83.59,85.42,35 [34 - 37],84.39% [83.59% - 85.42%],72,59,89,10-13-2020
232,MI- ANN ARBOR,85.29,86,84,90,84.23,86.37,86 [84 - 90],85.29% [84.23% - 86.37%],172,138,208,10-13-2020
233,MI- DEARBORN,82.24,14,14,15,81.7,82.74,14 [14 - 15],82.24% [81.7% - 82.74%],36,28,45,10-13-2020
234,MI- DETROIT,83.51,78,75,84,82.79,84.59,78 [75 - 84],83.51% [82.79% - 84.59%],163,130,214,10-13-2020
235,MI- FLINT,87.73,56,54,60,86.41,89.2,56 [54 - 60],87.73% [86.41% - 89.2%],102,85,122,10-13-2020
236,MI- GRAND RAPIDS,89.53,113,108,119,87.67,91.52,113 [108 - 119],89.53% [87.67% - 91.52%],220,177,266,10-13-2020
