HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound,Last Update
1,AL- BIRMINGHAM,80,362,310,365,04-08-2020
2,AL- DOTHAN,80,0,0,0,04-08-2020
5,AL- HUNTSVILLE,80,30,26,30,04-08-2020
6,AL- MOBILE,80,156,132,157,04-08-2020
7,AL- MONTGOMERY,80,21,18,21,04-08-2020
9,AL- TUSCALOOSA,80,28,25,28,04-08-2020
11,AZ- MESA,85,646,552,652,04-08-2020
12,AZ- PHOENIX,83,1539,1315,1553,04-08-2020
14,AZ- SUN CITY,81,103,88,103,04-08-2020
15,AZ- TUCSON,81,301,257,303,04-08-2020
16,AR- FORT SMITH,80,0,0,0,04-08-2020
18,AR- JONESBORO,80,0,0,0,04-08-2020
19,AR- LITTLE ROCK,82,975,839,983,04-08-2020
21,AR- SPRINGDALE,80,25,19,25,04-08-2020
22,AR- TEXARKANA,80,0,0,0,04-08-2020
23,CA- ORANGE CO.,82,1230,1052,1241,04-08-2020
25,CA- BAKERSFIELD,80,170,146,171,04-08-2020
31,CA- CHICO,80,28,25,28,04-08-2020
33,CA- CONTRA COSTA CO.,88,1064,913,1073,04-08-2020
43,CA- FRESNO,81,154,131,155,04-08-2020
56,CA- LOS ANGELES,82,3903,3343,3938,04-08-2020
58,CA- MODESTO,82,314,267,317,04-08-2020
62,CA- NAPA,82,100,85,101,04-08-2020
65,CA- ALAMEDA CO.,87,1684,1445,1699,04-08-2020
69,CA- PALM SPR/RANCHO MIR.,81,97,83,97,04-08-2020
73,CA- REDDING,80,0,0,0,04-08-2020
77,CA- SACRAMENTO,84,1363,1167,1375,04-08-2020
78,CA- SALINAS,83,195,167,196,04-08-2020
79,CA- SAN BERNARDINO,82,930,793,938,04-08-2020
80,CA- SAN DIEGO,83,1644,1409,1659,04-08-2020
81,CA- SAN FRANCISCO,84,1517,1303,1530,04-08-2020
82,CA- SAN JOSE,91,2244,1931,2263,04-08-2020
83,CA- SAN LUIS OBISPO,84,125,108,126,04-08-2020
85,CA- SAN MATEO CO.,85,1049,903,1058,04-08-2020
86,CA- SANTA BARBARA,82,148,127,149,04-08-2020
87,CA- SANTA CRUZ,89,214,183,215,04-08-2020
89,CA- SANTA ROSA,82,296,253,298,04-08-2020
91,CA- STOCKTON,85,377,322,380,04-08-2020
96,CA- VENTURA,83,318,272,320,04-08-2020
101,CO- BOULDER,90,327,280,330,04-08-2020
102,CO- COLORADO SPRINGS,87,479,411,483,04-08-2020
103,CO- DENVER,90,3449,2962,3480,04-08-2020
104,CO- FORT COLLINS,85,238,204,240,04-08-2020
105,CO- GRAND JUNCTION,93,707,609,713,04-08-2020
106,CO- GREELEY,85,288,247,290,04-08-2020
107,CO- PUEBLO,80,34,30,34,04-08-2020
110,CT- HARTFORD,87,1483,1264,1497,04-08-2020
111,CT- NEW HAVEN,94,3670,3146,3703,04-08-2020
112,DE- WILMINGTON,87,866,741,873,04-08-2020
113,DC- WASHINGTON,86,2443,2095,2465,04-08-2020
115,FL- BRADENTON,82,116,100,117,04-08-2020
116,FL- CLEARWATER,81,184,157,185,04-08-2020
118,FL- FORT LAUDERDALE,83,2023,1732,2041,04-08-2020
119,FL- FORT MYERS,82,591,505,596,04-08-2020
120,FL- GAINESVILLE,81,171,147,172,04-08-2020
122,FL- HUDSON,81,140,120,141,04-08-2020
123,FL- JACKSONVILLE,81,470,401,474,04-08-2020
124,FL- LAKELAND,81,133,114,134,04-08-2020
127,FL- MIAMI,83,2640,2263,2664,04-08-2020
129,FL- OCALA,81,156,133,157,04-08-2020
130,FL- ORLANDO,81,1298,1107,1310,04-08-2020
131,FL- ORMOND BEACH,81,136,117,137,04-08-2020
133,FL- PANAMA CITY,80,3,3,3,04-08-2020
134,FL- PENSACOLA,81,175,151,176,04-08-2020
137,FL- SARASOTA,81,134,115,135,04-08-2020
139,FL- ST PETERSBURG,81,147,126,148,04-08-2020
140,FL- TALLAHASSEE,80,98,83,99,04-08-2020
141,FL- TAMPA,82,556,476,561,04-08-2020
142,GA- ALBANY,85,403,348,406,04-08-2020
144,GA- ATLANTA,85,4466,3826,4506,04-08-2020
145,GA- AUGUSTA,81,239,207,241,04-08-2020
146,GA- COLUMBUS,80,72,61,72,04-08-2020
147,GA- MACON,80,74,64,74,04-08-2020
148,GA- ROME,84,196,168,197,04-08-2020
149,GA- SAVANNAH,83,503,432,507,04-08-2020
154,IL- AURORA,87,259,222,261,04-08-2020
155,IL- BLUE ISLAND,84,751,645,757,04-08-2020
156,IL- CHICAGO,84,2528,2172,2550,04-08-2020
158,IL- ELGIN,89,663,569,669,04-08-2020
161,IL- EVANSTON,86,1001,860,1010,04-08-2020
163,IL- HINSDALE,86,441,379,445,04-08-2020
164,IL- JOLIET,86,557,477,562,04-08-2020
166,IL- MELROSE PARK,86,1279,1098,1290,04-08-2020
170,IL- PEORIA,80,28,25,28,04-08-2020
171,IL- ROCKFORD,82,207,176,209,04-08-2020
172,IL- SPRINGFIELD,80,35,31,35,04-08-2020
173,IL- URBANA,80,2,2,2,04-08-2020
175,IL- BLOOMINGTON,81,35,31,35,04-08-2020
179,IN- EVANSVILLE,80,0,0,0,04-08-2020
180,IN- FORT WAYNE,80,35,31,35,04-08-2020
181,IN- GARY,82,237,203,239,04-08-2020
183,IN- INDIANAPOLIS,82,867,741,875,04-08-2020
184,IN- LAFAYETTE,80,6,5,6,04-08-2020
185,IN- MUNCIE,80,1,1,1,04-08-2020
186,IN- MUNSTER,82,205,175,206,04-08-2020
187,IN- SOUTH BEND,81,105,89,106,04-08-2020
188,IN- TERRE HAUTE,80,0,0,0,04-08-2020
191,IA- DAVENPORT,80,3,3,3,04-08-2020
192,IA- DES MOINES,80,101,86,101,04-08-2020
193,IA- DUBUQUE,80,11,10,11,04-08-2020
194,IA- IOWA CITY,81,151,131,152,04-08-2020
195,IA- MASON CITY,80,0,0,0,04-08-2020
196,IA- SIOUX CITY,80,3,3,3,04-08-2020
197,IA- WATERLOO,80,0,0,0,04-08-2020
200,KS- TOPEKA,80,39,31,39,04-08-2020
201,KS- WICHITA,80,105,91,105,04-08-2020
203,KY- COVINGTON,80,64,55,64,04-08-2020
204,KY- LEXINGTON,80,177,152,178,04-08-2020
205,KY- LOUISVILLE,80,234,200,236,04-08-2020
207,KY- OWENSBORO,81,35,31,35,04-08-2020
208,KY- PADUCAH,80,0,0,0,04-08-2020
209,LA- ALEXANDRIA,80,49,43,49,04-08-2020
210,LA- BATON ROUGE,86,1042,886,1051,04-08-2020
212,LA- HOUMA,88,368,314,371,04-08-2020
213,LA- LAFAYETTE,81,163,137,164,04-08-2020
214,LA- LAKE CHARLES,80,49,43,49,04-08-2020
216,LA- METAIRIE,109,2020,1738,2038,04-08-2020
217,LA- MONROE,80,12,10,12,04-08-2020
218,LA- NEW ORLEANS,103,3910,3378,3944,04-08-2020
219,LA- SHREVEPORT,81,264,227,266,04-08-2020
221,ME- BANGOR,80,3,3,3,04-08-2020
222,ME- PORTLAND,82,423,363,426,04-08-2020
223,MD- BALTIMORE,84,2144,1831,2163,04-08-2020
225,MD- SALISBURY,83,219,186,221,04-08-2020
226,MD- TAKOMA PARK,93,1167,1002,1177,04-08-2020
227,MA- BOSTON,87,5746,4933,5797,04-08-2020
