HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound,Last Update
195,IA- MASON CITY,103,817,817,817,01-22-2020
196,IA- SIOUX CITY,123,2545,2544,2545,01-22-2020
197,IA- WATERLOO,138,1898,1894,1898,01-22-2020
200,KS- TOPEKA,175,7415,7408,7415,01-22-2020
201,KS- WICHITA,126,11240,11222,11240,01-22-2020
203,KY- COVINGTON,280,11413,11404,11413,01-22-2020
204,KY- LEXINGTON,280,72884,72884,72884,01-22-2020
205,KY- LOUISVILLE,250,42132,42090,42135,01-22-2020
207,KY- OWENSBORO,204,3033,3033,3033,01-22-2020
208,KY- PADUCAH,136,4479,4470,4479,01-22-2020
209,LA- ALEXANDRIA,122,2172,2171,2172,01-22-2020
210,LA- BATON ROUGE,252,23418,23398,23419,01-22-2020
212,LA- HOUMA,265,7317,7311,7317,01-22-2020
213,LA- LAFAYETTE,140,6755,6752,6755,01-22-2020
214,LA- LAKE CHARLES,121,1850,1849,1850,01-22-2020
216,LA- METAIRIE,280,14154,14154,14154,01-22-2020
217,LA- MONROE,112,1486,1485,1486,01-22-2020
218,LA- NEW ORLEANS,280,32535,32519,32535,01-22-2020
219,LA- SHREVEPORT,130,7348,7344,7350,01-22-2020
221,ME- BANGOR,108,1598,1598,1598,01-22-2020
222,ME- PORTLAND,172,13345,13329,13346,01-22-2020
223,MD- BALTIMORE,280,83600,83547,83607,01-22-2020
225,MD- SALISBURY,260,8785,8779,8787,01-22-2020
226,MD- TAKOMA PARK,280,18018,18018,18018,01-22-2020
227,MA- BOSTON,280,131546,131448,131552,01-22-2020
230,MA- SPRINGFIELD,247,14473,14462,14474,01-22-2020
231,MA- WORCESTER,280,20167,20152,20168,01-22-2020
232,MI- ANN ARBOR,269,34575,34554,34576,01-22-2020
233,MI- DEARBORN,230,14095,14086,14096,01-22-2020
234,MI- DETROIT,256,46442,46407,46443,01-22-2020
235,MI- FLINT,227,10479,10472,10479,01-22-2020
238,MI- KALAMAZOO,134,4060,4056,4061,01-22-2020
239,MI- LANSING,180,8044,8034,8045,01-22-2020
240,MI- MARQUETTE,99,435,434,435,01-22-2020
242,MI- MUSKEGON,135,1493,1491,1493,01-22-2020
243,MI- PETOSKEY,145,1164,1164,1164,01-22-2020
244,MI- PONTIAC,262,12225,12217,12226,01-22-2020
245,MI- ROYAL OAK,216,20484,20470,20484,01-22-2020
246,MI- SAGINAW,129,5284,5277,5284,01-22-2020
248,MI- ST JOSEPH,159,1225,1224,1225,01-22-2020
249,MI- TRAVERSE CITY,136,1458,1455,1458,01-22-2020
250,MN- DULUTH,99,1132,1131,1132,01-22-2020
251,MN- MINNEAPOLIS,156,34160,34130,34161,01-22-2020
253,MN- ROCHESTER,117,5212,5206,5212,01-22-2020
254,MN- ST CLOUD,141,2246,2245,2246,01-22-2020
256,MN- ST PAUL,182,12340,12328,12340,01-22-2020
257,MS- GULFPORT,280,9855,9851,9855,01-22-2020
258,MS- HATTIESBURG,266,12152,12131,12152,01-22-2020
259,MS- JACKSON,239,38213,38176,38213,01-22-2020
261,MS- OXFORD,209,4348,4340,4348,01-22-2020
262,MS- TUPELO,192,9528,9518,9528,01-22-2020
263,MO- CAPE GIRARDEAU,94,677,677,677,01-22-2020
264,MO- COLUMBIA,128,4518,4515,4518,01-22-2020
267,MO- JOPLIN,128,2274,2273,2274,01-22-2020
268,MO- KANSAS CITY,186,43936,43877,43939,01-22-2020
270,MO- SPRINGFIELD,130,5006,5001,5007,01-22-2020
273,MO- ST LOUIS,121,25898,25881,25899,01-22-2020
274,MT- BILLINGS,135,6526,6523,6526,01-22-2020
275,MT- GREAT FALLS,98,737,737,737,01-22-2020
276,MT- MISSOULA,140,3618,3614,3618,01-22-2020
277,NE- LINCOLN,210,13173,13165,13174,01-22-2020
278,NE- OMAHA,229,50570,50540,50570,01-22-2020
279,NV- LAS VEGAS,280,49381,49345,49381,01-22-2020
280,NV- RENO,209,13386,13376,13386,01-22-2020
281,NH- LEBANON,177,5205,5201,5205,01-22-2020
282,NH- MANCHESTER,170,9925,9917,9926,01-22-2020
283,NJ- CAMDEN,274,89991,89937,89993,01-22-2020
284,NJ- HACKENSACK,280,52206,52206,52206,01-22-2020
285,NJ- MORRISTOWN,280,26992,26992,26992,01-22-2020
288,NJ- NEW BRUNSWICK,280,38724,38724,38724,01-22-2020
289,NJ- NEWARK,280,68054,68054,68054,01-22-2020
291,NJ- PATERSON,280,16492,16492,16492,01-22-2020
293,NM- ALBUQUERQUE,196,20673,20659,20674,01-22-2020
295,NY- ALBANY,280,69006,69006,69006,01-22-2020
296,NY- BINGHAMTON,279,10932,10925,10935,01-22-2020
297,NY- BRONX,280,50680,50680,50680,01-22-2020
299,NY- BUFFALO,262,34654,34626,34654,01-22-2020
300,NY- ELMIRA,230,8508,8504,8508,01-22-2020
301,NY- EAST LONG ISLAND,280,153146,153146,153146,01-22-2020
304,NY- ROCHESTER,280,37247,37227,37252,01-22-2020
307,NY- SYRACUSE,243,24159,24138,24163,01-22-2020
308,NY- WHITE PLAINS,280,41566,41566,41566,01-22-2020
309,NC- ASHEVILLE,110,2880,2878,2880,01-22-2020
311,NC- CHARLOTTE,178,29819,29796,29821,01-22-2020
312,NC- DURHAM,139,14369,14357,14370,01-22-2020
313,NC- GREENSBORO,141,5646,5638,5646,01-22-2020
314,NC- GREENVILLE,115,4499,4491,4499,01-22-2020
315,NC- HICKORY,131,1954,1953,1955,01-22-2020
318,NC- RALEIGH,193,25450,25427,25453,01-22-2020
319,NC- WILMINGTON,131,3218,3218,3218,01-22-2020
320,NC- WINSTON-SALEM,128,9199,9191,9199,01-22-2020
321,ND- BISMARCK,148,3157,3155,3157,01-22-2020
322,ND- FARGO MOORHEAD -MN,96,1636,1635,1636,01-22-2020
323,ND- GRAND FORKS,92,328,328,328,01-22-2020
324,ND- MINOT,116,1327,1326,1327,01-22-2020
325,OH- AKRON,277,25377,25349,25382,01-22-2020
326,OH- CANTON,247,18347,18331,18348,01-22-2020
327,OH- CINCINNATI,202,30286,30251,30289,01-22-2020
328,OH- CLEVELAND,253,82287,82215,82290,01-22-2020
329,OH- COLUMBUS,280,125370,125370,125370,01-22-2020
330,OH- DAYTON,174,15650,15641,15650,01-22-2020
331,OH- ELYRIA,280,9437,9436,9437,01-22-2020
332,OH- KETTERING,199,7055,7047,7055,01-22-2020
334,OH- TOLEDO,185,22644,22627,22647,01-22-2020
335,OH- YOUNGSTOWN,194,15549,15532,15552,01-22-2020
336,OK- LAWTON,149,2409,2409,2409,01-22-2020
339,OK- OKLAHOMA CITY,234,52482,52452,52485,01-22-2020
340,OK- TULSA,175,24598,24568,24598,01-22-2020
341,OR- BEND,196,2537,2536,2537,01-22-2020
342,OR- EUGENE,184,6581,6574,6581,01-22-2020
343,OR- MEDFORD,141,3076,3071,3076,01-22-2020
344,OR- PORTLAND,207,35604,35566,35607,01-22-2020
345,OR- SALEM,260,4294,4289,4295,01-22-2020
346,PA- ALLENTOWN,280,40541,40519,40541,01-22-2020
347,PA- ALTOONA,120,1395,1395,1395,01-22-2020
350,PA- DANVILLE,136,4248,4245,4248,01-22-2020
351,PA- ERIE,126,5240,5235,5240,01-22-2020
352,PA- HARRISBURG,195,13664,13654,13666,01-22-2020
354,PA- JOHNSTOWN,106,960,960,960,01-22-2020
355,PA- LANCASTER,257,10983,10973,10983,01-22-2020
356,PA- PHILADELPHIA,263,125763,125666,125770,01-22-2020
357,PA- PITTSBURGH,280,163408,163408,163408,01-22-2020
358,PA- READING,244,12383,12374,12383,01-22-2020
359,PA- SAYRE,212,3209,3205,3210,01-22-2020
360,PA- SCRANTON,259,8692,8688,8693,01-22-2020
362,PA- WILKES-BARRE,218,4735,4732,4735,01-22-2020
363,PA- YORK,234,6649,6642,6649,01-22-2020
365,SC- CHARLESTON,163,12853,12840,12853,01-22-2020
366,SC- COLUMBIA,209,26474,26446,26474,01-22-2020
367,SC- FLORENCE,139,4141,4140,4141,01-22-2020
368,SC- GREENVILLE,164,10523,10511,10525,01-22-2020
369,SC- SPARTANBURG,148,3747,3745,3747,01-22-2020
371,SD- SIOUX FALLS,144,9576,9567,9578,01-22-2020
373,TN- CHATTANOOGA,125,5174,5169,5176,01-22-2020
374,TN- JACKSON,100,1361,1361,1361,01-22-2020
