HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
1,AL- BIRMINGHAM,82.45,204,190,243,81.22,85.34,204 [190 - 243],82.45% [81.22% - 85.34%],207,103,451,10-06-2020
2,AL- DOTHAN,85.47,67,62,84,82.64,92.35,67 [62 - 84],85.47% [82.64% - 92.35%],72,35,164,10-06-2020
5,AL- HUNTSVILLE,82.67,49,46,56,81.38,85.16,49 [46 - 56],82.67% [81.38% - 85.16%],50,26,97,10-06-2020
6,AL- MOBILE,89.35,264,241,344,83.85,107.65,264 [241 - 344],89.35% [83.85% - 107.65%],267,110,790,10-06-2020
7,AL- MONTGOMERY,81.49,21,20,24,80.45,82.91,21 [20 - 24],81.49% [80.45% - 82.91%],23,7,45,10-06-2020
9,AL- TUSCALOOSA,89.3,91,81,126,82.0,112.36,91 [81 - 126],89.3% [82.0% - 112.36%],92,20,323,10-06-2020
11,AZ- MESA,81.76,28,27,33,80.91,83.33,28 [27 - 33],81.76% [80.91% - 83.33%],34,18,66,10-06-2020
12,AZ- PHOENIX,82.24,168,155,201,80.98,84.96,168 [155 - 201],82.24% [80.98% - 84.96%],169,74,376,10-06-2020
14,AZ- SUN CITY,80.71,0,0,1,80.37,81.23,0 [0 - 1],80.71% [80.37% - 81.23%],5,3,10,10-06-2020
15,AZ- TUCSON,81.1,23,20,35,80.24,83.84,23 [20 - 35],81.1% [80.24% - 83.84%],27,6,97,10-06-2020
16,AR- FORT SMITH,85.25,63,59,78,82.26,91.87,63 [59 - 78],85.25% [82.26% - 91.87%],67,29,152,10-06-2020
18,AR- JONESBORO,85.53,49,45,56,81.99,90.51,49 [45 - 56],85.53% [81.99% - 90.51%],49,18,95,10-06-2020
19,AR- LITTLE ROCK,83.99,227,207,263,81.61,87.97,227 [207 - 263],83.99% [81.61% - 87.97%],230,93,460,10-06-2020
