region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
1,AL- BIRMINGHAM,109.82,1832,1807,1862,108.43,111.31,1832 [1807 - 1862],109.82% [108.43% - 111.31%],2518,2401,2644,12-15-2020
2,AL- DOTHAN,97.24,165,162,168,96.27,98.52,165 [162 - 168],97.24% [96.27% - 98.52%],229,216,246,12-15-2020
5,AL- HUNTSVILLE,122.98,595,585,605,120.74,125.0,595 [585 - 605],122.98% [120.74% - 125.0%],808,766,846,12-15-2020
6,AL- MOBILE,101.25,455,444,463,99.95,102.79,455 [444 - 463],101.25% [99.95% - 102.79%],607,570,651,12-15-2020
7,AL- MONTGOMERY,99.15,215,211,218,98.11,100.31,215 [211 - 218],99.15% [98.11% - 100.31%],296,280,314,12-15-2020
9,AL- TUSCALOOSA,124.49,334,327,342,121.68,127.8,334 [327 - 342],124.49% [121.68% - 127.8%],444,416,477,12-15-2020
11,AZ- MESA,179.6,1498,1467,1535,173.28,186.87,1498 [1467 - 1535],179.6% [173.28% - 186.87%],1972,1847,2116,12-15-2020
12,AZ- PHOENIX,144.13,3674,3600,3763,140.16,148.65,3674 [3600 - 3763],144.13% [140.16% - 148.65%],4858,4557,5200,12-15-2020
14,AZ- SUN CITY,123.21,267,261,274,120.37,126.54,267 [261 - 274],123.21% [120.37% - 126.54%],350,327,377,12-15-2020
15,AZ- TUCSON,123.74,803,791,817,121.48,125.88,803 [791 - 817],123.74% [121.48% - 125.88%],1104,1047,1158,12-15-2020
16,AR- FORT SMITH,93.58,122,121,125,92.96,94.36,122 [121 - 125],93.58% [92.96% - 94.36%],174,166,184,12-15-2020
18,AR- JONESBORO,96.7,108,106,109,95.93,97.37,108 [106 - 109],96.7% [95.93% - 97.37%],151,144,157,12-15-2020
19,AR- LITTLE ROCK,94.5,609,601,620,93.91,95.3,609 [601 - 620],94.5% [93.91% - 95.3%],837,803,883,12-15-2020
21,AR- SPRINGDALE,108.0,213,210,217,106.68,109.61,213 [210 - 217],108.0% [106.68% - 109.61%],296,282,313,12-15-2020
22,AR- TEXARKANA,110.61,251,240,259,106.02,113.88,251 [240 - 259],110.61% [106.02% - 113.88%],300,255,332,12-15-2020
23,CA- ORANGE CO.,107.13,1572,1547,1598,105.77,108.47,1572 [1547 - 1598],107.13% [105.77% - 108.47%],2076,1972,2178,12-15-2020
25,CA- BAKERSFIELD,104.47,662,653,671,103.45,105.58,662 [653 - 671],104.47% [103.45% - 105.58%],885,848,925,12-15-2020
31,CA- CHICO,92.34,56,55,57,92.19,92.5,56 [55 - 57],92.34% [92.19% - 92.5%],79,78,80,12-15-2020
33,CA- CONTRA COSTA CO.,93.18,173,171,176,92.98,93.38,173 [171 - 176],93.18% [92.98% - 93.38%],264,260,268,12-15-2020
43,CA- FRESNO,104.92,418,412,425,103.74,106.19,418 [412 - 425],104.92% [103.74% - 106.19%],569,542,598,12-15-2020
56,CA- LOS ANGELES,148.89,13567,13228,14055,143.59,156.4,13.57K [13.23K - 14.06K],148.89% [143.59% - 156.4%],17086,15771,18950,12-15-2020
58,CA- MODESTO,118.98,501,494,511,117.0,120.95,501 [494 - 511],118.98% [117.0% - 120.95%],670,636,704,12-15-2020
62,CA- NAPA,97.35,76,74,77,96.32,98.21,76 [74 - 77],97.35% [96.32% - 98.21%],101,95,106,12-15-2020
65,CA- ALAMEDA CO.,95.39,394,387,401,94.53,96.22,394 [387 - 401],95.39% [94.53% - 96.22%],520,491,548,12-15-2020
69,CA- PALM SPR/RANCHO MIR.,140.11,508,497,520,136.13,144.29,508 [497 - 520],140.11% [136.13% - 144.29%],633,591,677,12-15-2020
73,CA- REDDING,94.7,113,112,115,94.05,95.62,113 [112 - 115],94.7% [94.05% - 95.62%],159,152,169,12-15-2020
77,CA- SACRAMENTO,107.8,985,968,1000,106.4,109.26,985 [968 - 1000],107.8% [106.4% - 109.26%],1330,1263,1400,12-15-2020
78,CA- SALINAS,98.41,103,101,105,98.16,98.66,103 [101 - 105],98.41% [98.16% - 98.66%],146,144,148,12-15-2020
79,CA- SAN BERNARDINO,171.99,4197,4112,4296,166.23,178.5,4197 [4112 - 4296],171.99% [166.23% - 178.5%],5319,4986,5695,12-15-2020
80,CA- SAN DIEGO,117.81,2038,2000,2078,115.65,120.04,2038 [2000 - 2078],117.81% [115.65% - 120.04%],2659,2507,2816,12-15-2020
81,CA- SAN FRANCISCO,85.64,205,202,208,85.38,85.93,205 [202 - 208],85.64% [85.38% - 85.93%],286,273,301,12-15-2020
82,CA- SAN JOSE,108.92,657,647,668,107.59,110.3,657 [647 - 668],108.92% [107.59% - 110.3%],875,835,917,12-15-2020
83,CA- SAN LUIS OBISPO,101.27,73,71,75,99.96,102.81,73 [71 - 75],101.27% [99.96% - 102.81%],97,91,104,12-15-2020
85,CA- SAN MATEO CO.,90.94,217,214,221,90.46,91.42,217 [214 - 221],90.94% [90.46% - 91.42%],295,282,308,12-15-2020
86,CA- SANTA BARBARA,90.46,73,72,74,89.94,90.97,73 [72 - 74],90.46% [89.94% - 90.97%],101,96,106,12-15-2020
87,CA- SANTA CRUZ,122.34,117,114,121,119.83,126.8,117 [114 - 121],122.34% [119.83% - 126.8%],152,143,168,12-15-2020
89,CA- SANTA ROSA,89.03,127,125,129,88.6,89.51,127 [125 - 129],89.03% [88.6% - 89.51%],168,160,177,12-15-2020
91,CA- STOCKTON,124.78,364,360,370,122.8,126.47,364 [360 - 370],124.78% [122.8% - 126.47%],476,455,494,12-15-2020
96,CA- VENTURA,101.04,244,239,249,99.77,102.38,244 [239 - 249],101.04% [99.77% - 102.38%],331,311,352,12-15-2020
101,CO- BOULDER,98.74,53,52,55,98.11,99.37,53 [52 - 55],98.74% [98.11% - 99.37%],89,86,92,12-15-2020
102,CO- COLORADO SPRINGS,127.83,337,330,346,126.38,129.47,337 [330 - 346],127.83% [126.38% - 129.47%],495,480,512,12-15-2020
103,CO- DENVER,108.24,882,866,898,107.44,109.01,882 [866 - 898],108.24% [107.44% - 109.01%],1349,1311,1386,12-15-2020
104,CO- FORT COLLINS,99.25,84,82,85,98.47,99.72,84 [82 - 85],99.25% [98.47% - 99.72%],123,118,126,12-15-2020
105,CO- GRAND JUNCTION,101.59,119,117,122,100.45,102.73,119 [117 - 122],101.59% [100.45% - 102.73%],171,162,180,12-15-2020
106,CO- GREELEY,103.81,117,114,120,102.91,104.32,117 [114 - 120],103.81% [102.91% - 104.32%],185,178,189,12-15-2020
107,CO- PUEBLO,98.17,99,96,102,97.29,98.92,99 [96 - 102],98.17% [97.29% - 98.92%],145,138,151,12-15-2020
