region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
1,AL- BIRMINGHAM,82.14,390,369,419,81.46,83.06,390 [369 - 419],82.14% [81.46% - 83.06%],181,123,258,02-09-2021
2,AL- DOTHAN,82.26,53,49,58,81.2,82.86,53 [49 - 58],82.26% [81.2% - 82.86%],30,16,38,02-09-2021
5,AL- HUNTSVILLE,82.98,121,114,128,82.13,83.94,121 [114 - 128],82.98% [82.13% - 83.94%],56,40,74,02-09-2021
6,AL- MOBILE,82.21,136,129,146,81.65,83.01,136 [129 - 146],82.21% [81.65% - 83.01%],63,47,86,02-09-2021
7,AL- MONTGOMERY,83.17,112,103,116,81.55,83.75,112 [103 - 116],83.17% [81.55% - 83.75%],49,24,58,02-09-2021
9,AL- TUSCALOOSA,82.51,53,50,58,81.9,83.91,53 [50 - 58],82.51% [81.9% - 83.91%],25,19,39,02-09-2021
11,AZ- MESA,83.69,145,136,154,82.42,84.95,145 [136 - 154],83.69% [82.42% - 84.95%],73,48,98,02-09-2021
12,AZ- PHOENIX,82.19,332,314,353,81.47,82.98,332 [314 - 353],82.19% [81.47% - 82.98%],166,111,226,02-09-2021
14,AZ- SUN CITY,81.48,25,23,27,80.99,81.98,25 [23 - 27],81.48% [80.99% - 81.98%],12,8,16,02-09-2021
15,AZ- TUCSON,81.78,88,83,94,81.19,82.42,88 [83 - 94],81.78% [81.19% - 82.42%],45,30,61,02-09-2021
16,AR- FORT SMITH,82.19,63,59,68,81.8,83.28,63 [59 - 68],82.19% [81.8% - 83.28%],28,23,42,02-09-2021
18,AR- JONESBORO,81.66,30,28,34,81.0,82.65,30 [28 - 34],81.66% [81.0% - 82.65%],15,9,24,02-09-2021
19,AR- LITTLE ROCK,82.69,344,325,370,81.87,83.9,344 [325 - 370],82.69% [81.87% - 83.9%],155,108,225,02-09-2021
21,AR- SPRINGDALE,83.22,76,72,81,82.37,84.54,76 [72 - 81],83.22% [82.37% - 84.54%],34,25,48,02-09-2021
22,AR- TEXARKANA,83.27,77,73,84,82.35,85.0,77 [73 - 84],83.27% [82.35% - 85.0%],32,23,49,02-09-2021
23,CA- ORANGE CO.,80.68,96,91,102,80.46,80.89,96 [91 - 102],80.68% [80.46% - 80.89%],52,35,68,02-09-2021
25,CA- BAKERSFIELD,81.08,79,75,84,80.75,81.44,79 [75 - 84],81.08% [80.75% - 81.44%],39,27,52,02-09-2021
31,CA- CHICO,80.78,10,9,11,80.47,80.78,10 [9 - 11],80.78% [80.47% - 80.78%],5,3,5,02-09-2021
33,CA- CONTRA COSTA CO.,81.05,41,38,44,80.7,81.4,41 [38 - 44],81.05% [80.7% - 81.4%],21,14,28,02-09-2021
43,CA- FRESNO,81.84,82,78,88,81.31,82.41,82 [78 - 88],81.84% [81.31% - 82.41%],42,30,55,02-09-2021
56,CA- LOS ANGELES,80.85,393,371,415,80.57,81.12,393 [371 - 415],80.85% [80.57% - 81.12%],211,142,278,02-09-2021
58,CA- MODESTO,82.33,82,77,87,81.63,83.08,82 [77 - 87],82.33% [81.63% - 83.08%],40,28,53,02-09-2021
62,CA- NAPA,81.37,18,17,20,81.03,81.55,18 [17 - 20],81.37% [81.03% - 81.55%],8,6,9,02-09-2021
65,CA- ALAMEDA CO.,80.59,39,36,42,80.38,80.8,39 [36 - 42],80.59% [80.38% - 80.8%],20,13,27,02-09-2021
69,CA- PALM SPR/RANCHO MIR.,80.66,14,13,15,80.47,80.95,14 [13 - 15],80.66% [80.47% - 80.95%],7,5,10,02-09-2021
73,CA- REDDING,80.55,11,10,12,80.28,80.55,11 [10 - 12],80.55% [80.28% - 80.55%],6,3,6,02-09-2021
77,CA- SACRAMENTO,80.59,60,56,64,80.42,80.82,60 [56 - 64],80.59% [80.42% - 80.82%],28,20,39,02-09-2021
78,CA- SALINAS,81.51,23,21,25,81.01,81.89,23 [21 - 25],81.51% [81.01% - 81.89%],12,8,15,02-09-2021
79,CA- SAN BERNARDINO,80.81,85,79,92,80.52,81.14,85 [79 - 92],80.81% [80.52% - 81.14%],47,30,66,02-09-2021
80,CA- SAN DIEGO,81.49,210,199,223,81.04,82.0,210 [199 - 223],81.49% [81.04% - 82.0%],105,73,141,02-09-2021
81,CA- SAN FRANCISCO,80.39,39,36,42,80.26,80.53,39 [36 - 42],80.39% [80.26% - 80.53%],20,13,27,02-09-2021
82,CA- SAN JOSE,80.76,42,39,45,80.5,80.96,42 [39 - 45],80.76% [80.5% - 80.96%],23,15,29,02-09-2021
83,CA- SAN LUIS OBISPO,81.97,20,19,21,81.32,82.63,20 [19 - 21],81.97% [81.32% - 82.63%],9,6,12,02-09-2021
