name,Region,Last Update,Confirmed,Deaths,Recovered
Hubei,China,2020-03-19 10:13:14,67800,3130,57682
Guangdong,China,2020-03-19 01:13:06,1378,8,1318
Henan,China,2020-03-14 09:53:08,1273,22,1250
Zhejiang,China,2020-03-19 10:13:14,1233,1,1217
Hunan,China,2020-03-14 08:33:03,1018,4,1014
Anhui,China,2020-03-11 02:18:14,990,6,984
Jiangxi,China,2020-03-12 02:13:04,935,1,934
Shandong,China,2020-03-19 01:02:56,761,7,747
Jiangsu,China,2020-03-15 01:53:02,631,0,631
Chongqing,China,2020-03-15 03:53:04,576,6,570
Sichuan,China,2020-03-19 10:13:14,540,3,536
Heilongjiang,China,2020-03-19 01:02:56,483,13,460
Beijing,China,2020-03-19 05:13:10,480,8,380
Shanghai,China,2020-03-19 01:02:56,363,3,326
Hebei,China,2020-03-13 11:09:03,318,6,310
Fujian,China,2020-03-11 02:18:14,296,1,295
Guangxi,China,2020-03-18 00:33:02,253,2,250
Shaanxi,China,2020-03-18 03:53:02,246,3,237
Hong Kong,China,2020-03-19 09:53:20,208,4,95
Yunnan,China,2020-03-16 23:53:02,176,2,172
Hainan,China,2020-03-16 14:38:45,168,6,161
Guizhou,China,2020-03-18 01:53:03,146,2,144
Tianjin,China,2020-03-15 18:20:18,136,3,133
Gansu,China,2020-03-19 14:33:08,134,2,91
Shanxi,China,2020-03-13 11:09:03,133,0,133
Liaoning,China,2020-03-18 02:13:06,125,1,122
None,Taiwan*,2020-03-19 06:53:03,108,1,26
Jilin,China,2020-03-16 00:22:10,93,1,92
Xinjiang Uygur,China,2020-03-11 02:18:14,76,3,73
Nei Mongol,China,2020-03-19 01:03:02,75,1,74
Ningxia,China,2020-03-16 14:38:45,75,0,75
Qinghai,China,2020-03-11 02:18:14,18,0,18
Macau,China,2020-03-19 01:02:56,17,0,10
Xizang,China,2020-03-11 02:18:14,1,0,1
France,France,2020-03-19 20:43:02,10886,243,12
United Kingdom,United Kingdom,2020-03-19 20:13:56,2716,138,67
Netherlands,Netherlands,2020-03-19 14:53:06,2465,77,2
Denmark,Denmark,2020-03-19 17:13:42,1225,6,1
Australia,Australia,2020-03-19 11:13:54,681,6,26
Italy,Italy,2020-03-19 17:43:03,41035,3405,4440
Iran,Iran,2020-03-19 11:33:29,18407,1284,5710
Spain,Spain,2020-03-19 20:13:08,17963,830,1107
Germany,Germany,2020-03-19 20:13:08,15320,44,113
Korea,Korea, South,2020-03-19 02:13:17,8565,91,1540
Switzerland,Switzerland,2020-03-19 14:53:05,3888,36,15
Austria,Austria,2020-03-19 14:53:05,2013,6,9
Belgium,Belgium,2020-03-19 11:13:17,1795,21,31
Norway,Norway,2020-03-19 17:13:14,1746,7,1
Sweden,Sweden,2020-03-19 15:13:27,1439,11,16
Japan,Japan,2020-03-19 10:13:15,924,29,150
Malaysia,Malaysia,2020-03-19 10:13:15,900,2,75
