region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
1,AL- BIRMINGHAM,91.88,709,659,842,86.9,105.15,709 [659 - 842],91.88% [86.9% - 105.15%],1003,583,2124,09-08-2020
2,AL- DOTHAN,86.02,56,52,62,84.59,90.09,56 [52 - 62],86.02% [84.59% - 90.09%],80,61,134,09-08-2020
5,AL- HUNTSVILLE,88.09,116,110,144,84.84,100.05,116 [110 - 144],88.09% [84.84% - 100.05%],152,91,377,09-08-2020
6,AL- MOBILE,83.26,70,66,76,82.28,84.52,70 [66 - 76],83.26% [82.28% - 84.52%],93,65,129,09-08-2020
7,AL- MONTGOMERY,87.89,87,81,101,84.53,93.97,87 [81 - 101],87.89% [84.53% - 93.97%],122,70,216,09-08-2020
9,AL- TUSCALOOSA,90.32,72,66,83,84.71,98.14,72 [66 - 83],90.32% [84.71% - 98.14%],103,47,181,09-08-2020
11,AZ- MESA,83.69,49,47,55,82.68,85.86,49 [47 - 55],83.69% [82.68% - 85.86%],73,53,116,09-08-2020
12,AZ- PHOENIX,81.73,92,89,107,81.33,83.19,92 [89 - 107],81.73% [81.33% - 83.19%],131,101,242,09-08-2020
14,AZ- SUN CITY,80.74,0,0,1,80.49,81.36,0 [0 - 1],80.74% [80.49% - 81.36%],6,4,11,09-08-2020
15,AZ- TUCSON,80.83,12,12,13,80.75,81.07,12 [12 - 13],80.83% [80.75% - 81.07%],21,19,27,09-08-2020
16,AR- FORT SMITH,83.28,28,28,30,82.65,83.9,28 [28 - 30],83.28% [82.65% - 83.9%],42,34,50,09-08-2020
18,AR- JONESBORO,87.63,49,47,57,84.65,94.05,49 [47 - 57],87.63% [84.65% - 94.05%],69,42,127,09-08-2020
19,AR- LITTLE ROCK,84.11,175,164,190,82.41,85.93,175 [164 - 190],84.11% [82.41% - 85.93%],237,139,342,09-08-2020
21,AR- SPRINGDALE,112.26,263,241,324,94.19,163.44,263 [241 - 324],112.26% [94.19% - 163.44%],341,150,882,09-08-2020
22,AR- TEXARKANA,86.33,42,41,46,83.78,89.18,42 [41 - 46],86.33% [83.78% - 89.18%],62,37,90,09-08-2020
23,CA- ORANGE CO.,82.82,150,147,157,82.42,83.53,150 [147 - 157],82.82% [82.42% - 83.53%],216,185,270,09-08-2020
25,CA- BAKERSFIELD,81.88,39,39,42,81.47,82.54,39 [39 - 42],81.88% [81.47% - 82.54%],68,53,92,09-08-2020
31,CA- CHICO,123.12,189,174,228,103.44,169.06,189 [174 - 228],123.12% [103.44% - 169.06%],276,150,570,09-08-2020
33,CA- CONTRA COSTA CO.,82.3,28,28,30,81.75,82.9,28 [28 - 30],82.3% [81.75% - 82.9%],46,35,58,09-08-2020
43,CA- FRESNO,86.92,97,92,108,84.25,90.42,97 [92 - 108],86.92% [84.25% - 90.42%],158,97,238,09-08-2020
56,CA- LOS ANGELES,82.29,392,381,429,81.86,83.5,392 [381 - 429],82.29% [81.86% - 83.5%],568,461,868,09-08-2020
58,CA- MODESTO,85.64,63,61,67,84.19,87.56,63 [61 - 67],85.64% [84.19% - 87.56%],97,72,130,09-08-2020
62,CA- NAPA,83.61,7,7,8,82.75,84.12,7 [7 - 8],83.61% [82.75% - 84.12%],21,16,24,09-08-2020
65,CA- ALAMEDA CO.,83.49,85,83,88,82.99,84.0,85 [83 - 88],83.49% [82.99% - 84.0%],118,101,135,09-08-2020
69,CA- PALM SPR/RANCHO MIR.,81.23,7,7,7,81.04,81.52,7 [7 - 7],81.23% [81.04% - 81.52%],13,11,16,09-08-2020
73,CA- REDDING,81.11,7,7,13,81.02,85.45,7 [7 - 13],81.11% [81.02% - 85.45%],12,11,59,09-08-2020
77,CA- SACRAMENTO,87.17,256,246,276,85.37,90.1,256 [246 - 276],87.17% [85.37% - 90.1%],343,257,483,09-08-2020
78,CA- SALINAS,91.98,64,62,70,88.95,96.27,64 [62 - 70],91.98% [88.95% - 96.27%],95,71,129,09-08-2020
79,CA- SAN BERNARDINO,82.28,80,78,84,81.89,82.82,80 [78 - 84],82.28% [81.89% - 82.82%],132,109,163,09-08-2020
80,CA- SAN DIEGO,85.99,324,310,367,84.19,90.68,324 [310 - 367],85.99% [84.19% - 90.68%],421,295,751,09-08-2020
81,CA- SAN FRANCISCO,82.09,77,74,83,81.44,83.0,77 [74 - 83],82.09% [81.44% - 83.0%],106,73,152,09-08-2020
82,CA- SAN JOSE,88.03,183,178,197,86.51,91.73,183 [178 - 197],88.03% [86.51% - 91.73%],243,197,355,09-08-2020
83,CA- SAN LUIS OBISPO,85.04,14,14,15,85.04,86.8,14 [14 - 15],85.04% [85.04% - 86.8%],23,23,31,09-08-2020
85,CA- SAN MATEO CO.,82.97,56,56,60,82.34,83.93,56 [56 - 60],82.97% [82.34% - 83.93%],80,63,106,09-08-2020
86,CA- SANTA BARBARA,83.62,21,21,23,82.9,85.28,21 [21 - 23],83.62% [82.9% - 85.28%],35,28,51,09-08-2020
87,CA- SANTA CRUZ,90.31,28,28,32,87.8,96.99,28 [28 - 32],90.31% [87.8% - 96.99%],37,28,61,09-08-2020
89,CA- SANTA ROSA,84.51,59,58,62,83.6,85.37,59 [58 - 62],84.51% [83.6% - 85.37%],84,67,100,09-08-2020
91,CA- STOCKTON,93.55,112,106,120,89.97,99.66,112 [106 - 120],93.55% [89.97% - 99.66%],144,106,209,09-08-2020
96,CA- VENTURA,84.83,49,48,51,83.81,85.53,49 [48 - 51],84.83% [83.81% - 85.53%],76,60,87,09-08-2020
101,CO- BOULDER,94.53,52,49,61,89.05,109.05,52 [49 - 61],94.53% [89.05% - 109.05%],69,43,138,09-08-2020
102,CO- COLORADO SPRINGS,83.09,18,17,23,81.93,87.44,18 [17 - 23],83.09% [81.93% - 87.44%],32,20,77,09-08-2020
103,CO- DENVER,84.38,163,152,187,82.72,88.73,163 [152 - 187],84.38% [82.72% - 88.73%],209,130,417,09-08-2020
104,CO- FORT COLLINS,93.3,65,61,76,87.36,107.54,65 [61 - 76],93.3% [87.36% - 107.54%],85,47,176,09-08-2020
105,CO- GRAND JUNCTION,84.42,23,22,33,82.65,93.64,23 [22 - 33],84.42% [82.65% - 93.64%],35,21,108,09-08-2020
106,CO- GREELEY,90.68,63,59,75,85.66,101.62,63 [59 - 75],90.68% [85.66% - 101.62%],83,44,168,09-08-2020
107,CO- PUEBLO,82.63,14,14,16,81.25,83.13,14 [14 - 16],82.63% [81.25% - 83.13%],21,10,25,09-08-2020
109,CT- BRIDGEPORT,89.03,116,110,124,85.66,92.33,116 [110 - 124],89.03% [85.66% - 92.33%],153,96,209,09-08-2020
110,CT- HARTFORD,113.29,875,811,1093,98.92,170.17,875 [811 - 1093],113.29% [98.92% - 170.17%],1084,616,2936,09-08-2020
111,CT- NEW HAVEN,98.54,573,523,756,88.2,132.8,573 [523 - 756],98.54% [88.2% - 132.8%],714,316,2034,09-08-2020
112,DE- WILMINGTON,91.6,168,159,201,87.47,105.35,168 [159 - 201],91.6% [87.47% - 105.35%],216,139,472,09-08-2020
113,DC- WASHINGTON,86.65,283,273,320,85.16,92.02,283 [273 - 320],86.65% [85.16% - 92.02%],365,283,660,09-08-2020
115,FL- BRADENTON,80.56,0,0,0,80.56,81.13,0 [0 - 0],80.56% [80.56% - 81.13%],4,4,8,09-08-2020
116,FL- CLEARWATER,80.55,0,0,1,80.49,80.86,0 [0 - 1],80.55% [80.49% - 80.86%],9,8,14,09-08-2020
118,FL- FORT LAUDERDALE,82.06,128,121,142,81.36,83.08,128 [121 - 142],82.06% [81.36% - 83.08%],179,118,268,09-08-2020
119,FL- FORT MYERS,81.75,47,46,53,81.36,82.82,47 [46 - 53],81.75% [81.36% - 82.82%],67,52,108,09-08-2020
120,FL- GAINESVILLE,82.44,21,20,27,81.25,84.56,21 [20 - 27],82.44% [81.25% - 84.56%],45,23,84,09-08-2020
122,FL- HUDSON,82.8,21,21,24,81.84,84.23,21 [21 - 24],82.8% [81.84% - 84.23%],35,23,53,09-08-2020
123,FL- JACKSONVILLE,84.11,154,145,176,82.48,87.74,154 [145 - 176],84.11% [82.48% - 87.74%],202,122,380,09-08-2020
124,FL- LAKELAND,83.37,21,21,24,82.25,85.24,21 [21 - 24],83.37% [82.25% - 85.24%],36,24,56,09-08-2020
127,FL- MIAMI,81.29,83,74,94,80.34,82.13,83 [74 - 94],81.29% [80.34% - 82.13%],139,37,230,09-08-2020
129,FL- OCALA,82.7,25,24,29,82.05,84.17,25 [24 - 29],82.7% [82.05% - 84.17%],37,28,57,09-08-2020
130,FL- ORLANDO,82.19,161,154,183,81.55,83.77,161 [154 - 183],82.19% [81.55% - 83.77%],227,161,391,09-08-2020
131,FL- ORMOND BEACH,81.39,14,14,16,81.21,82.42,14 [14 - 16],81.39% [81.21% - 82.42%],23,20,40,09-08-2020
133,FL- PANAMA CITY,80.15,0,0,0,80.0,80.45,0 [0 - 0],80.15% [80.0% - 80.45%],1,0,3,09-08-2020
134,FL- PENSACOLA,82.72,40,39,46,81.66,84.3,40 [39 - 46],82.72% [81.66% - 84.3%],64,39,101,09-08-2020
137,FL- SARASOTA,80.55,0,0,1,80.42,80.9,0 [0 - 1],80.55% [80.42% - 80.9%],8,6,13,09-08-2020
139,FL- ST PETERSBURG,80.44,0,0,1,80.38,80.69,0 [0 - 1],80.44% [80.38% - 80.69%],7,6,11,09-08-2020
140,FL- TALLAHASSEE,85.23,97,89,120,82.41,91.94,97 [89 - 120],85.23% [82.41% - 91.94%],141,65,322,09-08-2020
141,FL- TAMPA,82.18,67,64,73,81.53,83.31,67 [64 - 73],82.18% [81.53% - 83.31%],93,65,141,09-08-2020
142,GA- ALBANY,80.0,0,0,2,80.0,81.32,0 [0 - 2],80.0% [80.0% - 81.32%],0,0,14,09-08-2020
144,GA- ATLANTA,87.3,588,552,672,84.39,92.96,588 [552 - 672],87.3% [84.39% - 92.96%],875,526,1553,09-08-2020
145,GA- AUGUSTA,82.24,24,22,31,81.02,84.32,24 [22 - 31],82.24% [81.02% - 84.32%],55,25,106,09-08-2020
146,GA- COLUMBUS,83.81,27,25,37,81.51,91.83,27 [25 - 37],83.81% [81.51% - 91.83%],48,19,149,09-08-2020
147,GA- MACON,83.22,49,42,56,80.81,85.72,49 [42 - 56],83.22% [80.81% - 85.72%],72,18,128,09-08-2020
148,GA- ROME,89.43,42,41,49,86.83,94.62,42 [41 - 49],89.43% [86.83% - 94.62%],69,50,107,09-08-2020
149,GA- SAVANNAH,85.93,76,70,97,83.06,97.54,76 [70 - 97],85.93% [83.06% - 97.54%],122,63,361,09-08-2020
151,ID- BOISE,82.21,28,26,35,81.11,84.91,28 [26 - 35],82.21% [81.11% - 84.91%],46,23,102,09-08-2020
152,ID- IDAHO FALLS,89.76,30,28,37,86.29,101.69,30 [28 - 37],89.76% [86.29% - 101.69%],45,29,100,09-08-2020
154,IL- AURORA,88.54,35,35,37,86.83,91.95,35 [35 - 37],88.54% [86.83% - 91.95%],45,36,63,09-08-2020
