HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
1,AL- BIRMINGHAM,84.01,336,332,339,83.68,84.18,336 [332 - 339],84.01% [83.68% - 84.18%],338,311,353,09-22-2020
2,AL- DOTHAN,84.95,65,64,66,84.29,85.12,65 [64 - 66],84.95% [84.29% - 85.12%],65,57,68,09-22-2020
5,AL- HUNTSVILLE,84.27,78,78,79,84.04,84.31,78 [78 - 79],84.27% [84.04% - 84.31%],80,76,81,09-22-2020
6,AL- MOBILE,81.45,35,35,36,81.4,81.47,35 [35 - 36],81.45% [81.4% - 81.47%],41,40,42,09-22-2020
7,AL- MONTGOMERY,83.59,51,51,53,83.23,84.01,51 [51 - 53],83.59% [83.23% - 84.01%],55,50,62,09-22-2020
9,AL- TUSCALOOSA,86.14,59,59,61,85.61,86.81,59 [59 - 61],86.14% [85.61% - 86.81%],61,56,68,09-22-2020
11,AZ- MESA,83.86,73,72,75,83.38,84.24,73 [72 - 75],83.86% [83.38% - 84.24%],76,67,84,09-22-2020
12,AZ- PHOENIX,82.67,198,194,203,82.35,82.96,198 [194 - 203],82.67% [82.35% - 82.96%],202,178,224,09-22-2020
14,AZ- SUN CITY,81.62,9,9,10,81.36,81.73,9 [9 - 10],81.62% [81.36% - 81.73%],13,11,14,09-22-2020
15,AZ- TUCSON,86.68,165,161,172,85.43,88.24,165 [161 - 172],86.68% [85.43% - 88.24%],168,137,208,09-22-2020
16,AR- FORT SMITH,84.16,50,49,51,83.98,84.76,50 [49 - 51],84.16% [83.98% - 84.76%],53,51,61,09-22-2020
18,AR- JONESBORO,85.82,50,49,51,85.09,86.19,50 [49 - 51],85.82% [85.09% - 86.19%],52,46,56,09-22-2020
19,AR- LITTLE ROCK,83.19,181,178,185,82.88,83.4,181 [178 - 185],83.19% [82.88% - 83.4%],184,166,196,09-22-2020
21,AR- SPRINGDALE,91.31,116,115,119,90.6,91.83,116 [115 - 119],91.31% [90.6% - 91.83%],119,112,125,09-22-2020
22,AR- TEXARKANA,81.78,16,16,18,81.53,82.65,16 [16 - 18],81.78% [81.53% - 82.65%],17,15,26,09-22-2020
23,CA- ORANGE CO.,81.58,117,115,119,81.39,81.7,117 [115 - 119],81.58% [81.39% - 81.7%],121,106,130,09-22-2020
25,CA- BAKERSFIELD,82.3,79,79,81,82.16,82.43,79 [79 - 81],82.3% [82.16% - 82.43%],83,78,88,09-22-2020
31,CA- CHICO,83.37,18,18,19,82.81,83.75,18 [18 - 19],83.37% [82.81% - 83.75%],21,18,24,09-22-2020
33,CA- CONTRA COSTA CO.,82.6,48,48,50,82.45,82.75,48 [48 - 50],82.6% [82.45% - 82.75%],52,49,55,09-22-2020
43,CA- FRESNO,83.9,84,83,85,83.42,84.12,84 [83 - 85],83.9% [83.42% - 84.12%],89,78,94,09-22-2020
56,CA- LOS ANGELES,82.05,505,499,509,81.91,82.13,505 [499 - 509],82.05% [81.91% - 82.13%],507,473,529,09-22-2020
58,CA- MODESTO,83.16,48,48,50,82.85,83.43,48 [48 - 50],83.16% [82.85% - 83.43%],54,49,59,09-22-2020
62,CA- NAPA,83.09,14,14,14,82.92,82.92,14 [14 - 14],83.09% [82.92% - 82.92%],17,17,17,09-22-2020
65,CA- ALAMEDA CO.,81.54,49,49,50,81.45,81.66,49 [49 - 50],81.54% [81.45% - 81.66%],51,49,56,09-22-2020
69,CA- PALM SPR/RANCHO MIR.,81.61,14,14,15,81.42,81.71,14 [14 - 15],81.61% [81.42% - 81.71%],16,15,18,09-22-2020
73,CA- REDDING,81.14,7,7,7,81.11,81.11,7 [7 - 7],81.14% [81.11% - 81.11%],12,12,12,09-22-2020
77,CA- SACRAMENTO,82.91,136,135,138,82.74,83.09,136 [135 - 138],82.91% [82.74% - 83.09%],139,131,148,09-22-2020
78,CA- SALINAS,85.63,42,42,42,85.3,85.67,42 [42 - 42],85.63% [85.3% - 85.67%],44,42,45,09-22-2020
79,CA- SAN BERNARDINO,82.98,170,169,172,82.84,83.2,170 [169 - 172],82.98% [82.84% - 83.2%],172,164,185,09-22-2020
80,CA- SAN DIEGO,83.61,250,247,254,83.28,83.87,250 [247 - 254],83.61% [83.28% - 83.87%],254,231,272,09-22-2020
81,CA- SAN FRANCISCO,81.26,60,60,61,81.18,81.32,60 [60 - 61],81.26% [81.18% - 81.32%],64,60,67,09-22-2020
82,CA- SAN JOSE,82.6,73,73,74,82.48,82.74,73 [73 - 74],82.6% [82.48% - 82.74%],78,75,83,09-22-2020
83,CA- SAN LUIS OBISPO,82.58,7,7,7,82.41,82.41,7 [7 - 7],82.58% [82.41% - 82.41%],11,11,11,09-22-2020
85,CA- SAN MATEO CO.,81.76,47,47,48,81.67,81.82,47 [47 - 48],81.76% [81.67% - 81.82%],47,45,49,09-22-2020
86,CA- SANTA BARBARA,82.14,15,15,16,81.97,82.28,15 [15 - 16],82.14% [81.97% - 82.28%],20,19,22,09-22-2020
87,CA- SANTA CRUZ,84.05,14,14,14,83.9,84.46,14 [14 - 14],84.05% [83.9% - 84.46%],14,14,16,09-22-2020
89,CA- SANTA ROSA,81.7,28,28,28,81.56,81.67,28 [28 - 28],81.7% [81.56% - 81.67%],31,29,31,09-22-2020
91,CA- STOCKTON,84.9,50,50,51,84.7,84.99,50 [50 - 51],84.9% [84.7% - 84.99%],52,50,53,09-22-2020
96,CA- VENTURA,83.16,46,46,47,82.99,83.18,46 [46 - 47],83.16% [82.99% - 83.18%],49,47,50,09-22-2020
101,CO- BOULDER,98.32,84,82,88,95.37,101.47,84 [82 - 88],98.32% [95.37% - 101.47%],86,73,102,09-22-2020
102,CO- COLORADO SPRINGS,82.79,25,25,31,82.51,84.54,25 [25 - 31],82.79% [82.51% - 84.54%],28,26,47,09-22-2020
103,CO- DENVER,84.16,197,194,205,83.77,84.96,197 [194 - 205],84.16% [83.77% - 84.96%],198,180,237,09-22-2020
104,CO- FORT COLLINS,84.39,24,24,25,84.23,85.16,24 [24 - 25],84.39% [84.23% - 85.16%],28,27,33,09-22-2020
105,CO- GRAND JUNCTION,81.01,7,7,8,81.01,82.02,7 [7 - 8],81.01% [81.01% - 82.02%],8,8,16,09-22-2020
106,CO- GREELEY,86.07,43,42,45,85.53,86.44,43 [42 - 45],86.07% [85.53% - 86.44%],47,43,50,09-22-2020
107,CO- PUEBLO,81.0,7,7,7,81.0,81.0,7 [7 - 7],81.0% [81.0% - 81.0%],8,8,8,09-22-2020
109,CT- BRIDGEPORT,83.59,56,56,58,83.54,83.66,56 [56 - 58],83.59% [83.54% - 83.66%],60,60,62,09-22-2020
110,CT- HARTFORD,84.09,128,127,130,83.75,84.18,128 [127 - 130],84.09% [83.75% - 84.18%],133,122,136,09-22-2020
111,CT- NEW HAVEN,82.43,91,90,93,82.05,82.52,91 [90 - 93],82.43% [82.05% - 82.52%],93,79,97,09-22-2020
112,DE- WILMINGTON,84.26,76,76,77,84.03,84.35,76 [76 - 77],84.26% [84.03% - 84.35%],79,75,81,09-22-2020
113,DC- WASHINGTON,84.24,230,229,233,84.1,84.45,230 [229 - 233],84.24% [84.1% - 84.45%],232,225,244,09-22-2020
115,FL- BRADENTON,81.87,11,11,12,81.69,81.97,11 [11 - 12],81.87% [81.69% - 81.97%],13,12,14,09-22-2020
116,FL- CLEARWATER,81.07,14,14,14,80.98,81.22,14 [14 - 14],81.07% [80.98% - 81.22%],17,16,20,09-22-2020
118,FL- FORT LAUDERDALE,81.3,110,110,112,81.23,81.39,110 [110 - 112],81.3% [81.23% - 81.39%],113,107,121,09-22-2020
119,FL- FORT MYERS,81.0,34,34,35,80.94,81.05,34 [34 - 35],81.0% [80.94% - 81.05%],38,36,40,09-22-2020
120,FL- GAINESVILLE,85.24,92,91,96,84.56,86.3,92 [91 - 96],85.24% [84.56% - 86.3%],96,84,116,09-22-2020
122,FL- HUDSON,81.15,12,12,13,81.12,81.28,12 [12 - 13],81.15% [81.12% - 81.28%],14,14,16,09-22-2020
123,FL- JACKSONVILLE,82.52,121,120,122,82.38,82.57,121 [120 - 122],82.52% [82.38% - 82.57%],123,117,126,09-22-2020
124,FL- LAKELAND,82.38,21,21,22,82.25,82.43,21 [21 - 22],82.38% [82.25% - 82.43%],25,24,26,09-22-2020
127,FL- MIAMI,81.33,140,136,141,81.09,81.37,140 [136 - 141],81.33% [81.09% - 81.37%],143,118,148,09-22-2020
129,FL- OCALA,82.14,25,25,26,82.05,82.12,25 [25 - 26],82.14% [82.05% - 82.12%],29,28,29,09-22-2020
130,FL- ORLANDO,81.63,165,164,168,81.52,81.72,165 [164 - 168],81.63% [81.52% - 81.72%],168,158,178,09-22-2020
131,FL- ORMOND BEACH,81.41,21,21,21,81.27,81.39,21 [21 - 21],81.41% [81.27% - 81.39%],23,21,23,09-22-2020
133,FL- PANAMA CITY,81.24,7,7,7,81.2,81.2,7 [7 - 7],81.24% [81.2% - 81.2%],8,8,8,09-22-2020
134,FL- PENSACOLA,82.15,49,49,49,82.13,82.17,49 [49 - 49],82.15% [82.13% - 82.17%],50,50,51,09-22-2020
137,FL- SARASOTA,80.94,9,9,10,80.83,81.11,9 [9 - 10],80.94% [80.83% - 81.11%],13,12,16,09-22-2020
139,FL- ST PETERSBURG,80.89,12,12,13,80.81,81.0,12 [12 - 13],80.89% [80.81% - 81.0%],14,13,16,09-22-2020
140,FL- TALLAHASSEE,85.15,136,133,139,84.41,85.75,136 [133 - 139],85.15% [84.41% - 85.75%],138,119,155,09-22-2020
141,FL- TAMPA,81.71,70,70,71,81.62,81.78,70 [70 - 71],81.71% [81.62% - 81.78%],72,69,76,09-22-2020
142,GA- ALBANY,80.62,0,0,0,80.56,80.56,0 [0 - 0],80.62% [80.56% - 80.56%],6,6,6,09-22-2020
144,GA- ATLANTA,84.97,592,586,602,84.66,85.38,592 [586 - 602],84.97% [84.66% - 85.38%],595,558,644,09-22-2020
145,GA- AUGUSTA,82.49,56,54,59,82.12,82.77,56 [54 - 59],82.49% [82.12% - 82.77%],61,52,68,09-22-2020
146,GA- COLUMBUS,81.94,21,20,22,81.19,82.46,21 [20 - 22],81.94% [81.19% - 82.46%],24,15,31,09-22-2020
147,GA- MACON,83.11,67,64,71,82.73,83.62,67 [64 - 71],83.11% [82.73% - 83.62%],69,61,81,09-22-2020
148,GA- ROME,88.27,55,54,57,87.38,89.15,55 [54 - 57],88.27% [87.38% - 89.15%],60,54,67,09-22-2020
149,GA- SAVANNAH,86.15,125,122,129,85.49,87.05,125 [122 - 129],86.15% [85.49% - 87.05%],126,113,145,09-22-2020
151,ID- BOISE,82.29,44,43,45,81.97,82.41,44 [43 - 45],82.29% [81.97% - 82.41%],47,41,50,09-22-2020
152,ID- IDAHO FALLS,86.89,28,28,28,86.72,87.16,28 [28 - 28],86.89% [86.72% - 87.16%],31,31,33,09-22-2020
154,IL- AURORA,85.08,21,21,21,84.74,85.12,21 [21 - 21],85.08% [84.74% - 85.12%],26,25,27,09-22-2020
155,IL- BLUE ISLAND,82.22,54,54,55,82.13,82.33,54 [54 - 55],82.22% [82.13% - 82.33%],56,54,59,09-22-2020
