region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
1,AL- BIRMINGHAM,93.88,617,589,662,90.69,97.39,617 [589 - 662],93.88% [90.69% - 97.39%],1172,903,1469,09-08-2020
2,AL- DOTHAN,87.68,49,46,50,87.23,89.34,49 [46 - 50],87.68% [87.23% - 89.34%],102,96,124,09-08-2020
5,AL- HUNTSVILLE,87.39,70,68,75,86.17,90.0,70 [68 - 75],87.39% [86.17% - 90.0%],139,116,188,09-08-2020
6,AL- MOBILE,84.06,48,46,50,83.68,84.2,48 [46 - 50],84.06% [83.68% - 84.2%],116,105,120,09-08-2020
7,AL- MONTGOMERY,87.89,63,61,65,87.57,89.25,63 [61 - 65],87.89% [87.57% - 89.25%],122,117,143,09-08-2020
9,AL- TUSCALOOSA,90.72,49,47,53,87.62,94.63,49 [47 - 53],90.72% [87.62% - 94.63%],107,76,146,09-08-2020
11,AZ- MESA,85.05,40,40,42,84.39,86.01,40 [40 - 42],85.05% [84.39% - 86.01%],100,87,119,09-08-2020
12,AZ- PHOENIX,82.81,86,84,89,82.46,83.35,86 [84 - 89],82.81% [82.46% - 83.35%],213,186,254,09-08-2020
14,AZ- SUN CITY,81.48,0,0,0,81.36,81.85,0 [0 - 0],81.48% [81.36% - 81.85%],12,11,15,09-08-2020
15,AZ- TUCSON,81.98,16,16,17,81.78,82.14,16 [16 - 17],81.98% [81.78% - 82.14%],50,45,54,09-08-2020
16,AR- FORT SMITH,83.36,21,20,21,83.2,83.51,21 [20 - 21],83.36% [83.2% - 83.51%],43,41,45,09-08-2020
18,AR- JONESBORO,86.31,28,28,29,85.31,87.96,28 [28 - 29],86.31% [85.31% - 87.96%],57,48,72,09-08-2020
19,AR- LITTLE ROCK,83.69,105,100,110,82.96,84.73,105 [100 - 110],83.69% [82.96% - 84.73%],213,171,273,09-08-2020
21,AR- SPRINGDALE,103.08,136,129,157,94.95,123.52,136 [129 - 157],103.08% [94.95% - 123.52%],244,158,460,09-08-2020
22,AR- TEXARKANA,84.29,21,21,22,84.29,84.59,21 [21 - 22],84.29% [84.29% - 84.59%],42,42,45,09-08-2020
23,CA- ORANGE CO.,83.93,129,128,131,83.71,84.13,129 [128 - 131],83.93% [83.71% - 84.13%],301,284,316,09-08-2020
25,CA- BAKERSFIELD,83.76,48,47,50,83.46,84.15,48 [47 - 50],83.76% [83.46% - 84.15%],136,125,150,09-08-2020
31,CA- CHICO,112.03,115,112,123,105.62,123.12,115 [112 - 123],112.03% [105.62% - 123.12%],205,164,276,09-08-2020
33,CA- CONTRA COSTA CO.,84.19,30,30,32,83.34,84.99,30 [30 - 32],84.19% [83.34% - 84.99%],84,67,100,09-08-2020
43,CA- FRESNO,91.56,103,100,108,89.72,93.58,103 [100 - 108],91.56% [89.72% - 93.58%],264,222,310,09-08-2020
56,CA- LOS ANGELES,83.62,376,368,385,83.19,84.05,376 [368 - 385],83.62% [83.19% - 84.05%],898,790,1005,09-08-2020
58,CA- MODESTO,89.13,64,62,66,88.2,89.95,64 [62 - 66],89.13% [88.2% - 89.95%],157,141,171,09-08-2020
62,CA- NAPA,85.84,8,7,9,83.09,85.84,8 [7 - 9],85.84% [83.09% - 85.84%],34,18,34,09-08-2020
65,CA- ALAMEDA CO.,84.56,66,65,68,84.05,85.09,66 [65 - 68],84.56% [84.05% - 85.09%],154,137,172,09-08-2020
