region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update,Type
1,AL- BIRMINGHAM,97.21,1032,1000,1116,95.04,102.08,1032 [1000 - 1116],97.21% [95.04% - 102.08%],1453,1270,1865,01-26-2021,projected
2,AL- DOTHAN,97.24,146,144,150,96.49,97.77,146 [144 - 150],97.24% [96.49% - 97.77%],229,219,236,01-26-2021,projected
5,AL- HUNTSVILLE,99.31,213,208,216,98.72,99.95,213 [208 - 216],99.31% [98.72% - 99.95%],363,352,375,01-26-2021,projected
6,AL- MOBILE,97.99,358,349,365,97.57,98.34,358 [349 - 365],97.99% [97.57% - 98.34%],514,502,524,01-26-2021,projected
7,AL- MONTGOMERY,104.9,283,275,298,102.25,109.3,283 [275 - 298],104.9% [102.25% - 109.3%],385,344,453,01-26-2021,projected
9,AL- TUSCALOOSA,96.53,113,108,117,94.93,98.64,113 [108 - 117],96.53% [94.93% - 98.64%],165,149,186,01-26-2021,projected
11,AZ- MESA,139.55,680,667,694,137.93,141.26,680 [667 - 694],139.55% [137.93% - 141.26%],1179,1147,1213,01-26-2021,projected
12,AZ- PHOENIX,117.19,1599,1568,1629,116.18,118.23,1599 [1568 - 1629],117.19% [116.18% - 118.23%],2817,2741,2896,01-26-2021,projected
14,AZ- SUN CITY,104.81,108,106,110,104.2,105.56,108 [106 - 110],104.81% [104.2% - 105.56%],201,196,207,01-26-2021,projected
15,AZ- TUCSON,117.44,669,651,689,113.64,121.6,669 [651 - 689],117.44% [113.64% - 121.6%],945,849,1050,01-26-2021,projected
16,AR- FORT SMITH,98.03,140,137,145,97.49,99.05,140 [137 - 145],98.03% [97.49% - 99.05%],231,224,244,01-26-2021,projected
18,AR- JONESBORO,91.17,62,61,63,90.95,91.5,62 [61 - 63],91.17% [90.95% - 91.5%],101,99,104,01-26-2021,projected
19,AR- LITTLE ROCK,92.98,471,457,481,92.46,93.43,471 [457 - 481],92.98% [92.46% - 93.43%],749,719,775,01-26-2021,projected
21,AR- SPRINGDALE,108.19,206,201,211,106.68,109.33,206 [201 - 211],108.19% [106.68% - 109.33%],298,282,310,01-26-2021,projected
22,AR- TEXARKANA,92.04,84,83,85,90.71,92.24,84 [83 - 85],92.04% [90.71% - 92.24%],118,105,120,01-26-2021,projected
23,CA- ORANGE CO.,99.63,890,868,910,99.0,100.22,890 [868 - 910],99.63% [99.0% - 100.22%],1502,1454,1547,01-26-2021,projected
25,CA- BAKERSFIELD,95.98,341,333,348,95.57,96.45,341 [333 - 348],95.98% [95.57% - 96.45%],578,563,595,01-26-2021,projected
31,CA- CHICO,92.5,45,44,47,91.88,92.97,45 [44 - 47],92.5% [91.88% - 92.97%],80,76,83,01-26-2021,projected
33,CA- CONTRA COSTA CO.,95.88,169,164,172,95.38,96.38,169 [164 - 172],95.88% [95.38% - 96.38%],318,308,328,01-26-2021,projected
43,CA- FRESNO,105.97,333,326,339,105.23,106.59,333 [326 - 339],105.97% [105.23% - 106.59%],593,576,607,01-26-2021,projected
56,CA- LOS ANGELES,103.53,3665,3545,3790,102.64,104.42,3665 [3545 - 3790],103.53% [102.64% - 104.42%],5836,5615,6056,01-26-2021,projected
58,CA- MODESTO,103.09,208,203,212,102.51,103.79,208 [203 - 212],103.09% [102.51% - 103.79%],397,387,409,01-26-2021,projected
62,CA- NAPA,94.78,49,48,51,94.43,94.95,49 [48 - 51],94.78% [94.43% - 94.95%],86,84,87,01-26-2021,projected
65,CA- ALAMEDA CO.,91.69,189,184,194,91.33,92.13,189 [184 - 194],91.69% [91.33% - 92.13%],395,383,410,01-26-2021,projected
69,CA- PALM SPR/RANCHO MIR.,105.45,180,177,184,104.88,106.02,180 [177 - 184],105.45% [104.88% - 106.02%],268,262,274,01-26-2021,projected
73,CA- REDDING,84.99,35,34,36,84.81,85.18,35 [34 - 36],84.99% [84.81% - 85.18%],54,52,56,01-26-2021,projected
77,CA- SACRAMENTO,94.51,365,357,373,94.09,94.9,365 [357 - 373],94.51% [94.09% - 94.9%],694,674,713,01-26-2021,projected
78,CA- SALINAS,100.55,83,81,85,99.92,101.06,83 [81 - 85],100.55% [99.92% - 101.06%],163,158,167,01-26-2021,projected
79,CA- SAN BERNARDINO,119.45,1328,1303,1354,118.5,120.31,1328 [1303 - 1354],119.45% [118.5% - 120.31%],2281,2226,2331,01-26-2021,projected
80,CA- SAN DIEGO,104.97,1102,1081,1123,104.21,105.82,1102 [1081 - 1123],104.97% [104.21% - 105.82%],1756,1703,1816,01-26-2021,projected
81,CA- SAN FRANCISCO,85.74,160,156,163,85.6,85.97,160 [156 - 163],85.74% [85.6% - 85.97%],291,284,303,01-26-2021,projected
