region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
1,AL- BIRMINGHAM,88.51,386,355,459,84.42,97.66,386 [355 - 459],88.51% [84.42% - 97.66%],719,373,1491,09-08-2020
2,AL- DOTHAN,83.69,21,20,25,80.9,86.48,21 [20 - 25],83.69% [80.9% - 86.48%],49,12,86,09-08-2020
5,AL- HUNTSVILLE,85.43,56,53,67,83.88,90.85,56 [53 - 67],85.43% [83.88% - 90.85%],102,73,204,09-08-2020
6,AL- MOBILE,81.86,28,28,30,81.54,82.45,28 [28 - 30],81.86% [81.54% - 82.45%],53,44,70,09-08-2020
7,AL- MONTGOMERY,85.63,49,46,53,82.72,88.34,49 [46 - 53],85.63% [82.72% - 88.34%],87,42,129,09-08-2020
9,AL- TUSCALOOSA,86.71,35,33,42,82.71,93.83,35 [33 - 42],86.71% [82.71% - 93.83%],67,27,138,09-08-2020
11,AZ- MESA,82.27,21,21,22,81.82,82.88,21 [21 - 22],82.27% [81.82% - 82.88%],45,36,57,09-08-2020
12,AZ- PHOENIX,81.23,46,43,48,80.74,81.49,46 [43 - 48],81.23% [80.74% - 81.49%],93,56,113,09-08-2020
14,AZ- SUN CITY,80.37,0,0,0,80.37,80.62,0 [0 - 0],80.37% [80.37% - 80.62%],3,3,5,09-08-2020
15,AZ- TUCSON,80.52,7,7,7,80.52,80.55,7 [7 - 7],80.52% [80.52% - 80.55%],13,13,14,09-08-2020
16,AR- FORT SMITH,81.8,3,3,6,80.7,82.97,3 [3 - 6],81.8% [80.7% - 82.97%],23,9,38,09-08-2020
18,AR- JONESBORO,84.98,28,27,31,83.65,88.3,28 [27 - 31],84.98% [83.65% - 88.3%],45,33,75,09-08-2020
19,AR- LITTLE ROCK,82.56,84,79,91,81.56,83.67,84 [79 - 91],82.56% [81.56% - 83.67%],148,90,212,09-08-2020
21,AR- SPRINGDALE,103.08,144,132,178,90.31,135.25,144 [132 - 178],103.08% [90.31% - 135.25%],244,109,584,09-08-2020
22,AR- TEXARKANA,83.98,21,21,23,83.27,85.92,21 [21 - 23],83.98% [83.27% - 85.92%],39,32,58,09-08-2020
23,CA- ORANGE CO.,81.7,63,62,66,81.42,81.95,63 [62 - 66],81.7% [81.42% - 81.95%],130,109,149,09-08-2020
25,CA- BAKERSFIELD,81.11,17,16,18,80.8,81.41,17 [16 - 18],81.11% [80.8% - 81.41%],40,29,51,09-08-2020
31,CA- CHICO,113.59,121,112,144,98.75,144.84,121 [112 - 144],113.59% [98.75% - 144.84%],215,120,415,09-08-2020
33,CA- CONTRA COSTA CO.,81.3,14,14,14,80.85,82.05,14 [14 - 14],81.3% [80.85% - 82.05%],26,17,41,09-08-2020
43,CA- FRESNO,84.12,43,40,48,82.37,86.57,43 [40 - 48],84.12% [82.37% - 86.57%],94,54,150,09-08-2020
56,CA- LOS ANGELES,81.4,176,170,184,81.09,81.77,176 [170 - 184],81.4% [81.09% - 81.77%],348,270,439,09-08-2020
58,CA- MODESTO,83.66,26,25,29,82.33,84.6,26 [25 - 29],83.66% [82.33% - 84.6%],63,40,79,09-08-2020
62,CA- NAPA,81.72,0,0,1,80.0,81.72,0 [0 - 1],81.72% [80.0% - 81.72%],10,0,10,09-08-2020
65,CA- ALAMEDA CO.,82.07,34,33,36,81.63,82.63,34 [33 - 36],82.07% [81.63% - 82.63%],70,55,89,09-08-2020
69,CA- PALM SPR/RANCHO MIR.,80.66,0,0,0,80.57,80.95,0 [0 - 0],80.66% [80.57% - 80.95%],7,6,10,09-08-2020
73,CA- REDDING,81.29,7,6,9,80.0,82.5,7 [6 - 9],81.29% [80.0% - 82.5%],14,0,27,09-08-2020
77,CA- SACRAMENTO,84.39,116,109,127,82.76,86.58,116 [109 - 127],84.39% [82.76% - 86.58%],210,132,315,09-08-2020
78,CA- SALINAS,87.44,31,30,33,85.55,89.33,31 [30 - 33],87.44% [85.55% - 89.33%],59,44,74,09-08-2020
79,CA- SAN BERNARDINO,81.3,32,31,35,80.95,81.75,32 [31 - 35],81.3% [80.95% - 81.75%],75,55,101,09-08-2020
80,CA- SAN DIEGO,83.73,150,146,162,82.86,85.42,150 [146 - 162],83.73% [82.86% - 85.42%],262,201,381,09-08-2020
81,CA- SAN FRANCISCO,81.36,39,37,40,80.91,81.79,39 [37 - 40],81.36% [80.91% - 81.79%],69,46,91,09-08-2020
