region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
1,AL- BIRMINGHAM,94.04,787,748,837,90.35,98.91,787 [748 - 837],94.04% [90.35% - 98.91%],1186,874,1597,11-02-2020
2,AL- DOTHAN,108.09,259,245,291,100.18,124.5,259 [245 - 291],108.09% [100.18% - 124.5%],373,268,591,11-02-2020
5,AL- HUNTSVILLE,91.22,133,127,142,88.3,94.89,133 [127 - 142],91.22% [88.3% - 94.89%],211,156,280,11-02-2020
6,AL- MOBILE,150.63,1523,1396,1678,120.92,185.92,1523 [1396 - 1678],150.63% [120.92% - 185.92%],2018,1169,3026,11-02-2020
7,AL- MONTGOMERY,95.46,157,148,168,90.48,100.76,157 [148 - 168],95.46% [90.48% - 100.76%],239,162,321,11-02-2020
9,AL- TUSCALOOSA,90.22,64,60,69,88.52,92.42,64 [60 - 69],90.22% [88.52% - 92.42%],102,85,124,11-02-2020
11,AZ- MESA,99.44,255,242,270,94.19,105.4,255 [242 - 270],99.44% [94.19% - 105.4%],385,281,503,11-02-2020
12,AZ- PHOENIX,94.19,713,678,759,90.35,98.75,713 [678 - 759],94.19% [90.35% - 98.75%],1075,784,1420,11-02-2020
14,AZ- SUN CITY,88.52,46,44,49,86.3,91.23,46 [44 - 49],88.52% [86.3% - 91.23%],69,51,91,11-02-2020
15,AZ- TUCSON,89.07,149,139,174,86.38,94.54,149 [139 - 174],89.07% [86.38% - 94.54%],229,161,367,11-02-2020
16,AR- FORT SMITH,86.01,49,46,52,84.29,87.81,49 [46 - 52],86.01% [84.29% - 87.81%],77,55,100,11-02-2020
18,AR- JONESBORO,96.04,95,89,99,90.51,99.8,95 [89 - 99],96.04% [90.51% - 99.8%],145,95,179,11-02-2020
19,AR- LITTLE ROCK,86.72,250,236,265,84.59,88.94,250 [236 - 265],86.72% [84.59% - 88.94%],388,265,516,11-02-2020
21,AR- SPRINGDALE,93.43,91,88,98,90.12,98.26,91 [88 - 98],93.43% [90.12% - 98.26%],142,107,193,11-02-2020
22,AR- TEXARKANA,97.35,115,108,124,91.53,104.59,115 [108 - 124],97.35% [91.53% - 104.59%],170,113,241,11-02-2020
23,CA- ORANGE CO.,84.23,212,202,227,83.12,85.86,212 [202 - 227],84.23% [83.12% - 85.86%],324,239,448,11-02-2020
25,CA- BAKERSFIELD,82.54,56,54,60,82.13,83.15,56 [54 - 60],82.54% [82.13% - 83.15%],92,77,114,11-02-2020
31,CA- CHICO,85.16,21,20,24,82.81,88.44,21 [20 - 24],85.16% [82.81% - 88.44%],33,18,54,11-02-2020
33,CA- CONTRA COSTA CO.,84.34,55,53,61,83.25,86.84,55 [53 - 61],84.34% [83.25% - 86.84%],87,65,137,11-02-2020
43,CA- FRESNO,90.6,160,152,176,87.49,96.08,160 [152 - 176],90.6% [87.49% - 96.08%],242,171,367,11-02-2020
56,CA- LOS ANGELES,86.86,1122,1071,1196,85.14,89.13,1122 [1071 - 1196],86.86% [85.14% - 89.13%],1701,1276,2265,11-02-2020
58,CA- MODESTO,85.0,51,48,55,83.55,86.22,51 [48 - 55],85.0% [83.55% - 86.22%],86,61,107,11-02-2020
62,CA- NAPA,81.2,7,7,7,81.2,82.41,7 [7 - 7],81.2% [81.2% - 82.41%],7,7,14,11-02-2020
65,CA- ALAMEDA CO.,83.85,84,79,91,82.57,85.47,84 [79 - 91],83.85% [82.57% - 85.47%],130,87,185,11-02-2020
69,CA- PALM SPR/RANCHO MIR.,85.41,36,34,39,84.08,87.22,36 [34 - 39],85.41% [84.08% - 87.22%],57,43,76,11-02-2020
73,CA- REDDING,83.42,26,24,34,81.76,87.39,26 [24 - 34],83.42% [81.76% - 87.39%],37,19,80,11-02-2020
77,CA- SACRAMENTO,86.08,192,183,209,84.58,88.78,192 [183 - 209],86.08% [84.58% - 88.78%],291,219,420,11-02-2020
78,CA- SALINAS,84.41,21,20,21,83.78,85.3,21 [20 - 21],84.41% [83.78% - 85.3%],35,30,42,11-02-2020
79,CA- SAN BERNARDINO,91.05,420,401,447,88.3,94.86,420 [401 - 447],91.05% [88.3% - 94.86%],639,480,859,11-02-2020
80,CA- SAN DIEGO,86.75,306,291,328,84.88,89.38,306 [291 - 328],86.75% [84.88% - 89.38%],475,343,660,11-02-2020
81,CA- SAN FRANCISCO,81.4,42,40,47,81.06,81.91,42 [40 - 47],81.4% [81.06% - 81.91%],71,54,97,11-02-2020
