region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update,Type
226,MD- TAKOMA PARK,99.74,140,132,150,93.75,106.03,140 [132 - 150],99.74% [93.75% - 106.03%],254,177,335,12-21-2020,projected
227,MA- BOSTON,93.21,919,865,986,89.1,97.87,919 [865 - 986],93.21% [89.1% - 97.87%],1451,1000,1963,12-21-2020,projected
230,MA- SPRINGFIELD,89.74,97,91,103,86.81,92.93,97 [91 - 103],89.74% [86.81% - 92.93%],156,109,207,12-21-2020,projected
231,MA- WORCESTER,97.11,187,176,200,91.88,102.9,187 [176 - 200],97.11% [91.88% - 102.9%],281,195,376,12-21-2020,projected
232,MI- ANN ARBOR,89.22,202,191,217,86.56,92.5,202 [191 - 217],89.22% [86.56% - 92.5%],301,214,408,12-21-2020,projected
233,MI- DEARBORN,90.22,119,112,128,86.51,94.84,119 [112 - 128],90.22% [86.51% - 94.84%],168,107,244,12-21-2020,projected
234,MI- DETROIT,87.08,223,210,239,84.96,89.62,223 [210 - 239],87.08% [84.96% - 89.62%],330,231,448,12-21-2020,projected
235,MI- FLINT,88.75,67,63,71,86.49,91.76,67 [63 - 71],88.75% [86.49% - 91.76%],116,86,156,12-21-2020,projected
236,MI- GRAND RAPIDS,86.93,85,81,91,85.28,89.31,85 [81 - 91],86.93% [85.28% - 89.31%],160,122,215,12-21-2020,projected
238,MI- KALAMAZOO,88.19,72,68,78,86.03,90.9,72 [68 - 78],88.19% [86.03% - 90.9%],121,89,161,12-21-2020,projected
239,MI- LANSING,90.62,105,99,115,87.56,95.05,105 [99 - 115],90.62% [87.56% - 95.05%],163,116,231,12-21-2020,projected
240,MI- MARQUETTE,83.28,4,3,6,81.64,83.48,4 [3 - 6],83.28% [81.64% - 83.48%],16,8,17,12-21-2020,projected
242,MI- MUSKEGON,87.65,17,16,19,84.85,89.89,17 [16 - 19],87.65% [84.85% - 89.89%],41,26,53,12-21-2020,projected
243,MI- PETOSKEY,82.31,7,6,7,81.16,84.91,7 [6 - 7],82.31% [81.16% - 84.91%],8,4,17,12-21-2020,projected
244,MI- PONTIAC,86.08,43,41,46,84.56,88.19,43 [41 - 46],86.08% [84.56% - 88.19%],72,54,97,12-21-2020,projected
245,MI- ROYAL OAK,84.35,69,65,74,83.26,85.83,69 [65 - 74],84.35% [83.26% - 85.83%],115,86,154,12-21-2020,projected
246,MI- SAGINAW,85.44,69,66,75,84.1,87.92,69 [66 - 75],85.44% [84.1% - 87.92%],114,86,166,12-21-2020,projected
248,MI- ST JOSEPH,89.93,21,20,22,87.28,92.91,21 [20 - 22],89.93% [87.28% - 92.91%],30,22,39,12-21-2020,projected
249,MI- TRAVERSE CITY,84.91,14,14,17,84.13,89.04,14 [14 - 17],84.91% [84.13% - 89.04%],25,21,46,12-21-2020,projected
250,MN- DULUTH,86.2,41,38,44,84.13,88.18,41 [38 - 44],86.2% [84.13% - 88.18%],72,48,95,12-21-2020,projected
251,MN- MINNEAPOLIS,85.19,232,216,248,83.51,86.95,232 [216 - 248],85.19% [83.51% - 86.95%],442,299,592,12-21-2020,projected
253,MN- ROCHESTER,82.73,34,31,38,81.65,83.69,34 [31 - 38],82.73% [81.65% - 83.69%],71,43,96,12-21-2020,projected
254,MN- ST CLOUD,82.97,7,7,8,81.7,84.1,7 [7 - 8],82.97% [81.7% - 84.1%],21,12,29,12-21-2020,projected
256,MN- ST PAUL,90.28,138,130,147,87.18,93.39,138 [130 - 147],90.28% [87.18% - 93.39%],235,164,306,12-21-2020,projected
257,MS- GULFPORT,84.4,21,19,23,82.98,86.21,21 [19 - 23],84.4% [82.98% - 86.21%],34,23,48,12-21-2020,projected
258,MS- HATTIESBURG,84.71,31,28,34,82.81,86.28,31 [28 - 34],84.71% [82.81% - 86.28%],57,34,76,12-21-2020,projected
259,MS- JACKSON,83.88,105,97,113,82.7,85.33,105 [97 - 113],83.88% [82.7% - 85.33%],174,121,239,12-21-2020,projected
260,MS- MERIDIAN,84.19,22,20,25,82.56,86.13,22 [20 - 25],84.19% [82.56% - 86.13%],41,25,60,12-21-2020,projected
261,MS- OXFORD,84.7,21,19,23,83.13,86.9,21 [19 - 23],84.7% [83.13% - 86.9%],30,20,44,12-21-2020,projected
262,MS- TUPELO,86.93,64,60,70,84.66,89.45,64 [60 - 70],86.93% [84.66% - 89.45%],113,76,154,12-21-2020,projected
263,MO- CAPE GIRARDEAU,85.36,28,27,31,83.51,87.59,28 [27 - 31],85.36% [83.51% - 87.59%],55,36,78,12-21-2020,projected
264,MO- COLUMBIA,89.71,101,96,113,86.72,93.77,101 [96 - 113],89.71% [86.72% - 93.77%],179,124,254,12-21-2020,projected
