HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound,Last Update
208,KY- PADUCAH,80,0,0,0,04-08-2020
209,LA- ALEXANDRIA,80,47,41,47,04-08-2020
210,LA- BATON ROUGE,85,796,677,803,04-08-2020
212,LA- HOUMA,86,281,240,283,04-08-2020
213,LA- LAFAYETTE,80,90,75,91,04-08-2020
214,LA- LAKE CHARLES,80,40,34,40,04-08-2020
216,LA- METAIRIE,106,1819,1564,1835,04-08-2020
217,LA- MONROE,80,0,0,0,04-08-2020
218,LA- NEW ORLEANS,102,3775,3261,3807,04-08-2020
219,LA- SHREVEPORT,81,225,194,227,04-08-2020
221,ME- BANGOR,80,0,0,0,04-08-2020
222,ME- PORTLAND,82,368,316,371,04-08-2020
223,MD- BALTIMORE,84,1746,1491,1762,04-08-2020
225,MD- SALISBURY,82,165,141,166,04-08-2020
226,MD- TAKOMA PARK,92,1029,884,1038,04-08-2020
227,MA- BOSTON,86,5077,4360,5122,04-08-2020
230,MA- SPRINGFIELD,83,399,341,402,04-08-2020
231,MA- WORCESTER,86,674,577,680,04-08-2020
232,MI- ANN ARBOR,86,1428,1225,1440,04-08-2020
233,MI- DEARBORN,86,687,592,693,04-08-2020
234,MI- DETROIT,86,2083,1788,2101,04-08-2020
235,MI- FLINT,83,298,253,300,04-08-2020
238,MI- KALAMAZOO,80,11,9,11,04-08-2020
239,MI- LANSING,81,129,108,130,04-08-2020
240,MI- MARQUETTE,80,0,0,0,04-08-2020
242,MI- MUSKEGON,80,7,7,7,04-08-2020
243,MI- PETOSKEY,80,0,0,0,04-08-2020
244,MI- PONTIAC,87,565,486,570,04-08-2020
245,MI- ROYAL OAK,85,945,813,953,04-08-2020
246,MI- SAGINAW,80,32,28,32,04-08-2020
248,MI- ST JOSEPH,81,19,16,19,04-08-2020
249,MI- TRAVERSE CITY,80,0,0,0,04-08-2020
250,MN- DULUTH,80,0,0,0,04-08-2020
251,MN- MINNEAPOLIS,80,519,445,523,04-08-2020
