region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
232,MI- ANN ARBOR,88.0,182,177,185,87.69,88.33,182 [177 - 185],88.0% [87.69% - 88.33%],261,251,272,01-26-2021
233,MI- DEARBORN,84.38,56,55,57,84.26,84.62,56 [55 - 57],84.38% [84.26% - 84.62%],72,70,76,01-26-2021
234,MI- DETROIT,85.69,234,228,239,85.11,86.22,234 [228 - 239],85.69% [85.11% - 86.22%],265,238,290,01-26-2021
235,MI- FLINT,85.58,53,51,54,85.35,85.73,53 [51 - 54],85.58% [85.35% - 85.73%],74,71,76,01-26-2021
236,MI- GRAND RAPIDS,90.96,183,178,187,90.44,91.39,183 [178 - 187],90.96% [90.44% - 91.39%],253,241,263,01-26-2021
238,MI- KALAMAZOO,88.33,97,95,98,87.99,88.4,97 [95 - 98],88.33% [87.99% - 88.4%],123,118,124,01-26-2021
239,MI- LANSING,90.03,109,107,112,89.71,90.29,109 [107 - 112],90.03% [89.71% - 90.29%],154,149,158,01-26-2021
240,MI- MARQUETTE,87.38,28,28,29,86.97,87.99,28 [28 - 29],87.38% [86.97% - 87.99%],36,34,39,01-26-2021
242,MI- MUSKEGON,87.65,24,23,26,87.09,88.21,24 [23 - 26],87.65% [87.09% - 88.21%],41,38,44,01-26-2021
243,MI- PETOSKEY,90.4,13,12,14,90.12,90.4,13 [12 - 14],90.4% [90.12% - 90.4%],36,35,36,01-26-2021
244,MI- PONTIAC,85.57,46,45,47,85.41,85.74,46 [45 - 47],85.57% [85.41% - 85.74%],66,64,68,01-26-2021
245,MI- ROYAL OAK,84.24,84,82,86,84.09,84.39,84 [82 - 86],84.24% [84.09% - 84.39%],112,108,116,01-26-2021
246,MI- SAGINAW,85.53,79,77,84,85.44,85.77,79 [77 - 84],85.53% [85.44% - 85.77%],116,114,121,01-26-2021
248,MI- ST JOSEPH,90.26,22,21,23,89.93,90.26,22 [21 - 23],90.26% [89.93% - 90.26%],31,30,31,01-26-2021
249,MI- TRAVERSE CITY,88.25,28,27,28,88.06,88.45,28 [27 - 28],88.25% [88.06% - 88.45%],42,41,43,01-26-2021
250,MN- DULUTH,85.51,56,54,58,85.25,85.85,56 [54 - 58],85.51% [85.25% - 85.85%],64,61,68,01-26-2021
251,MN- MINNEAPOLIS,83.92,274,267,281,83.77,84.1,274 [267 - 281],83.92% [83.77% - 84.1%],334,321,349,01-26-2021
253,MN- ROCHESTER,82.73,51,49,53,82.65,82.85,51 [49 - 53],82.73% [82.65% - 82.85%],71,69,74,01-26-2021
254,MN- ST CLOUD,83.11,20,19,21,83.11,83.11,20 [19 - 21],83.11% [83.11% - 83.11%],22,22,22,01-26-2021
256,MN- ST PAUL,86.04,113,111,117,85.78,86.26,113 [111 - 117],86.04% [85.78% - 86.26%],138,132,143,01-26-2021
257,MS- GULFPORT,92.16,77,75,78,91.9,92.68,77 [75 - 78],92.16% [91.9% - 92.68%],94,92,98,01-26-2021
258,MS- HATTIESBURG,91.74,113,111,116,91.24,91.82,113 [111 - 116],91.74% [91.24% - 91.82%],142,136,143,01-26-2021
259,MS- JACKSON,87.81,297,290,304,87.52,88.17,297 [290 - 304],87.81% [87.52% - 88.17%],350,337,366,01-26-2021
260,MS- MERIDIAN,86.95,52,51,54,86.54,87.06,52 [51 - 54],86.95% [86.54% - 87.06%],68,64,69,01-26-2021
261,MS- OXFORD,90.66,62,61,63,90.34,90.82,62 [61 - 63],90.66% [90.34% - 90.82%],68,66,69,01-26-2021
262,MS- TUPELO,88.28,101,100,104,88.04,88.77,101 [100 - 104],88.28% [88.04% - 88.77%],135,131,143,01-26-2021
263,MO- CAPE GIRARDEAU,83.8,28,27,29,83.6,83.99,28 [27 - 29],83.8% [83.6% - 83.99%],39,37,41,01-26-2021
264,MO- COLUMBIA,87.38,103,101,108,87.16,87.86,103 [101 - 108],87.38% [87.16% - 87.86%],136,132,145,01-26-2021
