HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Hospitalizations (Range),Projected Demand (Range),Last Update
273,MO- ST LOUIS,84.71,311,281,386,81.7,91.72,311 [281 - 386],84.71% [81.7% - 91.72%],05-12-2020
274,MT- BILLINGS,81.2,14,13,17,80.23,83.12,14 [13 - 17],81.2% [80.23% - 83.12%],05-12-2020
275,MT- GREAT FALLS,80.44,0,0,0,80.0,80.75,0 [0 - 0],80.44% [80.0% - 80.75%],05-12-2020
276,MT- MISSOULA,81.03,0,0,3,80.0,83.19,0 [0 - 3],81.03% [80.0% - 83.19%],05-12-2020
277,NE- LINCOLN,116.68,350,314,383,90.56,140.97,350 [314 - 383],116.68% [90.56% - 140.97%],05-12-2020
278,NE- OMAHA,111.54,845,777,892,94.08,123.97,845 [777 - 892],111.54% [94.08% - 123.97%],05-12-2020
279,NV- LAS VEGAS,94.77,312,286,377,86.57,114.96,312 [286 - 377],94.77% [86.57% - 114.96%],05-12-2020
280,NV- RENO,87.52,74,66,95,82.03,100.56,74 [66 - 95],87.52% [82.03% - 100.56%],05-12-2020
281,NH- LEBANON,84.54,21,19,25,80.72,90.3,21 [19 - 25],84.54% [80.72% - 90.3%],05-12-2020
282,NH- MANCHESTER,84.59,43,39,51,81.37,89.47,43 [39 - 51],84.59% [81.37% - 89.47%],05-12-2020
283,NJ- CAMDEN,83.97,171,155,211,81.4,90.5,171 [155 - 211],83.97% [81.4% - 90.5%],05-12-2020
284,NJ- HACKENSACK,85.46,98,90,117,81.93,92.55,98 [90 - 117],85.46% [81.93% - 92.55%],05-12-2020
285,NJ- MORRISTOWN,88.2,77,70,93,82.75,99.5,77 [70 - 93],88.2% [82.75% - 99.5%],05-12-2020
288,NJ- NEW BRUNSWICK,85.32,70,64,86,81.7,92.98,70 [64 - 86],85.32% [81.7% - 92.98%],05-12-2020
289,NJ- NEWARK,84.56,105,96,127,81.56,90.78,105 [96 - 127],84.56% [81.56% - 90.78%],05-12-2020
291,NJ- PATERSON,84.95,28,26,34,81.61,91.8,28 [26 - 34],84.95% [81.61% - 91.8%],05-12-2020
292,NJ- RIDGEWOOD,90.6,35,32,45,83.66,107.15,35 [32 - 45],90.6% [83.66% - 107.15%],05-12-2020
293,NM- ALBUQUERQUE,98.14,334,299,426,85.75,130.79,334 [299 - 426],98.14% [85.75% - 130.79%],05-12-2020
295,NY- ALBANY,85.61,140,125,197,81.4,101.18,140 [125 - 197],85.61% [81.4% - 101.18%],05-12-2020
296,NY- BINGHAMTON,81.89,7,6,13,80.0,90.76,7 [6 - 13],81.89% [80.0% - 90.76%],05-12-2020
297,NY- BRONX,88.18,138,126,181,83.18,104.5,138 [126 - 181],88.18% [83.18% - 104.5%],05-12-2020
299,NY- BUFFALO,81.17,21,20,40,80.58,87.87,21 [20 - 40],81.17% [80.58% - 87.87%],05-12-2020
300,NY- ELMIRA,80.87,7,6,12,80.0,87.15,7 [6 - 12],80.87% [80.0% - 87.15%],05-12-2020
301,NY- EAST LONG ISLAND,89.0,471,427,624,83.37,108.77,471 [427 - 624],89.0% [83.37% - 108.77%],05-12-2020
304,NY- ROCHESTER,81.42,21,20,40,80.71,89.63,21 [20 - 40],81.42% [80.71% - 89.63%],05-12-2020
307,NY- SYRACUSE,80.89,7,6,23,80.0,87.82,7 [6 - 23],80.89% [80.0% - 87.82%],05-12-2020
308,NY- WHITE PLAINS,87.7,106,97,136,83.07,101.93,106 [97 - 136],87.7% [83.07% - 101.93%],05-12-2020
309,NC- ASHEVILLE,86.1,67,59,86,81.7,96.88,67 [59 - 86],86.1% [81.7% - 96.88%],05-12-2020
311,NC- CHARLOTTE,98.95,593,539,720,87.58,124.01,593 [539 - 720],98.95% [87.58% - 124.01%],05-12-2020
312,NC- DURHAM,94.06,350,311,425,84.16,112.34,350 [311 - 425],94.06% [84.16% - 112.34%],05-12-2020
313,NC- GREENSBORO,93.44,129,117,160,84.79,112.55,129 [117 - 160],93.44% [84.79% - 112.55%],05-12-2020
314,NC- GREENVILLE,87.7,110,97,144,81.99,103.36,110 [97 - 144],87.7% [81.99% - 103.36%],05-12-2020
315,NC- HICKORY,91.96,45,41,58,84.55,110.35,45 [41 - 58],91.96% [84.55% - 110.35%],05-12-2020
318,NC- RALEIGH,105.0,572,515,704,88.71,141.35,572 [515 - 704],105.0% [88.71% - 141.35%],05-12-2020
319,NC- WILMINGTON,92.21,80,71,101,83.45,110.57,80 [71 - 101],92.21% [83.45% - 110.57%],05-12-2020
320,NC- WINSTON-SALEM,90.09,203,182,256,83.42,105.83,203 [182 - 256],90.09% [83.42% - 105.83%],05-12-2020
321,ND- BISMARCK,83.92,14,13,18,80.84,90.86,14 [13 - 18],83.92% [80.84% - 90.86%],05-12-2020
322,ND- FARGO MOORHEAD -MN,81.2,13,12,18,80.34,84.29,13 [12 - 18],81.2% [80.34% - 84.29%],05-12-2020
323,ND- GRAND FORKS,80.19,0,0,1,80.0,82.21,0 [0 - 1],80.19% [80.0% - 82.21%],05-12-2020
324,ND- MINOT,81.78,7,6,8,80.0,85.0,7 [6 - 8],81.78% [80.0% - 85.0%],05-12-2020
325,OH- AKRON,92.85,159,145,201,84.74,112.69,159 [145 - 201],92.85% [84.74% - 112.69%],05-12-2020
326,OH- CANTON,90.99,120,108,154,83.26,109.03,120 [108 - 154],90.99% [83.26% - 109.03%],05-12-2020
327,OH- CINCINNATI,87.58,197,181,246,83.4,99.86,197 [181 - 246],87.58% [83.4% - 99.86%],05-12-2020
328,OH- CLEVELAND,91.2,515,466,636,84.01,107.68,515 [466 - 636],91.2% [84.01% - 107.68%],05-12-2020
329,OH- COLUMBUS,85.17,257,228,343,81.57,96.54,257 [228 - 343],85.17% [81.57% - 96.54%],05-12-2020
330,OH- DAYTON,85.19,93,82,123,81.19,96.19,93 [82 - 123],85.19% [81.19% - 96.19%],05-12-2020
331,OH- ELYRIA,96.9,62,56,77,85.1,122.07,62 [56 - 77],96.9% [85.1% - 122.07%],05-12-2020
332,OH- KETTERING,87.65,47,44,58,83.55,98.77,47 [44 - 58],87.65% [83.55% - 98.77%],05-12-2020
334,OH- TOLEDO,84.89,112,100,137,81.69,92.15,112 [100 - 137],84.89% [81.69% - 92.15%],05-12-2020
335,OH- YOUNGSTOWN,87.07,94,85,118,82.12,98.0,94 [85 - 118],87.07% [82.12% - 98.0%],05-12-2020
336,OK- LAWTON,83.99,14,12,21,80.0,94.73,14 [12 - 21],83.99% [80.0% - 94.73%],05-12-2020
339,OK- OKLAHOMA CITY,90.31,361,323,465,83.15,109.04,361 [323 - 465],90.31% [83.15% - 109.04%],05-12-2020
340,OK- TULSA,86.68,179,155,232,81.12,99.12,179 [155 - 232],86.68% [81.12% - 99.12%],05-12-2020
341,OR- BEND,83.69,7,7,9,80.99,91.36,7 [7 - 9],83.69% [80.99% - 91.36%],05-12-2020
342,OR- EUGENE,84.02,21,19,27,80.94,90.04,21 [19 - 27],84.02% [80.94% - 90.04%],05-12-2020
343,OR- MEDFORD,82.03,7,7,10,80.21,86.22,7 [7 - 10],82.03% [80.21% - 86.22%],05-12-2020
344,OR- PORTLAND,86.53,182,163,214,81.89,93.98,182 [163 - 214],86.53% [81.89% - 93.98%],05-12-2020
345,OR- SALEM,87.33,14,13,17,81.61,96.51,14 [13 - 17],87.33% [81.61% - 96.51%],05-12-2020
346,PA- ALLENTOWN,89.66,155,140,186,83.1,102.46,155 [140 - 186],89.66% [83.1% - 102.46%],05-12-2020
347,PA- ALTOONA,81.41,7,6,10,80.0,87.63,7 [6 - 10],81.41% [80.0% - 87.63%],05-12-2020
350,PA- DANVILLE,83.31,21,19,28,80.0,88.89,21 [19 - 28],83.31% [80.0% - 88.89%],05-12-2020
351,PA- ERIE,81.46,16,15,23,80.31,85.12,16 [15 - 23],81.46% [80.31% - 85.12%],05-12-2020
352,PA- HARRISBURG,87.98,99,90,121,82.88,99.12,99 [90 - 121],87.98% [82.88% - 99.12%],05-12-2020
354,PA- JOHNSTOWN,81.5,0,0,2,80.0,84.32,0 [0 - 2],81.5% [80.0% - 84.32%],05-12-2020
355,PA- LANCASTER,90.21,62,57,77,83.86,104.69,62 [57 - 77],90.21% [83.86% - 104.69%],05-12-2020
356,PA- PHILADELPHIA,87.7,496,449,595,82.9,97.79,496 [449 - 595],87.7% [82.9% - 97.79%],05-12-2020
357,PA- PITTSBURGH,82.58,170,153,210,80.73,86.41,170 [153 - 210],82.58% [80.73% - 86.41%],05-12-2020
358,PA- READING,88.69,61,56,77,83.09,101.49,61 [56 - 77],88.69% [83.09% - 101.49%],05-12-2020
359,PA- SAYRE,80.14,0,0,3,80.0,89.98,0 [0 - 3],80.14% [80.0% - 89.98%],05-12-2020
360,PA- SCRANTON,87.6,33,29,42,81.47,100.18,33 [29 - 42],87.6% [81.47% - 100.18%],05-12-2020
362,PA- WILKES-BARRE,86.78,21,19,28,81.98,98.47,21 [19 - 28],86.78% [81.98% - 98.47%],05-12-2020
363,PA- YORK,93.71,60,54,70,85.42,107.92,60 [54 - 70],93.71% [85.42% - 107.92%],05-12-2020
364,RI- PROVIDENCE,106.16,434,393,511,89.26,135.97,434 [393 - 511],106.16% [89.26% - 135.97%],05-12-2020
365,SC- CHARLESTON,88.23,125,114,157,83.12,100.42,125 [114 - 157],88.23% [83.12% - 100.42%],05-12-2020
366,SC- COLUMBIA,91.83,228,208,273,84.32,107.51,228 [208 - 273],91.83% [84.32% - 107.51%],05-12-2020
367,SC- FLORENCE,87.43,51,45,61,81.94,95.29,51 [45 - 61],87.43% [81.94% - 95.29%],05-12-2020
368,SC- GREENVILLE,88.15,99,91,123,84.01,100.28,99 [91 - 123],88.15% [84.01% - 100.28%],05-12-2020
369,SC- SPARTANBURG,87.42,39,35,48,82.83,97.25,39 [35 - 48],87.42% [82.83% - 97.25%],05-12-2020
370,SD- RAPID CITY,82.43,7,6,13,80.58,90.47,7 [6 - 13],82.43% [80.58% - 90.47%],05-12-2020
371,SD- SIOUX FALLS,91.54,181,158,226,82.63,111.15,181 [158 - 226],91.54% [82.63% - 111.15%],05-12-2020
373,TN- CHATTANOOGA,83.77,41,37,54,81.25,89.68,41 [37 - 54],83.77% [81.25% - 89.68%],05-12-2020
374,TN- JACKSON,80.74,5,4,9,80.0,84.81,5 [4 - 9],80.74% [80.0% - 84.81%],05-12-2020
375,TN- JOHNSON CITY,82.45,11,10,16,80.74,87.98,11 [10 - 16],82.45% [80.74% - 87.98%],05-12-2020
376,TN- KINGSPORT,80.59,6,4,15,80.0,85.29,6 [4 - 15],80.59% [80.0% - 85.29%],05-12-2020
377,TN- KNOXVILLE,81.89,44,39,60,80.31,86.04,44 [39 - 60],81.89% [80.31% - 86.04%],05-12-2020
379,TN- MEMPHIS,85.07,172,152,215,81.25,93.47,172 [152 - 215],85.07% [81.25% - 93.47%],05-12-2020
380,TN- NASHVILLE,88.1,355,322,449,82.7,101.55,355 [322 - 449],88.1% [82.7% - 101.55%],05-12-2020
382,TX- ABILENE,80.03,0,0,2,80.0,82.26,0 [0 - 2],80.03% [80.0% - 82.26%],05-12-2020
383,TX- AMARILLO,81.33,7,6,9,80.0,83.0,7 [6 - 9],81.33% [80.0% - 83.0%],05-12-2020
385,TX- AUSTIN,91.75,214,193,287,83.74,115.85,214 [193 - 287],91.75% [83.74% - 115.85%],05-12-2020
386,TX- BEAUMONT,82.57,14,13,22,80.88,88.61,14 [13 - 22],82.57% [80.88% - 88.61%],05-12-2020
388,TX- BRYAN,86.23,15,13,25,81.96,105.16,15 [13 - 25],86.23% [81.96% - 105.16%],05-12-2020
390,TX- CORPUS CHRISTI,81.21,7,7,16,80.58,85.8,7 [7 - 16],81.21% [80.58% - 85.8%],05-12-2020
391,TX- DALLAS,88.33,542,492,704,83.26,104.07,542 [492 - 704],88.33% [83.26% - 104.07%],05-12-2020
393,TX- EL PASO,83.89,53,48,69,81.53,90.35,53 [48 - 69],83.89% [81.53% - 90.35%],05-12-2020
394,TX- FORT WORTH,88.39,219,199,289,83.32,104.77,219 [199 - 289],88.39% [83.32% - 104.77%],05-12-2020
396,TX- HARLINGEN,82.31,14,14,21,80.99,87.4,14 [14 - 21],82.31% [80.99% - 87.4%],05-12-2020
397,TX- HOUSTON,86.42,586,529,781,82.41,99.81,586 [529 - 781],86.42% [82.41% - 99.81%],05-12-2020
399,TX- LONGVIEW,82.36,7,7,11,80.0,89.62,7 [7 - 11],82.36% [80.0% - 89.62%],05-12-2020
400,TX- LUBBOCK,81.85,21,19,32,80.5,87.32,21 [19 - 32],81.85% [80.5% - 87.32%],05-12-2020
402,TX- MCALLEN,82.01,14,13,22,80.57,87.06,14 [13 - 22],82.01% [80.57% - 87.06%],05-12-2020
406,TX- ODESSA,81.92,7,6,11,80.0,84.41,7 [6 - 11],81.92% [80.0% - 84.41%],05-12-2020
411,TX- SAN ANGELO,80.0,0,0,1,80.0,82.33,0 [0 - 1],80.0% [80.0% - 82.33%],05-12-2020
412,TX- SAN ANTONIO,91.53,427,383,561,83.58,114.81,427 [383 - 561],91.53% [83.58% - 114.81%],05-12-2020
413,TX- TEMPLE,87.73,35,32,50,81.81,106.62,35 [32 - 50],87.73% [81.81% - 106.62%],05-12-2020
416,TX- TYLER,82.91,26,22,40,80.75,93.34,26 [22 - 40],82.91% [80.75% - 93.34%],05-12-2020
417,TX- VICTORIA,81.62,0,0,5,80.0,86.78,0 [0 - 5],81.62% [80.0% - 86.78%],05-12-2020
418,TX- WACO,88.79,25,23,37,83.18,113.33,25 [23 - 37],88.79% [83.18% - 113.33%],05-12-2020
420,TX- WICHITA FALLS,81.8,0,0,5,80.0,88.41,0 [0 - 5],81.8% [80.0% - 88.41%],05-12-2020
421,UT- OGDEN,87.14,21,20,28,82.47,98.49,21 [20 - 28],87.14% [82.47% - 98.49%],05-12-2020
422,UT- PROVO,86.67,28,26,36,82.44,97.41,28 [26 - 36],86.67% [82.44% - 97.41%],05-12-2020
423,UT- SALT LAKE CITY,84.62,93,85,117,81.67,92.05,93 [85 - 117],84.62% [81.67% - 92.05%],05-12-2020
424,VT- BURLINGTON,81.12,6,5,18,80.0,90.04,6 [5 - 18],81.12% [80.0% - 90.04%],05-12-2020
426,VA- ARLINGTON,162.89,1306,1196,1456,116.09,225.28,1306 [1196 - 1456],162.89% [116.09% - 225.28%],05-12-2020
427,VA- CHARLOTTESVILLE,95.1,114,101,157,83.21,129.04,114 [101 - 157],95.1% [83.21% - 129.04%],05-12-2020
428,VA- LYNCHBURG,85.95,24,20,34,80.0,99.68,24 [20 - 34],85.95% [80.0% - 99.68%],05-12-2020
429,VA- NEWPORT NEWS,109.19,176,158,231,89.92,167.45,176 [158 - 231],109.19% [89.92% - 167.45%],05-12-2020
430,VA- NORFOLK,102.54,329,292,432,87.72,145.31,329 [292 - 432],102.54% [87.72% - 145.31%],05-12-2020
431,VA- RICHMOND,100.86,543,483,698,86.19,138.55,543 [483 - 698],100.86% [86.19% - 138.55%],05-12-2020
432,VA- ROANOKE,82.59,34,28,54,80.0,89.09,34 [28 - 54],82.59% [80.0% - 89.09%],05-12-2020
435,VA- WINCHESTER,100.2,111,100,129,86.54,124.59,111 [100 - 129],100.2% [86.54% - 124.59%],05-12-2020
437,WA- EVERETT,131.21,199,182,224,100.83,172.57,199 [182 - 224],131.21% [100.83% - 172.57%],05-12-2020
438,WA- OLYMPIA,115.68,118,108,137,92.44,155.41,118 [108 - 137],115.68% [92.44% - 155.41%],05-12-2020
439,WA- SEATTLE,112.39,844,771,955,93.25,141.07,844 [771 - 955],112.39% [93.25% - 141.07%],05-12-2020
440,WA- SPOKANE,91.4,217,194,275,83.19,110.38,217 [194 - 275],91.4% [83.19% - 110.38%],05-12-2020
441,WA- TACOMA,124.1,259,237,294,97.6,163.78,259 [237 - 294],124.1% [97.6% - 163.78%],05-12-2020
442,WA- YAKIMA,99.43,56,51,69,86.56,128.19,56 [51 - 69],99.43% [86.56% - 128.19%],05-12-2020
443,WV- CHARLESTON,80.0,0,0,1,80.0,80.54,0 [0 - 1],80.0% [80.0% - 80.54%],05-12-2020
444,WV- HUNTINGTON,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],05-12-2020
445,WV- MORGANTOWN,80.02,0,0,3,80.0,82.21,0 [0 - 3],80.02% [80.0% - 82.21%],05-12-2020
446,WI- APPLETON,87.49,23,20,30,80.81,100.1,23 [20 - 30],87.49% [80.81% - 100.1%],05-12-2020
447,WI- GREEN BAY,83.32,25,22,33,80.5,88.99,25 [22 - 33],83.32% [80.5% - 88.99%],05-12-2020
448,WI- LA CROSSE,89.66,48,43,57,81.36,99.69,48 [43 - 57],89.66% [81.36% - 99.69%],05-12-2020
449,WI- MADISON,90.85,166,148,195,82.59,102.53,166 [148 - 195],90.85% [82.59% - 102.53%],05-12-2020
450,WI- MARSHFIELD,82.11,10,9,17,80.0,87.81,10 [9 - 17],82.11% [80.0% - 87.81%],05-12-2020
451,WI- MILWAUKEE,92.65,539,485,625,84.35,106.39,539 [485 - 625],92.65% [84.35% - 106.39%],05-12-2020
452,WI- NEENAH,89.32,23,20,29,81.25,100.43,23 [20 - 29],89.32% [81.25% - 100.43%],05-12-2020
456,WI- WAUSAU,81.48,0,0,3,80.0,86.37,0 [0 - 3],81.48% [80.0% - 86.37%],05-12-2020
457,WY- CASPER,81.49,0,0,1,80.0,83.42,0 [0 - 1],81.49% [80.0% - 83.42%],05-12-2020
303,NY- NEW YORK,86.97,522,476,673,82.74,100.38,522 [476 - 673],86.97% [82.74% - 100.38%],05-12-2020
