region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update,Type
1,AL- BIRMINGHAM,113.71,1607,1492,1759,99.11,132.62,1607 [1492 - 1759],113.71% [99.11% - 132.62%],2847,1614,4444,12-15-2020,projected
2,AL- DOTHAN,101.23,177,162,195,91.45,114.94,177 [162 - 195],101.23% [91.45% - 114.94%],282,152,464,12-15-2020,projected
5,AL- HUNTSVILLE,159.68,889,835,960,128.03,200.53,889 [835 - 960],159.68% [128.03% - 200.53%],1498,903,2266,12-15-2020,projected
6,AL- MOBILE,110.35,516,475,569,96.24,128.58,516 [475 - 569],110.35% [96.24% - 128.58%],867,464,1388,12-15-2020,projected
7,AL- MONTGOMERY,98.18,160,146,179,89.57,109.95,160 [146 - 179],98.18% [89.57% - 109.95%],281,148,463,12-15-2020,projected
9,AL- TUSCALOOSA,168.48,474,447,509,137.72,210.06,474 [447 - 509],168.48% [137.72% - 210.06%],883,576,1298,12-15-2020,projected
11,AZ- MESA,282.63,2138,1928,2535,166.87,494.34,2138 [1928 - 2535],282.63% [166.87% - 494.34%],4012,1720,8204,12-15-2020,projected
12,AZ- PHOENIX,201.39,4765,4282,5660,130.88,328.95,4765 [4282 - 5660],201.39% [130.88% - 328.95%],9195,3854,18858,12-15-2020,projected
14,AZ- SUN CITY,169.63,381,342,452,117.53,263.83,381 [342 - 452],169.63% [117.53% - 263.83%],726,304,1489,12-15-2020,projected
15,AZ- TUCSON,129.48,707,648,831,103.93,173.62,707 [648 - 831],129.48% [103.93% - 173.62%],1249,604,2363,12-15-2020,projected
16,AR- FORT SMITH,94.44,113,104,125,88.12,103.19,113 [104 - 125],94.44% [88.12% - 103.19%],185,104,297,12-15-2020,projected
18,AR- JONESBORO,93.27,61,56,68,87.08,100.02,61 [56 - 68],93.27% [87.08% - 100.02%],120,64,181,12-15-2020,projected
19,AR- LITTLE ROCK,99.47,688,638,753,90.62,110.47,688 [638 - 753],99.47% [90.62% - 110.47%],1124,613,1759,12-15-2020,projected
21,AR- SPRINGDALE,110.75,200,185,219,97.12,129.48,200 [185 - 219],110.75% [97.12% - 129.48%],325,181,523,12-15-2020,projected
22,AR- TEXARKANA,100.31,63,59,72,92.76,113.16,63 [59 - 72],100.31% [92.76% - 113.16%],199,125,325,12-15-2020,projected
23,CA- ORANGE CO.,114.45,1488,1368,1634,97.84,134.69,1488 [1368 - 1634],114.45% [97.84% - 134.69%],2636,1365,4184,12-15-2020,projected
25,CA- BAKERSFIELD,114.73,690,641,741,99.33,130.55,690 [641 - 741],114.73% [99.33% - 130.55%],1256,699,1828,12-15-2020,projected
31,CA- CHICO,89.38,32,29,37,84.38,94.53,32 [29 - 37],89.38% [84.38% - 94.53%],60,28,93,12-15-2020,projected
33,CA- CONTRA COSTA CO.,86.84,73,66,83,83.1,91.93,73 [66 - 83],86.84% [83.1% - 91.93%],137,62,239,12-15-2020,projected
43,CA- FRESNO,120.95,559,523,602,103.83,141.28,559 [523 - 602],120.95% [103.83% - 141.28%],935,544,1399,12-15-2020,projected
56,CA- LOS ANGELES,138.06,4313,3908,4741,114.56,157.81,4313 [3908 - 4741],138.06% [114.56% - 157.81%],14400,8571,19298,12-15-2020,projected
58,CA- MODESTO,149.98,611,574,646,125.61,173.66,611 [574 - 646],149.98% [125.61% - 173.66%],1203,784,1610,12-15-2020,projected
62,CA- NAPA,118.14,140,130,153,99.24,140.65,140 [130 - 153],118.14% [99.24% - 140.65%],222,112,353,12-15-2020,projected
65,CA- ALAMEDA CO.,143.98,1405,1302,1520,113.29,180.06,1405 [1302 - 1520],143.98% [113.29% - 180.06%],2162,1125,3381,12-15-2020,projected
69,CA- PALM SPR/RANCHO MIR.,121.22,110,100,124,105.93,139.92,110 [100 - 124],121.22% [105.93% - 139.92%],434,273,631,12-15-2020,projected
73,CA- REDDING,94.79,90,83,99,88.04,102.64,90 [83 - 99],94.79% [88.04% - 102.64%],160,87,245,12-15-2020,projected
77,CA- SACRAMENTO,127.32,1311,1222,1417,107.32,150.55,1311 [1222 - 1417],127.32% [107.32% - 150.55%],2264,1307,3375,12-15-2020,projected
78,CA- SALINAS,98.54,85,78,94,89.58,109.51,85 [78 - 94],98.54% [89.58% - 109.51%],147,76,234,12-15-2020,projected
79,CA- SAN BERNARDINO,164.8,1614,1504,1733,137.11,190.93,1614 [1504 - 1733],164.8% [137.11% - 190.93%],4903,3302,6414,12-15-2020,projected
80,CA- SAN DIEGO,145.75,2701,2528,2896,118.59,176.96,2701 [2528 - 2896],145.75% [118.59% - 176.96%],4624,2714,6819,12-15-2020,projected
81,CA- SAN FRANCISCO,89.03,296,272,329,84.3,95.69,296 [272 - 329],89.03% [84.3% - 95.69%],458,218,796,12-15-2020,projected
82,CA- SAN JOSE,147.28,1280,1183,1386,116.45,183.8,1280 [1183 - 1386],147.28% [116.45% - 183.8%],2036,1103,3141,12-15-2020,projected
83,CA- SAN LUIS OBISPO,143.38,187,174,202,114.87,177.59,187 [174 - 202],143.38% [114.87% - 177.59%],289,159,445,12-15-2020,projected
85,CA- SAN MATEO CO.,101.07,364,334,403,89.76,115.68,364 [334 - 403],101.07% [89.76% - 115.68%],568,263,962,12-15-2020,projected
86,CA- SANTA BARBARA,95.22,91,83,103,87.56,106.4,91 [83 - 103],95.22% [87.56% - 106.4%],147,73,255,12-15-2020,projected
87,CA- SANTA CRUZ,260.22,374,356,389,199.22,317.6,374 [356 - 389],260.22% [199.22% - 317.6%],647,428,853,12-15-2020,projected
89,CA- SANTA ROSA,105.52,306,284,332,93.81,119.87,306 [284 - 332],105.52% [93.81% - 119.87%],475,257,742,12-15-2020,projected
91,CA- STOCKTON,164.67,507,470,544,126.1,204.65,507 [470 - 544],164.67% [126.1% - 204.65%],900,490,1325,12-15-2020,projected
96,CA- VENTURA,104.09,212,195,235,92.97,117.7,212 [195 - 235],104.09% [92.97% - 117.7%],379,204,593,12-15-2020,projected
101,CO- BOULDER,86.32,14,13,16,83.16,90.53,14 [13 - 16],86.32% [83.16% - 90.53%],30,15,50,12-15-2020,projected
102,CO- COLORADO SPRINGS,107.34,142,130,164,93.14,129.28,142 [130 - 164],107.34% [93.14% - 129.28%],283,136,510,12-15-2020,projected
103,CO- DENVER,93.56,333,306,374,87.01,102.59,333 [306 - 374],93.56% [87.01% - 102.59%],648,335,1079,12-15-2020,projected
104,CO- FORT COLLINS,90.49,35,32,39,85.48,97.68,35 [32 - 39],90.49% [85.48% - 97.68%],67,35,113,12-15-2020,projected
105,CO- GRAND JUNCTION,96.92,75,69,86,88.46,111.31,75 [69 - 86],96.92% [88.46% - 111.31%],134,67,248,12-15-2020,projected
106,CO- GREELEY,91.71,45,41,52,85.79,99.82,45 [41 - 52],91.71% [85.79% - 99.82%],91,45,154,12-15-2020,projected
107,CO- PUEBLO,87.77,30,27,35,84.39,93.66,30 [27 - 35],87.77% [84.39% - 93.66%],62,35,109,12-15-2020,projected
109,CT- BRIDGEPORT,82.71,17,15,21,80.88,85.19,17 [15 - 21],82.71% [80.88% - 85.19%],46,15,88,12-15-2020,projected
110,CT- HARTFORD,100.12,378,348,424,90.29,113.54,378 [348 - 424],100.12% [90.29% - 113.54%],655,335,1092,12-15-2020,projected
111,CT- NEW HAVEN,99.18,412,380,459,90.07,111.28,412 [380 - 459],99.18% [90.07% - 111.28%],739,388,1205,12-15-2020,projected
112,DE- WILMINGTON,104.76,246,226,274,92.94,120.82,246 [226 - 274],104.76% [92.94% - 120.82%],461,241,760,12-15-2020,projected
113,DC- WASHINGTON,106.45,853,788,943,94.14,121.94,853 [788 - 943],106.45% [94.14% - 121.94%],1452,776,2302,12-15-2020,projected
115,FL- BRADENTON,88.46,35,32,39,84.23,93.82,35 [32 - 39],88.46% [84.23% - 93.82%],60,30,98,12-15-2020,projected
116,FL- CLEARWATER,90.57,112,104,126,85.86,98.2,112 [104 - 126],90.57% [85.86% - 98.2%],173,96,298,12-15-2020,projected
118,FL- FORT LAUDERDALE,88.6,452,416,505,84.45,94.06,452 [416 - 505],88.6% [84.45% - 94.06%],748,387,1223,12-15-2020,projected
119,FL- FORT MYERS,91.81,287,263,320,85.93,99.76,287 [263 - 320],91.81% [85.93% - 99.76%],452,227,756,12-15-2020,projected
120,FL- GAINESVILLE,95.59,186,172,211,87.77,108.63,186 [172 - 211],95.59% [87.77% - 108.63%],287,143,527,12-15-2020,projected
122,FL- HUDSON,93.98,112,103,126,86.95,104.04,112 [103 - 126],93.98% [86.95% - 104.04%],175,87,301,12-15-2020,projected
123,FL- JACKSONVILLE,89.71,284,259,320,84.62,96.57,284 [259 - 320],89.71% [84.62% - 96.57%],477,227,814,12-15-2020,projected
124,FL- LAKELAND,103.03,159,147,181,91.89,122.79,159 [147 - 181],103.03% [91.89% - 122.79%],246,127,457,12-15-2020,projected
127,FL- MIAMI,91.73,733,672,825,85.7,99.59,733 [672 - 825],91.73% [85.7% - 99.59%],1265,615,2112,12-15-2020,projected
