region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update,Type
221,ME- BANGOR,80.28,19,17,21,80.09,80.37,19 [17 - 21],80.28% [80.09% - 80.37%],3,1,4,04-28-2021,projected
222,ME- PORTLAND,80.38,63,57,69,80.19,80.61,63 [57 - 69],80.38% [80.19% - 80.61%],10,5,16,04-28-2021,projected
223,MD- BALTIMORE,80.52,212,196,231,80.28,80.8,212 [196 - 231],80.52% [80.28% - 80.8%],35,19,54,04-28-2021,projected
225,MD- SALISBURY,80.53,29,26,32,80.21,80.85,29 [26 - 32],80.53% [80.21% - 80.85%],5,2,8,04-28-2021,projected
226,MD- TAKOMA PARK,80.62,53,49,57,80.39,80.93,53 [49 - 57],80.62% [80.39% - 80.93%],8,5,12,04-28-2021,projected
227,MA- BOSTON,80.12,70,63,79,80.05,80.18,70 [63 - 79],80.12% [80.05% - 80.18%],13,6,20,04-28-2021,projected
230,MA- SPRINGFIELD,80.19,18,16,21,80.06,80.37,18 [16 - 21],80.19% [80.06% - 80.37%],3,1,6,04-28-2021,projected
231,MA- WORCESTER,80.18,15,14,17,80.12,80.24,15 [14 - 17],80.18% [80.12% - 80.24%],3,2,4,04-28-2021,projected
232,MI- ANN ARBOR,80.43,78,69,89,80.15,80.74,78 [69 - 89],80.43% [80.15% - 80.74%],14,5,24,04-28-2021,projected
233,MI- DEARBORN,80.3,31,28,35,80.12,80.55,31 [28 - 35],80.3% [80.12% - 80.55%],5,2,9,04-28-2021,projected
234,MI- DETROIT,80.36,98,88,113,80.15,80.69,98 [88 - 113],80.36% [80.15% - 80.69%],17,7,32,04-28-2021,projected
235,MI- FLINT,80.6,47,42,54,80.23,81.06,47 [42 - 54],80.6% [80.23% - 81.06%],8,3,14,04-28-2021,projected
236,MI- GRAND RAPIDS,80.82,116,103,136,80.26,81.65,116 [103 - 136],80.82% [80.26% - 81.65%],19,6,38,04-28-2021,projected
238,MI- KALAMAZOO,80.81,67,60,77,80.34,81.35,67 [60 - 77],80.81% [80.34% - 81.35%],12,5,20,04-28-2021,projected
239,MI- LANSING,80.46,41,36,46,80.13,80.72,41 [36 - 46],80.46% [80.13% - 80.72%],7,2,11,04-28-2021,projected
240,MI- MARQUETTE,80.41,14,12,16,80.0,80.82,14 [12 - 16],80.41% [80.0% - 80.82%],2,0,4,04-28-2021,projected
242,MI- MUSKEGON,82.05,64,56,74,80.56,83.73,64 [56 - 74],82.05% [80.56% - 83.73%],11,3,20,04-28-2021,projected
243,MI- PETOSKEY,80.58,11,9,13,80.0,80.87,11 [9 - 13],80.58% [80.0% - 80.87%],2,0,3,04-28-2021,projected
244,MI- PONTIAC,80.42,30,27,34,80.17,80.76,30 [27 - 34],80.42% [80.17% - 80.76%],5,2,9,04-28-2021,projected
245,MI- ROYAL OAK,80.3,50,45,57,80.15,80.57,50 [45 - 57],80.3% [80.15% - 80.57%],8,4,15,04-28-2021,projected
246,MI- SAGINAW,80.43,46,39,55,80.1,80.76,46 [39 - 55],80.43% [80.1% - 80.76%],9,2,16,04-28-2021,projected
248,MI- ST JOSEPH,80.33,7,6,8,80.33,80.66,7 [6 - 8],80.33% [80.33% - 80.66%],1,1,2,04-28-2021,projected
249,MI- TRAVERSE CITY,80.2,7,6,9,80.0,80.59,7 [6 - 9],80.2% [80.0% - 80.59%],1,0,3,04-28-2021,projected
250,MN- DULUTH,80.26,21,19,23,80.09,80.43,21 [19 - 23],80.26% [80.09% - 80.43%],3,1,5,04-28-2021,projected
