HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
373,TN- CHATTANOOGA,85.76,63,57,73,82.14,91.33,63 [57 - 73],85.76% [82.14% - 91.33%],129,48,254,10-20-2020
374,TN- JACKSON,82.1,7,7,11,80.37,85.7,7 [7 - 11],82.1% [80.37% - 85.7%],28,5,77,10-20-2020
375,TN- JOHNSON CITY,87.87,35,32,42,82.77,96.38,35 [32 - 42],87.87% [82.77% - 96.38%],73,26,154,10-20-2020
376,TN- KINGSPORT,102.89,241,223,295,91.63,130.7,241 [223 - 295],102.89% [91.63% - 130.7%],454,231,1007,10-20-2020
377,TN- KNOXVILLE,90.32,221,204,263,84.86,101.13,221 [204 - 263],90.32% [84.86% - 101.13%],431,203,882,10-20-2020
379,TN- MEMPHIS,86.71,203,185,250,82.96,95.35,203 [185 - 250],86.71% [82.96% - 95.35%],423,187,970,10-20-2020
380,TN- NASHVILLE,89.72,417,379,490,84.02,99.1,417 [379 - 490],89.72% [84.02% - 99.1%],831,344,1634,10-20-2020
382,TX- ABILENE,95.05,98,90,123,86.55,114.56,98 [90 - 123],95.05% [86.55% - 114.56%],199,87,459,10-20-2020
383,TX- AMARILLO,103.6,170,151,225,87.46,148.97,170 [151 - 225],103.6% [87.46% - 148.97%],354,112,1036,10-20-2020
385,TX- AUSTIN,85.02,84,78,99,82.6,90.18,84 [78 - 99],85.02% [82.6% - 90.18%],175,91,356,10-20-2020
386,TX- BEAUMONT,82.38,14,14,16,81.53,84.74,14 [14 - 16],82.38% [81.53% - 84.74%],32,21,65,10-20-2020
388,TX- BRYAN,100.35,62,58,75,89.48,123.46,62 [58 - 75],100.35% [89.48% - 123.46%],124,58,266,10-20-2020
390,TX- CORPUS CHRISTI,80.3,0,0,0,80.0,80.49,0 [0 - 0],80.3% [80.0% - 80.49%],6,0,10,10-20-2020
391,TX- DALLAS,90.11,614,565,713,84.94,99.33,614 [565 - 713],90.11% [84.94% - 99.33%],1238,605,2367,10-20-2020
393,TX- EL PASO,167.25,1163,1045,1540,109.11,320.29,1163 [1045 - 1540],167.25% [109.11% - 320.29%],2394,799,6596,10-20-2020
394,TX- FORT WORTH,100.53,515,479,596,91.38,117.61,515 [479 - 596],100.53% [91.38% - 117.61%],1028,570,1883,10-20-2020
396,TX- HARLINGEN,85.71,35,33,45,82.89,94.1,35 [33 - 45],85.71% [82.89% - 94.1%],81,41,200,10-20-2020
397,TX- HOUSTON,82.1,173,161,199,81.15,83.97,173 [161 - 199],82.1% [81.15% - 83.97%],358,196,677,10-20-2020
399,TX- LONGVIEW,86.41,21,20,25,83.5,91.52,21 [20 - 25],86.41% [83.5% - 91.52%],43,24,79,10-20-2020
400,TX- LUBBOCK,110.57,349,310,445,89.29,158.41,349 [310 - 445],110.57% [89.29% - 158.41%],730,222,1874,10-20-2020
402,TX- MCALLEN,83.99,27,26,30,82.33,86.37,27 [26 - 30],83.99% [82.33% - 86.37%],63,37,101,10-20-2020
406,TX- ODESSA,95.01,97,90,119,87.97,112.89,97 [90 - 119],95.01% [87.97% - 112.89%],193,103,425,10-20-2020
411,TX- SAN ANGELO,90.66,28,27,38,84.66,108.38,28 [27 - 38],90.66% [84.66% - 108.38%],73,32,195,10-20-2020
412,TX- SAN ANTONIO,82.54,83,77,99,81.42,85.74,83 [77 - 99],82.54% [81.42% - 85.74%],183,103,415,10-20-2020
413,TX- TEMPLE,88.58,35,33,44,83.62,98.1,35 [33 - 44],88.58% [83.62% - 98.1%],80,34,170,10-20-2020
416,TX- TYLER,88.19,63,59,74,84.24,95.52,63 [59 - 74],88.19% [84.24% - 95.52%],131,68,249,10-20-2020
417,TX- VICTORIA,80.0,0,0,1,80.0,82.22,0 [0 - 1],80.0% [80.0% - 82.22%],0,0,17,10-20-2020
418,TX- WACO,89.65,21,21,26,85.7,97.76,21 [21 - 26],89.65% [85.7% - 97.76%],57,34,106,10-20-2020
420,TX- WICHITA FALLS,132.81,174,157,230,100.29,225.07,174 [157 - 230],132.81% [100.29% - 225.07%],364,140,1001,10-20-2020
