region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update,Type
226,MD- TAKOMA PARK,112.48,238,229,247,109.6,115.28,238 [229 - 247],112.48% [109.6% - 115.28%],418,381,454,01-26-2021,projected
227,MA- BOSTON,100.08,1306,1260,1361,96.62,103.76,1306 [1260 - 1361],100.08% [96.62% - 103.76%],2206,1825,2610,01-26-2021,projected
230,MA- SPRINGFIELD,97.68,143,137,147,96.05,99.11,143 [137 - 147],97.68% [96.05% - 99.11%],283,257,306,01-26-2021,projected
231,MA- WORCESTER,99.43,171,165,177,97.84,101.01,171 [165 - 177],99.43% [97.84% - 101.01%],319,293,345,01-26-2021,projected
232,MI- ANN ARBOR,89.77,159,152,165,88.7,90.72,159 [152 - 165],89.77% [88.7% - 90.72%],319,284,350,01-26-2021,projected
233,MI- DEARBORN,86.02,56,54,57,85.54,86.57,56 [54 - 57],86.02% [85.54% - 86.57%],99,91,108,01-26-2021,projected
234,MI- DETROIT,88.95,250,241,264,87.41,90.97,250 [241 - 264],88.95% [87.41% - 90.97%],417,345,511,01-26-2021,projected
235,MI- FLINT,86.94,43,41,45,86.18,87.32,43 [41 - 45],86.94% [86.18% - 87.32%],92,82,97,01-26-2021,projected
236,MI- GRAND RAPIDS,93.73,173,168,179,92.17,95.07,173 [168 - 179],93.73% [92.17% - 95.07%],317,281,348,01-26-2021,projected
238,MI- KALAMAZOO,91.37,91,86,93,90.49,91.58,91 [86 - 93],91.37% [90.49% - 91.58%],168,155,171,01-26-2021,projected
239,MI- LANSING,92.25,106,101,110,91.34,93.03,106 [101 - 110],92.25% [91.34% - 93.03%],188,174,200,01-26-2021,projected
240,MI- MARQUETTE,90.45,31,29,32,89.63,90.86,31 [29 - 32],90.45% [89.63% - 90.86%],51,47,53,01-26-2021,projected
242,MI- MUSKEGON,88.02,19,17,20,86.9,89.89,19 [17 - 20],88.02% [86.9% - 89.89%],43,37,53,01-26-2021,projected
243,MI- PETOSKEY,85.78,7,6,8,84.91,86.36,7 [6 - 8],85.78% [84.91% - 86.36%],20,17,22,01-26-2021,projected
244,MI- PONTIAC,87.09,41,39,43,86.42,87.69,41 [39 - 43],87.09% [86.42% - 87.69%],84,76,91,01-26-2021,projected
245,MI- ROYAL OAK,85.56,76,73,80,85.07,86.09,76 [73 - 80],85.56% [85.07% - 86.09%],147,134,161,01-26-2021,projected
246,MI- SAGINAW,86.82,70,67,75,86.2,87.92,70 [67 - 75],86.82% [86.2% - 87.92%],143,130,166,01-26-2021,projected
248,MI- ST JOSEPH,93.91,21,20,21,92.91,94.9,21 [20 - 21],93.91% [92.91% - 94.9%],42,39,45,01-26-2021,projected
249,MI- TRAVERSE CITY,90.02,28,26,28,88.64,90.81,28 [26 - 28],90.02% [88.64% - 90.81%],51,44,55,01-26-2021,projected
250,MN- DULUTH,88.0,49,46,52,86.71,88.78,49 [46 - 52],88.0% [86.71% - 88.78%],93,78,102,01-26-2021,projected
251,MN- MINNEAPOLIS,85.63,268,258,284,85.14,86.15,268 [258 - 284],85.63% [85.14% - 86.15%],479,438,524,01-26-2021,projected
253,MN- ROCHESTER,83.66,49,47,51,83.27,84.19,49 [47 - 51],83.66% [83.27% - 84.19%],95,85,109,01-26-2021,projected
254,MN- ST CLOUD,84.38,14,14,15,84.24,84.67,14 [14 - 15],84.38% [84.24% - 84.67%],31,30,33,01-26-2021,projected
256,MN- ST PAUL,88.8,121,118,127,87.79,90.77,121 [118 - 127],88.8% [87.79% - 90.77%],201,178,246,01-26-2021,projected
257,MS- GULFPORT,97.08,69,66,72,95.65,98.89,69 [66 - 72],97.08% [95.65% - 98.89%],132,121,146,01-26-2021,projected
258,MS- HATTIESBURG,96.78,115,111,119,95.54,98.18,115 [111 - 119],96.78% [95.54% - 98.18%],203,188,220,01-26-2021,projected
259,MS- JACKSON,91.34,293,283,307,90.22,92.3,293 [283 - 307],91.34% [90.22% - 92.3%],508,458,551,01-26-2021,projected
260,MS- MERIDIAN,89.71,49,48,52,88.9,90.94,49 [48 - 52],89.71% [88.9% - 90.94%],95,87,107,01-26-2021,projected
261,MS- OXFORD,96.3,63,60,65,94.73,97.87,63 [60 - 65],96.3% [94.73% - 97.87%],104,94,114,01-26-2021,projected
262,MS- TUPELO,90.98,95,93,99,90.55,91.96,95 [93 - 99],90.98% [90.55% - 91.96%],179,172,195,01-26-2021,projected
263,MO- CAPE GIRARDEAU,84.97,27,25,30,84.58,85.45,27 [25 - 30],84.97% [84.58% - 85.45%],51,47,56,01-26-2021,projected
264,MO- COLUMBIA,89.71,96,91,104,88.84,91.55,96 [91 - 104],89.71% [88.84% - 91.55%],179,163,213,01-26-2021,projected
267,MO- JOPLIN,94.36,75,71,80,92.05,95.62,75 [71 - 80],94.36% [92.05% - 95.62%],137,115,149,01-26-2021,projected
268,MO- KANSAS CITY,91.34,474,457,497,90.5,92.4,474 [457 - 497],91.34% [90.5% - 92.4%],899,832,983,01-26-2021,projected
270,MO- SPRINGFIELD,93.22,118,113,125,91.64,94.29,118 [113 - 125],93.22% [91.64% - 94.29%],259,228,280,01-26-2021,projected
273,MO- ST LOUIS,91.02,781,752,817,89.93,91.96,781 [752 - 817],91.02% [89.93% - 91.96%],1344,1211,1459,01-26-2021,projected
274,MT- BILLINGS,87.06,88,82,92,86.52,88.1,88 [82 - 92],87.06% [86.52% - 88.1%],156,144,179,01-26-2021,projected
275,MT- GREAT FALLS,82.61,14,13,15,81.49,83.85,14 [13 - 15],82.61% [81.49% - 83.85%],21,12,31,01-26-2021,projected
276,MT- MISSOULA,92.08,70,68,73,91.13,92.86,70 [68 - 73],92.08% [91.13% - 92.86%],140,129,149,01-26-2021,projected
277,NE- LINCOLN,88.49,78,75,83,87.89,89.09,78 [75 - 83],88.49% [87.89% - 89.09%],156,145,167,01-26-2021,projected
278,NE- OMAHA,87.33,222,215,233,86.82,87.92,222 [215 - 233],87.33% [86.82% - 87.92%],401,373,433,01-26-2021,projected
279,NV- LAS VEGAS,104.67,492,475,509,102.46,106.68,492 [475 - 509],104.67% [102.46% - 106.68%],1007,917,1089,01-26-2021,projected
280,NV- RENO,91.97,133,128,139,89.99,94.21,133 [128 - 139],91.97% [89.99% - 94.21%],230,192,273,01-26-2021,projected
281,NH- LEBANON,91.74,73,70,76,90.09,94.32,73 [70 - 76],91.74% [90.09% - 94.32%],114,98,139,01-26-2021,projected
282,NH- MANCHESTER,97.27,185,179,192,96.21,98.64,185 [179 - 192],97.27% [96.21% - 98.64%],341,320,368,01-26-2021,projected
283,NJ- CAMDEN,100.86,1002,971,1044,97.42,104.73,1002 [971 - 1044],100.86% [97.42% - 104.73%],1666,1391,1975,01-26-2021,projected
284,NJ- HACKENSACK,91.61,211,204,218,90.73,92.47,211 [204 - 218],91.61% [90.73% - 92.47%],433,400,465,01-26-2021,projected
285,NJ- MORRISTOWN,102.2,239,231,250,100.18,104.33,239 [231 - 250],102.2% [100.18% - 104.33%],428,389,469,01-26-2021,projected
288,NJ- NEW BRUNSWICK,95.94,259,251,269,93.45,98.55,259 [251 - 269],95.94% [93.45% - 98.55%],441,372,513,01-26-2021,projected
289,NJ- NEWARK,96.93,506,489,530,93.99,100.3,506 [489 - 530],96.93% [93.99% - 100.3%],823,680,987,01-26-2021,projected
291,NJ- PATERSON,92.39,74,72,76,91.46,93.33,74 [72 - 76],92.39% [91.46% - 93.33%],146,135,157,01-26-2021,projected
292,NJ- RIDGEWOOD,99.19,70,68,73,97.55,100.71,70 [68 - 73],99.19% [97.55% - 100.71%],152,139,164,01-26-2021,projected
293,NM- ALBUQUERQUE,97.89,303,292,317,96.28,99.77,303 [292 - 317],97.89% [96.28% - 99.77%],601,547,664,01-26-2021,projected
295,NY- ALBANY,102.36,552,532,573,100.51,104.35,552 [532 - 573],102.36% [100.51% - 104.35%],1102,1011,1200,01-26-2021,projected
296,NY- BINGHAMTON,104.0,116,112,121,102.71,106.05,116 [112 - 121],104.0% [102.71% - 106.05%],223,211,242,01-26-2021,projected
297,NY- BRONX,107.13,437,422,449,104.86,109.23,437 [422 - 449],107.13% [104.86% - 109.23%],982,900,1058,01-26-2021,projected
299,NY- BUFFALO,99.47,333,322,344,97.91,100.89,333 [322 - 344],99.47% [97.91% - 100.89%],700,644,751,01-26-2021,projected
300,NY- ELMIRA,97.46,73,69,76,95.97,98.66,73 [69 - 76],97.46% [95.97% - 98.66%],188,172,201,01-26-2021,projected
301,NY- EAST LONG ISLAND,107.69,994,961,1022,105.44,109.69,994 [961 - 1022],107.69% [105.44% - 109.69%],3029,2783,3248,01-26-2021,projected
304,NY- ROCHESTER,99.05,289,278,299,97.03,101.05,289 [278 - 299],99.05% [97.03% - 101.05%],564,504,623,01-26-2021,projected
307,NY- SYRACUSE,99.75,282,271,291,97.91,101.49,282 [271 - 291],99.75% [97.91% - 101.49%],558,506,607,01-26-2021,projected
