region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
1,AL- BIRMINGHAM,85.1,415,375,551,81.93,95.56,415 [375 - 551],85.1% [81.93% - 95.56%],431,163,1314,10-20-2020
2,AL- DOTHAN,81.28,14,12,19,80.0,83.46,14 [12 - 19],81.28% [80.0% - 83.46%],17,0,46,10-20-2020
5,AL- HUNTSVILLE,87.71,144,131,183,83.14,99.31,144 [131 - 183],87.71% [83.14% - 99.31%],145,59,363,10-20-2020
6,AL- MOBILE,82.14,56,50,72,80.81,85.39,56 [50 - 72],82.14% [80.81% - 85.39%],61,23,154,10-20-2020
7,AL- MONTGOMERY,86.66,98,88,137,82.13,103.54,98 [88 - 137],86.66% [82.13% - 103.54%],103,33,364,10-20-2020
9,AL- TUSCALOOSA,84.01,32,27,46,80.4,91.62,32 [27 - 46],84.01% [80.4% - 91.62%],40,4,116,10-20-2020
11,AZ- MESA,99.75,390,357,508,88.38,136.46,390 [357 - 508],99.75% [88.38% - 136.46%],391,166,1118,10-20-2020
12,AZ- PHOENIX,91.87,899,819,1191,84.71,116.51,899 [819 - 1191],91.87% [84.71% - 116.51%],899,357,2766,10-20-2020
14,AZ- SUN CITY,88.77,70,64,92,83.7,105.31,70 [64 - 92],88.77% [83.7% - 105.31%],71,30,205,10-20-2020
15,AZ- TUCSON,84.83,124,114,181,82.14,98.86,124 [114 - 181],84.83% [82.14% - 98.86%],122,54,476,10-20-2020
16,AR- FORT SMITH,84.22,49,43,62,81.72,90.62,49 [43 - 62],84.22% [81.72% - 90.62%],54,22,136,10-20-2020
18,AR- JONESBORO,87.74,65,56,86,82.1,103.23,65 [56 - 86],87.74% [82.1% - 103.23%],70,19,210,10-20-2020
19,AR- LITTLE ROCK,83.34,176,160,225,81.3,87.97,176 [160 - 225],83.34% [81.3% - 87.97%],193,75,460,10-20-2020
21,AR- SPRINGDALE,84.82,49,45,61,82.08,91.83,49 [45 - 61],84.82% [82.08% - 91.83%],51,22,125,10-20-2020
22,AR- TEXARKANA,86.53,61,55,84,82.45,99.8,61 [55 - 84],86.53% [82.45% - 99.8%],64,24,194,10-20-2020
23,CA- ORANGE CO.,80.99,74,67,87,80.43,82.07,74 [67 - 87],80.99% [80.43% - 82.07%],76,33,158,10-20-2020
25,CA- BAKERSFIELD,80.69,28,25,32,80.41,81.52,28 [25 - 32],80.69% [80.41% - 81.52%],25,15,55,10-20-2020
31,CA- CHICO,80.78,7,6,7,80.0,81.56,7 [6 - 7],80.78% [80.0% - 81.56%],5,0,10,10-20-2020
33,CA- CONTRA COSTA CO.,81.05,19,17,23,80.55,82.1,19 [17 - 23],81.05% [80.55% - 82.1%],21,11,42,10-20-2020
43,CA- FRESNO,81.14,21,20,27,80.57,82.67,21 [20 - 27],81.14% [80.57% - 82.67%],26,13,61,10-20-2020
56,CA- LOS ANGELES,82.15,523,479,609,81.01,84.16,523 [479 - 609],82.15% [81.01% - 84.16%],533,251,1032,10-20-2020
58,CA- MODESTO,86.05,99,89,165,81.92,109.32,99 [89 - 165],86.05% [81.92% - 109.32%],104,33,504,10-20-2020
62,CA- NAPA,80.86,5,4,6,80.0,80.86,5 [4 - 6],80.86% [80.0% - 80.86%],5,0,5,10-20-2020
65,CA- ALAMEDA CO.,80.33,14,13,15,80.18,80.65,14 [13 - 15],80.33% [80.18% - 80.65%],11,6,22,10-20-2020
