region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update,Type
371,SD- SIOUX FALLS,80.11,7,7,11,80.04,80.25,7 [7 - 11],80.11% [80.04% - 80.25%],3,1,7,02-02-2021,projected
373,TN- CHATTANOOGA,80.67,49,45,56,80.31,81.2,49 [45 - 56],80.67% [80.31% - 81.2%],15,7,27,02-02-2021,projected
374,TN- JACKSON,80.3,14,13,17,80.07,80.67,14 [13 - 17],80.3% [80.07% - 80.67%],4,1,9,02-02-2021,projected
375,TN- JOHNSON CITY,80.11,7,6,8,80.0,80.43,7 [6 - 8],80.11% [80.0% - 80.43%],1,0,4,02-02-2021,projected
376,TN- KINGSPORT,80.76,46,39,55,80.1,81.56,46 [39 - 55],80.76% [80.1% - 81.56%],15,2,31,02-02-2021,projected
377,TN- KNOXVILLE,80.31,42,39,52,80.14,80.79,42 [39 - 52],80.31% [80.14% - 80.79%],13,6,33,02-02-2021,projected
379,TN- MEMPHIS,80.59,123,112,139,80.25,81.03,123 [112 - 139],80.59% [80.25% - 81.03%],37,16,65,02-02-2021,projected
380,TN- NASHVILLE,80.5,145,130,165,80.15,80.95,145 [130 - 165],80.5% [80.15% - 80.95%],43,13,81,02-02-2021,projected
382,TX- ABILENE,81.13,49,44,53,80.53,81.73,49 [44 - 53],81.13% [80.53% - 81.73%],15,7,23,02-02-2021,projected
383,TX- AMARILLO,81.46,76,70,86,80.67,82.6,76 [70 - 86],81.46% [80.67% - 82.6%],22,10,39,02-02-2021,projected
385,TX- AUSTIN,82.69,321,295,356,81.37,84.57,321 [295 - 356],82.69% [81.37% - 84.57%],94,48,160,02-02-2021,projected
386,TX- BEAUMONT,81.53,77,72,87,80.88,82.99,77 [72 - 87],81.53% [80.88% - 82.99%],21,12,41,02-02-2021,projected
388,TX- BRYAN,83.43,73,68,81,81.8,85.88,73 [68 - 81],83.43% [81.8% - 85.88%],21,11,36,02-02-2021,projected
390,TX- CORPUS CHRISTI,81.27,91,85,104,80.73,82.44,91 [85 - 104],81.27% [80.73% - 82.44%],26,15,50,02-02-2021,projected
391,TX- DALLAS,82.45,1016,943,1117,81.28,83.95,1016 [943 - 1117],82.45% [81.28% - 83.95%],300,157,484,02-02-2021,projected
393,TX- EL PASO,82.44,234,216,256,81.24,84.01,234 [216 - 256],82.44% [81.24% - 84.01%],67,34,110,02-02-2021,projected
394,TX- FORT WORTH,81.88,306,283,335,80.94,83.02,306 [283 - 335],81.88% [80.94% - 83.02%],94,47,151,02-02-2021,projected
396,TX- HARLINGEN,85.43,264,245,296,82.82,89.94,264 [245 - 296],85.43% [82.82% - 89.94%],77,40,141,02-02-2021,projected
397,TX- HOUSTON,83.42,2034,1889,2253,81.74,85.97,2034 [1889 - 2253],83.42% [81.74% - 85.97%],583,297,1019,02-02-2021,projected
399,TX- LONGVIEW,82.04,48,45,53,81.17,83.21,48 [45 - 53],82.04% [81.17% - 83.21%],14,8,22,02-02-2021,projected
400,TX- LUBBOCK,80.75,63,58,70,80.38,81.26,63 [58 - 70],80.75% [80.38% - 81.26%],18,9,30,02-02-2021,projected
402,TX- MCALLEN,84.79,262,241,289,82.27,88.07,262 [241 - 289],84.79% [82.27% - 88.07%],76,36,128,02-02-2021,projected
406,TX- ODESSA,81.01,39,35,44,80.39,81.63,39 [35 - 44],81.01% [80.39% - 81.63%],13,5,21,02-02-2021,projected
411,TX- SAN ANGELO,80.73,20,17,22,80.29,81.31,20 [17 - 22],80.73% [80.29% - 81.31%],5,2,9,02-02-2021,projected
412,TX- SAN ANTONIO,85.0,1242,1166,1333,82.93,87.49,1242 [1166 - 1333],85.0% [82.93% - 87.49%],362,212,542,02-02-2021,projected
413,TX- TEMPLE,86.5,210,194,239,83.09,92.35,210 [194 - 239],86.5% [83.09% - 92.35%],61,29,116,02-02-2021,projected
416,TX- TYLER,81.81,105,97,118,81.06,83.3,105 [97 - 118],81.81% [81.06% - 83.3%],29,17,53,02-02-2021,projected
417,TX- VICTORIA,82.74,72,66,79,81.43,84.3,72 [66 - 79],82.74% [81.43% - 84.3%],21,11,33,02-02-2021,projected
418,TX- WACO,80.84,14,14,17,80.5,81.68,14 [14 - 17],80.84% [80.5% - 81.68%],5,3,10,02-02-2021,projected
420,TX- WICHITA FALLS,80.0,0,0,2,80.0,80.72,0 [0 - 2],80.0% [80.0% - 80.72%],0,0,5,02-02-2021,projected
421,UT- OGDEN,80.41,7,7,8,80.14,80.68,7 [7 - 8],80.41% [80.14% - 80.68%],3,1,5,02-02-2021,projected
422,UT- PROVO,80.67,21,19,23,80.44,81.22,21 [19 - 23],80.67% [80.44% - 81.22%],6,4,11,02-02-2021,projected
423,UT- SALT LAKE CITY,80.48,58,53,68,80.18,80.89,58 [53 - 68],80.48% [80.18% - 80.89%],19,7,35,02-02-2021,projected
424,VT- BURLINGTON,81.52,79,72,96,80.69,83.66,79 [72 - 96],81.52% [80.69% - 83.66%],24,11,58,02-02-2021,projected
426,VA- ARLINGTON,82.77,267,245,306,81.24,85.15,267 [245 - 306],82.77% [81.24% - 85.15%],80,36,149,02-02-2021,projected
427,VA- CHARLOTTESVILLE,80.93,44,40,52,80.43,81.92,44 [40 - 52],80.93% [80.43% - 81.92%],13,6,27,02-02-2021,projected
428,VA- LYNCHBURG,80.8,21,19,25,80.27,81.86,21 [19 - 25],80.8% [80.27% - 81.86%],6,2,14,02-02-2021,projected
429,VA- NEWPORT NEWS,82.19,83,76,97,80.97,84.21,83 [76 - 97],82.19% [80.97% - 84.21%],25,11,48,02-02-2021,projected
430,VA- NORFOLK,81.66,147,135,171,80.74,83.29,147 [135 - 171],81.66% [80.74% - 83.29%],45,20,89,02-02-2021,projected
431,VA- RICHMOND,81.91,303,278,348,80.89,83.64,303 [278 - 348],81.91% [80.89% - 83.64%],90,42,171,02-02-2021,projected
432,VA- ROANOKE,80.72,70,64,81,80.29,81.47,70 [64 - 81],80.72% [80.29% - 81.47%],20,8,41,02-02-2021,projected
435,VA- WINCHESTER,82.25,62,56,76,80.96,84.61,62 [56 - 76],82.25% [80.96% - 84.61%],21,9,43,02-02-2021,projected
437,WA- EVERETT,80.37,7,6,9,80.24,80.73,7 [6 - 9],80.37% [80.24% - 80.73%],3,2,6,02-02-2021,projected
438,WA- OLYMPIA,80.89,21,19,25,80.44,81.63,21 [19 - 25],80.89% [80.44% - 81.63%],6,3,11,02-02-2021,projected
439,WA- SEATTLE,80.51,94,87,113,80.24,81.19,94 [87 - 113],80.51% [80.24% - 81.19%],28,13,65,02-02-2021,projected
440,WA- SPOKANE,80.74,94,87,116,80.4,81.86,94 [87 - 116],80.74% [80.4% - 81.86%],28,15,70,02-02-2021,projected
441,WA- TACOMA,81.06,49,45,56,80.57,82.04,49 [45 - 56],81.06% [80.57% - 82.04%],13,7,25,02-02-2021,projected
442,WA- YAKIMA,80.52,14,13,15,80.35,81.04,14 [13 - 15],80.52% [80.35% - 81.04%],3,2,6,02-02-2021,projected
443,WV- CHARLESTON,80.66,56,51,64,80.25,81.32,56 [51 - 64],80.66% [80.25% - 81.32%],16,6,32,02-02-2021,projected
444,WV- HUNTINGTON,81.33,77,70,88,80.67,82.73,77 [70 - 88],81.33% [80.67% - 82.73%],22,11,45,02-02-2021,projected
445,WV- MORGANTOWN,80.34,21,19,24,80.17,80.62,21 [19 - 24],80.34% [80.17% - 80.62%],6,3,11,02-02-2021,projected
446,WI- APPLETON,81.46,28,25,32,80.65,82.59,28 [25 - 32],81.46% [80.65% - 82.59%],9,4,16,02-02-2021,projected
447,WI- GREEN BAY,80.37,20,18,24,80.19,80.87,20 [18 - 24],80.37% [80.19% - 80.87%],6,3,14,02-02-2021,projected
448,WI- LA CROSSE,81.26,40,37,48,80.63,82.51,40 [37 - 48],81.26% [80.63% - 82.51%],12,6,24,02-02-2021,projected
449,WI- MADISON,80.63,68,62,80,80.23,81.3,68 [62 - 80],80.63% [80.23% - 81.3%],19,7,39,02-02-2021,projected
450,WI- MARSHFIELD,81.1,42,39,51,80.51,82.04,42 [39 - 51],81.1% [80.51% - 82.04%],13,6,24,02-02-2021,projected
451,WI- MILWAUKEE,80.34,88,79,98,80.12,80.51,88 [79 - 98],80.34% [80.12% - 80.51%],28,10,42,02-02-2021,projected
452,WI- NEENAH,80.9,14,13,16,80.36,81.43,14 [13 - 16],80.9% [80.36% - 81.43%],5,2,8,02-02-2021,projected
456,WI- WAUSAU,81.24,28,25,34,80.35,82.83,28 [25 - 34],81.24% [80.35% - 82.83%],7,2,16,02-02-2021,projected
457,WY- CASPER,80.29,7,6,8,80.0,80.57,7 [6 - 8],80.29% [80.0% - 80.57%],2,0,4,02-02-2021,projected
303,NY- NEW YORK,80.53,249,229,267,80.26,80.76,249 [229 - 267],80.53% [80.26% - 80.76%],82,41,118,02-02-2021,projected
