HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
293,NM- ALBUQUERQUE,103.22,394,353,498,86.97,144.96,394 [353 - 498],103.22% [86.97% - 144.96%],779,234,2182,05-18-2020
295,NY- ALBANY,85.0,110,96,163,80.53,99.86,110 [96 - 163],85.0% [80.53% - 99.86%],246,26,979,05-18-2020
296,NY- BINGHAMTON,82.3,7,6,12,80.0,90.55,7 [6 - 12],82.3% [80.0% - 90.55%],21,0,98,05-18-2020
297,NY- BRONX,88.57,132,118,167,82.62,102.38,132 [118 - 167],88.57% [82.62% - 102.38%],310,95,810,05-18-2020
299,NY- BUFFALO,82.23,33,30,50,80.56,88.21,33 [30 - 50],82.23% [80.56% - 88.21%],80,20,295,05-18-2020
300,NY- ELMIRA,81.34,7,6,12,80.0,87.99,7 [6 - 12],81.34% [80.0% - 87.99%],14,0,86,05-18-2020
301,NY- EAST LONG ISLAND,89.54,454,404,581,82.65,106.07,454 [404 - 581],89.54% [82.65% - 106.07%],1043,290,2852,05-18-2020
304,NY- ROCHESTER,81.95,22,20,40,80.68,89.97,22 [20 - 40],81.95% [80.68% - 89.97%],57,20,295,05-18-2020
307,NY- SYRACUSE,80.96,7,6,22,80.0,88.35,7 [6 - 22],80.96% [80.0% - 88.35%],27,0,236,05-18-2020
308,NY- WHITE PLAINS,87.87,100,89,124,82.19,99.94,100 [89 - 124],87.87% [82.19% - 99.94%],233,65,592,05-18-2020
309,NC- ASHEVILLE,85.03,48,44,67,81.33,96.35,48 [44 - 67],85.03% [81.33% - 96.35%],94,25,307,05-18-2020
311,NC- CHARLOTTE,93.85,414,376,520,85.42,117.36,414 [376 - 520],93.85% [85.42% - 117.36%],801,314,2164,05-18-2020
312,NC- DURHAM,90.74,248,222,321,83.05,110.84,248 [222 - 321],90.74% [83.05% - 110.84%],495,141,1424,05-18-2020
313,NC- GREENSBORO,90.08,91,83,121,83.57,110.55,91 [83 - 121],90.08% [83.57% - 110.55%],180,64,548,05-18-2020
314,NC- GREENVILLE,85.54,72,64,107,81.16,102.48,72 [64 - 107],85.54% [81.16% - 102.48%],139,29,564,05-18-2020
315,NC- HICKORY,89.92,35,32,47,83.07,108.61,35 [32 - 47],89.92% [83.07% - 108.61%],74,23,214,05-18-2020
318,NC- RALEIGH,97.69,380,342,499,86.04,134.69,380 [342 - 499],97.69% [86.04% - 134.69%],749,256,2316,05-18-2020
319,NC- WILMINGTON,88.81,49,45,69,82.3,107.94,49 [45 - 69],88.81% [82.3% - 107.94%],107,28,340,05-18-2020
320,NC- WINSTON-SALEM,87.86,151,135,201,82.66,105.04,151 [135 - 201],87.86% [82.66% - 105.04%],289,98,922,05-18-2020
321,ND- BISMARCK,88.83,32,29,39,82.51,100.17,32 [29 - 39],88.83% [82.51% - 100.17%],73,21,169,05-18-2020
322,ND- FARGO MOORHEAD -MN,83.04,34,30,45,80.59,89.56,34 [30 - 45],83.04% [80.59% - 89.56%],61,12,194,05-18-2020
323,ND- GRAND FORKS,81.82,7,6,10,80.0,86.13,7 [6 - 10],81.82% [80.0% - 86.13%],10,0,36,05-18-2020
