HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Last Update
1,AL- BIRMINGHAM,101,10226,8889,12535,96.96,105.04,04-21-2020
2,AL- DOTHAN,80,0,0,84,76.8,83.2,04-21-2020
5,AL- HUNTSVILLE,98,1621,1359,2019,94.08,101.92,04-21-2020
6,AL- MOBILE,94,2452,2200,3087,90.24,97.76,04-21-2020
7,AL- MONTGOMERY,96,1256,1087,1530,92.16,99.84,04-21-2020
9,AL- TUSCALOOSA,96,889,808,1114,92.16,99.84,04-21-2020
11,AZ- MESA,111,3618,3254,4358,106.56,115.44,04-21-2020
12,AZ- PHOENIX,99,8477,7596,10167,95.04,102.96,04-21-2020
14,AZ- SUN CITY,93,617,556,743,89.28,96.72,04-21-2020
15,AZ- TUCSON,91,1640,1459,2023,87.36,94.64,04-21-2020
16,AR- FORT SMITH,80,0,0,43,76.8,83.2,04-21-2020
18,AR- JONESBORO,80,0,0,43,76.8,83.2,04-21-2020
19,AR- LITTLE ROCK,92,4243,3847,5372,88.32,95.68,04-21-2020
21,AR- SPRINGDALE,88,348,261,429,84.48,91.52,04-21-2020
22,AR- TEXARKANA,80,0,0,42,76.8,83.2,04-21-2020
23,CA- ORANGE CO.,90,4640,4182,5576,86.4,93.6,04-21-2020
25,CA- BAKERSFIELD,83,710,630,874,79.68,86.32,04-21-2020
31,CA- CHICO,84,166,151,214,80.64,87.36,04-21-2020
33,CA- CONTRA COSTA CO.,111,3851,3490,4538,106.56,115.44,04-21-2020
43,CA- FRESNO,86,828,755,1010,82.56,89.44,04-21-2020
56,CA- LOS ANGELES,89,13697,12349,16426,85.44,92.56,04-21-2020
58,CA- MODESTO,97,1711,1534,2053,93.12,100.88,04-21-2020
62,CA- NAPA,95,585,525,707,91.2,98.8,04-21-2020
65,CA- ALAMEDA CO.,108,5896,5348,6937,103.68,112.32,04-21-2020
69,CA- PALM SPR/RANCHO MIR.,86,419,377,506,82.56,89.44,04-21-2020
73,CA- REDDING,86,407,377,511,82.56,89.44,04-21-2020
77,CA- SACRAMENTO,99,5501,4945,6579,95.04,102.96,04-21-2020
78,CA- SALINAS,100,956,861,1144,96.0,104.0,04-21-2020
79,CA- SAN BERNARDINO,91,3969,3570,4785,87.36,94.64,04-21-2020
80,CA- SAN DIEGO,94,5983,5410,7176,90.24,97.76,04-21-2020
81,CA- SAN FRANCISCO,96,5204,4724,6115,92.16,99.84,04-21-2020
82,CA- SAN JOSE,117,6892,6259,8065,112.32,121.68,04-21-2020
83,CA- SAN LUIS OBISPO,95,416,376,495,91.2,98.8,04-21-2020
85,CA- SAN MATEO CO.,100,3308,3002,3878,96.0,104.0,04-21-2020
86,CA- SANTA BARBARA,90,616,549,729,86.4,93.6,04-21-2020
87,CA- SANTA CRUZ,122,915,830,1073,117.12,126.88,04-21-2020
89,CA- SANTA ROSA,93,1456,1314,1723,89.28,96.72,04-21-2020
91,CA- STOCKTON,105,1577,1418,1873,100.8,109.2,04-21-2020
