HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Last Update
1,AL- BIRMINGHAM,105,13921,12326,17227,100.8,109.2,04-21-2020
2,AL- DOTHAN,80,6,0,200,76.8,83.2,04-21-2020
5,AL- HUNTSVILLE,102,2758,2412,3334,97.92,106.08,04-21-2020
6,AL- MOBILE,98,3328,3008,4218,94.08,101.92,04-21-2020
7,AL- MONTGOMERY,99,1897,1680,2289,95.04,102.96,04-21-2020
9,AL- TUSCALOOSA,98,1168,1065,1481,94.08,101.92,04-21-2020
11,AZ- MESA,118,4838,4369,5839,113.28,122.72,04-21-2020
12,AZ- PHOENIX,103,11492,10366,13830,98.88,107.12,04-21-2020
14,AZ- SUN CITY,96,824,744,995,92.16,99.84,04-21-2020
15,AZ- TUCSON,93,2223,1996,2757,89.28,96.72,04-21-2020
16,AR- FORT SMITH,80,0,0,50,76.8,83.2,04-21-2020
18,AR- JONESBORO,82,61,36,104,78.72,85.28,04-21-2020
19,AR- LITTLE ROCK,94,5228,4743,6729,90.24,97.76,04-21-2020
21,AR- SPRINGDALE,88,609,522,740,84.48,91.52,04-21-2020
22,AR- TEXARKANA,80,0,0,54,76.8,83.2,04-21-2020
23,CA- ORANGE CO.,92,6074,5495,7323,88.32,95.68,04-21-2020
25,CA- BAKERSFIELD,84,1003,901,1226,80.64,87.36,04-21-2020
31,CA- CHICO,87,277,245,353,83.52,90.48,04-21-2020
33,CA- CONTRA COSTA CO.,115,4735,4310,5556,110.4,119.6,04-21-2020
43,CA- FRESNO,87,1107,994,1358,83.52,90.48,04-21-2020
56,CA- LOS ANGELES,91,17784,16092,21415,87.36,94.64,04-21-2020
58,CA- MODESTO,100,2302,2075,2771,96.0,104.0,04-21-2020
62,CA- NAPA,99,715,656,863,95.04,102.96,04-21-2020
65,CA- ALAMEDA CO.,112,7189,6552,8417,107.52,116.48,04-21-2020
69,CA- PALM SPR/RANCHO MIR.,88,560,507,679,84.48,91.52,04-21-2020
73,CA- REDDING,89,593,542,716,85.44,92.56,04-21-2020
77,CA- SACRAMENTO,102,7127,6471,8526,97.92,106.08,04-21-2020
78,CA- SALINAS,104,1240,1126,1482,99.84,108.16,04-21-2020
79,CA- SAN BERNARDINO,94,5296,4785,6410,90.24,97.76,04-21-2020
80,CA- SAN DIEGO,97,7732,7002,9285,93.12,100.88,04-21-2020
81,CA- SAN FRANCISCO,98,6326,5763,7406,94.08,101.92,04-21-2020
82,CA- SAN JOSE,120,8230,7516,9598,115.2,124.8,04-21-2020
83,CA- SAN LUIS OBISPO,97,534,484,637,93.12,100.88,04-21-2020
85,CA- SAN MATEO CO.,101,3961,3616,4623,96.96,105.04,04-21-2020
86,CA- SANTA BARBARA,92,768,700,928,88.32,95.68,04-21-2020
87,CA- SANTA CRUZ,127,1118,1018,1317,121.92,132.08,04-21-2020
89,CA- SANTA ROSA,94,1822,1656,2155,90.24,97.76,04-21-2020
91,CA- STOCKTON,108,2003,1812,2384,103.68,112.32,04-21-2020
96,CA- VENTURA,95,1536,1389,1851,91.2,98.8,04-21-2020
101,CO- BOULDER,136,1715,1548,2041,130.56,141.44,04-21-2020
102,CO- COLORADO SPRINGS,125,2903,2593,3490,120.0,130.0,04-21-2020
103,CO- DENVER,131,16064,14615,19165,125.76,136.24,04-21-2020
104,CO- FORT COLLINS,115,1471,1336,1775,110.4,119.6,04-21-2020
105,CO- GRAND JUNCTION,127,2584,2358,2976,121.92,132.08,04-21-2020
106,CO- GREELEY,114,1643,1475,1991,109.44,118.56,04-21-2020
107,CO- PUEBLO,87,434,404,514,83.52,90.48,04-21-2020
110,CT- HARTFORD,159,16550,14977,19721,152.64,165.36,04-21-2020
111,CT- NEW HAVEN,181,26033,23740,30169,173.76,188.24,04-21-2020
112,DE- WILMINGTON,150,8238,7441,9934,144.0,156.0,04-21-2020
113,DC- WASHINGTON,145,22907,20742,27686,139.2,150.8,04-21-2020
115,FL- BRADENTON,114,1598,1439,1924,109.44,118.56,04-21-2020
116,FL- CLEARWATER,101,2273,2056,2745,96.96,105.04,04-21-2020
118,FL- FORT LAUDERDALE,114,19552,17709,23435,109.44,118.56,04-21-2020
119,FL- FORT MYERS,108,7025,6331,8403,103.68,112.32,04-21-2020
120,FL- GAINESVILLE,98,2138,1905,2658,94.08,101.92,04-21-2020
122,FL- HUDSON,102,1767,1603,2149,97.92,106.08,04-21-2020
123,FL- JACKSONVILLE,98,5806,5176,7086,94.08,101.92,04-21-2020
