HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound,Last Update
1,AL- BIRMINGHAM,80,161,158,164,04-08-2020
2,AL- DOTHAN,80,0,0,0,04-08-2020
5,AL- HUNTSVILLE,80,14,14,14,04-08-2020
6,AL- MOBILE,80,57,56,58,04-08-2020
7,AL- MONTGOMERY,80,7,7,7,04-08-2020
9,AL- TUSCALOOSA,80,13,13,13,04-08-2020
11,AZ- MESA,82,289,284,294,04-08-2020
12,AZ- PHOENIX,81,697,685,709,04-08-2020
14,AZ- SUN CITY,80,45,45,45,04-08-2020
15,AZ- TUCSON,80,133,131,135,04-08-2020
16,AR- FORT SMITH,80,0,0,0,04-08-2020
18,AR- JONESBORO,80,0,0,0,04-08-2020
19,AR- LITTLE ROCK,81,463,455,471,04-08-2020
21,AR- SPRINGDALE,80,0,0,0,04-08-2020
22,AR- TEXARKANA,80,0,0,0,04-08-2020
23,CA- ORANGE CO.,81,557,547,567,04-08-2020
25,CA- BAKERSFIELD,80,76,75,77,04-08-2020
31,CA- CHICO,80,14,14,14,04-08-2020
33,CA- CONTRA COSTA CO.,83,492,483,501,04-08-2020
43,CA- FRESNO,80,62,61,63,04-08-2020
56,CA- LOS ANGELES,81,1796,1764,1828,04-08-2020
58,CA- MODESTO,81,136,134,138,04-08-2020
62,CA- NAPA,81,37,37,37,04-08-2020
65,CA- ALAMEDA CO.,83,782,768,796,04-08-2020
69,CA- PALM SPR/RANCHO MIR.,80,41,41,41,04-08-2020
73,CA- REDDING,80,0,0,0,04-08-2020
77,CA- SACRAMENTO,81,624,613,635,04-08-2020
78,CA- SALINAS,81,84,83,85,04-08-2020
79,CA- SAN BERNARDINO,81,409,402,416,04-08-2020
80,CA- SAN DIEGO,81,755,742,768,04-08-2020
81,CA- SAN FRANCISCO,82,711,699,723,04-08-2020
82,CA- SAN JOSE,85,1071,1052,1090,04-08-2020
83,CA- SAN LUIS OBISPO,81,56,55,57,04-08-2020
85,CA- SAN MATEO CO.,82,497,489,505,04-08-2020
86,CA- SANTA BARBARA,81,66,65,67,04-08-2020
87,CA- SANTA CRUZ,84,96,95,97,04-08-2020
89,CA- SANTA ROSA,81,130,128,132,04-08-2020
91,CA- STOCKTON,82,166,163,169,04-08-2020
96,CA- VENTURA,81,142,140,144,04-08-2020
101,CO- BOULDER,84,149,147,151,04-08-2020
102,CO- COLORADO SPRINGS,83,218,215,221,04-08-2020
103,CO- DENVER,85,1622,1593,1651,04-08-2020
104,CO- FORT COLLINS,82,103,101,105,04-08-2020
105,CO- GRAND JUNCTION,86,336,331,341,04-08-2020
106,CO- GREELEY,82,132,130,134,04-08-2020
107,CO- PUEBLO,80,14,14,14,04-08-2020
110,CT- HARTFORD,83,653,641,665,04-08-2020
111,CT- NEW HAVEN,86,1693,1662,1724,04-08-2020
112,DE- WILMINGTON,83,393,386,400,04-08-2020
113,DC- WASHINGTON,83,1143,1123,1163,04-08-2020
115,FL- BRADENTON,81,51,51,51,04-08-2020
116,FL- CLEARWATER,80,81,80,82,04-08-2020
118,FL- FORT LAUDERDALE,81,926,909,943,04-08-2020
119,FL- FORT MYERS,81,261,257,265,04-08-2020
120,FL- GAINESVILLE,80,78,77,79,04-08-2020
122,FL- HUDSON,80,61,60,62,04-08-2020
123,FL- JACKSONVILLE,80,204,201,207,04-08-2020
124,FL- LAKELAND,80,57,56,58,04-08-2020
127,FL- MIAMI,81,1219,1197,1241,04-08-2020
129,FL- OCALA,80,63,62,64,04-08-2020
130,FL- ORLANDO,80,574,564,584,04-08-2020
131,FL- ORMOND BEACH,80,60,59,61,04-08-2020
133,FL- PANAMA CITY,80,0,0,0,04-08-2020
134,FL- PENSACOLA,80,83,82,84,04-08-2020
137,FL- SARASOTA,80,58,57,59,04-08-2020
139,FL- ST PETERSBURG,80,65,64,66,04-08-2020
140,FL- TALLAHASSEE,80,35,35,35,04-08-2020
141,FL- TAMPA,80,247,243,251,04-08-2020
142,GA- ALBANY,82,191,188,194,04-08-2020
144,GA- ATLANTA,82,2060,2023,2097,04-08-2020
145,GA- AUGUSTA,80,119,117,121,04-08-2020
146,GA- COLUMBUS,80,26,26,26,04-08-2020
147,GA- MACON,80,32,32,32,04-08-2020
148,GA- ROME,81,91,90,92,04-08-2020
149,GA- SAVANNAH,81,236,232,240,04-08-2020
154,IL- AURORA,83,115,113,117,04-08-2020
155,IL- BLUE ISLAND,82,352,346,358,04-08-2020
156,IL- CHICAGO,82,1189,1168,1210,04-08-2020
158,IL- ELGIN,84,305,300,310,04-08-2020
161,IL- EVANSTON,82,469,461,477,04-08-2020
163,IL- HINSDALE,82,203,200,206,04-08-2020
164,IL- JOLIET,82,251,247,255,04-08-2020
166,IL- MELROSE PARK,82,597,587,607,04-08-2020
170,IL- PEORIA,80,13,13,13,04-08-2020
