HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
382,TX- ABILENE,84.94,36,31,52,80.38,100.86,36 [31 - 52],84.94% [80.38% - 100.86%],65,5,277,08-04-2020
383,TX- AMARILLO,87.11,51,45,73,81.2,105.43,51 [45 - 73],87.11% [81.2% - 105.43%],106,18,382,08-04-2020
385,TX- AUSTIN,96.52,309,274,373,84.15,121.42,309 [274 - 373],96.52% [84.15% - 121.42%],577,145,1449,08-04-2020
386,TX- BEAUMONT,88.97,66,59,85,81.97,107.37,66 [59 - 85],88.97% [81.97% - 107.37%],122,27,375,08-04-2020
388,TX- BRYAN,94.03,44,39,54,82.61,115.29,44 [39 - 54],94.03% [82.61% - 115.29%],85,16,216,08-04-2020
390,TX- CORPUS CHRISTI,86.61,75,65,103,80.73,105.49,75 [65 - 103],86.61% [80.73% - 105.49%],135,15,523,08-04-2020
391,TX- DALLAS,93.61,911,817,1066,84.43,111.19,911 [817 - 1066],93.61% [84.43% - 111.19%],1666,542,3819,08-04-2020
393,TX- EL PASO,94.58,205,185,236,84.59,110.2,205 [185 - 236],94.58% [84.59% - 110.2%],400,126,829,08-04-2020
394,TX- FORT WORTH,94.07,383,343,451,84.35,112.83,383 [343 - 451],94.07% [84.35% - 112.83%],704,218,1644,08-04-2020
396,TX- HARLINGEN,89.57,73,64,104,81.48,118.58,73 [64 - 104],89.57% [81.48% - 118.58%],135,21,547,08-04-2020
397,TX- HOUSTON,89.96,1146,1012,1428,82.61,111.52,1146 [1012 - 1428],89.96% [82.61% - 111.52%],1699,446,5380,08-04-2020
399,TX- LONGVIEW,88.18,29,26,37,81.46,104.64,29 [26 - 37],88.18% [81.46% - 104.64%],56,10,169,08-04-2020
400,TX- LUBBOCK,88.08,99,88,122,81.76,101.38,99 [88 - 122],88.08% [81.76% - 101.38%],193,42,511,08-04-2020
402,TX- MCALLEN,90.31,90,79,128,81.7,122.24,90 [79 - 128],90.31% [81.7% - 122.24%],163,27,670,08-04-2020
406,TX- ODESSA,87.78,51,45,71,81.16,107.24,51 [45 - 71],87.78% [81.16% - 107.24%],100,15,352,08-04-2020
411,TX- SAN ANGELO,84.3,14,13,24,80.73,102.56,14 [13 - 24],84.3% [80.73% - 102.56%],29,5,155,08-04-2020
412,TX- SAN ANTONIO,89.85,381,338,455,82.4,104.0,381 [338 - 455],89.85% [82.4% - 104.0%],712,174,1737,08-04-2020
413,TX- TEMPLE,95.75,76,67,95,83.41,123.02,76 [67 - 95],95.75% [83.41% - 123.02%],147,32,404,08-04-2020
416,TX- TYLER,90.1,86,76,110,81.93,110.24,86 [76 - 110],90.1% [81.93% - 110.24%],161,31,485,08-04-2020
417,TX- VICTORIA,85.02,19,17,25,80.65,96.04,19 [17 - 25],85.02% [80.65% - 96.04%],38,5,123,08-04-2020
