region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
325,OH- AKRON,82.39,41,38,46,81.32,84.62,41 [38 - 46],82.39% [81.32% - 84.62%],58,32,112,10-06-2020
326,OH- CANTON,85.63,82,75,100,82.88,92.62,82 [75 - 100],85.63% [82.88% - 92.62%],119,61,267,10-06-2020
327,OH- CINCINNATI,85.8,184,169,217,82.84,91.49,184 [169 - 217],85.8% [82.84% - 91.49%],278,136,551,10-06-2020
328,OH- CLEVELAND,81.43,84,76,101,80.51,83.09,84 [76 - 101],81.43% [80.51% - 83.09%],126,45,273,10-06-2020
329,OH- COLUMBUS,90.15,608,557,755,84.59,104.87,608 [557 - 755],90.15% [84.59% - 104.87%],909,411,2227,10-06-2020
330,OH- DAYTON,86.46,139,129,161,83.12,92.21,139 [129 - 161],86.46% [83.12% - 92.21%],211,102,399,10-06-2020
331,OH- ELYRIA,81.38,7,6,8,80.0,82.76,7 [6 - 8],81.38% [80.0% - 82.76%],10,0,20,10-06-2020
332,OH- KETTERING,86.23,46,43,53,83.37,92.02,46 [43 - 53],86.23% [83.37% - 92.02%],72,39,139,10-06-2020
334,OH- TOLEDO,84.58,127,116,156,82.27,90.86,127 [116 - 156],84.58% [82.27% - 90.86%],192,95,455,10-06-2020
335,OH- YOUNGSTOWN,85.46,97,85,141,82.12,99.81,97 [85 - 141],85.46% [82.12% - 99.81%],142,55,515,10-06-2020
336,OK- LAWTON,89.12,44,40,53,84.77,100.48,44 [40 - 53],89.12% [84.77% - 100.48%],65,34,146,10-06-2020
339,OK- OKLAHOMA CITY,87.77,331,304,397,83.71,97.33,331 [304 - 397],87.77% [83.71% - 97.33%],511,244,1140,10-06-2020
340,OK- TULSA,85.89,193,178,228,82.89,93.12,193 [178 - 228],85.89% [82.89% - 93.12%],296,145,659,10-06-2020
341,OR- BEND,103.21,67,62,80,92.1,128.4,67 [62 - 80],103.21% [92.1% - 128.4%],94,49,196,10-06-2020
342,OR- EUGENE,104.26,197,179,236,90.72,130.3,197 [179 - 236],104.26% [90.72% - 130.3%],285,126,591,10-06-2020
343,OR- MEDFORD,85.49,35,32,43,82.07,92.23,35 [32 - 43],85.49% [82.07% - 92.23%],53,20,118,10-06-2020
344,OR- PORTLAND,87.79,278,254,350,83.48,99.27,278 [254 - 350],87.79% [83.48% - 99.27%],408,182,1009,10-06-2020
345,OR- SALEM,86.42,21,19,24,83.21,92.39,21 [19 - 24],86.42% [83.21% - 92.39%],28,14,54,10-06-2020
346,PA- ALLENTOWN,83.74,82,75,102,82.0,89.38,82 [75 - 102],83.74% [82.0% - 89.38%],118,63,296,10-06-2020
347,PA- ALTOONA,90.79,51,46,63,85.32,105.32,51 [46 - 63],90.79% [85.32% - 105.32%],75,37,176,10-06-2020
350,PA- DANVILLE,94.68,149,136,179,86.65,112.98,149 [136 - 179],94.68% [86.65% - 112.98%],223,101,501,10-06-2020
351,PA- ERIE,84.63,73,64,96,81.71,92.58,73 [64 - 96],84.63% [81.71% - 92.58%],103,38,280,10-06-2020
352,PA- HARRISBURG,84.32,63,59,78,82.27,89.38,63 [59 - 78],84.32% [82.27% - 89.38%],99,52,215,10-06-2020
354,PA- JOHNSTOWN,83.11,14,13,19,81.08,87.57,14 [13 - 19],83.11% [81.08% - 87.57%],23,8,56,10-06-2020
355,PA- LANCASTER,85.46,43,39,50,82.77,90.66,43 [39 - 50],85.46% [82.77% - 90.66%],65,33,127,10-06-2020
356,PA- PHILADELPHIA,84.15,349,319,441,81.99,90.47,349 [319 - 441],84.15% [81.99% - 90.47%],517,248,1304,10-06-2020
357,PA- PITTSBURGH,82.38,187,170,221,81.1,84.93,187 [170 - 221],82.38% [81.1% - 84.93%],278,128,576,10-06-2020
358,PA- READING,97.06,168,155,211,88.57,122.35,168 [155 - 211],97.06% [88.57% - 122.35%],243,122,603,10-06-2020
359,PA- SAYRE,226.92,434,396,548,145.18,475.12,434 [396 - 548],226.92% [145.18% - 475.12%],692,307,1861,10-06-2020
360,PA- SCRANTON,93.49,82,75,102,86.92,110.95,82 [75 - 102],93.49% [86.92% - 110.95%],119,61,273,10-06-2020
362,PA- WILKES-BARRE,82.6,14,13,17,81.22,87.33,14 [13 - 17],82.6% [81.22% - 87.33%],17,8,48,10-06-2020
363,PA- YORK,82.89,14,13,16,81.56,85.05,14 [13 - 16],82.89% [81.56% - 85.05%],24,13,42,10-06-2020
364,RI- PROVIDENCE,94.11,301,277,357,87.25,109.76,301 [277 - 357],94.11% [87.25% - 109.76%],442,227,932,10-06-2020
365,SC- CHARLESTON,81.51,29,25,33,80.47,82.35,29 [25 - 33],81.51% [80.47% - 82.35%],45,14,70,10-06-2020
366,SC- COLUMBIA,83.23,77,71,94,81.49,87.31,77 [71 - 94],83.23% [81.49% - 87.31%],121,56,274,10-06-2020
367,SC- FLORENCE,81.27,7,6,8,80.07,81.94,7 [6 - 8],81.27% [80.07% - 81.94%],17,1,26,10-06-2020
368,SC- GREENVILLE,88.78,136,124,168,83.8,101.57,136 [124 - 168],88.78% [83.8% - 101.57%],210,91,516,10-06-2020
369,SC- SPARTANBURG,84.62,28,26,35,81.89,89.52,28 [26 - 35],84.62% [81.89% - 89.52%],49,20,101,10-06-2020
370,SD- RAPID CITY,95.7,69,64,85,88.87,116.19,69 [64 - 85],95.7% [88.87% - 116.19%],108,61,249,10-06-2020
371,SD- SIOUX FALLS,95.54,269,241,353,85.66,121.2,269 [241 - 353],95.54% [85.66% - 121.2%],431,157,1143,10-06-2020
373,TN- CHATTANOOGA,81.92,28,26,34,80.94,84.6,28 [26 - 34],81.92% [80.94% - 84.6%],43,21,103,10-06-2020
374,TN- JACKSON,81.78,14,12,16,80.59,82.89,14 [12 - 16],81.78% [80.59% - 82.89%],24,8,39,10-06-2020
375,TN- JOHNSON CITY,88.94,48,44,64,84.47,103.83,48 [44 - 64],88.94% [84.47% - 103.83%],84,42,224,10-06-2020
376,TN- KINGSPORT,87.3,93,86,117,83.52,96.36,93 [86 - 117],87.3% [83.52% - 96.36%],145,70,325,10-06-2020
377,TN- KNOXVILLE,82.73,73,67,86,81.27,85.44,73 [67 - 86],82.73% [81.27% - 85.44%],114,53,227,10-06-2020
379,TN- MEMPHIS,81.93,71,63,89,80.59,83.88,71 [63 - 89],81.93% [80.59% - 83.88%],122,37,245,10-06-2020
380,TN- NASHVILLE,82.97,165,150,197,81.22,86.65,165 [150 - 197],82.97% [81.22% - 86.65%],254,104,569,10-06-2020
382,TX- ABILENE,83.69,35,30,44,80.68,89.19,35 [30 - 44],83.69% [80.68% - 89.19%],49,9,122,10-06-2020
383,TX- AMARILLO,93.25,118,106,167,84.33,125.94,118 [106 - 167],93.25% [84.33% - 125.94%],199,65,690,10-06-2020
385,TX- AUSTIN,83.26,74,68,84,81.49,86.03,74 [68 - 84],83.26% [81.49% - 86.03%],114,52,211,10-06-2020
386,TX- BEAUMONT,82.55,21,19,25,80.66,85.04,21 [19 - 25],82.55% [80.66% - 85.04%],35,9,69,10-06-2020
388,TX- BRYAN,84.41,14,13,16,82.78,87.19,14 [13 - 16],84.41% [82.78% - 87.19%],27,17,44,10-06-2020
390,TX- CORPUS CHRISTI,80.24,0,0,1,80.0,80.44,0 [0 - 1],80.24% [80.0% - 80.44%],5,0,9,10-06-2020
391,TX- DALLAS,89.26,750,690,889,84.52,99.37,750 [690 - 889],89.26% [84.52% - 99.37%],1134,554,2372,10-06-2020
393,TX- EL PASO,107.76,511,470,625,93.55,143.57,511 [470 - 625],107.76% [93.55% - 143.57%],762,372,1745,10-06-2020
394,TX- FORT WORTH,88.57,282,259,321,83.97,95.56,282 [259 - 321],88.57% [83.97% - 95.56%],429,199,779,10-06-2020
396,TX- HARLINGEN,81.27,10,8,11,80.78,81.83,10 [8 - 11],81.27% [80.78% - 81.83%],18,11,26,10-06-2020
397,TX- HOUSTON,81.58,162,149,194,80.84,83.13,162 [149 - 194],81.58% [80.84% - 83.13%],269,143,534,10-06-2020
399,TX- LONGVIEW,81.17,7,6,8,80.0,82.33,7 [6 - 8],81.17% [80.0% - 82.33%],8,0,16,10-06-2020
400,TX- LUBBOCK,95.27,230,207,301,84.81,123.6,230 [207 - 301],95.27% [84.81% - 123.6%],365,115,1042,10-06-2020
402,TX- MCALLEN,82.21,21,19,23,81.26,83.53,21 [19 - 23],82.21% [81.26% - 83.53%],35,20,56,10-06-2020
406,TX- ODESSA,90.76,95,86,119,84.64,106.93,95 [86 - 119],90.76% [84.64% - 106.93%],139,60,348,10-06-2020
411,TX- SAN ANGELO,82.77,14,13,19,81.31,86.4,14 [13 - 19],82.77% [81.31% - 86.4%],19,9,44,10-06-2020
412,TX- SAN ANTONIO,89.08,434,396,519,83.84,99.71,434 [396 - 519],89.08% [83.84% - 99.71%],657,278,1426,10-06-2020
413,TX- TEMPLE,82.77,16,14,20,81.38,85.96,16 [14 - 20],82.77% [81.38% - 85.96%],26,13,56,10-06-2020
416,TX- TYLER,83.37,35,33,50,81.75,93.97,35 [33 - 50],83.37% [81.75% - 93.97%],54,28,224,10-06-2020
417,TX- VICTORIA,80.0,0,0,1,80.0,81.17,0 [0 - 1],80.0% [80.0% - 81.17%],0,0,9,10-06-2020
418,TX- WACO,89.72,39,36,48,85.03,102.61,39 [36 - 48],89.72% [85.03% - 102.61%],58,30,135,10-06-2020
420,TX- WICHITA FALLS,93.62,61,56,77,86.38,114.35,61 [56 - 77],93.62% [86.38% - 114.35%],94,44,237,10-06-2020
421,UT- OGDEN,97.12,82,76,98,88.63,115.75,82 [76 - 98],97.12% [88.63% - 115.75%],125,63,261,10-06-2020
422,UT- PROVO,103.28,130,118,166,89.65,136.98,130 [118 - 166],103.28% [89.65% - 136.98%],210,87,514,10-06-2020
