region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update,Type
1,AL- BIRMINGHAM,106.49,1226,1191,1255,104.9,108.36,1226 [1191 - 1255],106.49% [104.9% - 108.36%],2237,2103,2395,01-05-2021,projected
2,AL- DOTHAN,105.53,197,190,203,103.72,108.01,197 [190 - 203],105.53% [103.72% - 108.01%],339,315,372,01-05-2021,projected
5,AL- HUNTSVILLE,117.39,405,393,417,114.68,120.21,405 [393 - 417],117.39% [114.68% - 120.21%],703,652,756,01-05-2021,projected
6,AL- MOBILE,103.21,369,358,377,101.81,104.47,369 [358 - 377],103.21% [101.81% - 104.47%],663,623,699,01-05-2021,projected
7,AL- MONTGOMERY,108.4,252,245,258,106.71,110.34,252 [245 - 258],108.4% [106.71% - 110.34%],439,413,469,01-05-2021,projected
9,AL- TUSCALOOSA,112.97,189,184,195,110.56,114.97,189 [184 - 195],112.97% [110.56% - 114.97%],329,305,349,01-05-2021,projected
11,AZ- MESA,157.98,908,876,942,150.76,166.11,908 [876 - 942],157.98% [150.76% - 166.11%],1544,1401,1705,01-05-2021,projected
12,AZ- PHOENIX,130.18,2211,2134,2291,125.68,135.26,2211 [2134 - 2291],130.18% [125.68% - 135.26%],3801,3460,4186,01-05-2021,projected
14,AZ- SUN CITY,113.21,158,153,165,110.0,116.79,158 [153 - 165],113.21% [110.0% - 116.79%],269,243,298,01-05-2021,projected
15,AZ- TUCSON,124.18,564,547,577,122.99,125.36,564 [547 - 577],124.18% [122.99% - 125.36%],1115,1085,1145,01-05-2021,projected
16,AR- FORT SMITH,99.2,141,138,147,98.03,101.16,141 [138 - 147],99.2% [98.03% - 101.16%],246,231,271,01-05-2021,projected
18,AR- JONESBORO,94.49,70,67,71,94.38,94.82,70 [67 - 71],94.49% [94.38% - 94.82%],131,130,134,01-05-2021,projected
19,AR- LITTLE ROCK,97.55,586,566,602,96.39,98.88,586 [566 - 602],97.55% [96.39% - 98.88%],1013,946,1090,01-05-2021,projected
21,AR- SPRINGDALE,117.09,223,216,230,114.06,119.92,223 [216 - 230],117.09% [114.06% - 119.92%],392,360,422,01-05-2021,projected
22,AR- TEXARKANA,89.29,48,47,50,88.67,89.39,48 [47 - 50],89.29% [88.67% - 89.39%],91,85,92,01-05-2021,projected
23,CA- ORANGE CO.,116.71,1388,1347,1425,115.73,117.72,1388 [1347 - 1425],116.71% [115.73% - 117.72%],2809,2734,2886,01-05-2021,projected
25,CA- BAKERSFIELD,104.47,473,459,483,103.67,105.22,473 [459 - 483],104.47% [103.67% - 105.22%],885,856,912,01-05-2021,projected
31,CA- CHICO,97.81,56,54,57,97.34,98.28,56 [54 - 57],97.81% [97.34% - 98.28%],114,111,117,01-05-2021,projected
33,CA- CONTRA COSTA CO.,100.67,195,190,199,100.17,101.27,195 [190 - 199],100.67% [100.17% - 101.27%],414,404,426,01-05-2021,projected
43,CA- FRESNO,117.01,382,370,392,115.92,118.15,382 [370 - 392],117.01% [115.92% - 118.15%],845,820,871,01-05-2021,projected
56,CA- LOS ANGELES,130.39,7521,7248,7753,125.91,135.05,7521 [7248 - 7753],130.39% [125.91% - 135.05%],12497,11387,13653,01-05-2021,projected
58,CA- MODESTO,112.81,278,269,283,111.94,113.51,278 [269 - 283],112.81% [111.94% - 113.51%],564,549,576,01-05-2021,projected
62,CA- NAPA,97.01,55,53,56,95.29,98.56,55 [53 - 56],97.01% [95.29% - 98.56%],99,89,108,01-05-2021,projected
65,CA- ALAMEDA CO.,96.54,286,277,292,96.1,97.02,286 [277 - 292],96.54% [96.1% - 97.02%],559,544,575,01-05-2021,projected
69,CA- PALM SPR/RANCHO MIR.,120.65,263,253,271,116.75,124.44,263 [253 - 271],120.65% [116.75% - 124.44%],428,387,468,01-05-2021,projected
73,CA- REDDING,88.32,48,47,50,87.67,88.96,48 [47 - 50],88.32% [87.67% - 88.96%],90,83,97,01-05-2021,projected
77,CA- SACRAMENTO,103.85,567,550,581,103.2,104.56,567 [550 - 581],103.85% [103.2% - 104.56%],1141,1110,1175,01-05-2021,projected
78,CA- SALINAS,117.96,173,167,178,114.68,121.24,173 [167 - 178],117.96% [114.68% - 121.24%],301,275,327,01-05-2021,projected
79,CA- SAN BERNARDINO,155.48,2726,2621,2819,147.3,163.93,2726 [2621 - 2819],155.48% [147.3% - 163.93%],4364,3891,4853,01-05-2021,projected
80,CA- SAN DIEGO,125.93,1955,1886,2010,122.14,129.69,1955 [1886 - 2010],125.93% [122.14% - 129.69%],3230,2964,3495,01-05-2021,projected
81,CA- SAN FRANCISCO,87.71,211,205,216,87.21,88.22,211 [205 - 216],87.71% [87.21% - 88.22%],391,366,417,01-05-2021,projected
82,CA- SAN JOSE,115.03,601,584,616,112.78,117.28,601 [584 - 616],115.03% [112.78% - 117.28%],1060,992,1128,01-05-2021,projected
83,CA- SAN LUIS OBISPO,112.68,90,87,92,110.48,114.65,90 [87 - 92],112.68% [110.48% - 114.65%],149,139,158,01-05-2021,projected
85,CA- SAN MATEO CO.,91.76,172,167,175,91.02,92.43,172 [167 - 175],91.76% [91.02% - 92.43%],317,297,335,01-05-2021,projected
86,CA- SANTA BARBARA,99.77,105,102,108,98.53,100.91,105 [102 - 108],99.77% [98.53% - 100.91%],191,179,202,01-05-2021,projected
87,CA- SANTA CRUZ,118.44,80,77,82,115.65,121.5,80 [77 - 82],118.44% [115.65% - 121.5%],138,128,149,01-05-2021,projected
89,CA- SANTA ROSA,88.92,97,94,100,88.11,89.78,97 [94 - 100],88.92% [88.11% - 89.78%],166,151,182,01-05-2021,projected
91,CA- STOCKTON,118.38,179,174,183,117.54,119.32,179 [174 - 183],118.38% [117.54% - 119.32%],408,399,418,01-05-2021,projected
96,CA- VENTURA,128.63,437,424,446,125.65,131.62,437 [424 - 446],128.63% [125.65% - 131.62%],765,718,812,01-05-2021,projected
101,CO- BOULDER,94.32,35,33,35,94.11,94.74,35 [33 - 35],94.32% [94.11% - 94.74%],68,67,70,01-05-2021,projected
102,CO- COLORADO SPRINGS,108.6,133,128,136,107.54,109.57,133 [128 - 136],108.6% [107.54% - 109.57%],296,285,306,01-05-2021,projected
103,CO- DENVER,98.15,424,410,432,97.52,98.78,424 [410 - 432],98.15% [97.52% - 98.78%],867,837,897,01-05-2021,projected
104,CO- FORT COLLINS,89.7,33,32,34,89.55,90.02,33 [32 - 34],89.7% [89.55% - 90.02%],62,61,64,01-05-2021,projected
