region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
1,AL- BIRMINGHAM,82.07,108,99,127,81.16,83.75,108 [99 - 127],82.07% [81.16% - 83.75%],175,98,317,03-16-2021
2,AL- DOTHAN,80.75,7,6,8,80.0,81.51,7 [6 - 8],80.75% [80.0% - 81.51%],10,0,20,03-16-2021
5,AL- HUNTSVILLE,81.12,7,7,10,80.59,82.29,7 [7 - 10],81.12% [80.59% - 82.29%],21,11,43,03-16-2021
6,AL- MOBILE,80.91,14,13,16,80.6,81.54,14 [13 - 16],80.91% [80.6% - 81.54%],26,17,44,03-16-2021
7,AL- MONTGOMERY,81.62,5,4,8,80.26,82.07,5 [4 - 8],81.62% [80.26% - 82.07%],25,4,32,03-16-2021
9,AL- TUSCALOOSA,80.6,0,0,1,80.0,81.0,0 [0 - 1],80.6% [80.0% - 81.0%],6,0,10,03-16-2021
11,AZ- MESA,86.16,71,67,78,84.24,89.55,71 [67 - 78],86.16% [84.24% - 89.55%],122,84,189,03-16-2021
12,AZ- PHOENIX,83.56,157,147,172,82.44,85.58,157 [147 - 172],83.56% [82.44% - 85.58%],270,185,423,03-16-2021
14,AZ- SUN CITY,82.59,14,13,15,81.85,84.07,14 [13 - 15],82.59% [81.85% - 84.07%],21,15,33,03-16-2021
15,AZ- TUCSON,82.02,28,26,33,81.27,83.72,28 [26 - 33],82.02% [81.27% - 83.72%],51,32,94,03-16-2021
16,AR- FORT SMITH,80.08,0,0,1,80.0,80.39,0 [0 - 1],80.08% [80.0% - 80.39%],1,0,5,03-16-2021
18,AR- JONESBORO,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],0,0,0,03-16-2021
19,AR- LITTLE ROCK,80.66,21,20,29,80.49,81.56,21 [20 - 29],80.66% [80.49% - 81.56%],38,28,90,03-16-2021
21,AR- SPRINGDALE,83.69,24,22,29,82.18,86.24,24 [22 - 29],83.69% [82.18% - 86.24%],39,23,66,03-16-2021
22,AR- TEXARKANA,80.82,7,6,8,80.41,80.82,7 [6 - 8],80.82% [80.41% - 80.82%],8,4,8,03-16-2021
23,CA- ORANGE CO.,80.42,17,16,18,80.27,80.64,17 [16 - 18],80.42% [80.27% - 80.64%],32,21,49,03-16-2021
25,CA- BAKERSFIELD,80.5,7,6,8,80.33,80.69,7 [6 - 8],80.5% [80.33% - 80.69%],18,12,25,03-16-2021
31,CA- CHICO,80.0,0,0,0,80.0,80.16,0 [0 - 0],80.0% [80.0% - 80.16%],0,0,1,03-16-2021
33,CA- CONTRA COSTA CO.,80.95,7,7,8,80.6,81.55,7 [7 - 8],80.95% [80.6% - 81.55%],19,12,31,03-16-2021
43,CA- FRESNO,83.24,44,40,50,82.19,85.17,44 [40 - 50],83.24% [82.19% - 85.17%],74,50,118,03-16-2021
56,CA- LOS ANGELES,80.68,73,66,80,80.4,80.97,73 [66 - 80],80.68% [80.4% - 80.97%],169,100,241,03-16-2021
58,CA- MODESTO,83.37,35,32,40,82.27,85.64,35 [32 - 40],83.37% [82.27% - 85.64%],58,39,97,03-16-2021
62,CA- NAPA,80.0,0,0,1,80.0,81.37,0 [0 - 1],80.0% [80.0% - 81.37%],0,0,8,03-16-2021
65,CA- ALAMEDA CO.,80.65,14,13,14,80.44,80.95,14 [13 - 14],80.65% [80.44% - 80.95%],22,15,32,03-16-2021
69,CA- PALM SPR/RANCHO MIR.,80.19,0,0,0,80.09,80.19,0 [0 - 0],80.19% [80.09% - 80.19%],2,1,2,03-16-2021
73,CA- REDDING,81.11,7,6,8,80.28,81.76,7 [6 - 8],81.11% [80.28% - 81.76%],12,3,19,03-16-2021
77,CA- SACRAMENTO,81.65,41,37,45,80.94,82.34,41 [37 - 45],81.65% [80.94% - 82.34%],79,45,112,03-16-2021
78,CA- SALINAS,80.0,0,0,0,80.0,80.13,0 [0 - 0],80.0% [80.0% - 80.13%],0,0,1,03-16-2021
79,CA- SAN BERNARDINO,80.42,11,10,13,80.24,80.67,11 [10 - 13],80.42% [80.24% - 80.67%],24,14,39,03-16-2021
80,CA- SAN DIEGO,82.03,80,75,91,81.32,83.26,80 [75 - 91],82.03% [81.32% - 83.26%],143,93,229,03-16-2021
81,CA- SAN FRANCISCO,80.47,7,7,9,80.22,80.71,7 [7 - 9],80.47% [80.22% - 80.71%],24,11,36,03-16-2021
82,CA- SAN JOSE,81.82,29,27,33,81.22,82.88,29 [27 - 33],81.82% [81.22% - 82.88%],55,37,87,03-16-2021
83,CA- SAN LUIS OBISPO,80.44,0,0,0,80.0,81.54,0 [0 - 0],80.44% [80.0% - 81.54%],2,0,7,03-16-2021
