HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
390,TX- CORPUS CHRISTI,86.12,121,116,131,84.0,88.72,121 [116 - 131],86.12% [84.0% - 88.72%],125,82,179,09-08-2020
391,TX- DALLAS,82.91,354,348,362,82.62,83.29,354 [348 - 362],82.91% [82.62% - 83.29%],356,321,403,09-08-2020
393,TX- EL PASO,82.78,75,73,78,82.08,83.28,75 [73 - 78],82.78% [82.08% - 83.28%],76,57,90,09-08-2020
394,TX- FORT WORTH,81.95,96,95,98,81.76,82.12,96 [95 - 98],81.95% [81.76% - 82.12%],97,88,106,09-08-2020
396,TX- HARLINGEN,84.93,66,63,71,83.24,87.12,66 [63 - 71],84.93% [83.24% - 87.12%],69,46,101,09-08-2020
397,TX- HOUSTON,85.09,865,845,883,84.41,85.72,865 [845 - 883],85.09% [84.41% - 85.72%],868,753,976,09-08-2020
399,TX- LONGVIEW,80.28,0,0,0,80.0,80.15,0 [0 - 0],80.28% [80.0% - 80.15%],1,0,1,09-08-2020
400,TX- LUBBOCK,87.87,187,181,209,86.11,92.68,187 [181 - 209],87.87% [86.11% - 92.68%],188,146,303,09-08-2020
402,TX- MCALLEN,84.2,63,61,66,83.03,85.23,63 [61 - 66],84.2% [83.03% - 85.23%],66,48,83,09-08-2020
406,TX- ODESSA,82.75,32,30,34,81.86,83.41,32 [30 - 34],82.75% [81.86% - 83.41%],35,24,44,09-08-2020
411,TX- SAN ANGELO,83.22,16,14,18,80.87,84.66,16 [14 - 18],83.22% [80.87% - 84.66%],22,6,32,09-08-2020
412,TX- SAN ANTONIO,83.29,235,226,253,82.42,84.62,235 [226 - 253],83.29% [82.42% - 84.62%],237,175,334,09-08-2020
413,TX- TEMPLE,96.76,155,147,177,90.33,108.54,155 [147 - 177],96.76% [90.33% - 108.54%],157,97,268,09-08-2020
416,TX- TYLER,84.45,67,66,69,83.74,84.93,67 [66 - 69],84.45% [83.74% - 84.93%],71,60,79,09-08-2020
417,TX- VICTORIA,81.54,6,6,8,80.78,82.48,6 [6 - 8],81.54% [80.78% - 82.48%],11,6,19,09-08-2020
418,TX- WACO,91.96,69,67,72,89.88,94.24,69 [67 - 72],91.96% [89.88% - 94.24%],71,59,85,09-08-2020
420,TX- WICHITA FALLS,82.59,14,14,14,82.17,82.46,14 [14 - 14],82.59% [82.17% - 82.46%],17,15,17,09-08-2020
421,UT- OGDEN,84.14,28,28,29,83.84,84.66,28 [28 - 29],84.14% [83.84% - 84.66%],30,28,34,09-08-2020
422,UT- PROVO,86.59,56,56,57,85.76,87.43,56 [56 - 57],86.59% [85.76% - 87.43%],59,52,67,09-08-2020
423,UT- SALT LAKE CITY,83.12,120,118,124,82.71,83.65,120 [118 - 124],83.12% [82.71% - 83.65%],123,107,144,09-08-2020
424,VT- BURLINGTON,80.35,0,0,25,80.19,87.13,0 [0 - 25],80.35% [80.19% - 87.13%],5,3,113,09-08-2020
426,VA- ARLINGTON,90.41,296,290,303,89.3,91.48,296 [290 - 303],90.41% [89.3% - 91.48%],301,269,332,09-08-2020
427,VA- CHARLOTTESVILLE,100.31,281,259,333,91.62,118.49,281 [259 - 333],100.31% [91.62% - 118.49%],284,163,540,09-08-2020
428,VA- LYNCHBURG,86.41,47,45,49,85.05,86.52,47 [45 - 49],86.41% [85.05% - 86.52%],48,38,49,09-08-2020
429,VA- NEWPORT NEWS,85.85,63,62,64,85.18,86.67,63 [62 - 64],85.85% [85.18% - 86.67%],66,59,76,09-08-2020
430,VA- NORFOLK,84.59,121,117,125,83.55,85.43,121 [117 - 125],84.59% [83.55% - 85.43%],124,96,147,09-08-2020
431,VA- RICHMOND,85.4,251,243,262,84.32,86.7,251 [243 - 262],85.4% [84.32% - 86.7%],253,203,315,09-08-2020
432,VA- ROANOKE,93.0,359,337,403,88.84,100.72,359 [337 - 403],93.0% [88.84% - 100.72%],363,247,579,09-08-2020
435,VA- WINCHESTER,81.31,8,7,11,80.64,82.57,8 [7 - 11],81.31% [80.64% - 82.57%],12,6,24,09-08-2020
437,WA- EVERETT,81.34,7,7,8,80.85,81.71,7 [7 - 8],81.34% [80.85% - 81.71%],10,7,14,09-08-2020
438,WA- OLYMPIA,80.99,0,0,0,80.89,80.89,0 [0 - 0],80.99% [80.89% - 80.89%],6,6,6,09-08-2020
439,WA- SEATTLE,81.53,82,79,85,81.18,81.89,82 [79 - 85],81.53% [81.18% - 81.89%],83,64,103,09-08-2020
440,WA- SPOKANE,84.49,164,159,176,83.43,85.91,164 [159 - 176],84.49% [83.43% - 85.91%],168,129,222,09-08-2020
441,WA- TACOMA,81.87,21,21,22,81.79,82.28,21 [21 - 22],81.87% [81.79% - 82.28%],22,22,28,09-08-2020
442,WA- YAKIMA,82.05,7,7,7,81.9,81.9,7 [7 - 7],82.05% [81.9% - 81.9%],11,11,11,09-08-2020
443,WV- CHARLESTON,86.18,146,141,156,84.95,88.25,146 [141 - 156],86.18% [84.95% - 88.25%],149,120,200,09-08-2020
444,WV- HUNTINGTON,82.86,44,43,48,82.36,84.24,44 [43 - 48],82.86% [82.36% - 84.24%],47,39,70,09-08-2020
445,WV- MORGANTOWN,82.58,42,39,48,81.47,84.25,42 [39 - 48],82.58% [81.47% - 84.25%],45,26,75,09-08-2020
446,WI- APPLETON,97.24,102,99,108,93.78,102.04,102 [99 - 108],97.24% [93.78% - 102.04%],106,85,136,09-08-2020
447,WI- GREEN BAY,85.82,90,88,93,84.68,86.75,90 [88 - 93],85.82% [84.68% - 86.75%],93,75,108,09-08-2020
448,WI- LA CROSSE,94.07,131,126,139,90.58,97.17,131 [126 - 139],94.07% [90.58% - 97.17%],134,101,164,09-08-2020
449,WI- MADISON,85.6,166,161,176,84.59,87.68,166 [161 - 176],85.6% [84.59% - 87.68%],168,138,231,09-08-2020
450,WI- MARSHFIELD,84.79,52,50,57,83.74,87.05,52 [50 - 57],84.79% [83.74% - 87.05%],56,44,83,09-08-2020
451,WI- MILWAUKEE,83.54,290,286,301,83.16,84.34,290 [286 - 301],83.54% [83.16% - 84.34%],292,261,358,09-08-2020
452,WI- NEENAH,90.14,53,52,57,88.42,93.8,53 [52 - 57],90.14% [88.42% - 93.8%],56,47,77,09-08-2020
456,WI- WAUSAU,83.4,17,17,19,82.65,85.31,17 [17 - 19],83.4% [82.65% - 85.31%],19,15,30,09-08-2020
457,WY- CASPER,80.7,1,1,2,80.0,81.14,1 [1 - 2],80.7% [80.0% - 81.14%],4,0,8,09-08-2020
303,NY- NEW YORK,80.82,126,121,139,80.64,81.34,126 [121 - 139],80.82% [80.64% - 81.34%],126,99,209,09-08-2020
