region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
420,TX- WICHITA FALLS,84.78,28,25,35,82.32,92.03,28 [25 - 35],84.78% [82.32% - 92.03%],33,16,83,03-03-2021
421,UT- OGDEN,81.1,7,6,7,80.68,81.78,7 [6 - 7],81.1% [80.68% - 81.78%],8,5,13,03-03-2021
422,UT- PROVO,82.55,14,13,15,81.77,83.44,14 [13 - 15],82.55% [81.77% - 83.44%],23,16,31,03-03-2021
423,UT- SALT LAKE CITY,81.9,44,40,51,81.11,83.32,44 [40 - 51],81.9% [81.11% - 83.32%],75,44,131,03-03-2021
424,VT- BURLINGTON,83.79,40,37,45,82.4,86.12,40 [37 - 45],83.79% [82.4% - 86.12%],60,38,97,03-03-2021
426,VA- ARLINGTON,84.18,75,69,82,82.87,86.26,75 [69 - 82],84.18% [82.87% - 86.26%],121,83,181,03-03-2021
427,VA- CHARLOTTESVILLE,81.64,14,12,18,81.0,84.49,14 [12 - 18],81.64% [81.0% - 84.49%],23,14,63,03-03-2021
428,VA- LYNCHBURG,80.0,0,0,0,80.0,80.8,0 [0 - 0],80.0% [80.0% - 80.8%],0,0,6,03-03-2021
429,VA- NEWPORT NEWS,83.07,24,21,26,82.02,84.57,24 [21 - 26],83.07% [82.02% - 84.57%],35,23,52,03-03-2021
430,VA- NORFOLK,82.44,40,36,44,81.51,83.36,40 [36 - 44],82.44% [81.51% - 83.36%],66,41,91,03-03-2021
431,VA- RICHMOND,81.89,50,45,57,81.09,83.04,50 [45 - 57],81.89% [81.09% - 83.04%],89,51,143,03-03-2021
432,VA- ROANOKE,83.9,73,65,85,81.86,87.05,73 [65 - 85],83.9% [81.86% - 87.05%],109,52,197,03-03-2021
435,VA- WINCHESTER,80.21,0,0,1,80.0,80.96,0 [0 - 1],80.21% [80.0% - 80.96%],2,0,9,03-03-2021
437,WA- EVERETT,82.56,12,11,14,81.46,83.65,12 [11 - 14],82.56% [81.46% - 83.65%],21,12,30,03-03-2021
438,WA- OLYMPIA,82.52,14,12,16,81.78,84.74,14 [12 - 16],82.52% [81.78% - 84.74%],17,12,32,03-03-2021
439,WA- SEATTLE,81.3,43,40,48,80.81,81.97,43 [40 - 48],81.3% [80.81% - 81.97%],71,44,107,03-03-2021
440,WA- SPOKANE,82.37,65,60,76,81.46,84.55,65 [60 - 76],82.37% [81.46% - 84.55%],89,55,171,03-03-2021
441,WA- TACOMA,83.42,28,26,31,82.28,85.05,28 [26 - 31],83.42% [82.28% - 85.05%],42,28,62,03-03-2021
442,WA- YAKIMA,83.45,14,13,15,81.9,85.53,14 [13 - 15],83.45% [81.9% - 85.53%],20,11,32,03-03-2021
