HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
1,AL- BIRMINGHAM,91.9,508,473,572,87.07,99.08,508 [473 - 572],91.9% [87.07% - 99.08%],1004,597,1611,10-20-2020
2,AL- DOTHAN,83.32,14,14,20,82.11,88.21,14 [14 - 20],83.32% [82.11% - 88.21%],44,28,109,10-20-2020
5,AL- HUNTSVILLE,94.59,134,127,148,90.16,101.86,134 [127 - 148],94.59% [90.16% - 101.86%],274,191,411,10-20-2020
6,AL- MOBILE,85.38,76,70,84,82.98,88.37,76 [70 - 84],85.38% [82.98% - 88.37%],153,85,239,10-20-2020
7,AL- MONTGOMERY,92.57,97,92,116,87.7,104.64,97 [92 - 116],92.57% [87.7% - 104.64%],194,119,381,10-20-2020
9,AL- TUSCALOOSA,90.58,47,43,53,84.51,95.43,47 [43 - 53],90.58% [84.51% - 95.43%],105,45,154,10-20-2020
11,AZ- MESA,101.03,223,211,249,93.94,112.12,223 [211 - 249],101.03% [93.94% - 112.12%],416,276,636,10-20-2020
12,AZ- PHOENIX,94.47,584,548,664,89.37,103.79,584 [548 - 664],94.47% [89.37% - 103.79%],1096,710,1802,10-20-2020
14,AZ- SUN CITY,89.19,37,35,41,85.93,94.07,37 [35 - 41],89.19% [85.93% - 94.07%],74,48,114,10-20-2020
15,AZ- TUCSON,87.04,95,88,115,83.88,93.23,95 [88 - 115],87.04% [83.88% - 93.23%],177,98,334,10-20-2020
16,AR- FORT SMITH,89.79,56,53,62,86.32,94.21,56 [53 - 62],89.79% [86.32% - 94.21%],125,81,182,10-20-2020
18,AR- JONESBORO,98.96,84,79,94,91.84,110.86,84 [79 - 94],98.96% [91.84% - 110.86%],171,107,279,10-20-2020
19,AR- LITTLE ROCK,86.81,190,180,210,84.75,90.36,190 [180 - 210],86.81% [84.75% - 90.36%],393,274,598,10-20-2020
21,AR- SPRINGDALE,92.7,63,60,68,89.46,98.26,63 [60 - 68],92.7% [89.46% - 98.26%],134,100,193,10-20-2020
22,AR- TEXARKANA,91.93,56,53,64,86.73,99.9,56 [53 - 64],91.93% [86.73% - 99.9%],116,66,195,10-20-2020
23,CA- ORANGE CO.,82.64,95,90,103,81.76,83.8,95 [90 - 103],82.64% [81.76% - 83.8%],201,135,291,10-20-2020
25,CA- BAKERSFIELD,82.42,36,35,40,81.69,83.57,36 [35 - 40],82.42% [81.69% - 83.57%],87,61,129,10-20-2020
31,CA- CHICO,82.28,0,0,1,81.56,83.12,0 [0 - 1],82.28% [81.56% - 83.12%],14,10,20,10-20-2020
33,CA- CONTRA COSTA CO.,82.87,24,23,27,81.95,84.14,24 [23 - 27],82.87% [81.95% - 84.14%],57,39,83,10-20-2020
43,CA- FRESNO,83.77,32,31,38,82.45,86.09,32 [31 - 38],83.77% [82.45% - 86.09%],86,56,139,10-20-2020
56,CA- LOS ANGELES,84.62,565,537,605,83.26,86.3,565 [537 - 605],84.62% [83.26% - 86.3%],1144,809,1563,10-20-2020
58,CA- MODESTO,93.02,109,101,141,86.34,112.52,109 [101 - 141],93.02% [86.34% - 112.52%],223,109,559,10-20-2020
62,CA- NAPA,81.87,0,0,2,80.69,85.15,0 [0 - 2],81.87% [80.69% - 85.15%],10,4,30,10-20-2020
65,CA- ALAMEDA CO.,81.28,18,17,19,80.83,81.89,18 [17 - 19],81.28% [80.83% - 81.89%],43,28,64,10-20-2020
69,CA- PALM SPR/RANCHO MIR.,82.95,14,14,15,81.99,83.89,14 [14 - 15],82.95% [81.99% - 83.89%],31,21,41,10-20-2020
73,CA- REDDING,87.23,40,38,44,84.07,91.18,40 [38 - 44],87.23% [84.07% - 91.18%],78,44,121,10-20-2020
77,CA- SACRAMENTO,82.32,51,49,58,81.53,84.06,51 [49 - 58],82.32% [81.53% - 84.06%],111,73,194,10-20-2020
78,CA- SALINAS,85.71,14,14,16,84.29,87.82,14 [14 - 16],85.71% [84.29% - 87.82%],45,34,62,10-20-2020
79,CA- SAN BERNARDINO,86.64,185,177,197,84.76,88.92,185 [177 - 197],86.64% [84.76% - 88.92%],383,275,516,10-20-2020
80,CA- SAN DIEGO,85.53,189,179,204,83.87,87.95,189 [179 - 204],85.53% [83.87% - 87.95%],388,272,559,10-20-2020
81,CA- SAN FRANCISCO,81.14,21,21,24,80.71,81.71,21 [21 - 24],81.14% [80.71% - 81.71%],57,36,87,10-20-2020
82,CA- SAN JOSE,82.51,35,33,39,81.62,84.1,35 [33 - 39],82.51% [81.62% - 84.1%],75,49,124,10-20-2020
83,CA- SAN LUIS OBISPO,84.45,7,7,8,82.85,86.58,7 [7 - 8],84.45% [82.85% - 86.58%],20,13,30,10-20-2020
85,CA- SAN MATEO CO.,81.21,7,7,9,80.7,81.67,7 [7 - 9],81.21% [80.7% - 81.67%],32,19,45,10-20-2020
86,CA- SANTA BARBARA,81.93,1,1,2,81.14,82.48,1 [1 - 2],81.93% [81.14% - 82.48%],18,11,24,10-20-2020
87,CA- SANTA CRUZ,83.53,0,0,1,83.34,85.85,0 [0 - 1],83.53% [83.34% - 85.85%],12,12,21,10-20-2020
89,CA- SANTA ROSA,84.09,35,34,38,82.9,85.86,35 [34 - 38],84.09% [82.9% - 85.86%],76,54,109,10-20-2020
91,CA- STOCKTON,82.03,7,7,8,81.41,83.1,7 [7 - 8],82.03% [81.41% - 83.1%],21,15,33,10-20-2020
96,CA- VENTURA,83.12,21,20,23,82.16,84.51,21 [20 - 23],83.12% [82.16% - 84.51%],49,34,71,10-20-2020
101,CO- BOULDER,84.92,7,7,8,83.37,86.95,7 [7 - 8],84.92% [83.37% - 86.95%],23,16,33,10-20-2020
102,CO- COLORADO SPRINGS,186.34,573,530,703,135.27,322.13,573 [530 - 703],186.34% [135.27% - 322.13%],1100,572,2506,10-20-2020
103,CO- DENVER,116.25,933,877,1033,104.56,135.06,933 [877 - 1033],116.25% [104.56% - 135.06%],1731,1173,2630,10-20-2020
104,CO- FORT COLLINS,119.5,138,131,154,105.51,139.47,138 [131 - 154],119.5% [105.51% - 139.47%],252,163,380,10-20-2020
105,CO- GRAND JUNCTION,102.52,98,92,113,94.9,118.26,98 [92 - 113],102.52% [94.9% - 118.26%],178,118,303,10-20-2020
106,CO- GREELEY,98.28,75,71,85,91.71,115.78,75 [71 - 85],98.28% [91.71% - 115.78%],142,91,278,10-20-2020
107,CO- PUEBLO,98.96,84,78,96,91.53,109.7,84 [78 - 96],98.96% [91.53% - 109.7%],151,92,237,10-20-2020
109,CT- BRIDGEPORT,99.31,172,163,191,92.86,109.68,172 [163 - 191],99.31% [92.86% - 109.68%],327,218,503,10-20-2020
110,CT- HARTFORD,107.24,476,449,521,98.15,119.31,476 [449 - 521],107.24% [98.15% - 119.31%],886,591,1280,10-20-2020
111,CT- NEW HAVEN,110.95,674,622,769,98.38,130.73,674 [622 - 769],110.95% [98.38% - 130.73%],1192,708,1954,10-20-2020
112,DE- WILMINGTON,85.14,42,40,46,82.95,87.3,42 [40 - 46],85.14% [82.95% - 87.3%],95,55,136,10-20-2020
113,DC- WASHINGTON,89.0,250,237,279,86.29,93.52,250 [237 - 279],89.0% [86.29% - 93.52%],493,345,742,10-20-2020
115,FL- BRADENTON,89.03,28,28,32,86.21,93.26,28 [28 - 32],89.03% [86.21% - 93.26%],64,44,94,10-20-2020
116,FL- CLEARWATER,85.03,39,37,44,83.3,88.43,39 [37 - 44],85.03% [83.3% - 88.43%],82,54,138,10-20-2020
118,FL- FORT LAUDERDALE,83.81,162,155,182,82.68,86.13,162 [155 - 182],83.81% [82.68% - 86.13%],331,233,533,10-20-2020
119,FL- FORT MYERS,86.02,120,114,131,84.21,88.89,120 [114 - 131],86.02% [84.21% - 88.89%],230,161,340,10-20-2020
120,FL- GAINESVILLE,84.26,35,35,42,83.42,88.64,35 [35 - 42],84.26% [83.42% - 88.64%],78,63,159,10-20-2020
122,FL- HUDSON,83.97,21,21,23,82.64,85.75,21 [21 - 23],83.97% [82.64% - 85.75%],49,33,72,10-20-2020
123,FL- JACKSONVILLE,85.84,145,136,165,83.93,89.85,145 [136 - 165],85.84% [83.93% - 89.85%],286,193,484,10-20-2020
124,FL- LAKELAND,85.19,21,21,24,83.84,87.21,21 [21 - 24],85.19% [83.84% - 87.21%],55,41,77,10-20-2020
127,FL- MIAMI,84.85,259,245,288,83.2,87.61,259 [245 - 288],84.85% [83.2% - 87.61%],522,345,821,10-20-2020
129,FL- OCALA,83.21,14,14,16,82.34,84.82,14 [14 - 16],83.21% [82.34% - 84.82%],43,32,66,10-20-2020
130,FL- ORLANDO,84.88,251,239,270,83.5,86.9,251 [239 - 270],84.88% [83.5% - 86.9%],505,363,715,10-20-2020
131,FL- ORMOND BEACH,83.37,22,21,25,82.18,85.14,22 [21 - 25],83.37% [82.18% - 85.14%],55,36,85,10-20-2020
