region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
1,AL- BIRMINGHAM,88.63,726,692,792,86.13,92.49,726 [692 - 792],88.63% [86.13% - 92.49%],729,518,1055,09-08-2020
2,AL- DOTHAN,84.67,55,55,58,83.99,85.57,55 [55 - 58],84.67% [83.99% - 85.57%],62,53,74,09-08-2020
5,AL- HUNTSVILLE,84.52,78,75,87,83.3,86.76,78 [75 - 87],84.52% [83.3% - 86.76%],85,62,127,09-08-2020
6,AL- MOBILE,82.38,63,61,65,82.1,82.66,63 [61 - 65],82.38% [82.1% - 82.66%],68,60,76,09-08-2020
7,AL- MONTGOMERY,85.56,79,77,82,84.08,86.02,79 [77 - 82],85.56% [84.08% - 86.02%],86,63,93,09-08-2020
9,AL- TUSCALOOSA,87.31,70,66,75,84.51,89.62,70 [66 - 75],87.31% [84.51% - 89.62%],73,45,96,09-08-2020
11,AZ- MESA,82.98,50,49,53,82.53,83.59,50 [49 - 53],82.98% [82.53% - 83.59%],59,50,71,09-08-2020
12,AZ- PHOENIX,81.6,105,103,113,81.39,82.02,105 [103 - 113],81.6% [81.39% - 82.02%],121,105,153,09-08-2020
14,AZ- SUN CITY,80.86,0,0,1,80.74,80.99,0 [0 - 1],80.86% [80.74% - 80.99%],7,6,8,09-08-2020
15,AZ- TUCSON,81.03,20,20,21,80.95,81.15,20 [20 - 21],81.03% [80.95% - 81.15%],26,24,29,09-08-2020
16,AR- FORT SMITH,81.8,21,21,22,81.72,82.5,21 [21 - 22],81.8% [81.72% - 82.5%],23,22,32,09-08-2020
18,AR- JONESBORO,84.54,35,35,38,83.21,85.53,35 [35 - 38],84.54% [83.21% - 85.53%],41,29,50,09-08-2020
19,AR- LITTLE ROCK,82.36,123,117,133,81.7,83.01,123 [117 - 133],82.36% [81.7% - 83.01%],136,98,174,09-08-2020
21,AR- SPRINGDALE,96.46,170,160,199,89.74,113.21,170 [160 - 199],96.46% [89.74% - 113.21%],174,103,351,09-08-2020
22,AR- TEXARKANA,82.96,28,28,29,82.24,83.78,28 [28 - 29],82.96% [82.24% - 83.78%],29,22,37,09-08-2020
23,CA- ORANGE CO.,82.3,159,158,162,82.14,82.51,159 [158 - 162],82.3% [82.14% - 82.51%],176,164,192,09-08-2020
25,CA- BAKERSFIELD,82.1,60,59,62,81.83,82.35,60 [59 - 62],82.1% [81.83% - 82.35%],76,66,85,09-08-2020
31,CA- CHICO,103.91,150,144,161,97.03,113.28,150 [144 - 161],103.91% [97.03% - 113.28%],153,109,213,09-08-2020
33,CA- CONTRA COSTA CO.,82.4,38,37,39,81.85,82.8,38 [37 - 39],82.4% [81.85% - 82.8%],48,37,56,09-08-2020
43,CA- FRESNO,86.66,132,127,137,85.43,88.06,132 [127 - 137],86.66% [85.43% - 88.06%],152,124,184,09-08-2020
56,CA- LOS ANGELES,82.08,453,444,469,81.82,82.47,453 [444 - 469],82.08% [81.82% - 82.47%],515,451,612,09-08-2020
58,CA- MODESTO,85.29,78,76,80,84.48,85.93,78 [76 - 80],85.29% [84.48% - 85.93%],91,77,102,09-08-2020
62,CA- NAPA,83.09,14,14,14,83.09,83.09,14 [14 - 14],83.09% [83.09% - 83.09%],18,18,18,09-08-2020
65,CA- ALAMEDA CO.,82.72,83,82,85,82.4,83.02,83 [82 - 85],82.72% [82.4% - 83.02%],92,81,102,09-08-2020
69,CA- PALM SPR/RANCHO MIR.,81.42,7,7,8,81.23,81.61,7 [7 - 8],81.42% [81.23% - 81.61%],15,13,17,09-08-2020
73,CA- REDDING,80.83,7,7,8,80.55,81.66,7 [7 - 8],80.83% [80.55% - 81.66%],9,6,18,09-08-2020
77,CA- SACRAMENTO,84.74,218,212,225,83.97,85.48,218 [212 - 225],84.74% [83.97% - 85.48%],227,190,262,09-08-2020
78,CA- SALINAS,88.2,56,56,58,87.31,89.33,56 [56 - 58],88.2% [87.31% - 89.33%],65,58,74,09-08-2020
79,CA- SAN BERNARDINO,82.65,123,121,127,82.33,83.04,123 [121 - 127],82.65% [82.33% - 83.04%],153,135,176,09-08-2020
80,CA- SAN DIEGO,83.73,252,245,265,83.03,84.71,252 [245 - 265],83.73% [83.03% - 84.71%],262,213,331,09-08-2020
81,CA- SAN FRANCISCO,81.58,76,73,79,81.32,81.87,76 [73 - 79],81.58% [81.32% - 81.87%],80,67,95,09-08-2020
82,CA- SAN JOSE,85.02,143,142,147,84.59,85.52,143 [142 - 147],85.02% [84.59% - 85.52%],152,139,167,09-08-2020
83,CA- SAN LUIS OBISPO,83.95,14,14,14,83.29,83.95,14 [14 - 14],83.95% [83.29% - 83.95%],18,15,18,09-08-2020
85,CA- SAN MATEO CO.,82.04,45,45,47,81.78,82.34,45 [45 - 47],82.04% [81.78% - 82.34%],55,48,63,09-08-2020
86,CA- SANTA BARBARA,82.8,21,21,21,82.8,83.0,21 [21 - 21],82.8% [82.8% - 83.0%],27,27,29,09-08-2020
87,CA- SANTA CRUZ,86.13,21,21,22,86.13,88.08,21 [21 - 22],86.13% [86.13% - 88.08%],22,22,29,09-08-2020
89,CA- SANTA ROSA,83.01,49,49,50,82.74,83.12,49 [49 - 50],83.01% [82.74% - 83.12%],56,51,58,09-08-2020
91,CA- STOCKTON,89.31,91,90,94,88.28,90.54,91 [90 - 94],89.31% [88.28% - 90.54%],99,88,112,09-08-2020
96,CA- VENTURA,83.43,45,44,46,82.99,83.62,45 [44 - 46],83.43% [82.99% - 83.62%],54,47,57,09-08-2020
101,CO- BOULDER,85.89,23,23,26,85.26,88.84,23 [23 - 26],85.89% [85.26% - 88.84%],28,25,42,09-08-2020
102,CO- COLORADO SPRINGS,82.42,21,21,24,82.22,83.29,21 [21 - 24],82.42% [82.22% - 83.29%],25,23,34,09-08-2020
103,CO- DENVER,82.39,108,106,118,82.28,83.66,108 [106 - 118],82.39% [82.28% - 83.66%],114,109,175,09-08-2020
104,CO- FORT COLLINS,85.32,28,27,32,83.13,86.57,28 [27 - 32],85.32% [83.13% - 86.57%],34,20,42,09-08-2020
105,CO- GRAND JUNCTION,82.02,14,14,15,81.64,83.16,14 [14 - 15],82.02% [81.64% - 83.16%],16,13,25,09-08-2020
106,CO- GREELEY,84.5,33,31,34,82.57,85.41,33 [31 - 34],84.5% [82.57% - 85.41%],35,20,42,09-08-2020
107,CO- PUEBLO,81.0,7,7,7,81.0,81.0,7 [7 - 7],81.0% [81.0% - 81.0%],8,8,8,09-08-2020
109,CT- BRIDGEPORT,83.89,62,60,65,83.07,84.96,62 [60 - 65],83.89% [83.07% - 84.96%],66,52,84,09-08-2020
110,CT- HARTFORD,87.92,256,243,304,85.56,96.06,256 [243 - 304],87.92% [85.56% - 96.06%],258,181,523,09-08-2020
111,CT- NEW HAVEN,85.22,198,182,227,82.73,89.45,198 [182 - 227],85.22% [82.73% - 89.45%],201,105,364,09-08-2020
112,DE- WILMINGTON,84.83,86,84,94,83.54,87.63,86 [84 - 94],84.83% [83.54% - 87.63%],90,66,142,09-08-2020
113,DC- WASHINGTON,83.59,194,190,204,83.02,84.7,194 [190 - 204],83.59% [83.02% - 84.7%],197,166,258,09-08-2020
115,FL- BRADENTON,80.99,3,3,4,80.85,80.99,3 [3 - 4],80.99% [80.85% - 80.99%],7,6,7,09-08-2020
116,FL- CLEARWATER,80.55,6,6,7,80.55,80.67,6 [6 - 7],80.55% [80.55% - 80.67%],9,9,11,09-08-2020
118,FL- FORT LAUDERDALE,81.63,128,124,133,81.31,81.92,128 [124 - 133],81.63% [81.31% - 81.92%],142,114,167,09-08-2020
119,FL- FORT MYERS,81.39,44,44,46,81.23,81.67,44 [44 - 46],81.39% [81.23% - 81.67%],53,47,64,09-08-2020
120,FL- GAINESVILLE,82.34,32,30,35,81.47,82.82,32 [30 - 35],82.34% [81.47% - 82.82%],43,27,52,09-08-2020
122,FL- HUDSON,81.52,14,14,15,81.36,81.84,14 [14 - 15],81.52% [81.36% - 81.84%],19,17,23,09-08-2020
123,FL- JACKSONVILLE,82.83,131,126,141,82.34,83.73,131 [126 - 141],82.83% [82.34% - 83.73%],139,115,183,09-08-2020
124,FL- LAKELAND,82.43,21,21,22,82.06,83.09,21 [21 - 22],82.43% [82.06% - 83.09%],26,22,33,09-08-2020
127,FL- MIAMI,81.6,138,126,145,80.74,81.97,138 [126 - 145],81.6% [80.74% - 81.97%],173,80,212,09-08-2020
129,FL- OCALA,82.27,23,23,25,81.83,82.7,23 [23 - 25],82.27% [81.83% - 82.7%],31,25,37,09-08-2020
130,FL- ORLANDO,81.74,165,160,174,81.46,82.23,165 [160 - 174],81.74% [81.46% - 82.23%],180,151,231,09-08-2020
131,FL- ORMOND BEACH,81.09,14,14,14,80.97,81.21,14 [14 - 14],81.09% [80.97% - 81.21%],18,16,20,09-08-2020
133,FL- PANAMA CITY,80.6,0,0,0,80.6,80.6,0 [0 - 0],80.6% [80.6% - 80.6%],4,4,4,09-08-2020
134,FL- PENSACOLA,82.26,49,48,51,82.09,82.81,49 [48 - 51],82.26% [82.09% - 82.81%],53,49,66,09-08-2020
137,FL- SARASOTA,80.55,0,0,1,80.35,80.83,0 [0 - 1],80.55% [80.35% - 80.83%],8,5,12,09-08-2020
139,FL- ST PETERSBURG,80.44,6,6,7,80.44,80.56,6 [6 - 7],80.44% [80.44% - 80.56%],7,7,9,09-08-2020
140,FL- TALLAHASSEE,84.19,106,99,117,82.93,86.49,106 [99 - 117],84.19% [82.93% - 86.49%],113,79,175,09-08-2020
141,FL- TAMPA,81.69,65,64,67,81.38,81.97,65 [64 - 67],81.69% [81.38% - 81.97%],72,59,84,09-08-2020
142,GA- ALBANY,80.09,0,0,0,80.0,80.47,0 [0 - 0],80.09% [80.0% - 80.47%],1,0,5,09-08-2020
144,GA- ATLANTA,85.98,669,639,717,84.63,88.06,669 [639 - 717],85.98% [84.63% - 88.06%],716,555,966,09-08-2020
145,GA- AUGUSTA,82.24,47,44,50,81.55,83.05,47 [44 - 50],82.24% [81.55% - 83.05%],55,38,75,09-08-2020
146,GA- COLUMBUS,84.29,46,43,57,82.62,88.58,46 [43 - 57],84.29% [82.62% - 88.58%],54,33,108,09-08-2020
147,GA- MACON,82.24,44,41,49,81.39,83.8,44 [41 - 49],82.24% [81.39% - 83.8%],50,31,85,09-08-2020
148,GA- ROME,88.47,55,53,56,86.01,89.43,55 [53 - 56],88.47% [86.01% - 89.43%],62,44,69,09-08-2020
149,GA- SAVANNAH,89.91,161,147,195,85.78,99.53,161 [147 - 195],89.91% [85.78% - 99.53%],204,119,402,09-08-2020
151,ID- BOISE,82.31,39,38,41,81.69,82.36,39 [38 - 41],82.31% [81.69% - 82.36%],48,35,49,09-08-2020
152,ID- IDAHO FALLS,87.16,28,28,31,84.99,89.98,28 [28 - 31],87.16% [84.99% - 89.98%],33,23,46,09-08-2020
154,IL- AURORA,85.12,21,21,22,84.55,86.07,21 [21 - 22],85.12% [84.55% - 86.07%],27,24,32,09-08-2020
155,IL- BLUE ISLAND,83.31,83,82,85,82.96,83.67,83 [82 - 85],83.31% [82.96% - 83.67%],84,75,93,09-08-2020
156,IL- CHICAGO,83.27,279,275,284,82.89,83.66,279 [275 - 284],83.27% [82.89% - 83.66%],280,247,313,09-08-2020
158,IL- ELGIN,87.18,77,77,79,86.63,88.38,77 [77 - 79],87.18% [86.63% - 88.38%],78,72,91,09-08-2020
161,IL- EVANSTON,84.64,111,109,113,84.1,85.13,111 [109 - 113],84.64% [84.1% - 85.13%],112,99,124,09-08-2020
163,IL- HINSDALE,84.55,49,49,50,84.18,84.91,49 [49 - 50],84.55% [84.18% - 84.91%],50,46,54,09-08-2020
164,IL- JOLIET,90.11,129,125,135,88.07,92.82,129 [125 - 135],90.11% [88.07% - 92.82%],134,107,170,09-08-2020
166,IL- MELROSE PARK,84.43,133,132,136,83.94,85.01,133 [132 - 136],84.43% [83.94% - 85.01%],137,122,155,09-08-2020
170,IL- PEORIA,84.9,89,87,97,83.93,87.96,89 [87 - 97],84.9% [83.93% - 87.96%],91,73,148,09-08-2020
171,IL- ROCKFORD,89.99,150,146,159,87.97,93.32,150 [146 - 159],89.99% [87.97% - 93.32%],153,122,204,09-08-2020
172,IL- SPRINGFIELD,91.36,267,250,308,86.99,100.63,267 [250 - 308],91.36% [86.99% - 100.63%],289,178,525,09-08-2020
173,IL- URBANA,117.92,388,360,455,103.39,149.87,388 [360 - 455],117.92% [103.39% - 149.87%],394,243,726,09-08-2020
175,IL- BLOOMINGTON,211.09,287,265,354,154.91,307.72,287 [265 - 354],211.09% [154.91% - 307.72%],350,200,608,09-08-2020
179,IN- EVANSVILLE,90.46,210,200,237,87.19,97.9,210 [200 - 237],90.46% [87.19% - 97.9%],214,147,366,09-08-2020
180,IN- FORT WAYNE,85.24,110,108,118,84.25,86.96,110 [108 - 118],85.24% [84.25% - 86.96%],116,94,154,09-08-2020
181,IN- GARY,83.39,49,48,50,82.72,83.52,49 [48 - 50],83.39% [82.72% - 83.52%],51,41,53,09-08-2020
183,IN- INDIANAPOLIS,89.37,598,579,634,87.59,92.64,598 [579 - 634],89.37% [87.59% - 92.64%],601,487,811,09-08-2020
184,IN- LAFAYETTE,84.18,27,27,29,83.24,84.86,27 [27 - 29],84.18% [83.24% - 84.86%],31,24,36,09-08-2020
185,IN- MUNCIE,152.79,287,265,342,122.96,211.03,287 [265 - 342],152.79% [122.96% - 211.03%],305,180,549,09-08-2020
186,IN- MUNSTER,82.51,21,21,22,82.25,82.69,21 [21 - 22],82.51% [82.25% - 82.69%],29,26,31,09-08-2020
187,IN- SOUTH BEND,84.84,70,68,73,83.99,86.41,70 [68 - 73],84.84% [83.99% - 86.41%],74,61,98,09-08-2020
188,IN- TERRE HAUTE,91.5,61,59,63,88.91,94.29,61 [59 - 63],91.5% [88.91% - 94.29%],62,48,77,09-08-2020
190,IA- CEDAR RAPIDS,85.56,58,56,62,84.21,86.99,58 [56 - 62],85.56% [84.21% - 86.99%],62,47,78,09-08-2020
191,IA- DAVENPORT,85.62,120,116,126,84.05,87.11,120 [116 - 126],85.62% [84.05% - 87.11%],125,90,158,09-08-2020
192,IA- DES MOINES,92.63,413,385,457,87.11,100.35,413 [385 - 457],92.63% [87.11% - 100.35%],416,234,670,09-08-2020
193,IA- DUBUQUE,84.95,21,21,23,83.3,86.24,21 [21 - 23],84.95% [83.3% - 86.24%],27,18,34,09-08-2020
194,IA- IOWA CITY,94.67,247,227,297,87.51,105.73,247 [227 - 297],94.67% [87.51% - 105.73%],285,146,500,09-08-2020
195,IA- MASON CITY,84.5,28,27,34,83.68,86.55,28 [27 - 34],84.5% [83.68% - 86.55%],33,27,48,09-08-2020
196,IA- SIOUX CITY,89.45,103,97,114,86.01,94.84,103 [97 - 114],89.45% [86.01% - 94.84%],107,68,168,09-08-2020
197,IA- WATERLOO,91.11,70,69,76,88.92,94.55,70 [69 - 76],91.11% [88.92% - 94.55%],71,57,93,09-08-2020
