region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
245,MI- ROYAL OAK,81.02,21,21,22,80.72,81.25,21 [21 - 22],81.02% [80.72% - 81.25%],27,19,33,09-08-2020
246,MI- SAGINAW,83.82,74,70,94,82.48,88.59,74 [70 - 94],83.82% [82.48% - 88.59%],80,52,180,09-08-2020
248,MI- ST JOSEPH,82.32,7,7,7,82.32,82.32,7 [7 - 7],82.32% [82.32% - 82.32%],7,7,7,09-08-2020
249,MI- TRAVERSE CITY,83.93,17,17,21,82.75,85.11,17 [17 - 21],83.93% [82.75% - 85.11%],20,14,26,09-08-2020
250,MN- DULUTH,85.68,62,58,72,83.36,90.76,62 [58 - 72],85.68% [83.36% - 90.76%],66,39,125,09-08-2020
251,MN- MINNEAPOLIS,88.75,734,696,829,85.94,94.94,734 [696 - 829],88.75% [85.94% - 94.94%],745,506,1272,09-08-2020
253,MN- ROCHESTER,82.69,67,63,76,81.69,85.08,67 [63 - 76],82.69% [81.69% - 85.08%],70,44,132,09-08-2020
254,MN- ST CLOUD,94.29,97,91,106,89.05,102.21,97 [91 - 106],94.29% [89.05% - 102.21%],101,64,157,09-08-2020
256,MN- ST PAUL,87.96,182,176,194,85.95,91.47,182 [176 - 194],87.96% [85.95% - 91.47%],182,136,262,09-08-2020
257,MS- GULFPORT,81.03,7,7,7,81.03,81.42,7 [7 - 7],81.03% [81.03% - 81.42%],8,8,11,09-08-2020
258,MS- HATTIESBURG,81.07,7,7,8,80.91,81.57,7 [7 - 8],81.07% [80.91% - 81.57%],13,11,19,09-08-2020
259,MS- JACKSON,80.38,14,14,17,80.36,80.78,14 [14 - 17],80.38% [80.36% - 80.78%],17,16,35,09-08-2020
260,MS- MERIDIAN,81.43,7,7,8,80.41,81.74,7 [7 - 8],81.43% [80.41% - 81.74%],14,4,17,09-08-2020
261,MS- OXFORD,83.61,16,14,25,80.63,93.79,16 [14 - 25],83.61% [80.63% - 93.79%],23,4,88,09-08-2020
262,MS- TUPELO,81.6,21,20,26,80.86,83.8,21 [20 - 26],81.6% [80.86% - 83.8%],26,14,62,09-08-2020
263,MO- CAPE GIRARDEAU,87.01,62,57,73,83.7,93.05,62 [57 - 73],87.01% [83.7% - 93.05%],72,38,134,09-08-2020
264,MO- COLUMBIA,96.43,256,235,327,87.75,122.68,256 [235 - 327],96.43% [87.75% - 122.68%],303,143,787,09-08-2020
267,MO- JOPLIN,92.58,119,113,137,88.28,103.9,119 [113 - 137],92.58% [88.28% - 103.9%],120,79,228,09-08-2020
268,MO- KANSAS CITY,85.45,406,384,465,83.43,89.87,406 [384 - 465],85.45% [83.43% - 89.87%],432,272,782,09-08-2020
270,MO- SPRINGFIELD,102.21,410,382,482,93.32,122.93,410 [382 - 482],102.21% [93.32% - 122.93%],435,261,841,09-08-2020
273,MO- ST LOUIS,84.6,533,506,582,83.17,86.98,533 [506 - 582],84.6% [83.17% - 86.98%],561,387,852,09-08-2020
274,MT- BILLINGS,84.48,92,85,110,82.4,90.23,92 [85 - 110],84.48% [82.4% - 90.23%],99,53,226,09-08-2020
275,MT- GREAT FALLS,88.32,63,60,74,84.97,96.77,63 [60 - 74],88.32% [84.97% - 96.77%],67,40,135,09-08-2020
276,MT- MISSOULA,81.98,21,20,28,80.86,84.83,21 [20 - 28],81.98% [80.86% - 84.83%],23,10,56,09-08-2020
