HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
105,CO- GRAND JUNCTION,87.11,50,45,63,81.89,97.68,50 [45 - 63],87.11% [81.89% - 97.68%],56,15,140,05-26-2020
106,CO- GREELEY,85.74,42,39,54,82.06,95.7,42 [39 - 54],85.74% [82.06% - 95.7%],44,16,122,05-26-2020
107,CO- PUEBLO,81.2,7,7,10,80.5,83.63,7 [7 - 10],81.2% [80.5% - 83.63%],9,4,29,05-26-2020
109,CT- BRIDGEPORT,91.33,189,171,222,83.89,104.72,189 [171 - 222],91.33% [83.89% - 104.72%],192,66,419,05-26-2020
110,CT- HARTFORD,86.45,203,182,255,81.69,97.23,203 [182 - 255],86.45% [81.69% - 97.23%],209,55,561,05-26-2020
111,CT- NEW HAVEN,87.93,303,274,370,82.75,99.65,303 [274 - 370],87.93% [82.75% - 99.65%],305,106,757,05-26-2020
112,DE- WILMINGTON,82.94,51,48,62,81.5,86.71,51 [48 - 62],82.94% [81.5% - 86.71%],54,28,125,05-26-2020
113,DC- WASHINGTON,90.98,600,561,703,86.25,102.43,600 [561 - 703],90.98% [86.25% - 102.43%],602,343,1231,05-26-2020
115,FL- BRADENTON,84.35,28,26,34,81.13,89.17,28 [26 - 34],84.35% [81.13% - 89.17%],30,8,65,05-26-2020
116,FL- CLEARWATER,82.68,40,36,48,80.73,85.74,40 [36 - 48],82.68% [80.73% - 85.74%],43,12,94,05-26-2020
118,FL- FORT LAUDERDALE,84.25,366,327,431,81.3,88.9,366 [327 - 431],84.25% [81.3% - 88.9%],369,113,774,05-26-2020
119,FL- FORT MYERS,83.57,133,119,159,81.02,87.66,133 [119 - 159],83.57% [81.02% - 87.66%],136,39,293,05-26-2020
120,FL- GAINESVILLE,82.5,42,37,52,80.49,85.81,42 [37 - 52],82.5% [80.49% - 85.81%],46,9,107,05-26-2020
122,FL- HUDSON,82.73,29,26,36,80.88,85.91,29 [26 - 36],82.73% [80.88% - 85.91%],34,11,74,05-26-2020
123,FL- JACKSONVILLE,82.5,118,104,145,80.57,85.86,118 [104 - 145],82.5% [80.57% - 85.86%],122,28,288,05-26-2020
124,FL- LAKELAND,83.03,28,26,35,80.84,86.55,28 [26 - 35],83.03% [80.84% - 86.55%],32,9,70,05-26-2020
127,FL- MIAMI,84.31,461,412,541,81.26,88.98,461 [412 - 541],84.31% [81.26% - 88.98%],465,136,968,05-26-2020
129,FL- OCALA,82.89,37,34,44,81.02,86.29,37 [34 - 44],82.89% [81.02% - 86.29%],39,14,86,05-26-2020
130,FL- ORLANDO,82.85,291,260,347,80.88,86.13,291 [260 - 347],82.85% [80.88% - 86.13%],295,91,635,05-26-2020
131,FL- ORMOND BEACH,82.04,29,26,35,80.48,84.17,29 [26 - 35],82.04% [80.48% - 84.17%],33,8,69,05-26-2020
133,FL- PANAMA CITY,80.71,0,0,2,80.0,81.96,0 [0 - 2],80.71% [80.0% - 81.96%],4,0,13,05-26-2020
134,FL- PENSACOLA,82.09,46,41,55,80.6,84.6,46 [41 - 55],82.09% [80.6% - 84.6%],48,14,108,05-26-2020
137,FL- SARASOTA,82.75,38,34,45,80.62,85.81,38 [34 - 45],82.75% [80.62% - 85.81%],39,9,84,05-26-2020
139,FL- ST PETERSBURG,82.23,33,30,40,80.63,84.76,33 [30 - 40],82.23% [80.63% - 84.76%],35,10,76,05-26-2020
140,FL- TALLAHASSEE,81.82,49,44,70,80.44,86.64,49 [44 - 70],81.82% [80.44% - 86.64%],49,12,179,05-26-2020
141,FL- TAMPA,83.03,125,113,149,80.94,86.46,125 [113 - 149],83.03% [80.94% - 86.46%],129,40,275,05-26-2020
142,GA- ALBANY,85.51,56,52,74,82.07,95.71,56 [52 - 74],85.51% [82.07% - 95.71%],58,22,167,05-26-2020
144,GA- ATLANTA,88.56,1168,1053,1473,83.51,101.55,1168 [1053 - 1473],88.56% [83.51% - 101.55%],1025,421,2582,05-26-2020
145,GA- AUGUSTA,81.53,33,31,46,80.77,84.48,33 [31 - 46],81.53% [80.77% - 84.48%],37,19,110,05-26-2020
