HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Last Update
1,AL- BIRMINGHAM,83.34,256,225,376,80.01,86.67,05-05-2020
2,AL- DOTHAN,80.62,2,1,10,77.4,83.84,05-05-2020
5,AL- HUNTSVILLE,82.39,37,31,55,79.09,85.69,05-05-2020
6,AL- MOBILE,82.39,59,52,92,79.09,85.69,05-05-2020
7,AL- MONTGOMERY,82.23,28,24,46,78.94,85.52,05-05-2020
9,AL- TUSCALOOSA,82.4,18,16,31,79.1,85.7,05-05-2020
11,AZ- MESA,86.43,113,100,164,82.97,89.89,05-05-2020
12,AZ- PHOENIX,83.9,266,235,386,80.54,87.26,05-05-2020
14,AZ- SUN CITY,82.68,16,14,24,79.37,85.99,05-05-2020
15,AZ- TUCSON,82.29,49,43,73,79.0,85.58,05-05-2020
16,AR- FORT SMITH,80.14,0,0,5,76.93,83.35,05-05-2020
18,AR- JONESBORO,80.41,0,0,2,77.19,83.63,05-05-2020
19,AR- LITTLE ROCK,82.47,135,119,199,79.17,85.77,05-05-2020
21,AR- SPRINGDALE,80.89,7,6,13,77.65,84.13,05-05-2020
22,AR- TEXARKANA,80.46,0,0,4,77.24,83.68,05-05-2020
23,CA- ORANGE CO.,85.71,420,372,603,82.28,89.14,05-05-2020
25,CA- BAKERSFIELD,81.84,60,53,90,78.57,85.11,05-05-2020
31,CA- CHICO,82.81,14,12,23,79.5,86.12,05-05-2020
33,CA- CONTRA COSTA CO.,98.52,360,321,486,94.58,102.46,05-05-2020
43,CA- FRESNO,83.36,70,62,103,80.03,86.69,05-05-2020
56,CA- LOS ANGELES,85.2,1248,1106,1784,81.79,88.61,05-05-2020
58,CA- MODESTO,89.18,149,131,214,85.61,92.75,05-05-2020
62,CA- NAPA,89.4,50,45,71,85.82,92.98,05-05-2020
65,CA- ALAMEDA CO.,96.84,554,495,743,92.97,100.71,05-05-2020
69,CA- PALM SPR/RANCHO MIR.,83.7,33,29,49,80.35,87.05,05-05-2020
73,CA- REDDING,84.29,41,36,59,80.92,87.66,05-05-2020
77,CA- SACRAMENTO,90.81,497,440,701,87.18,94.44,05-05-2020
78,CA- SALINAS,91.14,83,74,117,87.49,94.79,05-05-2020
79,CA- SAN BERNARDINO,86.3,348,308,506,82.85,89.75,05-05-2020
80,CA- SAN DIEGO,88.02,543,482,773,84.5,91.54,05-05-2020
81,CA- SAN FRANCISCO,89.92,488,436,655,86.32,93.52,05-05-2020
