HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound,Last Update
1,AL- BIRMINGHAM,111,13892,13881,13894,01-22-2020
2,AL- DOTHAN,91,786,786,786,01-22-2020
5,AL- HUNTSVILLE,102,2171,2168,2173,01-22-2020
6,AL- MOBILE,106,3857,3854,3857,01-22-2020
7,AL- MONTGOMERY,104,1865,1862,1865,01-22-2020
9,AL- TUSCALOOSA,107,1427,1427,1427,01-22-2020
11,AZ- MESA,155,7812,7803,7813,01-22-2020
12,AZ- PHOENIX,126,18148,18126,18150,01-22-2020
14,AZ- SUN CITY,111,1329,1328,1329,01-22-2020
15,AZ- TUCSON,107,3559,3557,3559,01-22-2020
16,AR- FORT SMITH,86,384,384,384,01-22-2020
18,AR- JONESBORO,84,213,213,213,01-22-2020
19,AR- LITTLE ROCK,96,5155,5152,5156,01-22-2020
21,AR- SPRINGDALE,89,493,493,493,01-22-2020
22,AR- TEXARKANA,87,350,350,350,01-22-2020
23,CA- ORANGE CO.,130,20052,20030,20053,01-22-2020
25,CA- BAKERSFIELD,97,3156,3155,3156,01-22-2020
31,CA- CHICO,108,921,921,921,01-22-2020
33,CA- CONTRA COSTA CO.,222,15953,15940,15954,01-22-2020
43,CA- FRESNO,110,3564,3559,3564,01-22-2020
56,CA- LOS ANGELES,125,59198,59132,59200,01-22-2020
58,CA- MODESTO,161,7332,7322,7333,01-22-2020
62,CA- NAPA,159,2480,2476,2480,01-22-2020
65,CA- ALAMEDA CO.,207,24332,24312,24335,01-22-2020
69,CA- PALM SPR/RANCHO MIR.,113,1808,1807,1808,01-22-2020
73,CA- REDDING,117,2140,2139,2140,01-22-2020
77,CA- SACRAMENTO,171,23342,23318,23342,01-22-2020
78,CA- SALINAS,174,3993,3989,3994,01-22-2020
79,CA- SAN BERNARDINO,136,16949,16929,16950,01-22-2020
80,CA- SAN DIEGO,149,25693,25667,25697,01-22-2020
81,CA- SAN FRANCISCO,155,21506,21489,21507,01-22-2020
82,CA- SAN JOSE,243,28393,28372,28396,01-22-2020
83,CA- SAN LUIS OBISPO,151,1740,1738,1740,01-22-2020
85,CA- SAN MATEO CO.,168,13620,13607,13620,01-22-2020
86,CA- SANTA BARBARA,128,2435,2433,2435,01-22-2020
87,CA- SANTA CRUZ,267,3718,3714,3719,01-22-2020
89,CA- SANTA ROSA,139,5993,5988,5993,01-22-2020
91,CA- STOCKTON,194,6578,6573,6578,01-22-2020
96,CA- VENTURA,141,5047,5043,5047,01-22-2020
101,CO- BOULDER,180,2566,2566,2566,01-22-2020
102,CO- COLORADO SPRINGS,165,4627,4621,4627,01-22-2020
103,CO- DENVER,175,24824,24803,24826,01-22-2020
104,CO- FORT COLLINS,141,2082,2080,2083,01-22-2020
105,CO- GRAND JUNCTION,160,3737,3737,3737,01-22-2020
106,CO- GREELEY,143,2628,2627,2629,01-22-2020
107,CO- PUEBLO,94,552,552,552,01-22-2020
110,CT- HARTFORD,159,13660,13649,13660,01-22-2020
111,CT- NEW HAVEN,188,23899,23884,23899,01-22-2020
