HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
385,TX- AUSTIN,91.48,398,365,432,84.89,97.67,398 [365 - 432],91.48% [84.89% - 97.67%],401,171,618,06-30-2020
386,TX- BEAUMONT,88.32,111,103,119,84.01,92.12,111 [103 - 119],88.32% [84.01% - 92.12%],113,55,166,06-30-2020
388,TX- BRYAN,90.33,60,56,65,84.58,95.36,60 [56 - 65],90.33% [84.58% - 95.36%],63,28,94,06-30-2020
390,TX- CORPUS CHRISTI,87.25,144,133,155,83.27,90.77,144 [133 - 155],87.25% [83.27% - 90.77%],148,67,221,06-30-2020
391,TX- DALLAS,89.12,1112,1027,1193,84.27,93.4,1112 [1027 - 1193],89.12% [84.27% - 93.4%],1117,523,1641,06-30-2020
393,TX- EL PASO,90.26,279,261,294,85.65,93.92,279 [261 - 294],90.26% [85.65% - 93.92%],281,155,382,06-30-2020
394,TX- FORT WORTH,89.66,481,444,516,84.47,94.22,481 [444 - 516],89.66% [84.47% - 94.22%],483,224,712,06-30-2020
396,TX- HARLINGEN,91.16,156,144,168,85.22,96.85,156 [144 - 168],91.16% [85.22% - 96.85%],158,74,239,06-30-2020
397,TX- HOUSTON,91.72,1723,1591,1840,86.36,97.13,1723 [1591 - 1840],91.72% [86.36% - 97.13%],2000,1086,2924,06-30-2020
399,TX- LONGVIEW,87.43,47,44,51,83.5,90.93,47 [44 - 51],87.43% [83.5% - 90.93%],50,24,75,06-30-2020
400,TX- LUBBOCK,86.72,157,146,168,83.35,89.87,157 [146 - 168],86.72% [83.35% - 89.87%],160,80,236,06-30-2020
402,TX- MCALLEN,92.26,191,176,206,85.74,98.35,191 [176 - 206],92.26% [85.74% - 98.35%],194,91,291,06-30-2020
406,TX- ODESSA,88.1,100,93,108,83.79,91.69,100 [93 - 108],88.1% [83.79% - 91.69%],104,49,151,06-30-2020
411,TX- SAN ANGELO,86.5,41,38,44,82.47,89.32,41 [38 - 44],86.5% [82.47% - 89.32%],44,17,64,06-30-2020
412,TX- SAN ANTONIO,87.18,516,473,561,82.93,91.17,516 [473 - 561],87.18% [82.93% - 91.17%],519,212,808,06-30-2020
413,TX- TEMPLE,91.78,107,99,116,85.11,98.1,107 [99 - 116],91.78% [85.11% - 98.1%],110,48,170,06-30-2020
416,TX- TYLER,88.59,134,124,144,83.99,92.78,134 [124 - 144],88.59% [83.99% - 92.78%],137,64,205,06-30-2020
417,TX- VICTORIA,84.58,32,30,35,82.09,86.78,32 [30 - 35],84.58% [82.09% - 86.78%],35,16,52,06-30-2020
418,TX- WACO,92.24,69,64,75,85.53,98.26,69 [64 - 75],92.24% [85.53% - 98.26%],73,33,109,06-30-2020
420,TX- WICHITA FALLS,86.4,41,38,45,82.9,89.13,41 [38 - 45],86.4% [82.9% - 89.13%],44,20,63,06-30-2020
421,UT- OGDEN,89.0,61,56,64,83.84,91.37,61 [56 - 64],89.0% [83.84% - 91.37%],65,28,83,06-30-2020
422,UT- PROVO,89.35,81,74,85,83.77,91.97,81 [74 - 85],89.35% [83.77% - 91.97%],84,34,108,06-30-2020
423,UT- SALT LAKE CITY,87.34,286,260,305,82.89,90.25,286 [260 - 305],87.34% [82.89% - 90.25%],289,114,405,06-30-2020
