HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Last Update
326,OH- CANTON,89.76,204,180,281,82.55,113.9,204 [180 - 281],89.76% [82.55% - 113.9%],05-18-2020
327,OH- CINCINNATI,89.1,432,385,544,82.46,103.38,432 [385 - 544],89.1% [82.46% - 103.38%],05-18-2020
328,OH- CLEVELAND,88.75,769,686,1033,82.37,108.4,769 [686 - 1033],88.75% [82.37% - 108.4%],05-18-2020
329,OH- COLUMBUS,86.15,547,481,788,81.32,103.26,547 [481 - 788],86.15% [81.32% - 103.26%],05-18-2020
330,OH- DAYTON,86.65,214,188,291,81.47,101.45,214 [188 - 291],86.65% [81.47% - 101.45%],05-18-2020
331,OH- ELYRIA,93.26,94,84,126,83.72,122.48,94 [84 - 126],93.26% [83.72% - 122.48%],05-18-2020
332,OH- KETTERING,87.76,84,76,114,82.42,104.31,84 [76 - 114],87.76% [82.42% - 104.31%],05-18-2020
334,OH- TOLEDO,85.01,205,183,273,81.27,95.68,205 [183 - 273],85.01% [81.27% - 95.68%],05-18-2020
335,OH- YOUNGSTOWN,85.72,146,129,198,81.35,98.77,146 [129 - 198],85.72% [81.35% - 98.77%],05-18-2020
336,OK- LAWTON,87.09,49,44,64,81.54,97.95,49 [44 - 64],87.09% [81.54% - 97.95%],05-18-2020
339,OK- OKLAHOMA CITY,89.5,622,542,807,81.52,107.54,622 [542 - 807],89.5% [81.52% - 107.54%],05-18-2020
340,OK- TULSA,86.37,317,275,417,81.02,99.0,317 [275 - 417],86.37% [81.02% - 99.0%],05-18-2020
341,OR- BEND,84.37,14,13,20,80.49,94.07,14 [13 - 20],84.37% [80.49% - 94.07%],05-18-2020
342,OR- EUGENE,84.06,43,38,59,80.85,93.02,43 [38 - 59],84.06% [80.85% - 93.02%],05-18-2020
343,OR- MEDFORD,82.75,21,19,31,80.21,89.22,21 [19 - 31],82.75% [80.21% - 89.22%],05-18-2020
344,OR- PORTLAND,86.14,318,284,389,81.72,95.09,318 [284 - 389],86.14% [81.72% - 95.09%],05-18-2020
345,OR- SALEM,86.41,23,21,32,81.61,98.81,23 [21 - 32],86.41% [81.61% - 98.81%],05-18-2020
346,PA- ALLENTOWN,82.27,69,63,90,80.76,86.65,69 [63 - 90],82.27% [80.76% - 86.65%],05-18-2020
347,PA- ALTOONA,80.13,0,0,3,80.0,82.88,0 [0 - 3],80.13% [80.0% - 82.88%],05-18-2020
350,PA- DANVILLE,80.34,0,0,7,80.0,82.7,0 [0 - 7],80.34% [80.0% - 82.7%],05-18-2020
351,PA- ERIE,80.74,11,10,19,80.04,83.1,11 [10 - 19],80.74% [80.04% - 83.1%],05-18-2020
352,PA- HARRISBURG,83.39,73,67,95,81.18,89.17,73 [67 - 95],83.39% [81.18% - 89.17%],05-18-2020
354,PA- JOHNSTOWN,80.01,0,0,2,80.0,81.62,0 [0 - 2],80.01% [80.0% - 81.62%],05-18-2020
355,PA- LANCASTER,82.93,30,27,40,81.09,88.31,30 [27 - 40],82.93% [81.09% - 88.31%],05-18-2020
356,PA- PHILADELPHIA,82.12,261,239,329,80.87,85.7,261 [239 - 329],82.12% [80.87% - 85.7%],05-18-2020
357,PA- PITTSBURGH,80.74,83,74,118,80.16,82.65,83 [74 - 118],80.74% [80.16% - 82.65%],05-18-2020
358,PA- READING,81.88,21,19,31,80.42,86.18,21 [19 - 31],81.88% [80.42% - 86.18%],05-18-2020
359,PA- SAYRE,80.94,0,0,4,80.0,85.94,0 [0 - 4],80.94% [80.0% - 85.94%],05-18-2020
360,PA- SCRANTON,81.88,14,13,19,80.11,85.56,14 [13 - 19],81.88% [80.11% - 85.56%],05-18-2020
362,PA- WILKES-BARRE,81.18,7,7,11,80.46,85.04,7 [7 - 11],81.18% [80.46% - 85.04%],05-18-2020
363,PA- YORK,87.52,59,54,70,82.77,96.25,59 [54 - 70],87.52% [82.77% - 96.25%],05-18-2020
364,RI- PROVIDENCE,90.63,328,300,404,84.73,106.92,328 [300 - 404],90.63% [84.73% - 106.92%],05-18-2020
365,SC- CHARLESTON,85.24,154,137,223,81.71,100.69,154 [137 - 223],85.24% [81.71% - 100.69%],05-18-2020
366,SC- COLUMBIA,86.71,247,224,332,82.32,101.96,247 [224 - 332],86.71% [82.32% - 101.96%],05-18-2020
367,SC- FLORENCE,84.78,63,57,85,81.04,95.73,63 [57 - 85],84.78% [81.04% - 95.73%],05-18-2020
368,SC- GREENVILLE,85.74,134,123,188,82.42,100.28,134 [123 - 188],85.74% [82.42% - 100.28%],05-18-2020
369,SC- SPARTANBURG,86.03,59,53,80,81.98,98.38,59 [53 - 80],86.03% [81.98% - 98.38%],05-18-2020
370,SD- RAPID CITY,82.34,11,10,21,81.45,92.06,11 [10 - 21],82.34% [81.45% - 92.06%],05-18-2020
371,SD- SIOUX FALLS,86.9,188,160,265,80.76,105.45,188 [160 - 265],86.9% [80.76% - 105.45%],05-18-2020
373,TN- CHATTANOOGA,84.11,89,80,112,81.52,91.2,89 [80 - 112],84.11% [81.52% - 91.2%],05-18-2020
374,TN- JACKSON,81.82,20,18,30,80.22,86.07,20 [18 - 30],81.82% [80.22% - 86.07%],05-18-2020
375,TN- JOHNSON CITY,83.32,29,26,39,80.85,90.0,29 [26 - 39],83.32% [80.85% - 90.0%],05-18-2020
376,TN- KINGSPORT,83.82,72,63,104,80.4,93.34,72 [63 - 104],83.82% [80.4% - 93.34%],05-18-2020
377,TN- KNOXVILLE,81.91,76,67,118,80.29,88.14,76 [67 - 118],81.91% [80.29% - 88.14%],05-18-2020
379,TN- MEMPHIS,85.53,347,305,433,81.11,94.43,347 [305 - 433],85.53% [81.11% - 94.43%],05-18-2020
380,TN- NASHVILLE,86.95,589,524,769,81.98,101.32,589 [524 - 769],86.95% [81.98% - 101.32%],05-18-2020
382,TX- ABILENE,85.81,74,64,99,80.75,97.47,74 [64 - 99],85.81% [80.75% - 97.47%],05-18-2020
383,TX- AMARILLO,85.72,83,73,120,81.0,100.71,83 [73 - 120],85.72% [81.0% - 100.71%],05-18-2020
385,TX- AUSTIN,112.09,1282,1145,1470,89.29,149.35,1282 [1145 - 1470],112.09% [89.29% - 149.35%],05-18-2020
386,TX- BEAUMONT,92.71,170,150,212,83.28,112.26,170 [150 - 212],92.71% [83.28% - 112.26%],05-18-2020
388,TX- BRYAN,106.99,162,145,189,87.52,137.03,162 [145 - 189],106.99% [87.52% - 137.03%],05-18-2020
390,TX- CORPUS CHRISTI,89.05,181,158,234,81.9,105.44,181 [158 - 234],89.05% [81.9% - 105.44%],05-18-2020
391,TX- DALLAS,101.96,3104,2774,3572,86.77,127.94,3104 [2774 - 3572],101.96% [86.77% - 127.94%],05-18-2020
393,TX- EL PASO,93.24,360,321,455,84.12,115.05,360 [321 - 455],93.24% [84.12% - 115.05%],05-18-2020
394,TX- FORT WORTH,103.14,1337,1194,1540,87.05,130.67,1337 [1194 - 1540],103.14% [87.05% - 130.67%],05-18-2020
396,TX- HARLINGEN,91.19,155,136,205,82.4,113.36,155 [136 - 205],91.19% [82.4% - 113.36%],05-18-2020
397,TX- HOUSTON,99.13,3844,3420,4501,85.5,124.37,3844 [3420 - 4501],99.13% [85.5% - 124.37%],05-18-2020
399,TX- LONGVIEW,93.36,89,79,108,83.21,112.22,89 [79 - 108],93.36% [83.21% - 112.22%],05-18-2020
400,TX- LUBBOCK,90.48,246,214,310,82.09,108.12,246 [214 - 310],90.48% [82.09% - 108.12%],05-18-2020
402,TX- MCALLEN,91.13,173,152,230,82.46,113.48,173 [152 - 230],91.13% [82.46% - 113.48%],05-18-2020
406,TX- ODESSA,88.48,107,93,140,81.47,104.46,107 [93 - 140],88.48% [81.47% - 104.46%],05-18-2020
411,TX- SAN ANGELO,85.23,32,28,47,80.58,98.05,32 [28 - 47],85.23% [80.58% - 98.05%],05-18-2020
412,TX- SAN ANTONIO,105.95,2000,1810,2195,88.53,126.09,2000 [1810 - 2195],105.95% [88.53% - 126.09%],05-18-2020
413,TX- TEMPLE,110.61,283,252,335,88.52,148.9,283 [252 - 335],110.61% [88.52% - 148.9%],05-18-2020
416,TX- TYLER,97.2,272,240,328,83.87,120.65,272 [240 - 328],97.2% [83.87% - 120.65%],05-18-2020
417,TX- VICTORIA,89.14,67,59,83,82.22,102.95,67 [59 - 83],89.14% [82.22% - 102.95%],05-18-2020
418,TX- WACO,113.59,197,177,229,90.22,149.51,197 [177 - 229],113.59% [90.22% - 149.51%],05-18-2020
420,TX- WICHITA FALLS,92.25,82,72,101,82.46,110.58,82 [72 - 101],92.25% [82.46% - 110.58%],05-18-2020
421,UT- OGDEN,86.05,40,37,56,82.05,100.68,40 [37 - 56],86.05% [82.05% - 100.68%],05-18-2020
422,UT- PROVO,85.97,51,46,71,81.77,100.84,51 [46 - 71],85.97% [81.77% - 100.84%],05-18-2020
423,UT- SALT LAKE CITY,84.03,156,140,215,81.22,94.0,156 [140 - 215],84.03% [81.22% - 94.0%],05-18-2020
