HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
1,AL- BIRMINGHAM,96.46,719,691,762,93.12,100.83,719 [691 - 762],96.46% [93.12% - 100.83%],1390,1108,1759,09-15-2020
2,AL- DOTHAN,89.89,56,56,58,88.21,91.45,56 [56 - 58],89.89% [88.21% - 91.45%],131,109,152,09-15-2020
5,AL- HUNTSVILLE,89.13,80,77,88,87.29,92.5,80 [77 - 88],89.13% [87.29% - 92.5%],171,137,235,09-15-2020
6,AL- MOBILE,84.85,63,63,65,84.48,85.64,63 [63 - 65],84.85% [84.48% - 85.64%],138,128,161,09-15-2020
7,AL- MONTGOMERY,91.06,84,82,85,88.67,91.58,84 [82 - 85],91.06% [88.67% - 91.58%],170,134,179,09-15-2020
9,AL- TUSCALOOSA,94.67,70,67,74,89.72,98.44,70 [67 - 74],94.67% [89.72% - 98.44%],146,97,184,09-15-2020
11,AZ- MESA,86.45,58,57,60,85.61,87.63,58 [57 - 60],86.45% [85.61% - 87.63%],127,111,151,09-15-2020
12,AZ- PHOENIX,83.59,120,118,125,83.06,84.28,120 [118 - 125],83.59% [83.06% - 84.28%],271,232,324,09-15-2020
14,AZ- SUN CITY,82.02,6,6,7,81.73,82.35,6 [6 - 7],82.02% [81.73% - 82.35%],16,14,19,09-15-2020
15,AZ- TUCSON,82.54,26,26,27,82.34,82.89,26 [26 - 27],82.54% [82.34% - 82.89%],64,59,73,09-15-2020
16,AR- FORT SMITH,84.06,21,21,23,83.83,84.84,21 [21 - 23],84.06% [83.83% - 84.84%],51,49,62,09-15-2020
18,AR- JONESBORO,88.87,39,38,41,86.86,90.73,39 [38 - 41],88.87% [86.86% - 90.73%],80,62,97,09-15-2020
19,AR- LITTLE ROCK,84.96,135,129,141,83.64,85.94,135 [129 - 141],84.96% [83.64% - 85.94%],286,210,343,09-15-2020
21,AR- SPRINGDALE,106.15,148,141,170,97.6,123.8,148 [141 - 170],106.15% [97.6% - 123.8%],276,186,463,09-15-2020
22,AR- TEXARKANA,84.86,23,23,25,84.59,86.53,23 [23 - 25],84.86% [84.59% - 86.53%],47,45,64,09-15-2020
23,CA- ORANGE CO.,84.96,176,175,179,84.6,85.32,176 [175 - 179],84.96% [84.6% - 85.32%],379,352,407,09-15-2020
25,CA- BAKERSFIELD,84.83,75,74,77,84.29,85.34,75 [74 - 77],84.83% [84.29% - 85.34%],174,155,193,09-15-2020
31,CA- CHICO,113.7,120,116,126,106.88,121.09,120 [116 - 126],113.7% [106.88% - 121.09%],215,172,263,09-15-2020
33,CA- CONTRA COSTA CO.,85.39,45,44,47,84.34,86.29,45 [44 - 47],85.39% [84.34% - 86.29%],107,87,126,09-15-2020
43,CA- FRESNO,94.71,152,149,157,92.44,97.21,152 [149 - 157],94.71% [92.44% - 97.21%],335,284,393,09-15-2020
56,CA- LOS ANGELES,84.57,524,515,539,84.01,85.25,524 [515 - 539],84.57% [84.01% - 85.25%],1132,994,1303,09-15-2020
58,CA- MODESTO,91.74,91,89,93,90.24,92.8,91 [89 - 93],91.74% [90.24% - 92.8%],201,176,220,09-15-2020
62,CA- NAPA,86.39,14,14,14,85.84,86.36,14 [14 - 14],86.39% [85.84% - 86.36%],37,34,37,09-15-2020
65,CA- ALAMEDA CO.,85.84,93,92,95,85.15,86.36,93 [92 - 95],85.84% [85.15% - 86.36%],197,174,215,09-15-2020
69,CA- PALM SPR/RANCHO MIR.,83.39,14,14,14,83.04,83.7,14 [14 - 14],83.39% [83.04% - 83.7%],35,32,39,09-15-2020
73,CA- REDDING,81.39,7,7,8,80.92,82.31,7 [7 - 8],81.39% [80.92% - 82.31%],15,10,25,09-15-2020
77,CA- SACRAMENTO,89.67,227,222,232,88.15,91.06,227 [222 - 232],89.67% [88.15% - 91.06%],462,390,529,09-15-2020
78,CA- SALINAS,96.97,61,60,63,95.26,98.79,61 [60 - 63],96.97% [95.26% - 98.79%],134,121,149,09-15-2020
79,CA- SAN BERNARDINO,86.17,155,153,159,85.47,86.94,155 [153 - 159],86.17% [85.47% - 86.94%],356,316,401,09-15-2020
