HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
131,FL- ORMOND BEACH,81.82,28,27,32,80.97,83.2,28 [27 - 32],81.82% [80.97% - 83.2%],30,16,53,10-20-2020
133,FL- PANAMA CITY,83.12,14,14,19,81.2,87.08,14 [14 - 19],83.12% [81.2% - 87.08%],20,8,47,10-20-2020
134,FL- PENSACOLA,84.45,101,96,122,82.68,89.83,101 [96 - 122],84.45% [82.68% - 89.83%],104,63,231,10-20-2020
137,FL- SARASOTA,82.78,35,34,41,81.66,85.19,35 [34 - 41],82.78% [81.66% - 85.19%],40,24,75,10-20-2020
139,FL- ST PETERSBURG,82.27,35,33,41,81.25,84.63,35 [33 - 41],82.27% [81.25% - 84.63%],36,20,74,10-20-2020
140,FL- TALLAHASSEE,83.33,86,80,104,81.78,87.27,86 [80 - 104],83.33% [81.78% - 87.27%],89,48,196,10-20-2020
141,FL- TAMPA,82.47,105,100,116,81.57,84.2,105 [100 - 116],82.47% [81.57% - 84.2%],105,67,179,10-20-2020
142,GA- ALBANY,80.61,0,0,1,80.56,81.22,0 [0 - 1],80.61% [80.56% - 81.22%],6,6,13,10-20-2020
144,GA- ATLANTA,86.77,808,754,942,83.71,93.44,808 [754 - 942],86.77% [83.71% - 93.44%],810,445,1610,10-20-2020
145,GA- AUGUSTA,81.78,42,41,48,81.18,83.34,42 [41 - 48],81.78% [81.18% - 83.34%],43,29,82,10-20-2020
146,GA- COLUMBUS,81.05,12,10,14,80.0,81.99,12 [10 - 14],81.05% [80.0% - 81.99%],13,0,25,10-20-2020
147,GA- MACON,84.6,98,90,121,81.7,90.51,98 [90 - 121],84.6% [81.7% - 90.51%],102,38,235,10-20-2020
148,GA- ROME,88.36,56,52,64,83.69,95.3,56 [52 - 64],88.36% [83.69% - 95.3%],61,27,112,10-20-2020
149,GA- SAVANNAH,81.42,26,24,33,80.58,83.6,26 [24 - 33],81.42% [80.58% - 83.6%],29,12,74,10-20-2020
151,ID- BOISE,85.77,117,106,134,82.21,90.4,117 [106 - 134],85.77% [82.21% - 90.4%],119,46,216,10-20-2020
152,ID- IDAHO FALLS,90.74,47,43,57,83.9,103.86,47 [43 - 57],90.74% [83.9% - 103.86%],49,18,110,10-20-2020
154,IL- AURORA,98.56,95,90,110,91.01,116.05,95 [90 - 110],98.56% [91.01% - 116.05%],97,58,190,10-20-2020
155,IL- BLUE ISLAND,87.81,194,182,224,84.46,94.75,194 [182 - 224],87.81% [84.46% - 94.75%],197,113,374,10-20-2020
156,IL- CHICAGO,87.66,652,610,750,84.38,94.56,652 [610 - 750],87.66% [84.38% - 94.56%],655,375,1246,10-20-2020
158,IL- ELGIN,102.68,244,228,282,92.98,123.0,244 [228 - 282],102.68% [92.98% - 123.0%],246,141,467,10-20-2020
161,IL- EVANSTON,90.48,249,234,286,86.0,99.74,249 [234 - 286],90.48% [86.0% - 99.74%],253,145,477,10-20-2020
163,IL- HINSDALE,91.48,122,115,138,86.73,100.27,122 [115 - 138],91.48% [86.73% - 100.27%],126,74,223,10-20-2020
164,IL- JOLIET,94.18,184,173,209,88.52,105.64,184 [173 - 209],94.18% [88.52% - 105.64%],187,113,340,10-20-2020
166,IL- MELROSE PARK,91.3,345,323,396,86.53,101.27,345 [323 - 396],91.3% [86.53% - 101.27%],349,202,658,10-20-2020
170,IL- PEORIA,90.39,189,177,222,85.59,100.82,189 [177 - 222],90.39% [85.59% - 100.82%],193,104,387,10-20-2020
171,IL- ROCKFORD,99.27,292,269,340,89.27,117.95,292 [269 - 340],99.27% [89.27% - 117.95%],295,142,581,10-20-2020
172,IL- SPRINGFIELD,94.08,354,327,428,86.95,111.83,354 [327 - 428],94.08% [86.95% - 111.83%],358,177,810,10-20-2020
173,IL- URBANA,93.87,139,129,169,87.12,112.15,139 [129 - 169],93.87% [87.12% - 112.15%],144,74,334,10-20-2020
175,IL- BLOOMINGTON,90.07,21,20,25,85.24,99.85,21 [20 - 25],90.07% [85.24% - 99.85%],26,14,53,10-20-2020
179,IN- EVANSVILLE,91.37,229,214,269,86.36,102.93,229 [214 - 269],91.37% [86.36% - 102.93%],232,130,469,10-20-2020
180,IN- FORT WAYNE,100.02,440,412,513,91.39,118.79,440 [412 - 513],100.02% [91.39% - 118.79%],442,252,858,10-20-2020
181,IN- GARY,99.92,296,275,342,91.29,117.78,296 [275 - 342],99.92% [91.29% - 117.78%],299,170,569,10-20-2020
183,IN- INDIANAPOLIS,97.39,1113,1027,1306,88.94,114.94,1113 [1027 - 1306],97.39% [88.94% - 114.94%],1115,574,2242,10-20-2020
184,IN- LAFAYETTE,94.97,108,100,126,88.37,110.23,108 [100 - 126],94.97% [88.37% - 110.23%],110,62,224,10-20-2020
185,IN- MUNCIE,102.95,91,86,107,92.17,123.68,91 [86 - 107],102.95% [92.17% - 123.68%],96,51,183,10-20-2020
186,IN- MUNSTER,93.85,157,147,183,87.63,106.69,157 [147 - 183],93.85% [87.63% - 106.69%],159,88,308,10-20-2020
187,IN- SOUTH BEND,109.16,441,406,517,94.39,138.21,441 [406 - 517],109.16% [94.39% - 138.21%],445,220,890,10-20-2020
188,IN- TERRE HAUTE,104.78,127,118,152,91.87,130.65,127 [118 - 152],104.78% [91.87% - 130.65%],133,64,273,10-20-2020
190,IA- CEDAR RAPIDS,85.65,61,56,67,82.78,89.23,61 [56 - 67],85.65% [82.78% - 89.23%],63,31,103,10-20-2020
191,IA- DAVENPORT,87.17,154,143,179,83.46,94.08,154 [143 - 179],87.17% [83.46% - 94.08%],159,77,313,10-20-2020
192,IA- DES MOINES,87.95,257,235,309,83.61,97.7,257 [235 - 309],87.95% [83.61% - 97.7%],261,119,583,10-20-2020
193,IA- DUBUQUE,89.25,46,42,52,83.3,95.96,46 [42 - 52],89.25% [83.3% - 95.96%],50,18,87,10-20-2020
194,IA- IOWA CITY,83.49,63,58,73,81.39,86.79,63 [58 - 73],83.49% [81.39% - 86.79%],67,27,132,10-20-2020
195,IA- MASON CITY,82.23,14,12,17,80.0,84.37,14 [12 - 17],82.23% [80.0% - 84.37%],16,0,32,10-20-2020
196,IA- SIOUX CITY,84.24,45,39,56,80.8,90.51,45 [39 - 56],84.24% [80.8% - 90.51%],47,9,119,10-20-2020
197,IA- WATERLOO,88.71,49,46,58,84.54,96.9,49 [46 - 58],88.71% [84.54% - 96.9%],55,29,108,10-20-2020
200,KS- TOPEKA,82.39,35,33,41,81.36,84.85,35 [33 - 41],82.39% [81.36% - 84.85%],37,21,75,10-20-2020
201,KS- WICHITA,85.2,256,233,311,82.0,92.38,256 [233 - 311],85.2% [82.0% - 92.38%],257,99,613,10-20-2020
203,KY- COVINGTON,85.6,61,57,71,83.0,91.17,61 [57 - 71],85.6% [83.0% - 91.17%],61,33,123,10-20-2020
204,KY- LEXINGTON,87.36,380,349,462,83.36,97.08,380 [349 - 462],87.36% [83.36% - 97.08%],383,175,889,10-20-2020
205,KY- LOUISVILLE,91.66,557,517,652,86.08,103.48,557 [517 - 652],91.66% [86.08% - 103.48%],561,293,1131,10-20-2020
207,KY- OWENSBORO,84.71,21,20,24,82.33,88.26,21 [20 - 24],84.71% [82.33% - 88.26%],22,11,39,10-20-2020
208,KY- PADUCAH,86.06,95,87,113,82.34,93.01,95 [87 - 113],86.06% [82.34% - 93.01%],98,38,211,10-20-2020
209,LA- ALEXANDRIA,81.65,14,14,20,81.01,85.35,14 [14 - 20],81.65% [81.01% - 85.35%],16,10,53,10-20-2020
210,LA- BATON ROUGE,81.37,28,26,33,80.48,82.62,28 [26 - 33],81.37% [80.48% - 82.62%],33,12,65,10-20-2020
212,LA- HOUMA,80.8,0,0,2,80.71,82.57,0 [0 - 2],80.8% [80.71% - 82.57%],5,5,18,10-20-2020
213,LA- LAFAYETTE,80.75,14,12,15,80.28,81.25,14 [12 - 15],80.75% [80.28% - 81.25%],16,6,27,10-20-2020
214,LA- LAKE CHARLES,81.26,7,7,9,80.58,82.31,7 [7 - 9],81.26% [80.58% - 82.31%],10,5,20,10-20-2020
216,LA- METAIRIE,81.36,7,7,9,80.59,82.37,7 [7 - 9],81.36% [80.59% - 82.37%],13,6,24,10-20-2020
217,LA- MONROE,82.55,21,19,26,80.54,85.84,21 [19 - 26],82.55% [80.54% - 85.84%],23,5,54,10-20-2020
218,LA- NEW ORLEANS,81.13,21,21,24,80.7,81.9,21 [21 - 24],81.13% [80.7% - 81.9%],27,17,46,10-20-2020
219,LA- SHREVEPORT,84.54,119,110,139,82.16,89.06,119 [110 - 139],84.54% [82.16% - 89.06%],124,59,248,10-20-2020
220,LA- SLIDELL,84.02,14,14,17,81.98,86.15,14 [14 - 17],84.02% [81.98% - 86.15%],20,10,31,10-20-2020
221,ME- BANGOR,91.1,118,105,166,83.39,121.01,118 [105 - 166],91.1% [83.39% - 121.01%],120,37,447,10-20-2020
222,ME- PORTLAND,82.4,60,53,85,80.65,88.84,60 [53 - 85],82.4% [80.65% - 88.84%],63,17,232,10-20-2020
223,MD- BALTIMORE,83.46,227,212,253,82.08,85.87,227 [212 - 253],83.46% [82.08% - 85.87%],233,140,396,10-20-2020
225,MD- SALISBURY,86.06,56,53,64,83.42,91.85,56 [53 - 64],86.06% [83.42% - 91.85%],56,32,111,10-20-2020
226,MD- TAKOMA PARK,86.74,84,79,92,84.2,90.64,84 [79 - 92],86.74% [84.2% - 90.64%],86,54,137,10-20-2020
227,MA- BOSTON,84.49,490,457,544,82.47,87.47,490 [457 - 544],84.49% [82.47% - 87.47%],493,271,821,10-20-2020
230,MA- SPRINGFIELD,82.04,31,29,35,81.12,83.44,31 [29 - 35],82.04% [81.12% - 83.44%],32,18,55,10-20-2020
231,MA- WORCESTER,83.22,49,47,55,81.77,85.24,49 [47 - 55],83.22% [81.77% - 85.24%],52,29,86,10-20-2020
232,MI- ANN ARBOR,87.05,226,212,258,84.23,92.84,226 [212 - 258],87.05% [84.23% - 92.84%],230,138,419,10-20-2020
233,MI- DEARBORN,82.12,28,27,32,81.28,83.41,28 [27 - 32],82.12% [81.28% - 83.41%],34,21,56,10-20-2020
234,MI- DETROIT,85.01,230,215,256,82.9,88.35,230 [215 - 256],85.01% [82.9% - 88.35%],233,135,389,10-20-2020
235,MI- FLINT,91.09,143,134,160,86.26,98.33,143 [134 - 160],91.09% [86.26% - 98.33%],147,83,243,10-20-2020
236,MI- GRAND RAPIDS,94.45,331,309,371,88.06,104.51,331 [309 - 371],94.45% [88.06% - 104.51%],333,186,566,10-20-2020
238,MI- KALAMAZOO,94.34,207,192,234,87.85,105.12,207 [192 - 234],94.34% [87.85% - 105.12%],211,116,371,10-20-2020
239,MI- LANSING,91.06,166,153,198,85.34,104.17,166 [153 - 198],91.06% [85.34% - 104.17%],169,82,371,10-20-2020
240,MI- MARQUETTE,101.22,100,92,120,90.04,125.49,100 [92 - 120],101.22% [90.04% - 125.49%],103,49,222,10-20-2020
242,MI- MUSKEGON,89.68,49,46,57,85.6,98.47,49 [46 - 57],89.68% [85.6% - 98.47%],51,30,99,10-20-2020
243,MI- PETOSKEY,89.53,30,27,36,82.89,97.63,30 [27 - 36],89.53% [82.89% - 97.63%],32,10,61,10-20-2020
244,MI- PONTIAC,83.96,42,41,50,82.45,87.6,42 [41 - 50],83.96% [82.45% - 87.6%],46,29,90,10-20-2020
245,MI- ROYAL OAK,83.17,81,77,93,81.93,85.98,81 [77 - 93],83.17% [81.93% - 85.98%],83,51,158,10-20-2020
246,MI- SAGINAW,83.11,62,59,73,81.86,86.15,62 [59 - 73],83.11% [81.86% - 86.15%],65,39,129,10-20-2020
248,MI- ST JOSEPH,96.18,45,43,52,89.27,110.46,45 [43 - 52],96.18% [89.27% - 110.46%],48,28,92,10-20-2020
249,MI- TRAVERSE CITY,86.37,30,29,37,83.93,95.13,30 [29 - 37],86.37% [83.93% - 95.13%],32,20,77,10-20-2020
250,MN- DULUTH,87.38,81,75,94,83.44,94.11,81 [75 - 94],87.38% [83.44% - 94.11%],85,40,164,10-20-2020
251,MN- MINNEAPOLIS,88.26,700,652,798,84.44,95.29,700 [652 - 798],88.26% [84.44% - 95.29%],703,378,1302,10-20-2020
253,MN- ROCHESTER,82.3,55,52,65,81.39,84.62,55 [52 - 65],82.3% [81.39% - 84.62%],59,36,120,10-20-2020
