HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Hospitalizations (Range),Projected Demand (Range),Last Update
1,AL- BIRMINGHAM,86.69,561,505,749,82.37,100.4,561 [505 - 749],86.69% [82.37% - 100.4%],05-12-2020
2,AL- DOTHAN,83.72,47,41,60,80.45,90.24,47 [41 - 60],83.72% [80.45% - 90.24%],05-12-2020
5,AL- HUNTSVILLE,85.86,106,97,144,82.77,97.93,106 [97 - 144],85.86% [82.77% - 97.93%],05-12-2020
6,AL- MOBILE,85.88,164,148,214,82.1,96.52,164 [148 - 214],85.88% [82.1% - 96.52%],05-12-2020
7,AL- MONTGOMERY,84.67,69,61,102,81.49,98.05,69 [61 - 102],84.67% [81.49% - 98.05%],05-12-2020
9,AL- TUSCALOOSA,85.1,45,40,69,81.4,99.84,45 [40 - 69],85.1% [81.4% - 99.84%],05-12-2020
11,AZ- MESA,110.21,596,543,738,93.43,155.91,596 [543 - 738],110.21% [93.43% - 155.91%],05-12-2020
12,AZ- PHOENIX,94.63,1457,1325,1800,86.44,117.43,1457 [1325 - 1800],94.63% [86.44% - 117.43%],05-12-2020
14,AZ- SUN CITY,92.68,98,90,123,85.56,111.85,98 [90 - 123],92.68% [85.56% - 111.85%],05-12-2020
15,AZ- TUCSON,96.26,408,367,524,86.06,124.93,408 [367 - 524],96.26% [86.06% - 124.93%],05-12-2020
16,AR- FORT SMITH,80.72,9,6,17,80.0,84.61,9 [6 - 17],80.72% [80.0% - 84.61%],05-12-2020
18,AR- JONESBORO,80.71,0,0,5,80.0,83.32,0 [0 - 5],80.71% [80.0% - 83.32%],05-12-2020
19,AR- LITTLE ROCK,82.86,161,142,216,80.49,88.65,161 [142 - 216],82.86% [80.49% - 88.65%],05-12-2020
21,AR- SPRINGDALE,82.64,22,20,30,81.14,86.72,22 [20 - 30],82.64% [81.14% - 86.72%],05-12-2020
22,AR- TEXARKANA,81.69,13,11,18,80.31,84.69,13 [11 - 18],81.69% [80.31% - 84.69%],05-12-2020
23,CA- ORANGE CO.,89.22,701,625,956,82.93,109.79,701 [625 - 956],89.22% [82.93% - 109.79%],05-12-2020
25,CA- BAKERSFIELD,83.66,129,114,190,80.97,93.66,129 [114 - 190],83.66% [80.97% - 93.66%],05-12-2020
31,CA- CHICO,86.57,40,34,57,80.94,103.44,40 [34 - 57],86.57% [80.94% - 103.44%],05-12-2020
33,CA- CONTRA COSTA CO.,100.93,414,370,521,86.49,136.17,414 [370 - 521],100.93% [86.49% - 136.17%],05-12-2020
43,CA- FRESNO,86.41,143,126,209,81.75,104.0,143 [126 - 209],86.41% [81.75% - 104.0%],05-12-2020
56,CA- LOS ANGELES,86.33,2015,1790,2754,81.98,100.3,2015 [1790 - 2754],86.33% [81.98% - 100.3%],05-12-2020
58,CA- MODESTO,94.2,241,214,324,84.19,124.85,241 [214 - 324],94.2% [84.19% - 124.85%],05-12-2020
62,CA- NAPA,93.33,73,66,98,84.3,120.38,73 [66 - 98],93.33% [84.3% - 120.38%],05-12-2020
65,CA- ALAMEDA CO.,98.38,617,552,772,85.8,128.65,617 [552 - 772],98.38% [85.8% - 128.65%],05-12-2020
69,CA- PALM SPR/RANCHO MIR.,86.52,65,58,90,81.99,101.37,65 [58 - 90],86.52% [81.99% - 101.37%],05-12-2020
73,CA- REDDING,86.61,68,60,94,81.66,101.63,68 [60 - 94],86.61% [81.66% - 101.63%],05-12-2020
77,CA- SACRAMENTO,96.75,798,713,1041,85.12,129.0,798 [713 - 1041],96.75% [85.12% - 129.0%],05-12-2020
78,CA- SALINAS,95.5,119,106,159,84.54,127.16,119 [106 - 159],95.5% [84.54% - 127.16%],05-12-2020
79,CA- SAN BERNARDINO,91.11,640,569,879,83.46,116.51,640 [569 - 879],91.11% [83.46% - 116.51%],05-12-2020
80,CA- SAN DIEGO,92.14,918,815,1237,83.63,118.38,918 [815 - 1237],92.14% [83.63% - 118.38%],05-12-2020
81,CA- SAN FRANCISCO,90.8,544,486,680,83.43,108.56,544 [486 - 680],90.8% [83.43% - 108.56%],05-12-2020
82,CA- SAN JOSE,102.43,675,604,838,87.14,138.39,675 [604 - 838],102.43% [87.14% - 138.39%],05-12-2020
83,CA- SAN LUIS OBISPO,92.7,56,50,77,83.51,122.11,56 [50 - 77],92.7% [83.51% - 122.11%],05-12-2020
85,CA- SAN MATEO CO.,92.29,326,292,405,83.93,111.9,326 [292 - 405],92.29% [83.93% - 111.9%],05-12-2020
86,CA- SANTA BARBARA,89.54,89,79,125,82.59,112.61,89 [79 - 125],89.54% [82.59% - 112.61%],05-12-2020
87,CA- SANTA CRUZ,107.75,95,85,123,88.36,157.72,95 [85 - 123],107.75% [88.36% - 157.72%],05-12-2020
89,CA- SANTA ROSA,89.39,171,153,220,82.85,106.44,171 [153 - 220],89.39% [82.85% - 106.44%],05-12-2020
91,CA- STOCKTON,98.76,196,176,256,85.83,134.94,196 [176 - 256],98.76% [85.83% - 134.94%],05-12-2020
96,CA- VENTURA,91.29,175,156,241,83.31,117.06,175 [156 - 241],91.29% [83.31% - 117.06%],05-12-2020
101,CO- BOULDER,109.06,134,123,157,92.21,141.47,134 [123 - 157],109.06% [92.21% - 141.47%],05-12-2020
102,CO- COLORADO SPRINGS,107.64,284,257,340,91.11,143.57,284 [257 - 340],107.64% [91.11% - 143.57%],05-12-2020
103,CO- DENVER,103.73,1278,1162,1493,89.82,132.23,1278 [1162 - 1493],103.73% [89.82% - 132.23%],05-12-2020
104,CO- FORT COLLINS,96.63,103,94,123,86.89,116.78,103 [94 - 123],96.63% [86.89% - 116.78%],05-12-2020
105,CO- GRAND JUNCTION,98.15,139,126,161,87.07,116.62,139 [126 - 161],98.15% [87.07% - 116.62%],05-12-2020
106,CO- GREELEY,99.07,146,133,173,87.98,122.73,146 [133 - 173],99.07% [87.98% - 122.73%],05-12-2020
107,CO- PUEBLO,85.22,39,35,52,81.63,95.29,39 [35 - 52],85.22% [81.63% - 95.29%],05-12-2020
109,CT- BRIDGEPORT,97.64,295,265,341,85.66,115.4,295 [265 - 341],97.64% [85.66% - 115.4%],05-12-2020
110,CT- HARTFORD,94.92,482,432,588,85.04,115.2,482 [432 - 588],94.92% [85.04% - 115.2%],05-12-2020
111,CT- NEW HAVEN,93.57,521,464,630,84.15,111.78,521 [464 - 630],93.57% [84.15% - 111.78%],05-12-2020
112,DE- WILMINGTON,97.72,325,298,373,88.22,113.73,325 [298 - 373],97.72% [88.22% - 113.73%],05-12-2020
113,DC- WASHINGTON,130.4,3502,3228,3882,104.98,169.83,3502 [3228 - 3882],130.4% [104.98% - 169.83%],05-12-2020
115,FL- BRADENTON,85.54,33,30,46,82.26,96.36,33 [30 - 46],85.54% [82.26% - 96.36%],05-12-2020
116,FL- CLEARWATER,83.77,57,53,75,81.65,90.63,57 [53 - 75],83.77% [81.65% - 90.63%],05-12-2020
118,FL- FORT LAUDERDALE,85.43,468,426,606,82.29,95.35,468 [426 - 606],85.43% [82.29% - 95.35%],05-12-2020
119,FL- FORT MYERS,84.59,172,156,227,81.78,93.51,172 [156 - 227],84.59% [81.78% - 93.51%],05-12-2020
120,FL- GAINESVILLE,82.89,48,42,69,80.43,90.37,48 [42 - 69],82.89% [80.43% - 90.37%],05-12-2020
122,FL- HUDSON,84.1,48,44,62,81.6,91.18,48 [44 - 62],84.1% [81.6% - 91.18%],05-12-2020
123,FL- JACKSONVILLE,84.85,234,209,309,81.45,94.17,234 [209 - 309],84.85% [81.45% - 94.17%],05-12-2020
124,FL- LAKELAND,84.56,46,43,60,82.06,92.73,46 [43 - 60],84.56% [82.06% - 92.73%],05-12-2020
127,FL- MIAMI,85.14,550,500,717,82.15,94.98,550 [500 - 717],85.14% [82.15% - 94.98%],05-12-2020
129,FL- OCALA,84.31,54,50,72,81.97,91.99,54 [50 - 72],84.31% [81.97% - 91.99%],05-12-2020
130,FL- ORLANDO,84.23,434,398,563,81.92,91.82,434 [398 - 563],84.23% [81.92% - 91.82%],05-12-2020
131,FL- ORMOND BEACH,82.73,42,39,55,81.27,87.8,42 [39 - 55],82.73% [81.27% - 87.8%],05-12-2020
133,FL- PANAMA CITY,81.8,11,11,14,81.05,84.52,11 [11 - 14],81.8% [81.05% - 84.52%],05-12-2020
