region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
1,AL- BIRMINGHAM,108.66,1167,1077,1282,95.89,124.37,1167 [1077 - 1282],108.66% [95.89% - 124.37%],2420,1342,3747,12-08-2020
2,AL- DOTHAN,94.31,91,83,104,87.23,103.12,91 [83 - 104],94.31% [87.23% - 103.12%],190,96,307,12-08-2020
5,AL- HUNTSVILLE,128.24,412,381,452,107.87,153.14,412 [381 - 452],128.24% [107.87% - 153.14%],907,524,1375,12-08-2020
6,AL- MOBILE,97.92,268,248,297,89.45,108.6,268 [248 - 297],97.92% [89.45% - 108.6%],512,270,817,12-08-2020
7,AL- MONTGOMERY,101.41,175,161,195,91.25,115.96,175 [161 - 195],101.41% [91.25% - 115.96%],331,174,556,12-08-2020
9,AL- TUSCALOOSA,123.49,231,215,253,104.35,146.43,231 [215 - 253],123.49% [104.35% - 146.43%],434,243,663,12-08-2020
11,AZ- MESA,113.84,294,266,343,94.6,141.87,294 [266 - 343],113.84% [94.6% - 141.87%],670,289,1225,12-08-2020
12,AZ- PHOENIX,108.2,968,877,1128,92.61,132.2,968 [877 - 1128],108.2% [92.61% - 132.2%],2136,955,3954,12-08-2020
14,AZ- SUN CITY,95.68,57,51,66,86.79,108.64,57 [51 - 66],95.68% [86.79% - 108.64%],127,55,232,12-08-2020
15,AZ- TUCSON,109.91,341,310,391,93.67,133.88,341 [310 - 391],109.91% [93.67% - 133.88%],755,345,1360,12-08-2020
16,AR- FORT SMITH,88.98,58,53,65,86.01,94.91,58 [53 - 65],88.98% [86.01% - 94.91%],115,77,191,12-08-2020
18,AR- JONESBORO,96.92,72,66,79,89.73,105.22,72 [66 - 79],96.92% [89.73% - 105.22%],153,88,228,12-08-2020
19,AR- LITTLE ROCK,92.18,336,310,375,86.46,99.21,336 [310 - 375],92.18% [86.46% - 99.21%],703,373,1109,12-08-2020
21,AR- SPRINGDALE,132.79,296,276,324,110.56,162.4,296 [276 - 324],132.79% [110.56% - 162.4%],558,323,871,12-08-2020
22,AR- TEXARKANA,87.55,38,34,43,83.57,92.76,38 [34 - 43],87.55% [83.57% - 92.76%],74,35,125,12-08-2020
23,CA- ORANGE CO.,115.46,1467,1359,1620,97.96,138.49,1467 [1359 - 1620],115.46% [97.96% - 138.49%],2713,1374,4475,12-08-2020
