HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Last Update
163,IL- HINSDALE,159,5997,5719,6355,152.64,165.36,04-21-2020
164,IL- JOLIET,166,7977,7563,8419,159.36,172.64,04-21-2020
166,IL- MELROSE PARK,160,17121,16340,18147,153.6,166.4,04-21-2020
170,IL- PEORIA,90,1378,1199,1466,86.4,93.6,04-21-2020
171,IL- ROCKFORD,109,3073,2931,3407,104.64,113.36,04-21-2020
172,IL- SPRINGFIELD,84,777,730,777,80.64,87.36,04-21-2020
173,IL- URBANA,80,0,0,95,76.8,83.2,04-21-2020
175,IL- BLOOMINGTON,121,770,692,770,116.16,125.84,04-21-2020
179,IN- EVANSVILLE,80,0,0,0,76.8,83.2,04-21-2020
180,IN- FORT WAYNE,93,2072,1956,2072,89.28,96.72,04-21-2020
181,IN- GARY,164,8832,8440,9512,157.44,170.56,04-21-2020
183,IN- INDIANAPOLIS,137,24924,23917,27976,131.52,142.48,04-21-2020
184,IN- LAFAYETTE,95,612,496,814,91.2,98.8,04-21-2020
185,IN- MUNCIE,80,0,0,148,76.8,83.2,04-21-2020
186,IN- MUNSTER,156,6117,5855,6527,149.76,162.24,04-21-2020
187,IN- SOUTH BEND,123,4484,4122,4781,118.08,127.92,04-21-2020
188,IN- TERRE HAUTE,80,0,0,0,76.8,83.2,04-21-2020
191,IA- DAVENPORT,80,0,0,105,76.8,83.2,04-21-2020
192,IA- DES MOINES,86,1547,1461,1766,82.56,89.44,04-21-2020
193,IA- DUBUQUE,83,138,120,236,79.68,86.32,04-21-2020
194,IA- IOWA CITY,98,2356,2256,2620,94.08,101.92,04-21-2020
195,IA- MASON CITY,80,0,0,0,76.8,83.2,04-21-2020
196,IA- SIOUX CITY,80,0,0,43,76.8,83.2,04-21-2020
197,IA- WATERLOO,81,42,35,136,77.76,84.24,04-21-2020
200,KS- TOPEKA,80,19,16,146,76.8,83.2,04-21-2020
201,KS- WICHITA,83,1337,1283,1337,79.68,86.32,04-21-2020
203,KY- COVINGTON,89,659,557,901,85.44,92.56,04-21-2020
204,KY- LEXINGTON,92,3862,3745,4723,88.32,95.68,04-21-2020
205,KY- LOUISVILLE,98,6020,5584,6612,94.08,101.92,04-21-2020
