HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Last Update
1,AL- BIRMINGHAM,113,16759,14799,20746,108.48,117.52,04-21-2020
2,AL- DOTHAN,80,0,0,84,76.8,83.2,04-21-2020
5,AL- HUNTSVILLE,102,2209,1947,2959,97.92,106.08,04-21-2020
6,AL- MOBILE,103,4223,3820,5181,98.88,107.12,04-21-2020
7,AL- MONTGOMERY,101,1844,1591,2388,96.96,105.04,04-21-2020
9,AL- TUSCALOOSA,104,1456,1346,1843,99.84,108.16,04-21-2020
11,AZ- MESA,131,6317,5723,7517,125.76,136.24,04-21-2020
12,AZ- PHOENIX,111,14557,13175,17382,106.56,115.44,04-21-2020
14,AZ- SUN CITY,101,1082,982,1286,96.96,105.04,04-21-2020
15,AZ- TUCSON,98,2727,2447,3325,94.08,101.92,04-21-2020
16,AR- FORT SMITH,80,0,0,43,76.8,83.2,04-21-2020
18,AR- JONESBORO,80,0,0,81,76.8,83.2,04-21-2020
19,AR- LITTLE ROCK,100,7618,6915,9341,96.0,104.0,04-21-2020
21,AR- SPRINGDALE,88,348,261,517,84.48,91.52,04-21-2020
22,AR- TEXARKANA,80,0,0,42,76.8,83.2,04-21-2020
23,CA- ORANGE CO.,96,8174,7421,9694,92.16,99.84,04-21-2020
25,CA- BAKERSFIELD,85,1233,1109,1495,81.6,88.4,04-21-2020
31,CA- CHICO,87,276,246,357,83.52,90.48,04-21-2020
33,CA- CONTRA COSTA CO.,133,6944,6337,8101,127.68,138.32,04-21-2020
43,CA- FRESNO,90,1513,1376,1790,86.4,93.6,04-21-2020
56,CA- LOS ANGELES,95,24216,21987,28655,91.2,98.8,04-21-2020
58,CA- MODESTO,107,2944,2661,3511,102.72,111.28,04-21-2020
62,CA- NAPA,108,1114,994,1299,103.68,112.32,04-21-2020
65,CA- ALAMEDA CO.,128,10691,9761,12447,122.88,133.12,04-21-2020
69,CA- PALM SPR/RANCHO MIR.,91,736,667,876,87.36,94.64,04-21-2020
73,CA- REDDING,90,743,681,918,86.4,93.6,04-21-2020
77,CA- SACRAMENTO,112,9641,8722,11418,107.52,116.48,04-21-2020
78,CA- SALINAS,114,1703,1545,2003,109.44,118.56,04-21-2020
79,CA- SAN BERNARDINO,99,6919,6266,8227,95.04,102.96,04-21-2020
80,CA- SAN DIEGO,103,10636,9673,12583,98.88,107.12,04-21-2020
81,CA- SAN FRANCISCO,108,9414,8603,10958,103.68,112.32,04-21-2020
82,CA- SAN JOSE,143,12571,11501,14581,137.28,148.72,04-21-2020
